name,fit_days,strategy,origin,teacher,horizon,lead,station,history_gradient_norm,gate_gradient_norm
h612_CURRENT_o612,612,CURRENT,612,612,180,0,ATU1,0.043567106125437696,3.8815023938555595
h612_CURRENT_o612,612,CURRENT,612,612,180,0,ATU5,0.05105549474233733,4.308339748301799
h612_CURRENT_o612,612,CURRENT,612,612,180,0,MJ3,0.03861772890530205,4.226876712194259
h612_CURRENT_o612,612,CURRENT,612,612,180,0,MJ1,0.030926250536003366,3.733037714513014
h612_CURRENT_o612,612,CURRENT,612,612,180,29,ATU1,1.0571384011710215e-08,3.873666319200351
h612_CURRENT_o612,612,CURRENT,612,612,180,29,ATU5,4.444927376678571e-08,4.295599479606911
h612_CURRENT_o612,612,CURRENT,612,612,180,29,MJ3,3.466896806014491e-08,4.372935507255621
h612_CURRENT_o612,612,CURRENT,612,612,180,29,MJ1,4.752351356019023e-08,3.838274356145426
h612_CURRENT_o612,612,CURRENT,612,612,180,179,ATU1,2.9680822372494684e-34,4.415416194426323
h612_CURRENT_o612,612,CURRENT,612,612,180,179,ATU5,1.8170020355228212e-34,5.352473744307529
h612_CURRENT_o612,612,CURRENT,612,612,180,179,MJ3,1.26780175548897e-35,5.459290628342035
h612_CURRENT_o612,612,CURRENT,612,612,180,179,MJ1,3.1547172844205694e-34,6.015365387883646
