origin,seed,step,bin,point,n_terms,supported_origins,mae,rmse,bias,normalized_mse,objective_contribution
612,0,0,h001_030,ATU1,4965,180,15.045689956790088,34.417749596147736,-13.069119684615755,0.05198100706464623,0.0021107910304263406
612,0,0,h001_030,ATU5,4965,180,16.83666595577466,32.384897688105966,-16.83666595577466,0.034500080649328,0.0014570045496483611
612,0,0,h001_030,MJ3,4965,180,3.7531983752818254,5.910275269912942,-3.7531983752818254,0.0039440529650501205,0.00020326433268719638
612,0,0,h001_030,MJ1,4965,180,2.3363354094048274,3.345969649747647,-2.3363354094048274,0.0022454569357181907,0.00013766700212227264
612,0,0,h031_090,ATU1,7230,150,30.153690250888133,54.697040757766985,-29.62267854510585,0.1312826725446668,0.007760205253667909
612,0,0,h031_090,ATU5,7230,150,50.07502024276068,69.68959495571733,-50.07502024276068,0.1597610596113886,0.00995724928024862
612,0,0,h031_090,MJ3,7230,150,11.698061278082989,13.479436099748725,-11.698061278082989,0.020514964507183316,0.001514311172562979
612,0,0,h031_090,MJ1,7230,150,7.633133255994882,8.43477600467016,-7.633133255994882,0.014269470027303353,0.0011137230788396124
612,0,0,h091_180,ATU1,4095,90,68.14655558369536,93.34149466052212,-68.14655558369536,0.38232196508836086,0.012627900743198816
612,0,0,h091_180,ATU5,4095,90,108.824528162535,125.55385046201086,-108.824528162535,0.5185553554299142,0.017631425062356914
612,0,0,h091_180,MJ3,4095,90,25.20430109250654,27.117302225798745,-25.20430109250654,0.08302717938460724,0.0029307494660235018
612,0,0,h091_180,MJ1,4095,90,16.309513735906705,17.18359097037369,-16.309513735906705,0.059222752552513455,0.0021222213715379173
612,0,0,h181_293,ATU1,0,0,,,,,0.0
612,0,0,h181_293,ATU5,0,0,,,,,0.0
612,0,0,h181_293,MJ3,0,0,,,,,0.0
612,0,0,h181_293,MJ1,0,0,,,,,0.0
612,0,0,all,ATU1,16290,180,35.099642496293214,62.28223252317803,-34.2615279453938,0.17021902207555234,0.022498897027293064
612,0,0,all,ATU5,16290,180,54.712884324810425,80.2365061536048,-54.712884324810425,0.21177713578267351,0.029045678892253898
612,0,0,all,MJ3,16290,180,12.67177568739279,16.61749807658931,-12.67177568739279,0.03117874253765351,0.0046483249712736775
612,0,0,all,MJ1,16290,180,8.199810773301161,10.450625510584233,-8.199810773301161,0.02190510335701576,0.003373611452499801
612,0,50,h001_030,ATU1,4965,180,7.109350351709634,12.258918089291091,0.9031253833190392,0.006594532825923731,0.0003005662898457127
612,0,50,h001_030,ATU5,4965,180,6.985754531092639,11.28389602240942,1.231157059226437,0.004188448721705255,0.0002208241477369373
612,0,50,h001_030,MJ3,4965,180,2.369761183513102,3.2716328559081056,-1.1296499619095965,0.0012085272390909149,6.654059928785312e-05
