origin,visible,seed,point,common_horizons,rms_change,mean_change,mae_change,max_abs_change,performance_comparison
612,30,ensemble,ATU1,30,12.793715847612557,10.622205618461608,10.622205618461608,30.909610618977865,False
612,30,ensemble,ATU5,30,16.32595774219154,13.689644867817597,13.689644867817597,38.840799064565886,False
612,30,ensemble,MJ3,30,16.058767381558855,13.93982000870185,13.93982000870185,32.343530196113534,False
612,30,ensemble,MJ1,30,12.731869217636893,11.140491016739277,11.140491016739277,25.541532848601832,False
612,30,0,ATU1,30,9.90858649278945,8.255571363336811,8.342346533601125,20.56615019257373,False
612,30,0,ATU5,30,13.942217285428558,11.867525958584837,11.941828635603551,27.996555525790654,False
612,30,0,MJ3,30,18.647955594160894,16.725533269721314,16.725533269721314,31.91574920667722,False
612,30,0,MJ1,30,13.879232108757096,12.520658163979874,12.520658163979874,23.94353267145516,False
612,30,1,ATU1,30,6.978554542171379,4.710716536713814,6.24038668081509,13.118538453358212,False
612,30,1,ATU5,30,8.983224283466921,6.399625035484345,7.985015099657122,17.08128422398073,False
612,30,1,MJ3,30,13.564544104793839,10.157480825476098,11.608378796168124,23.749490819883704,False
612,30,1,MJ1,30,11.291345125850327,8.677603992697668,9.750339200324337,19.2540918423108,False
612,30,2,ATU1,30,23.820767908114384,18.900328955334203,19.334119405732775,62.955926561093804,False
612,30,2,ATU5,30,28.866342742311193,22.801783609383556,23.29740348257248,76.54953502728858,False
612,30,2,MJ3,30,18.316836633465947,14.936445930908098,15.174801713216047,46.2057005573613,False
612,30,2,MJ1,30,14.891571704617059,12.22321089354023,12.40618951792671,37.57705146975661,False
612,90,ensemble,ATU1,90,24.777605341182657,22.10232292925966,22.10232292925966,43.98101381107631,False
612,90,ensemble,ATU5,90,32.21983484749305,28.854681722885807,28.854681722885807,56.614608645617125,False
612,90,ensemble,MJ3,90,27.933249625502533,25.167357658434266,25.167357658434266,49.041813601811555,False
612,90,ensemble,MJ1,90,21.80779842758881,19.743526002033864,19.743526002033864,37.31231185230922,False
612,90,0,ATU1,90,17.614626539290445,15.93852281972615,15.944872384757833,40.275008953241866,False
612,90,0,ATU5,90,25.236233889819367,22.935076849134262,22.935076849134262,56.23734358901834,False
612,90,0,MJ3,90,25.015435688701917,22.73081540313102,22.73081540313102,52.626654933766076,False
612,90,0,MJ1,90,20.821342275899745,19.01053160898051,19.01053160898051,41.986285855716574,False
612,90,1,ATU1,90,17.966638524407138,14.391438639934778,14.928247811666575,46.487258371174676,False
612,90,1,ATU5,90,24.07939699111617,19.707159457363993,20.210071478919264,59.98555851639918,False
612,90,1,MJ3,90,30.103213006193048,25.037013275700925,25.570222381844765,68.18825893016788,False
612,90,1,MJ1,90,21.320588879737024,17.79087871968186,18.13905173744697,48.1048740236364,False
612,90,2,ATU1,90,41.64940684924855,35.977007328118056,36.118242015962196,85.41489488204581,False
612,90,2,ATU5,90,50.96707186831475,43.92180886215917,44.08729817662191,106.03451069022304,False
612,90,2,MJ3,90,31.828538250916512,27.73424429647078,27.814715944683474,65.39177767405704,False
612,90,2,MJ1,90,25.725255568470423,22.429167677439214,22.49158351729627,53.38868076399979,False
612,180,ensemble,ATU1,180,12.403568915644025,11.66366193023952,11.66366193023952,20.95844804290317,False
612,180,ensemble,ATU5,180,16.413335625782906,15.42784036702393,15.42784036702393,27.71019461079976,False
612,180,ensemble,MJ3,180,12.881827958006332,12.088880028243208,12.088880028243208,21.489340018990106,False
612,180,ensemble,MJ1,180,10.034948163089952,9.415938093836182,9.415938093836182,16.75713480679144,False
612,180,0,ATU1,180,16.467030286128924,14.802275354050032,14.802275354050032,34.55115047021616,False
612,180,0,ATU5,180,22.475616904641328,20.2676248830944,20.2676248830944,46.2084151114413,False
612,180,0,MJ3,180,20.34031778742203,18.55922297815408,18.55922297815408,41.80416723367216,False
612,180,0,MJ1,180,15.637276477729793,14.270648130804634,14.270648130804634,32.07836002580416,False
612,180,1,ATU1,180,6.667571081405393,6.01787778311308,6.0547943060088,12.82898067845241,False
612,180,1,ATU5,180,8.491082887413405,7.677978850517279,7.72252615252489,16.380685281764613,False
612,180,1,MJ3,180,5.927916854198526,5.246258696501184,5.319619090674058,12.7522378423173,False
612,180,1,MJ1,180,4.7825424263900835,4.251234872892327,4.302578318421864,9.960199518717559,False
612,180,2,ATU1,180,15.167081560059389,14.170832653555454,14.17257315753477,26.182039165338722,False
612,180,2,ATU5,180,19.665028240181314,18.337917367460097,18.34157368238945,34.168740383054455,False
612,180,2,MJ3,180,13.369301251246199,12.461158410074354,12.462537783464743,23.461168325899052,False
612,180,2,MJ1,180,10.44977729674806,9.725931277811583,9.7270253058646,18.406172228267906,False
612,293,ensemble,ATU1,293,0.0,0.0,0.0,0.0,False
612,293,ensemble,ATU5,293,0.0,0.0,0.0,0.0,False
612,293,ensemble,MJ3,293,0.0,0.0,0.0,0.0,False
612,293,ensemble,MJ1,293,0.0,0.0,0.0,0.0,False
612,293,0,ATU1,293,0.0,0.0,0.0,0.0,False
612,293,0,ATU5,293,0.0,0.0,0.0,0.0,False
612,293,0,MJ3,293,0.0,0.0,0.0,0.0,False
612,293,0,MJ1,293,0.0,0.0,0.0,0.0,False
612,293,1,ATU1,293,0.0,0.0,0.0,0.0,False
612,293,1,ATU5,293,0.0,0.0,0.0,0.0,False
612,293,1,MJ3,293,0.0,0.0,0.0,0.0,False
612,293,1,MJ1,293,0.0,0.0,0.0,0.0,False
612,293,2,ATU1,293,0.0,0.0,0.0,0.0,False
612,293,2,ATU5,293,0.0,0.0,0.0,0.0,False
612,293,2,MJ3,293,0.0,0.0,0.0,0.0,False
612,293,2,MJ1,293,0.0,0.0,0.0,0.0,False
792,30,ensemble,ATU1,30,12.069224914039664,-11.314355639037355,11.314355639037355,19.435947154267865,False
792,30,ensemble,ATU5,30,14.9516868164834,-14.055416000255036,14.055416000255036,24.35468602612957,False
792,30,ensemble,MJ3,30,2.58353244639838,-2.2519744173646434,2.26362064896,4.635333756835735,False
792,30,ensemble,MJ1,30,2.941637880377841,-2.7024250634612677,2.7024250634612677,4.701577201602731,False
792,30,0,ATU1,30,12.30551170001026,-10.417192557982892,10.755453973896667,21.223849589600718,False
792,30,0,ATU5,30,14.066507912491968,-11.675352185904801,12.205440773024959,25.51950815077464,False
792,30,0,MJ3,30,1.0447366421006,-0.2821451029618553,0.8221881764387339,2.4284763640532674,False
792,30,0,MJ1,30,1.707461603031433,0.40526354120624625,1.4407042827039922,3.5176338590440537,False
792,30,1,ATU1,30,6.151257895249453,-4.194098854660069,4.9756303521348135,12.362225944349746,False
792,30,1,ATU5,30,8.023155104207133,-5.0821531026211835,6.5499306743811,16.51724104588402,False
792,30,1,MJ3,30,6.140315772175457,-5.470242256101142,5.495757152510813,11.95481321259058,False
792,30,1,MJ1,30,4.920759174079592,-4.470290462003118,4.480688084232679,9.708522720781616,False
792,30,2,ATU1,30,20.763575567608044,-19.33177550446911,19.33177550446911,32.34784759292364,False
792,30,2,ATU5,30,27.156614851738208,-25.408742712239132,25.408742712239132,42.95325399470789,False
792,30,2,MJ3,30,2.182804178442952,-1.0035358930309333,1.8246341047257375,4.678722461570487,False
792,30,2,MJ1,30,4.513592526860596,-4.0422482695869535,4.0449337732481165,7.400722569517484,False
792,90,ensemble,ATU1,90,18.8944472714996,-17.628452161211527,17.628452161211527,30.96604571359768,False
792,90,ensemble,ATU5,90,22.618988318720046,-21.07753506094711,21.07753506094711,37.58843717610557,False
792,90,ensemble,MJ3,90,4.84721234317537,-4.346219839216408,4.346219839216408,10.622950543452134,False
