origin,seed,step,bin,point,n,mae,rmse,bias,mse,error_variance,probability_available
612,0,0,h001_030,ATU1,30,0.9059505644295314,1.2348535741158464,-0.9059505644295314,1.5248633495066801,0.7041169243164939,False
612,0,0,h001_030,ATU5,30,1.8663872069516798,2.2079775591713338,-1.8663872069516798,4.8751649018042,1.3917636955313073,False
612,0,0,h001_030,MJ3,30,0.1458662440596451,0.16312910299874567,-0.0868985185552674,0.026611104245175373,0.01905975171807522,False
612,0,0,h001_030,MJ1,30,8.411689225055666,9.852948095249994,-8.411689225055666,97.08058616769048,26.324070548772887,False
612,0,0,h031_090,ATU1,60,14.687147628659902,16.277339468491878,-14.687147628659902,264.9517801725234,49.23947470647326,False
612,0,0,h031_090,ATU5,60,20.34064743891398,23.623689141317403,-20.34064743891398,558.0786886455978,144.33675041140006,False
612,0,0,h031_090,MJ3,60,0.11829785659548027,0.13186989799436957,0.11786012710441203,0.017389669997045436,0.0034986604359772745,False
612,0,0,h031_090,MJ1,60,34.68867383374192,36.07882299431387,-34.68867383374192,1301.6814686550313,98.37737631129994,False
612,0,0,h091_180,ATU1,90,34.40851232755981,34.52740908131697,-34.40851232755981,1192.1419778686093,8.196257272773858,False
612,0,0,h091_180,ATU5,90,61.236436029386816,61.57255203480005,-61.236436029386816,3791.17916407816,41.27806649697628,False
612,0,0,h091_180,MJ3,90,1.7334416248240232,1.981116081393629,-1.7334416248240232,3.9248209279564485,0.9200010612838987,False
612,0,0,h091_180,MJ1,90,59.44940838822004,59.647782904947285,-59.44940838822004,3557.8580054757213,23.625847766353406,False
612,0,0,h181_293,ATU1,113,41.79932668961373,41.91742120911322,-41.79932668961373,1757.0702008222147,9.886489117160185,False
612,0,0,h181_293,ATU5,113,76.87131814593599,76.97591790344738,-76.87131814593599,5925.29193707827,16.09238358456124,False
612,0,0,h181_293,MJ3,113,10.47944809017033,11.029201450480903,-10.47944809017033,121.64328463529004,11.82445236071545,False
612,0,0,h181_293,MJ1,113,71.24170666919699,71.26576830236716,-71.24170666919699,5078.80973172668,3.4289625867734883,False
612,0,0,all,ATU1,293,29.790093515560457,33.13971681770096,-29.790093515560457,1098.240830757412,210.79115909157468,False
612,0,0,all,ATU5,293,52.81286230607157,59.7033362678403,-52.81286230607157,3564.488361510815,775.2899365507402,False
612,0,0,all,MJ3,293,4.61317829058337,6.937253334330475,-4.558780642845743,48.12548382467929,27.343002875094246,False
612,0,0,all,MJ1,293,53.7011287212807,57.68947194817784,-53.7011287212807,3328.075173659598,444.2639477200382,False
612,0,50,h001_030,ATU1,30,11.151968876104718,11.859034352602192,-11.151968876104718,140.6366957761989,16.270285962590588,False
612,0,50,h001_030,ATU5,30,14.366744854723747,15.290311672686146,-14.366744854723747,233.7936310478822,27.39027332715099,False
612,0,50,h001_030,MJ3,30,7.947431719089165,8.597349125881088,-7.947431719089165,73.91441199228832,10.75274106270378,False
612,0,50,h001_030,MJ1,30,13.399794014001232,14.739358334835568,-13.399794014001232,217.24868412268674,37.694204505023514,False
612,0,50,h031_090,ATU1,60,22.51759445856606,23.54197761903508,-22.51759445856606,554.2247102151485,47.182650014703704,False
612,0,50,h031_090,ATU5,60,28.78913277537483,30.793178106818175,-28.78913277537483,948.2198179182262,119.40565196006482,False
