origin,seed,step,bin,mae,rmse,bias,normalized_mse,objective_contribution
612,0,0,h001_030,9.49297242431285,19.014723050978574,-8.998829856269268,0.023167649403685635,0.0039087269148841705
612,0,0,h031_090,24.88997625693167,36.5752119544758,-24.7572233304861,0.08145704167263551,0.02034548878531912
612,0,0,h091_180,54.6212246436609,65.79905957967635,-54.6212246436609,0.26078181311384896,0.03531229664311715
612,0,0,h181_293,,,,,0.0
612,0,0,all,27.6710283204494,42.39671556598909,-27.461499682724543,0.10877000093822378,0.059566512343320444
612,0,50,h001_030,4.56790444688847,7.438138694740728,0.17585986810157495,0.0034307259790024285,0.0006840262857116291
612,0,50,h031_090,8.336796200774202,11.974136684854791,-0.5603920875800277,0.009076277921834987,0.0024766324085333663
612,0,50,h091_180,14.654331886212619,19.19289083519722,-1.7640906945008394,0.022703180969842095,0.0031780064531559352
612,0,50,h181_293,,,,,0.0
612,0,50,all,8.776192215128264,13.185204262408185,-0.6385783880945506,0.010781127681529614,0.00633866514740093
612,0,100,h001_030,3.1870677052553296,5.108790528663526,-1.2334303087087415,0.0015681323037698626,0.00031783230251309627
612,0,100,h031_090,5.341228580446239,6.9827582629601075,-3.570520592619503,0.0029867796016556946,0.0008878364120315535
612,0,100,h091_180,7.802996882561988,9.572612616814066,-4.221413924194687,0.005634535803604138,0.0008149501712421917
612,0,100,h181_293,,,,,0.0
612,0,100,all,5.303508043419911,7.27113955293267,-3.021825376731439,0.0032199887982779,0.002020618885786841
612,0,200,h001_030,2.6848665625324863,4.115089989293117,-1.5464024438994832,0.0011075778373302438,0.0002177666713543864
612,0,200,h031_090,3.115523337936366,4.103872052917844,-2.1947502201768887,0.0010176147188425294,0.0003037893607539182
612,0,200,h091_180,3.9666153274234466,4.996771108492541,-2.6292598837214816,0.001508756894663972,0.0002176051073749119
612,0,200,h181_293,,,,,0.0
612,0,200,all,3.1982127674679397,4.398698295743887,-2.106369026990749,0.0011684983341451879,0.0007391611394832165
612,0,400,h001_030,2.264046679952166,3.383342865450221,1.322871461276316,0.000716736926405907,0.0001542841297263137
612,0,400,h031_090,3.166857122644006,4.262846306994171,0.9363888486429093,0.0011261727696100672,0.000315402855563358
612,0,400,h091_180,5.2990805564786445,7.383815177143308,2.88003300800445,0.003489612000714785,0.000491509989253723
612,0,400,h181_293,,,,,0.0
612,0,400,all,3.427692059021407,5.1178698119385,1.5427798249664437,0.0015955057769682724,0.0009611969745433946
612,1,0,h001_030,9.49297242431285,19.014723050978574,-8.998829856269268,0.023167649403685635,0.0039087269148841705
612,1,0,h031_090,24.88997625693167,36.5752119544758,-24.7572233304861,0.08145704167263551,0.02034548878531912
612,1,0,h091_180,54.6212246436609,65.79905957967635,-54.6212246436609,0.26078181311384896,0.03531229664311715
612,1,0,h181_293,,,,,0.0
612,1,0,all,27.6710283204494,42.39671556598909,-27.461499682724543,0.10877000093822378,0.059566512343320444
612,1,50,h001_030,5.377566623544972,9.477683508795742,0.8080936057278244,0.005443774119543704,0.0010264049500922437
612,1,50,h031_090,7.138698484290886,9.670812855533395,1.8434879216498685,0.006109605440118805,0.001702803416155568
