origin,method,seed,bin,point,n,mae,rmse,bias,mse,error_variance,probability_available,crps,coverage80,width80,interval_score80,coverage90,width90,interval_score90,coverage95,width95,interval_score95
612,TiDE_KIN,ensemble,h001_030,ATU1,30,7.657978350888671,9.456025113757686,-7.657978350888671,89.41641095201608,30.77177852933649,False,,,,,,,,,,
612,TiDE_KIN,ensemble,h001_030,ATU5,30,10.776881906320039,13.054422303457198,-10.776881906320039,170.41794167700073,54.276758054232474,False,,,,,,,,,,
612,TiDE_KIN,ensemble,h001_030,MJ3,30,9.331512532092377,10.923155236653763,-9.331512532092377,119.31532032403653,32.23819418743945,False,,,,,,,,,,
612,TiDE_KIN,ensemble,h001_030,MJ1,30,14.655599396751628,17.200609772665807,-14.655599396751628,295.86097655152645,81.07438287345971,False,,,,,,,,,,
612,TiDE_KIN,ensemble,h031_090,ATU1,60,30.13242525969476,32.588028153106,-30.13242525969476,1061.9795789076293,154.0165268765382,False,,,,,,,,,,
612,TiDE_KIN,ensemble,h031_090,ATU5,60,40.01746501882262,43.55891118948527,-40.01746501882262,1897.378744013465,295.9812374807727,False,,,,,,,,,,
612,TiDE_KIN,ensemble,h031_090,MJ3,60,25.314802876762776,26.38645685601934,-25.314802876762776,696.2451054145699,55.4058607252131,False,,,,,,,,,,
612,TiDE_KIN,ensemble,h031_090,MJ1,60,54.159562798912106,56.027286338667054,-54.159562798912106,3139.056814474988,205.79857190568515,False,,,,,,,,,,
612,TiDE_KIN,ensemble,h091_180,ATU1,90,61.34840009075266,61.885746649584725,-61.34840009075266,3829.8456383765874,66.21944468152664,False,,,,,,,,,,
612,TiDE_KIN,ensemble,h091_180,ATU5,90,91.39817975516806,92.17568097877519,-91.39817975516806,8496.356163900939,142.72890134292695,False,,,,,,,,,,
612,TiDE_KIN,ensemble,h091_180,MJ3,90,36.936562206564496,37.645208311963785,-36.936562206564496,1417.1617088511473,52.85208121173865,False,,,,,,,,,,
612,TiDE_KIN,ensemble,h091_180,MJ1,90,86.94410655742084,87.24442863770032,-86.94410655742084,7611.590328318784,52.31266325063215,False,,,,,,,,,,
612,TiDE_KIN,ensemble,h181_293,ATU1,113,64.42110496595272,65.06369996601595,-64.42110496595272,4233.285053267744,83.20628823344633,False,,,,,,,,,,
612,TiDE_KIN,ensemble,h181_293,ATU5,113,104.82130033959909,105.43905437182333,-104.82130033959909,11117.394186824316,129.88918193987809,False,,,,,,,,,,
612,TiDE_KIN,ensemble,h181_293,MJ3,113,37.55689854737589,38.81282103310638,-37.55689854737589,1506.4350765479453,95.91444805006029,False,,,,,,,,,,
612,TiDE_KIN,ensemble,h181_293,MJ1,113,92.53852526552508,92.82903819630396,-92.53852526552508,8617.230332450858,53.85167413263139,False,,,,,,,,,,
612,TiDE_KIN,ensemble,all,ATU1,293,50.64377384105373,55.09683023086375,-50.64377384105373,3035.660701488622,470.86887262482406,False,,,,,,,,,,
612,TiDE_KIN,ensemble,all,ATU5,293,77.79862619337469,85.45986545305205,-77.79862619337469,7303.3886032537575,1250.7623656773098,False,,,,,,,,,,
612,TiDE_KIN,ensemble,all,MJ3,293,31.969466494924294,34.22101839917754,-31.969466494924294,1171.0781002768474,149.03131230676073,False,,,,,,,,,,
612,TiDE_KIN,ensemble,all,MJ1,293,74.98656892494706,79.58959137704798,-74.98656892494706,6334.503055565469,711.517536429634,False,,,,,,,,,,
612,TiDE_KIN,0,h001_030,ATU1,30,5.48655817387002,6.636331161687302,-5.267648684999326,44.040891287581935,16.292768619006807,False,,,,,,,,,,
612,TiDE_KIN,0,h001_030,ATU5,30,9.646726560014274,11.32683592109928,-9.478441556652543,128.29721198350495,38.456357640627076,False,,,,,,,,,,
612,TiDE_KIN,0,h001_030,MJ3,30,9.990155447255196,11.327987070795634,-9.956858068088241,128.32329107611307,29.18426848805916,False,,,,,,,,,,
612,TiDE_KIN,0,h001_030,MJ1,30,15.627204091992526,17.976057220817427,-15.627204091992526,323.1386332061023,78.92912547331444,False,,,,,,,,,,
612,TiDE_KIN,0,h031_090,ATU1,60,21.725650679907517,24.13884113886003,-21.725650679907517,582.6836515271214,110.67975406175532,False,,,,,,,,,,
612,TiDE_KIN,0,h031_090,ATU5,60,33.19464323556189,36.59285252881793,-33.19464323556189,1339.0368561958167,237.1525166595817,False,,,,,,,,,,
612,TiDE_KIN,0,h031_090,MJ3,60,22.42636783653667,23.738044117278683,-22.42636783653667,563.494738513869,60.55276417422251,False,,,,,,,,,,
612,TiDE_KIN,0,h031_090,MJ1,60,53.28629522347801,54.9766034725725,-53.28629522347801,3022.4269293804705,182.99767073681565,False,,,,,,,,,,
612,TiDE_KIN,0,h091_180,ATU1,90,53.8291028924178,54.83453320264994,-53.8291028924178,3006.826031552519,109.25371335001611,False,,,,,,,,,,
612,TiDE_KIN,0,h091_180,ATU5,90,85.9266559539469,87.07718101191132,-85.9266559539469,7582.43545298117,199.04524955321196,False,,,,,,,,,,
612,TiDE_KIN,0,h091_180,MJ3,90,35.866178407353864,37.620299657523766,-35.866178407353864,1415.2869463218829,128.90419277374596,False,,,,,,,,,,
612,TiDE_KIN,0,h091_180,MJ1,90,87.88006479684586,88.36738647690217,-87.88006479684586,7808.794992758193,85.88920406036405,False,,,,,,,,,,
612,TiDE_KIN,0,h181_293,ATU1,113,57.62624243754004,58.86513533831605,-57.62624243754004,3465.104158398265,144.32034092812492,False,,,,,,,,,,
612,TiDE_KIN,0,h181_293,ATU5,113,99.3048994569998,100.5763579980451,-99.3048994569998,10115.60378815093,254.1407319860897,False,,,,,,,,,,
612,TiDE_KIN,0,h181_293,MJ3,113,34.75364696342678,37.237397808708664,-34.75364696342678,1386.623795564021,178.8078183055169,False,,,,,,,,,,
612,TiDE_KIN,0,h181_293,MJ1,113,91.43927532801564,92.07033918637713,-91.43927532801564,8476.94735789453,115.80628538187753,False,,,,,,,,,,
612,TiDE_KIN,0,all,ATU1,293,43.76969434051256,48.82417289209537,-43.747280399672555,2383.79985859722,469.97531622964567,False,,,,,,,,,,
