origin,method,seed,point,total_sse,tail_sse,tail_fraction
612,TiDE_KIN,ensemble,ATU1,889448.5855361663,478361.2110192551,0.5378177207746025
612,TiDE_KIN,ensemble,ATU5,2139892.860753351,1256265.5431111478,0.5870693650844176
612,TiDE_KIN,ensemble,MJ3,343125.8833811163,170227.1636499178,0.49610703212629204
612,TiDE_KIN,ensemble,MJ1,1856009.3952806825,973747.0275669469,0.5246455271416813
612,TiDE_KIN,0,ATU1,698453.3585689855,391556.76989900396,0.5606054650538707
612,TiDE_KIN,0,ATU5,1909673.5465606144,1143063.228061055,0.5985647285735041
612,TiDE_KIN,0,MJ3,321723.69711081934,156688.4888987344,0.48702812477242624
612,TiDE_KIN,0,MJ1,1851726.3755493304,957895.0514420819,0.5172983784701529
612,TiDE_KIN,1,ATU1,613511.6251747487,375848.9443488835,0.6126191076523271
612,TiDE_KIN,1,ATU5,1514577.0687024477,999307.3005081556,0.6597929687158617
612,TiDE_KIN,1,MJ3,423329.3709913002,220117.30108387186,0.5199669953644569
612,TiDE_KIN,1,MJ1,1842156.4051943552,981207.6566966542,0.532640797453424
612,TiDE_KIN,2,ATU1,1598639.5030605188,759695.5544604425,0.47521380086382314
612,TiDE_KIN,2,ATU5,3356161.6769478926,1761830.1791602562,0.5249539053084212
612,TiDE_KIN,2,MJ3,386202.6418539872,191457.93648485033,0.49574476126249656
612,TiDE_KIN,2,MJ1,1937058.3595038261,1017047.3867731373,0.5250473646202647
612,BPLUS_CONTINUOUS,ensemble,ATU1,25204.602553131084,21931.25833946601,0.8701291080958372
612,BPLUS_CONTINUOUS,ensemble,ATU5,34173.99435152988,29634.834462510455,0.8671750266495781
612,BPLUS_CONTINUOUS,ensemble,MJ3,2340946.590038649,1670166.4111728095,0.7134577176086855
612,BPLUS_CONTINUOUS,ensemble,MJ1,269696.07721468253,207104.63481573763,0.7679186028756322
612,BPLUS_CONTINUOUS,0,ATU1,25204.602553131084,21931.25833946601,0.8701291080958372
612,BPLUS_CONTINUOUS,0,ATU5,34173.99435152988,29634.834462510455,0.8671750266495781
