model,horizon,point,n,mae,rmse,crps,coverage80,width80,interval_score80,coverage90,width90,interval_score90,coverage95,width95,interval_score95
B_RAW,21,ATU1,160,3.30657490337,4.52252754668,,,,,,,,,,
B_RAW,21,ATU5,160,4.61811293275,5.25265170596,,,,,,,,,,
B_RAW,21,MJ3,160,56.3528164982,64.7217738709,,,,,,,,,,
B_RAW,21,MJ1,160,17.0003885845,19.7669005892,,,,,,,,,,
B_RAW,22,ATU1,159,3.32546027987,4.53666306537,,,,,,,,,,
B_RAW,22,ATU5,159,4.62115002972,5.25892831228,,,,,,,,,,
B_RAW,22,MJ3,159,56.6533705933,64.9214294228,,,,,,,,,,
B_RAW,22,MJ1,159,17.1058078459,19.8289541861,,,,,,,,,,
B_RAW,23,ATU1,158,3.3438930105,4.5508782911,,,,,,,,,,
B_RAW,23,ATU5,158,4.62336613615,5.26459063915,,,,,,,,,,
B_RAW,23,MJ3,158,56.9564952514,65.1228243559,,,,,,,,,,
B_RAW,23,MJ1,158,17.2123328933,19.8915930483,,,,,,,,,,
B_RAW,24,ATU1,157,3.36214542597,4.56518896336,,,,,,,,,,
B_RAW,24,ATU5,157,4.6244778823,5.26938186911,,,,,,,,,,
B_RAW,24,MJ3,157,57.2611681174,65.3258354166,,,,,,,,,,
B_RAW,24,MJ1,157,17.3178955708,19.9547763515,,,,,,,,,,
B_RAW,25,ATU1,156,3.37984183965,4.57954439037,,,,,,,,,,
B_RAW,25,ATU5,156,4.62469332138,5.27344970999,,,,,,,,,,
B_RAW,25,MJ3,156,57.5678043224,65.5305331736,,,,,,,,,,
B_RAW,25,MJ1,156,17.4219439173,20.0184428453,,,,,,,,,,
B_RAW,26,ATU1,155,3.39678521833,4.59389457667,,,,,,,,,,
B_RAW,26,ATU5,155,4.62414207758,5.27688876166,,,,,,,,,,
B_RAW,26,MJ3,155,57.8766854014,65.7369735064,,,,,,,,,,
B_RAW,26,MJ1,155,17.5242517279,20.082521624,,,,,,,,,,
B_RAW,27,ATU1,154,3.41285020738,4.60818577629,,,,,,,,,,
B_RAW,27,ATU5,154,4.62290575119,5.27975874183,,,,,,,,,,
B_RAW,27,MJ3,154,58.1880413332,65.945207414,,,,,,,,,,
B_RAW,27,MJ1,154,17.6247083534,20.1469392726,,,,,,,,,,
B_RAW,28,ATU1,153,3.42867896471,4.62252636281,,,,,,,,,,
B_RAW,28,ATU5,153,4.62041426165,5.28151308529,,,,,,,,,,
B_RAW,28,MJ3,153,58.5001269453,66.154980799,,,,,,,,,,
B_RAW,28,MJ1,153,17.7250678352,20.2118387917,,,,,,,,,,
B_RAW,29,ATU1,152,3.44360447629,4.63675259501,,,,,,,,,,
B_RAW,29,ATU5,152,4.61703474119,5.28246927845,,,,,,,,,,
B_RAW,29,MJ3,152,58.8136070653,66.3664031851,,,,,,,,,,
B_RAW,29,MJ1,152,17.8243656862,20.2770925069,,,,,,,,,,
B_RAW,30,ATU1,151,3.4573063117,4.65073557029,,,,,,,,,,
B_RAW,30,ATU5,151,4.61298330602,5.28282287724,,,,,,,,,,
B_RAW,30,MJ3,151,59.1288952033,66.5795528481,,,,,,,,,,
B_RAW,30,MJ1,151,17.9222517888,20.3426166306,,,,,,,,,,
B_ANCHOR,1,ATU1,180,0.275646960214,0.398250992682,0.24615784097,0.966666666667,1.85078152351,2.0269191832,0.977777777778,2.37545236843,2.59065567451,0.983333333333,2.83052608015,3.10405290311
B_ANCHOR,1,ATU5,180,0.22080355019,0.261058834974,0.183880921679,0.994444444444,1.43802385628,1.43844048548,1,1.8456836379,1.8456836379,1,2.19926770252,2.19926770252
B_ANCHOR,1,MJ3,180,0.579571325929,0.653165697098,0.379720689826,0.794444444444,1.57800859661,2.11543849928,0.911111111111,2.02535210699,2.54368120436,0.927777777778,2.41335588813,2.93525931872
B_ANCHOR,1,MJ1,180,0.409110917384,0.595686705057,0.325009194806,0.805555555556,1.53090972357,2.33185866365,0.894444444444,1.9649013579,3.05528016985,0.933333333333,2.34132437778,3.96452129201
B_ANCHOR,2,ATU1,179,0.543981968035,0.778351749649,0.490021860751,0.960893854749,3.70401844817,4.03321880797,0.977653631285,4.75405621012,5.13595636808,0.983240223464,5.6648073723,6.13139239934
B_ANCHOR,2,ATU5,179,0.438134569546,0.517134371147,0.368520876461,1,2.90992281327,2.90992281327,1,3.73484549685,3.73484549685,1,4.45034290085,4.45034290085
B_ANCHOR,2,MJ3,179,1.16310350289,1.30372450711,0.762540002418,0.793296089385,3.21554810721,4.3092884521,0.899441340782,4.1271113149,5.16082782083,0.938547486034,4.91775645252,6.00470273747
B_ANCHOR,2,MJ1,179,0.8052255445,1.16265957848,0.640393393307,0.832402234637,3.0242556002,4.66423221996,0.888268156425,3.8815900402,6.18930343318,0.932960893855,4.6251998092,8.03107130056
B_ANCHOR,3,ATU1,178,0.804523792801,1.14243987834,0.732906648079,0.966292134831,5.60513345185,6.08913658481,0.97191011236,7.19411090096,7.72595382771,0.983146067416,8.57231186753,9.10395829701
B_ANCHOR,3,ATU5,178,0.651722653508,0.766397044259,0.552871743327,1,4.40978718862,4.40978718862,1,5.65990058168,5.65990058168,1,6.74418751578,6.74418751578
B_ANCHOR,3,MJ3,178,1.75008280362,1.95140354512,1.14565864673,0.792134831461,4.87742478482,6.47615137648,0.893258426966,6.26010693849,7.75611716187,0.949438202247,7.45937750191,9.05946746098
