model,point,n,mae,rmse
BPLUS_CONTINUOUS,ATU1,180,2.9570455475789585,4.2644162122701621
BPLUS_CONTINUOUS,ATU5,180,4.3470540930039006,5.0217083685730746
BPLUS_CONTINUOUS,MJ3,180,50.593260227976863,61.045528495170423
BPLUS_CONTINUOUS,MJ1,180,15.311142958359284,18.647526258184858
DRIFT1,ATU1,180,19.852152694411636,23.427549462855207
DRIFT1,ATU5,180,27.409000936537062,33.916040694806242
DRIFT1,MJ3,180,4.8968941749894963,5.4364986803424653
DRIFT1,MJ1,180,7.5631465685024502,9.0586256931459559
RR_COND,ATU1,180,10.996388354846642,14.723712390882454
RR_COND,ATU5,180,5.5028110025473085,6.51495354108995
RR_COND,MJ3,180,60.194878858772043,69.567135078508343
RR_COND,MJ1,180,14.814698748324465,17.960905388243525
TRANSFORMER_BRES_COND,ATU1,180,5.8329902786953287,7.074735747007491
TRANSFORMER_BRES_COND,ATU5,180,2.645579190062147,3.0080194445196091
TRANSFORMER_BRES_COND,MJ3,180,53.956543350660972,63.374005079915996
TRANSFORMER_BRES_COND,MJ1,180,15.018562700365035,18.37586368345163
TRANSFORMER_BRES_REG1,ATU1,180,4.8532706359608984,5.9935033859317715
TRANSFORMER_BRES_REG1,ATU5,180,2.8326877756597195,3.1780631579797527
TRANSFORMER_BRES_REG1,MJ3,180,52.177934836342381,62.056748138733845
TRANSFORMER_BRES_REG1,MJ1,180,15.18156425362981,18.542651433449876
