model,point,n,mae,rmse
BPLUS_CONTINUOUS,ATU1,90,4.0069887937286151,5.2878313105427983
BPLUS_CONTINUOUS,ATU5,90,3.7488418443761549,4.10689399110242
BPLUS_CONTINUOUS,MJ3,90,19.668961705438967,23.68659182480863
BPLUS_CONTINUOUS,MJ1,90,5.7616748308629493,7.2776466882918474
DRIFT1,ATU1,90,8.8884355448398402,11.958104031283048
DRIFT1,ATU5,90,9.0172827313249062,13.718623971217443
DRIFT1,MJ3,90,2.934865997682631,3.4015948490155234
DRIFT1,MJ1,90,8.1996008930353028,9.5910552218555054
RR_COND,ATU1,90,5.5818075232803146,10.411041477452914
RR_COND,ATU5,90,4.9186631142877779,5.5786031133184215
RR_COND,MJ3,90,28.353243150267108,32.329565951635502
RR_COND,MJ1,90,5.2585341755033195,6.3061531702777014
TRANSFORMER_BRES_COND,ATU1,90,5.8660301601842191,7.1129892232468404
TRANSFORMER_BRES_COND,ATU5,90,2.5414572386175869,3.0053158013375278
TRANSFORMER_BRES_COND,MJ3,90,23.88867971167107,27.922637983377076
TRANSFORMER_BRES_COND,MJ1,90,5.2057103416584898,6.3591921462196721
TRANSFORMER_BRES_REG1,ATU1,90,4.9499574783468496,6.3302902822583764
TRANSFORMER_BRES_REG1,ATU5,90,2.6285258060042267,3.1237262921478428
TRANSFORMER_BRES_REG1,MJ3,90,21.779346476618208,25.847969483277897
TRANSFORMER_BRES_REG1,MJ1,90,5.4113963575089361,6.6875811855751213
