phase,candidate,reference,metric,difference,lower,upper,n,block_length,replicates,seed,confidence
development,C18_PHYS,B_ANCHOR,mae,-6.15892061442,-8.92297695177,-3.75709656968,347,30,2000,20260913,0.95
development,C18_PHYS,B_ANCHOR,rmse,-9.44834951356,-12.2226444833,-5.7159453202,347,30,2000,20260913,0.95
development,C18_PHYS,B_ANCHOR,pooled_rmse,-9.72710160693,-12.8853683222,-5.90492969064,347,30,2000,20260913,0.95
development,C18_PHYS,B_ANCHOR,crps,-5.51956851157,-7.55876202859,-3.83969194316,347,30,2000,20260913,0.95
development,C18_PHYS,B_ANCHOR,coverage90,0.000720461095101,-0.0850144092219,0.0994236311239,347,30,2000,20260913,0.95
development,C18_PHYS,B_ANCHOR,width90,-38.161089115,-48.1378003817,-29.5701435914,347,30,2000,20260913,0.95
development,C18_PHYS,B_ANCHOR,interval_score90,-64.728546074,-101.15035108,-41.3734341238,347,30,2000,20260913,0.95
development,C18_PHYS,DRIFT1,mae,-0.536223592485,-0.749831059781,-0.336406056045,347,30,2000,20260913,0.95
development,C18_PHYS,DRIFT1,rmse,-0.703884268303,-0.947750548412,-0.418926205177,347,30,2000,20260913,0.95
development,C18_PHYS,DRIFT1,pooled_rmse,-0.711233238303,-0.977701934589,-0.416776838549,347,30,2000,20260913,0.95
development,C18_PHYS,DRIFT1,crps,-1.42902974775,-1.992161226,-0.998627354978,347,30,2000,20260913,0.95
development,C18_PHYS,DRIFT1,coverage90,-0.0655619596542,-0.123919308357,-0.00792507204611,347,30,2000,20260913,0.95
development,C18_PHYS,DRIFT1,width90,-19.6336336627,-28.1129906757,-13.3746150496,347,30,2000,20260913,0.95
development,C18_PHYS,DRIFT1,interval_score90,-19.6705922658,-27.9252463548,-13.5575183535,347,30,2000,20260913,0.95
development,C18_PHYS,C18_CORE,mae,0.0402474152169,0.010630100885,0.0845966432395,347,30,2000,20260913,0.95
