model,horizon,n_per_point,mae,rmse,crps,coverage80,width80,interval_score80,coverage90,width90,interval_score90,coverage95,width95,interval_score95,pooled_rmse,candidate_number,phase,passed,passed_count,simple_baseline,failed_checks,source,b_anchor_mae,b_anchor_rmse,b_anchor_pooled_rmse,b_anchor_crps,b_anchor_coverage90,b_anchor_width90,b_anchor_interval_score90,simple_mae,simple_rmse,simple_pooled_rmse,simple_crps,simple_coverage90,simple_width90,simple_interval_score90
C1_DIRECT,30,347,7.13050226878,9.57894632509,5.34134507386,0.850864553314,26.9454440832,37.4537361272,0.899855907781,34.5841030682,48.9273201126,0.930115273775,41.2095005541,63.0605936816,9.65672335751,1,development,False,17,DRIFT14,average_mae_improves_5pct;average_rmse_improves_5pct;ATU1_mae_nonregression;ATU1_rmse_nonregression;ATU1_crps_guard;ATU1_coverage90;ATU5_mae_nonregression;MJ3_mae_nonregression;beats_simple_rmse;beats_simple_crps,results/ootang_rolling_v3/20260913/c1_direct_run2/development,6.58561925077,10.022371312,10.3142725914,5.77342000636,0.896253602305,40.7153374867,64.1474057858,1.25381275749,1.67436465134,1.69420639167,2.66218549805,0.96469740634,34.2878801154,35.0882205181
C2_EXPERT,30,347,1.25589657798,1.67694122444,1.81629889429,0.912103746398,15.7235241406,16.7973330217,0.943804034582,20.1809247528,21.6570102797,0.956772334294,24.047055034,26.2398793739,1.69667375162,2,development,False,24,DRIFT1,ATU1_coverage90;ATU5_coverage90;beats_simple_rmse,results/ootang_rolling_v3/20260913/c2_expert/development,6.58561925077,10.022371312,10.3142725914,5.77342000636,0.896253602305,40.7153374867,64.1474057858,0.96292222884,1.27790606672,1.29840422282,2.08136744563,0.965417867435,26.8995081653,27.5145528288
C3_RIDGE_FULL,30,347,0.646549429573,1.11051021417,0.556978800045,0.78530259366,2.64380393363,4.34885381015,0.842219020173,3.3932856126,6.0227264885,0.89409221902,4.04334919593,8.3423812119,1.39181469386,3,development,False,25,DRIFT1,average_coverage90;MJ3_coverage90,results/ootang_rolling_v3/20260913/c3_ridge/development,6.58561925077,10.022371312,10.3142725914,5.77342000636,0.896253602305,40.7153374867,64.1474057858,0.96292222884,1.27790606672,1.29840422282,2.08136744563,0.965417867435,26.8995081653,27.5145528288
C4_RIDGE_FULL,30,347,0.646549429573,1.11051021417,0.595762113787,0.809798270893,3.19753212374,4.83144761754,0.867435158501,4.10398805045,6.69940058132,0.889048991354,4.89020338349,9.21830352597,1.39181469386,4,development,True,27,DRIFT1,,results/ootang_rolling_v3/20260913/c4_feedback/development,6.58561925077,10.022371312,10.3142725914,5.87037018493,0.89265129683,40.7989363254,68.0887194755,0.96292222884,1.27790606672,1.29840422282,1.77983142111,0.958933717579,22.2714808731,23.0307656673
C4_RIDGE_FULL,30,264,1.03482445912,1.7538543457,0.820455297495,0.743371212121,3.14547804451,6.11119996828,0.803977272727,4.03717736306,8.4966798992,0.839962121212,4.81059353924,11.8950243261,2.14534060082,4,original_transfer,False,24,DRIFT1,average_coverage90;ATU1_coverage90;ATU5_coverage90,results/ootang_rolling_v3/20260913/c4_transfer/transfer,3.55631367119,5.50596339717,5.90614069066,3.44289213102,0.882575757576,27.6157674465,38.2888265979,2.30982894022,4.06165937868,4.92710217755,2.58414532805,0.88446969697,20.1450027119,31.772300595
C5_RIDGE_FULL,30,347,0.646549429573,1.11051021417,15.6544020162,0.896253602305,170.387737104,170.750521863,0.9265129683,218.690293,219.143936904,0.947406340058,260.585556688,261.174567944,1.39181469386,5,development,False,20,DRIFT1,average_crps_improves_5pct;average_interval_score90_improves_5pct;ATU1_coverage90;ATU5_crps_guard;ATU5_interval_score90_guard;ATU5_coverage90;beats_simple_crps,results/ootang_rolling_v3/20260913/c5_crossfit/development,6.58561925077,10.022371312,10.3142725914,5.87037018493,0.89265129683,40.7989363254,68.0887194755,0.96292222884,1.27790606672,1.29840422282,1.77983142111,0.958933717579,22.2714808731,23.0307656673
C6_RIDGE_FULL,30,347,0.646549429573,1.11051021417,0.587447209253,0.807636887608,3.09856079664,4.67784503911,0.868876080692,3.97695972735,6.44931193145,0.900576368876,4.7388398006,8.81255893731,1.39181469386,6,development,True,27,DRIFT1,,results/ootang_rolling_v3/20260913/c6_recent/development,6.58561925077,10.022371312,10.3142725914,5.87037018493,0.89265129683,40.7989363254,68.0887194755,0.96292222884,1.27790606672,1.29840422282,1.77983142111,0.958933717579,22.2714808731,23.0307656673
C7_EMP_FULL,30,347,0.646549429573,1.11051021417,0.523923206125,0.718299711816,2.09337974385,4.09021612071,0.815561959654,2.85083196415,5.86173703345,0.85734870317,3.80640195871,8.88413121105,1.39181469386,7,development,False,25,DRIFT1,average_coverage90;MJ3_coverage90,results/ootang_rolling_v3/20260913/c7_empirical/development/empirical,6.58561925077,10.022371312,10.3142725914,5.76936259576,0.755763688761,25.0894829668,71.533736887,0.96292222884,1.27790606672,1.29840422282,0.793254858594,0.817723342939,4.82264595306,8.55159699955
C7_EMP_FULL,30,264,1.03482445912,1.7538543457,0.823602615585,0.724431818182,2.50186547102,6.28922625393,0.768939393939,3.09003062285,9.43354555291,0.799242424242,3.7014876031,14.9968414556,2.14534060082,7,later_exploratory,False,24,DRIFT1,average_coverage90;ATU1_coverage90;ATU5_coverage90,results/ootang_rolling_v3/20260913/c7_empirical/later_exploratory/empirical,3.55631367119,5.50596339717,5.90614069066,3.60718831862,0.737689393939,15.971362203,40.4514679249,2.30982894022,4.06165937868,4.92710217755,1.9455564771,0.74053030303,5.01260687063,26.4411925216
C8_ONLINE_FULL,30,347,0.611422275804,1.07806575753,0.573748092144,0.810518731988,3.10462973122,4.6747480722,0.872478386167,3.98474912054,6.46787136972,0.89121037464,4.74812143507,8.91743966058,1.34599421145,8,development,True,27,DRIFT1,,results/ootang_rolling_v3/20260913/c8_online/development,6.58561925077,10.022371312,10.3142725914,5.87037018493,0.89265129683,40.7989363254,68.0887194755,0.96292222884,1.27790606672,1.29840422282,1.77983142111,0.958933717579,22.2714808731,23.0307656673
C8_ONLINE_FULL,30,264,1.03430954381,1.75194289544,0.819848849216,0.744318181818,3.14529054644,6.1061630602,0.803977272727,4.03693671189,8.48999461054,0.839962121212,4.81030678568,11.8873418305,2.14278147631,8,later_exploratory,False,24,DRIFT1,average_coverage90;ATU1_coverage90;ATU5_coverage90,results/ootang_rolling_v3/20260913/c8_online/later_exploratory,3.55631367119,5.50596339717,5.90614069066,3.44289213102,0.882575757576,27.6157674465,38.2888265979,2.30982894022,4.06165937868,4.92710217755,2.58414532805,0.88446969697,20.1450027119,31.772300595
C9_HORIZON_FULL,30,347,0.611422275804,1.07806575753,0.586070506345,0.826368876081,3.38364135827,4.85722149043,0.880403458213,4.34285666694,6.63494890452,0.912824207493,5.17483289562,8.99725850847,1.34599421145,9,development,True,27,DRIFT1,,results/ootang_rolling_v3/20260913/c9_horizon/development,6.58561925077,10.022371312,10.3142725914,5.87037018493,0.89265129683,40.7989363254,68.0887194755,0.96292222884,1.27790606672,1.29840422282,1.77983142111,0.958933717579,22.2714808731,23.0307656673
C9_HORIZON_FULL,30,264,1.03430954381,1.75194289544,0.867594755007,0.783143939394,4.66016594914,6.69511185439,0.825757575758,5.98125824175,8.94746009041,0.860795454545,7.12710878584,11.4946161275,2.14278147631,9,later_exploratory,False,25,DRIFT1,average_coverage90;ATU5_coverage90,results/ootang_rolling_v3/20260913/c9_horizon/later_exploratory,3.55631367119,5.50596339717,5.90614069066,3.44289213102,0.882575757576,27.6157674465,38.2888265979,2.30982894022,4.06165937868,4.92710217755,2.58414532805,0.88446969697,20.1450027119,31.772300595
C10_FORGET_FULL,30,347,0.634352796431,1.10606306837,0.604896793454,0.798991354467,3.31270429466,5.00613848088,0.848703170029,4.25180993148,6.88921430358,0.889048991354,5.06634401886,9.46125451654,1.35870251078,10,development,False,26,DRIFT1,average_coverage90,results/ootang_rolling_v3/20260913/c10_forgetting/development,6.58561925077,10.022371312,10.3142725914,5.87037018493,0.89265129683,40.7989363254,68.0887194755,0.96292222884,1.27790606672,1.29840422282,1.77983142111,0.958933717579,22.2714808731,23.0307656673
C10_FORGET_FULL,30,264,1.11018852744,1.91442844095,0.873095649151,0.738636363636,3.2828953524,6.48974947427,0.796401515152,4.21355056829,8.93586738164,0.837121212121,5.02075517576,12.3201755546,2.34896508673,10,later_exploratory,False,24,DRIFT1,average_coverage90;ATU1_coverage90;ATU5_coverage90,results/ootang_rolling_v3/20260913/c10_forgetting/later_exploratory,3.55631367119,5.50596339717,5.90614069066,3.44289213102,0.882575757576,27.6157674465,38.2888265979,2.30982894022,4.06165937868,4.92710217755,2.58414532805,0.88446969697,20.1450027119,31.772300595
C11_PHYS,30,347,0.421468927406,0.551378749935,0.34004167816,0.815561959654,1.88294416225,2.55588346719,0.873198847262,2.43999643617,3.35175406219,0.901296829971,2.98486420489,4.30216681836,0.559035777544,11,development,True,27,DRIFT1,,results/ootang_rolling_v3/20260913/c11_mixture/development,6.58561925077,10.022371312,10.3142725914,5.87037018493,0.89265129683,40.7989363254,68.0887194755,0.96292222884,1.27790606672,1.29840422282,1.77983142111,0.958933717579,22.2714808731,23.0307656673
C11_PHYS,30,264,1.0175147558,1.72978703875,0.821190667272,0.743371212121,3.78233052578,6.16206138186,0.813446969697,5.01600580028,8.62873322551,0.842803030303,6.57573864531,12.0893895583,2.11773433868,11,later_exploratory,False,25,DRIFT1,average_coverage90;ATU5_coverage90,results/ootang_rolling_v3/20260913/c11_mixture/later_exploratory,3.55631367119,5.50596339717,5.90614069066,3.44289213102,0.882575757576,27.6157674465,38.2888265979,2.30982894022,4.06165937868,4.92710217755,2.58414532805,0.88446969697,20.1450027119,31.772300595
C12_PHYS,30,347,0.421468927406,0.551378749935,0.346179127491,0.822766570605,1.96603807053,2.61708621868,0.882564841499,2.67019467265,3.56440766841,0.901296829971,4.86527919949,6.18669589505,0.559035777544,12,development,True,27,DRIFT1,,results/ootang_rolling_v3/20260913/c12_interval/development,6.58561925077,10.022371312,10.3142725914,5.87037018493,0.89265129683,40.7989363254,68.0887194755,0.96292222884,1.27790606672,1.29840422282,1.77983142111,0.958933717579,22.2714808731,23.0307656673
C12_PHYS,30,264,1.0175147558,1.72978703875,0.822012245468,0.742424242424,3.79633193941,6.17333087324,0.813446969697,5.22976154906,8.67757646564,0.857007575758,7.51467170184,11.8300387535,2.11773433868,12,later_exploratory,False,25,DRIFT1,average_coverage90;ATU5_coverage90,results/ootang_rolling_v3/20260913/c12_interval/later_exploratory,3.55631367119,5.50596339717,5.90614069066,3.44289213102,0.882575757576,27.6157674465,38.2888265979,2.30982894022,4.06165937868,4.92710217755,2.58414532805,0.88446969697,20.1450027119,31.772300595
