phase,model,rule,point,n,mae,rmse,crps,coverage80,width80,interval_score80,coverage90,width90,interval_score90,coverage95,width95,interval_score95
development,BPLUS_CONTINUOUS,LAST90,ATU1,376,35.97756723316947,40.32844281407931,34.39635427657276,0.05053191489361702,7.432703563601535,330.9616951815128,0.05319148936170213,9.539771744923737,636.5946254709688,0.05319148936170213,11.367339156759499,1230.8699190230222
development,BPLUS_CONTINUOUS,LAST90,ATU5,376,43.55499084906866,48.518020357563614,40.59143582169937,0.1702127659574468,14.850198314250747,381.1846502329018,0.18351063829787234,19.060023189752656,717.0879943255243,0.18882978723404256,22.71141844131739,1359.3410340202095
development,BPLUS_CONTINUOUS,LAST90,MJ3,376,20.525886341157616,36.377155092530664,25.335082863265963,1.0,212.78477852195917,212.78477852195917,1.0,273.1063065442677,273.1063065442677,1.0,325.42623611414683,325.42623611414683
development,BPLUS_CONTINUOUS,LAST90,MJ1,376,33.00210298445224,40.249869223585414,23.817619101911585,0.7127659574468085,64.9682856125348,155.36447252037513,0.7553191489361702,83.38589183587393,215.6119805169967,0.7845744680851063,99.36041854372687,290.1025458490637
development,BPLUS_CONTINUOUS,DIST90,ATU1,376,35.97756723316947,40.32844281407931,34.39635427657276,0.05053191489361702,7.432703563601535,330.9616951815128,0.05319148936170213,9.539771744923737,636.5946254709688,0.05319148936170213,11.367339156759499,1230.8699190230222
development,BPLUS_CONTINUOUS,DIST90,ATU5,376,43.55499084906866,48.518020357563614,40.59143582169937,0.1702127659574468,14.850198314250747,381.1846502329018,0.18351063829787234,19.060023189752656,717.0879943255243,0.18882978723404256,22.71141844131739,1359.3410340202095
development,BPLUS_CONTINUOUS,DIST90,MJ3,376,20.525886341157616,36.377155092530664,25.335082863265963,1.0,212.78477852195917,212.78477852195917,1.0,273.1063065442677,273.1063065442677,1.0,325.42623611414683,325.42623611414683
development,BPLUS_CONTINUOUS,DIST90,MJ1,376,33.00210298445224,40.249869223585414,23.817619101911585,0.7127659574468085,64.9682856125348,155.36447252037513,0.7553191489361702,83.38589183587393,215.6119805169967,0.7845744680851063,99.36041854372687,290.1025458490637
development,BPLUS_CONTINUOUS,DIST90_UNIT,ATU1,376,35.97756723316947,40.32844281407931,34.15653107446076,0.05053191489361702,8.606118012809166,326.56451178009377,0.05319148936170213,11.045832885644359,623.8411715559304,0.05851063829787234,13.161921693442991,1198.779877020375
development,BPLUS_CONTINUOUS,DIST90_UNIT,ATU5,376,43.55499084906866,48.518020357563614,40.07219454714636,0.17819148936170212,17.772452598526797,372.0593597869731,0.18882978723404256,22.810695958291035,690.320194102074,0.19680851063829788,27.18062069960888,1291.7033041880447
development,BPLUS_CONTINUOUS,DIST90_UNIT,MJ3,376,20.525886341157616,36.377155092530664,26.59234592229804,1.0,231.13809520361383,231.13809520361383,1.0,296.6625334820269,296.6625334820269,1.0,353.4952117683692,353.4952117683692
development,BPLUS_CONTINUOUS,DIST90_UNIT,MJ1,376,33.00210298445224,40.249869223585414,23.15466350282965,0.75,80.35781204598199,150.23164279101238,0.7925531914893617,103.1381351725392,190.50345600242292,0.8377659574468085,122.89666816460415,224.22674567993508
development,DRIFT1,LAST90,ATU1,376,7.994515349239313,9.331784187716098,8.329189100784951,1.0,79.19548603936869,79.19548603936869,1.0,101.64630589381217,101.64630589381217,1.0,121.11904393745233,121.11904393745233
