phase,model,rule,seed,point,n,mae,rmse,crps,coverage80,width80,interval_score80,coverage90,width90,interval_score90,coverage95,width95,interval_score95
development,TRANSFORMER_BRES_COND,LAST90,0,ATU1,376,43.88785682420391,53.17372867881854,40.42013875157073,0.21010638297872342,18.034696701390427,376.46185364695083,0.2154255319148936,23.147282620380338,699.7444654622501,0.21808510638297873,27.581688444824678,1311.2494888181004
development,TRANSFORMER_BRES_COND,LAST90,0,ATU5,376,46.800564234477676,57.2218547233863,45.23155045610362,0.10106382978723404,7.716787550011077,439.2601335256224,0.13297872340425532,9.904389594074473,853.675636322754,0.1595744680851064,11.801808121502745,1667.02316243969
development,TRANSFORMER_BRES_COND,LAST90,0,MJ3,376,30.89183782759233,43.01873038520986,27.971518394712138,1.0,218.2833390540063,218.2833390540063,1.0,280.1636325835102,280.1636325835102,1.0,333.8355587659794,333.8355587659794
development,TRANSFORMER_BRES_COND,LAST90,0,MJ1,376,34.38427007628433,43.54863276205232,25.530577631493127,0.6888297872340425,64.58335380805211,183.94672902142716,0.7127659574468085,82.89183721352765,266.70318037838854,0.7367021276595744,98.77171615080398,379.2577065566869
development,TRANSFORMER_BRES_COND,LAST90,1,ATU1,376,38.66165630186005,44.698919828897814,35.03902214012074,0.18085106382978725,18.03469670139043,320.2042920631436,0.20212765957446807,23.147282620380338,586.3852665863214,0.21010638297872342,27.581688444824668,1083.677489687447
development,TRANSFORMER_BRES_COND,LAST90,1,ATU5,376,45.86480556860247,54.32600568830222,44.34401477201117,0.1675531914893617,7.716787550011077,430.85680470859245,0.19946808510638298,9.904389594074473,838.271893333069,0.2127659574468085,11.801808121502745,1638.4285468275752
development,TRANSFORMER_BRES_COND,LAST90,1,MJ3,376,28.38099093025439,40.2334811061741,27.018285406077275,1.0,218.2833390540063,218.2833390540063,1.0,280.1636325835102,280.1636325835102,1.0,333.8355587659794,333.8355587659794
development,TRANSFORMER_BRES_COND,LAST90,1,MJ1,376,39.32124378873354,46.871447342216776,28.996964726305627,0.5904255319148937,64.58335380805211,194.8844723061163,0.6914893617021277,82.89183721352767,281.06512595156437,0.726063829787234,98.77171615080398,401.827416952607
development,TRANSFORMER_BRES_COND,LAST90,2,ATU1,376,48.35632273741276,52.26470903816729,44.62547327470835,0.0797872340425532,18.034696701390423,415.5375896890987,0.0851063829787234,23.147282620380327,771.2557092017548,0.0851063829787234,27.581688444824685,1442.65834992625
development,TRANSFORMER_BRES_COND,LAST90,2,ATU5,376,52.6060963794542,56.33668533332376,50.92426562693118,0.013297872340425532,7.716787550011077,495.4654641589773,0.026595744680851064,9.904389594074473,963.9650951126125,0.02925531914893617,11.801808121502745,1883.0724734128153
