strategy,part,station,days,mae_mm,rmse_mm,crps_mm,coverage_80,width_80_mm,interval_score_80_mm,coverage_90,width_90_mm,interval_score_90_mm,coverage_95,width_95_mm,interval_score_95_mm
M0,train,ATU1,762,7.991466305348947,12.120612203379448,,,,,,,,,,
M0,train,ATU5,762,12.371456182607597,16.622195814887355,,,,,,,,,,
M0,train,MJ3,762,11.418872997231952,14.54692253646293,,,,,,,,,,
M0,train,MJ1,762,6.5435846254109,8.039703889952264,,,,,,,,,,
M0,prediction,ATU1,376,35.97756723316947,40.32844281407931,,,,,,,,,,
M0,prediction,ATU5,376,43.55499084906866,48.518020357563614,,,,,,,,,,
M0,prediction,MJ3,376,20.525886341157616,36.377155092530664,,,,,,,,,,
M0,prediction,MJ1,376,33.00210298445224,40.249869223585414,,,,,,,,,,
v1.1-e0,train,ATU1,762,7.991466305348945,12.120612203379448,6.098811647234664,0.9251968503937008,33.893500099613846,46.17878651826334,0.9422572178477691,43.50183614124878,61.82392206587917,0.9553805774278216,51.835635679296544,79.79251607664143
v1.1-e0,train,ATU5,762,12.3714561826076,16.622195814887355,8.891175617286326,0.7440944881889764,33.89350009961386,57.584214920748195,0.8871391076115486,43.50183614124876,73.11628291612752,0.9330708661417323,51.83563567929657,97.45381633592123
v1.1-e0,train,MJ3,762,11.418872997231952,14.54692253646293,8.363246865286937,0.65748031496063,33.89350009961379,53.54590724803453,0.7545931758530183,43.50183614124824,53.720475699854546,0.968503937007874,51.835635679296765,52.73928919069255
v1.1-e0,train,MJ1,762,6.5435846254109045,8.039703889952268,4.905674619629007,0.9671916010498688,33.893500099613995,34.24822699097257,1.0,43.501836141248894,43.501836141248894,1.0,51.835635679296864,51.835635679296864
v1.1-e0,prediction,ATU1,376,35.97756723316947,40.3284428140793,29.68036479893525,0.2047872340425532,33.8935000996139,245.34862139184128,0.21010638297872342,43.50183614124886,390.37215448761157,0.2154255319148936,51.835635679296686,614.3918689631907
v1.1-e0,prediction,ATU5,376,43.554990849068666,48.518020357563614,37.37794887783971,0.2074468085106383,33.893500099614066,323.29287911314185,0.2127659574468085,43.50183614124882,546.5177285589543,0.2154255319148936,51.83563567929679,926.9038959353436
v1.1-e0,prediction,MJ3,376,20.525886341157616,36.377155092530664,18.609021218406333,0.7287234042553191,33.893500099613625,167.37684802606904,0.7393617021276596,43.5018361412478,284.89388059468445,0.7446808510638298,51.83563567929668,491.6077796731494
v1.1-e0,prediction,MJ1,376,33.00210298445225,40.249869223585414,26.79504843175212,0.21808510638297873,33.89350009961388,214.32216949345437,0.2872340425531915,43.50183614124873,331.97105584598455,0.3696808510638298,51.83563567929687,516.5515044442226
BPLUS_GP,train,ATU1,762,5.033195944368387e-05,0.00015078351022838153,0.004003626991369121,1.0,0.04390489161304101,0.04390489161304101,1.0,0.05635131853871872,0.05635131853871872,1.0,0.0671467374800874,0.0671467374800874
BPLUS_GP,train,ATU5,762,0.00011915163438698379,0.00035923846545340635,0.0054880624527856876,1.0,0.06016756142106046,0.06016756142106046,1.0,0.07722422934598348,0.07722422934598348,1.0,0.09201834472486262,0.09201834472486262
BPLUS_GP,train,MJ3,762,0.0008766680925287178,0.0038240940094523956,0.004465473966022389,0.9973753280839895,0.04674958242119099,0.04764555365424379,0.9973753280839895,0.060002439677665574,0.06143761683492281,0.9986876640419947,0.07149731664993711,0.07389588514114695
BPLUS_GP,train,MJ1,762,0.0007143018613670616,0.0017813589804036153,0.0025029109488833245,0.9973753280839895,0.02636779031368243,0.026620546296931384,0.9986876640419947,0.0338426926144114,0.03424064988609919,0.9986876640419947,0.04032605545932748,0.04095165226833841
BPLUS_GP,prediction,ATU1,376,35.75631153140056,40.27921555147938,23.392186995386734,0.7207446808510638,89.78998555039779,117.29317094354477,0.9148936170212766,115.24419925531465,121.05793055856435,1.0,137.3219330827695,137.3219330827695
BPLUS_GP,prediction,ATU5,376,43.483366904473655,48.506861451440464,30.398452552396183,0.3324468085106383,79.86230466662992,174.84541087879197,0.574468085106383,102.50215873822434,165.44978631668891,0.9095744680851063,122.13885535276293,134.28501157373083
BPLUS_GP,prediction,MJ3,376,20.386362966830657,36.312989784459624,18.23993708690545,0.7154255319148937,20.029029695774078,166.5535125029665,0.726063829787234,25.706981407796587,299.4563057784596,0.7313829787234043,30.63175763684821,545.7070688751264
BPLUS_GP,prediction,MJ1,376,31.91578204365416,39.69142103637958,28.67592294095684,0.034574468085106384,14.749562478162588,260.20724254903666,0.05319148936170213,18.930858566716353,468.16334336280494,0.06382978723404255,22.557509272451355,848.9074395138691
