origin,strategy,part,station,days,rmse_mm,mae_mm,bias_mm,demand_mean_mm,correction_mean_mm,active_days,opposed_days,opposed_fraction
342,HH,train,MJ3,312,1.4871941051607234,1.0895680610796659,-3.643808901333847e-16,-0.03036266442154629,-0.030362664421546653,312,28,0.08974358974358974
342,HH,train,MJ1,312,1.404465009171104,1.0699411183953949,-3.643808901333847e-16,0.3579833484915808,0.3579833484915804,312,26,0.08333333333333333
342,HH,forward,ATU1,90,33.01769889316153,30.753022159780066,-30.753022159780066,34.457168222146095,3.7041460623660294,90,28,0.3111111111111111
342,HH,forward,ATU5,90,45.29613169160848,41.75544473453377,-41.75544473453377,46.91841362053971,5.162968886005946,90,20,0.2222222222222222
342,HH,forward,MJ3,90,26.132642681432806,20.884274280617106,-20.884274280617106,17.52353835133575,-3.3607359292813572,90,78,0.8666666666666667
342,HH,forward,MJ1,90,4.063933163133047,3.286534129038464,3.2097376261699626,2.6991776113203945,5.908915237490357,90,22,0.24444444444444444
342,HHS,train,ATU1,312,2.6363782999788654,1.9867213613819035,5.055784850600713e-15,-6.243179225618292,-6.243179225618286,312,2,0.00641025641025641
342,HHS,train,ATU5,312,2.8335679944205876,2.200862227073843,2.7100828703670486e-15,-6.990130423634373,-6.990130423634371,312,3,0.009615384615384616
342,HHS,train,MJ3,312,1.3926718345422968,1.0212951267435266,2.9150471210670776e-15,-0.03036266442154629,-0.030362664421543374,312,22,0.07051282051282051
342,HHS,train,MJ1,312,1.0039975697341725,0.7634167967482725,-1.8219044506669234e-15,0.3579833484915808,0.357983348491579,312,21,0.0673076923076923
342,HHS,forward,ATU1,90,23.331215287859028,20.114284794657287,-20.09212609883011,34.457168222146095,14.365042123315986,90,1,0.011111111111111112
342,HHS,forward,ATU5,90,46.6837416474431,39.96309357162987,-39.96309357162987,46.91841362053971,6.955320048909842,90,1,0.011111111111111112
342,HHS,forward,MJ3,90,25.51608841411325,19.618813867358185,-19.588215929039535,17.52353835133575,-2.0646775777037876,90,73,0.8111111111111111
342,HHS,forward,MJ1,90,3.1022642912560094,2.2156059108496087,-1.7838447954175334,2.6991776113203945,0.915332815902861,90,13,0.14444444444444443
432,P0,train,ATU1,402,9.663759325541799,7.424712228000846,0.028416898084577695,-0.028416898084577695,0.0,0,0,
432,P0,train,ATU5,402,4.005363489196314,2.893415141871011,0.27360303003619796,-0.27360303003619796,0.0,0,0,
432,P0,train,MJ3,402,6.545388968296211,5.642903753780936,0.2836226039307987,-0.2836226039307987,0.0,0,0,
432,P0,train,MJ1,402,8.277645765670897,6.927245936145315,-1.4748320227623013,1.4748320227623013,0.0,0,0,
432,P0,forward,ATU1,180,55.386000418770955,54.513970896972424,-54.513970896972424,54.513970896972424,0.0,0,0,
432,P0,forward,ATU5,180,140.06419011407704,134.6063919201048,-134.6063919201048,134.6063919201048,0.0,0,0,
432,P0,forward,MJ3,180,14.720515018928182,12.545990697413949,9.369023589531562,-9.369023589531562,0.0,0,0,
432,P0,forward,MJ1,180,21.877992443612733,18.144087691792183,17.989047984031647,-17.989047984031647,0.0,0,0,
432,C,train,ATU1,402,9.663717544604628,7.419622634314056,1.1312123156379704e-15,-0.028416898084577695,-0.028416898084576318,402,165,0.41044776119402987
432,C,train,ATU5,402,3.9960077655757744,2.895819042907936,1.908920782639075e-15,-0.27360303003619796,-0.273603030036196,402,198,0.4925373134328358
432,C,train,MJ3,402,6.5392411612383015,5.59455480328209,1.838220012911702e-14,-0.2836226039307987,-0.2836226039307803,402,164,0.4079601990049751
432,C,train,MJ1,402,8.145200422737563,6.711009503935645,-4.440008338879034e-14,1.4748320227623013,1.4748320227622571,402,157,0.39054726368159204
432,C,forward,ATU1,180,55.41397013225566,54.54238779505699,-54.54238779505699,54.513970896972424,-0.02841689808457204,180,180,1.0
432,C,forward,ATU5,180,140.32715219911478,134.87999495014103,-134.87999495014103,134.6063919201048,-0.2736030300362131,180,180,1.0
432,C,forward,MJ3,180,14.541646071557615,12.423087569043943,9.085400985600781,-9.369023589531562,-0.2836226039307803,180,51,0.2833333333333333
432,C,forward,MJ1,180,23.105915496033788,19.463880006793907,19.463880006793907,-17.989047984031647,1.4748320227622571,180,155,0.8611111111111112
432,H,train,ATU1,402,7.117726289952265,5.06642760726903,-8.484092367284778e-16,-0.028416898084577695,-0.02841689808457826,402,34,0.0845771144278607
432,H,train,ATU5,402,2.954065112082324,2.142357896566111,-5.302557729552986e-16,-0.27360303003619796,-0.27360303003619857,402,115,0.2860696517412935
432,H,train,MJ3,402,4.413269272624874,3.6278505908315393,-3.959243104732897e-15,-0.2836226039307987,-0.28362260393080263,402,71,0.17661691542288557
432,H,train,MJ1,402,4.431595625942811,3.5683981577338475,-8.484092367284778e-16,1.4748320227623013,1.4748320227623004,402,41,0.10199004975124377
432,H,forward,ATU1,180,61.17090538120734,60.260969300184684,-60.260969300184684,54.513970896972424,-5.746998403212266,180,160,0.8888888888888888
432,H,forward,ATU5,180,142.69502908989853,138.2864297217385,-138.2864297217385,134.6063919201048,-3.680037801633697,180,139,0.7722222222222223
432,H,forward,MJ3,180,16.781687767300557,14.415768827257494,-1.767941992515043,-9.369023589531562,-11.136965582046603,180,51,0.2833333333333333
432,H,forward,MJ1,180,15.65699933907661,12.566396123180786,7.105926576139487,-17.989047984031647,-10.88312140789216,180,19,0.10555555555555556
432,HH,train,ATU1,402,6.882579112584401,5.020540840861253,0.0,-0.028416898084577695,-0.028416898084577414,402,35,0.08706467661691543
432,HH,train,ATU5,402,2.685052989323468,2.074738277778176,1.767519243184329e-16,-0.27360303003619796,-0.2736030300361978,402,109,0.27114427860696516
432,HH,train,MJ3,402,2.9806709411315313,2.32673347186197,2.828030789094926e-16,-0.2836226039307987,-0.2836226039307984,402,39,0.09701492537313433
432,HH,train,MJ1,402,2.7417671222992914,2.110376644487526,-2.5452277101854334e-15,1.4748320227623013,1.4748320227622986,402,42,0.1044776119402985
432,HH,forward,ATU1,180,63.86603060276132,63.07071840150523,-63.07071840150523,54.513970896972424,-8.55674750453283,180,162,0.9
432,HH,forward,ATU5,180,144.4339797847341,140.04132671044985,-140.04132671044985,134.6063919201048,-5.43493479034504,180,159,0.8833333333333333
432,HH,forward,MJ3,180,19.242120581091147,16.1762255313241,-6.677451893163944,-9.369023589531562,-16.046475482695506,180,51,0.2833333333333333
432,HH,forward,MJ1,180,15.626334336726432,13.76027300892312,1.1692170398598793,-17.989047984031647,-16.819830944171766,180,14,0.07777777777777778
432,HHS,train,ATU1,402,2.2293463426932596,1.5816729893728576,2.1510709189553282e-14,-0.028416898084577695,-0.028416898084556344,402,16,0.03980099502487562
432,HHS,train,ATU5,402,1.514041301724301,1.0603196407613604,1.1329798348811547e-14,-0.27360303003619796,-0.2736030300361867,402,39,0.09701492537313433
432,HHS,train,MJ3,402,1.2049775231699391,0.918543406732274,5.6560615781898525e-15,-0.2836226039307987,-0.283622603930793,402,11,0.02736318407960199
432,HHS,train,MJ1,402,0.9675744312235931,0.7110218601585838,1.4140153945474631e-15,1.4748320227623013,1.4748320227623026,402,19,0.0472636815920398
432,HHS,forward,ATU1,180,119.578355545583,117.69291530051079,-117.69291530051079,54.513970896972424,-63.17894440353836,180,180,1.0
432,HHS,forward,ATU5,180,137.88260569061566,134.23168058205664,-134.23168058205664,134.6063919201048,0.37471133804818985,180,82,0.45555555555555555
432,HHS,forward,MJ3,180,9.838719633747557,8.025611638323092,-3.17737316787387,-9.369023589531562,-12.54639675740543,180,51,0.2833333333333333
432,HHS,forward,MJ1,180,21.227872405952816,19.891286554617096,-19.891286554617096,-17.989047984031647,-37.880334538648746,180,25,0.1388888888888889
