origin,strategy,part,station,days,rmse_mm,mae_mm,bias_mm,demand_mean_mm,correction_mean_mm,active_days,opposed_days,opposed_fraction
252,P0,train,ATU1,222,0.8785733711218792,0.6550618619138928,-0.24696779546876804,0.24696779546876804,0.0,0,0,
252,P0,train,ATU5,222,1.4371414023155096,1.224944974292054,-0.06453646628455724,0.06453646628455724,0.0,0,0,
252,P0,train,MJ3,222,4.633068555341479,3.918120325698481,0.43813895420998755,-0.43813895420998755,0.0,0,0,
252,P0,train,MJ1,222,5.7263467655882945,4.407052270006266,2.680491921079586,-2.680491921079586,0.0,0,0,
252,P0,forward,ATU1,90,20.143712415086842,14.776644530644075,-14.451047087175862,14.451047087175862,0.0,0,0,
252,P0,forward,ATU5,90,18.886126775571665,12.17451022568308,-12.05219535537505,12.05219535537505,0.0,0,0,
252,P0,forward,MJ3,90,17.099409390534685,12.353497314122722,-12.353497314122722,12.353497314122722,0.0,0,0,
252,P0,forward,MJ1,90,16.827678275112625,13.871664771131291,-13.871664771131291,13.871664771131291,0.0,0,0,
252,C,train,ATU1,222,0.8431477192317844,0.6789295398846755,1.5043021883209328e-15,0.24696779546876804,0.24696779546876968,222,112,0.5045045045045045
252,C,train,ATU5,222,1.4356916294138131,1.2158237281174809,-5.31306730343138e-15,0.06453646628455724,0.06453646628455192,222,93,0.4189189189189189
252,C,train,MJ3,222,4.612305117324499,3.8978381992571847,-2.048411490479568e-15,-0.43813895420998755,-0.4381389542099896,222,103,0.46396396396396394
252,C,train,MJ1,222,5.060238170362201,4.1804120164281295,7.169440216678488e-15,-2.680491921079586,-2.680491921079579,222,74,0.3333333333333333
252,C,forward,ATU1,90,19.967279646237547,14.651019055342184,-14.20407929170709,14.451047087175862,0.24696779546876968,90,22,0.24444444444444444
252,C,forward,ATU5,90,18.84500828707781,12.143929423289633,-11.987658889090502,12.05219535537505,0.0645364662845509,90,23,0.25555555555555554
252,C,forward,MJ3,90,17.418578129009074,12.791636268332711,-12.791636268332711,12.353497314122722,-0.4381389542099896,90,90,1.0
252,C,forward,MJ1,90,19.097684775164595,16.552156692210872,-16.552156692210872,13.871664771131291,-2.680491921079579,90,90,1.0
252,H,train,ATU1,222,0.5322416756406437,0.4364831624412624,1.9203857723245952e-16,0.24696779546876804,0.24696779546876838,222,43,0.19369369369369369
252,H,train,ATU5,222,0.5294483780174142,0.4264055089581539,-7.361478793910948e-16,0.06453646628455724,0.06453646628455653,222,18,0.08108108108108109
252,H,train,MJ3,222,1.6952658397837108,1.3872677293842073,-3.584720108339244e-15,-0.43813895420998755,-0.43813895420999116,222,8,0.036036036036036036
252,H,train,MJ1,222,2.397559405654669,1.9457118601620655,-3.0726172357193523e-15,-2.680491921079586,-2.680491921079589,222,27,0.12162162162162163
252,H,forward,ATU1,90,20.129675609806572,14.797326327341802,-13.951551283313936,14.451047087175862,0.49949580386192355,90,42,0.4666666666666667
252,H,forward,ATU5,90,18.61797818824509,12.028062783549656,-11.623952413105869,12.05219535537505,0.42824294226918264,90,32,0.35555555555555557
252,H,forward,MJ3,90,16.513775786928964,12.694757518836427,-12.694757518836427,12.353497314122722,-0.34126020471370566,90,43,0.4777777777777778
252,H,forward,MJ1,90,18.932620003868955,16.823168586195465,-16.823168586195465,13.871664771131291,-2.9515038150641746,90,85,0.9444444444444444
252,HH,train,ATU1,222,0.3670948400249142,0.31194937370565534,2.0804179200183113e-16,0.24696779546876804,0.2469677954687684,222,37,0.16666666666666666
252,HH,train,ATU5,222,0.30576248051826393,0.23100409506507616,-1.1842378929335002e-15,0.06453646628455724,0.06453646628455609,222,10,0.04504504504504504
252,HH,train,MJ3,222,1.0912121571426385,0.8550982344622051,-1.5363086178596762e-15,-0.43813895420998755,-0.4381389542099891,222,8,0.036036036036036036
252,HH,train,MJ1,222,1.7606774524412845,1.376253916999333,-2.048411490479568e-15,-2.680491921079586,-2.680491921079588,222,13,0.05855855855855856
252,HH,forward,ATU1,90,20.398908778186453,14.979563251928948,-14.19135393718001,14.451047087175862,0.2596931499958525,90,57,0.6333333333333333
252,HH,forward,ATU5,90,18.421713654463684,11.931484537857257,-11.23761445151566,12.05219535537505,0.8145809038593909,90,24,0.26666666666666666
252,HH,forward,MJ3,90,15.794744710117628,12.488317056694626,-12.488317056694626,12.353497314122722,-0.13481974257190613,90,45,0.5
252,HH,forward,MJ1,90,18.1040972205903,16.577429886204925,-16.577429886204925,13.871664771131291,-2.705765115073637,90,72,0.8
252,HHS,train,ATU1,222,0.29448318099640575,0.23770669252085094,4.800964430811488e-17,0.24696779546876804,0.2469677954687682,222,30,0.13513513513513514
252,HHS,train,ATU5,222,0.18546443441515387,0.15043023317904178,-3.8407715446491904e-16,0.06453646628455724,0.06453646628455685,222,8,0.036036036036036036
252,HHS,train,MJ3,222,0.893903114365189,0.6958988884275221,-3.0726172357193523e-15,-0.43813895420998755,-0.4381389542099906,222,8,0.036036036036036036
252,HHS,train,MJ1,222,1.325029714216567,1.042117456136758,2.56051436309946e-15,-2.680491921079586,-2.6804919210795832,222,7,0.03153153153153153
252,HHS,forward,ATU1,90,19.677190436840895,14.517037289733905,-13.620755723695067,14.451047087175862,0.8302913634807908,90,22,0.24444444444444444
252,HHS,forward,ATU5,90,18.260840566892174,11.840912547031513,-11.309457071584255,12.05219535537505,0.7427382837907948,90,23,0.25555555555555554
252,HHS,forward,MJ3,90,14.595083224067755,10.77698421894866,-10.77698421894866,12.353497314122722,1.5765130951740591,90,30,0.3333333333333333
252,HHS,forward,MJ1,90,12.81976544661857,11.129329005145978,-11.129329005145978,13.871664771131291,2.742335765985312,90,30,0.3333333333333333
342,P0,train,ATU1,312,13.179558042950767,11.804451804431979,6.243179225618292,-6.243179225618292,0.0,0,0,
342,P0,train,ATU5,312,16.390920889788493,14.680667079357018,6.990130423634373,-6.990130423634373,0.0,0,0,
342,P0,train,MJ3,312,2.504105987575885,2.23142235801153,0.03036266442154629,-0.03036266442154629,0.0,0,0,
342,P0,train,MJ1,312,4.479916209451356,3.880559983244052,-0.3579833484915808,0.3579833484915808,0.0,0,0,
342,P0,forward,ATU1,90,38.19469539084798,34.457168222146095,-34.457168222146095,34.457168222146095,0.0,0,0,
342,P0,forward,ATU5,90,52.414974033984194,46.91841362053971,-46.91841362053971,46.91841362053971,0.0,0,0,
342,P0,forward,MJ3,90,23.31495236030119,17.610882024455858,-17.52353835133575,17.52353835133575,0.0,0,0,
342,P0,forward,MJ1,90,4.11135419743559,3.231924828050983,-2.6991776113203945,2.6991776113203945,0.0,0,0,
342,C,train,ATU1,312,11.607043696149182,9.880102076564514,-4.372570681600617e-15,-6.243179225618292,-6.243179225618296,312,95,0.30448717948717946
342,C,train,ATU5,312,14.825665727915423,12.586222990380843,4.372570681600617e-15,-6.990130423634373,-6.990130423634369,312,99,0.3173076923076923
342,C,train,MJ3,312,2.503921904856983,2.2328260574863363,7.287617802667694e-16,-0.03036266442154629,-0.03036266442154556,312,160,0.5128205128205128
342,C,train,MJ1,312,4.465590349092465,3.8468888023111933,-5.101332461867386e-14,0.3579833484915808,0.3579833484915298,312,139,0.44551282051282054
342,C,forward,ATU1,90,43.909641270216845,40.700347447764386,-40.700347447764386,34.457168222146095,-6.243179225618292,90,90,1.0
342,C,forward,ATU5,90,58.7547707618526,53.90854404417409,-53.90854404417409,46.91841362053971,-6.990130423634382,90,90,1.0
342,C,forward,MJ3,90,23.33778155873827,17.635172155993093,-17.553901015757294,17.52353835133575,-0.03036266442154556,90,81,0.9
342,C,forward,MJ1,90,3.8857256897033743,3.0727298326711914,-2.3411942628288647,2.6991776113203945,0.3579833484915298,90,22,0.24444444444444444
342,H,train,ATU1,312,3.566422277543891,2.72227006815735,6.7865940787342906e-15,-6.243179225618292,-6.243179225618285,312,1,0.003205128205128205
342,H,train,ATU5,312,4.344582616598391,3.4062033525201514,6.376665577334233e-15,-6.990130423634373,-6.990130423634366,312,4,0.01282051282051282
342,H,train,MJ3,312,1.6536628279576633,1.1825343860189077,2.1862853408003084e-15,-0.03036266442154629,-0.030362664421544103,312,28,0.08974358974358974
342,H,train,MJ1,312,2.1829671363815843,1.7861645899705814,-3.643808901333847e-15,0.3579833484915808,0.35798334849157715,312,22,0.07051282051282051
342,H,forward,ATU1,90,35.17442566516754,32.65733905571115,-32.65733905571115,34.457168222146095,1.7998291664349457,90,28,0.3111111111111111
342,H,forward,ATU5,90,49.78024882336684,46.06978473710078,-46.06978473710078,46.91841362053971,0.8486288834389294,90,40,0.4444444444444444
342,H,forward,MJ3,90,25.928012012264357,20.619309414311992,-20.619309414311992,17.52353835133575,-3.0957710629762434,90,81,0.9
342,H,forward,MJ1,90,4.563844061929283,3.879525647961341,3.769353704388602,2.6991776113203945,6.468531315708996,90,22,0.24444444444444444
342,HH,train,ATU1,312,2.8322122570501205,2.1407339598497943,2.5734400365670294e-15,-6.243179225618292,-6.24317922561829,312,1,0.003205128205128205
342,HH,train,ATU5,312,3.286973413445056,2.610120015874287,2.6189876478337028e-15,-6.990130423634373,-6.990130423634371,312,1,0.003205128205128205
