origin,seed,point,metric,TiDE_KIN,TiDE_KIN_PREFIX,effect
792,ensemble,average,mae,21.406359819043001,26.103855936351604,4.6974961173086029
792,ensemble,average,rmse,22.907124080471458,33.456763103972122,10.549639023500664
792,ensemble,average,crps,20.182304862861923,21.006304161464076,0.82399929860215337
792,ensemble,average,interval_score90,229.41683515656848,167.45630451457851,-61.960530641989976
792,ensemble,average,coverage90,1,0.78156996587030714,-0.21843003412969286
792,ensemble,average,width90,229.41683515656848,126.10298636320528,-103.31384879336321
792,ensemble,ATU1,mae,31.749748896159151,35.630638627864073,3.8808897317049222
792,ensemble,ATU1,rmse,33.15148037852574,46.602177366392368,13.450696987866628
792,ensemble,ATU1,crps,21.346359261274511,27.510436403997939,6.1640771427234284
792,ensemble,ATU1,interval_score90,203.58598966633872,218.23088602230422,14.6448963559655
792,ensemble,ATU1,coverage90,1,0.64846416382252559,-0.35153583617747441
792,ensemble,ATU1,width90,203.58598966633872,112.38953054924946,-91.196459117089262
792,ensemble,ATU5,mae,40.644592502710168,47.654269203231507,7.0096767005213394
792,ensemble,ATU5,rmse,42.805907220118193,61.397406677877854,18.59149945775966
792,ensemble,ATU5,crps,29.29590809160705,35.780722366549405,6.4848142749423552
792,ensemble,ATU5,interval_score90,303.23100634932035,218.83736007071835,-84.393646278602006
792,ensemble,ATU5,coverage90,1,0.74061433447098979,-0.25938566552901021
792,ensemble,ATU5,width90,303.23100634932035,174.30693759224096,-128.9240687570794
792,ensemble,MJ3,mae,5.9082111486301834,6.3244931117321093,0.41628196310192589
792,ensemble,MJ3,rmse,7.5636413205133364,7.6273239378203979,0.063682617307061484
792,ensemble,MJ3,crps,9.3981484709476408,4.4749473110037679,-4.923201159943873
792,ensemble,MJ3,interval_score90,123.8417148585545,34.271843729009419,-89.569871129545078
792,ensemble,MJ3,coverage90,1,0.73720136518771329,-0.26279863481228671
792,ensemble,MJ3,width90,123.8417148585545,19.230349075048707,-104.61136578350579
792,ensemble,MJ1,mae,7.3228867286724961,14.806022802578719,7.4831360739062225
792,ensemble,MJ1,rmse,8.107467402728556,18.200144433797863,10.092677031069307
792,ensemble,MJ1,crps,20.688803627618487,16.259110564305193,-4.4296930633132945
792,ensemble,MJ1,interval_score90,287.00862975206047,198.48512823628201,-88.523501515778463
792,ensemble,MJ1,coverage90,1,1,0
792,ensemble,MJ1,width90,287.00862975206047,198.48512823628201,-88.523501515778463
792,0,average,mae,28.848078702409545,29.877904357751586,1.0298256553420408
792,0,average,rmse,32.571773850637541,39.462668606528048,6.8908947558905069
792,0,average,crps,23.530774846590663,23.508655355964898,-0.022119490625765792
792,0,average,interval_score90,229.41683515656851,212.86432902496267,-16.552506131605838
792,0,average,coverage90,1,0.75085324232081907,-0.24914675767918093
792,0,average,width90,229.41683515656851,126.10298636320528,-103.31384879336323
792,0,ATU1,mae,39.318256668657384,35.179497633274451,-4.1387590353829324
792,0,ATU1,rmse,43.005822330957628,48.179147084601141,5.173324753643513
792,0,ATU1,crps,25.701639689983828,27.745521492980391,2.0438818029965624
792,0,ATU1,interval_score90,203.58598966633872,251.59155509081123,48.005565424472508
792,0,ATU1,coverage90,1,0.69283276450511944,-0.30716723549488056
792,0,ATU1,width90,203.58598966633872,112.38953054924946,-91.196459117089262
792,0,ATU5,mae,54.6108704588219,49.89810956680639,-4.7127608920155097
792,0,ATU5,rmse,61.323592852122566,66.079719617904956,4.7561267657823905
792,0,ATU5,crps,36.909086705974616,38.153691360292576,1.2446046543179605
792,0,ATU5,interval_score90,303.23100634932035,293.30151037235873,-9.9294959769616185
792,0,ATU5,coverage90,1,0.7235494880546075,-0.2764505119453925
792,0,ATU5,width90,303.23100634932035,174.30693759224096,-128.9240687570794
792,0,MJ3,mae,3.8492531009917821,10.396088745788516,6.546835644796734
792,0,MJ3,rmse,4.2363095154899977,14.164324448053284,9.9280149325632863
792,0,MJ3,crps,8.9873471208461311,8.5178467750853457,-0.46950034576078536
792,0,MJ3,interval_score90,123.8417148585545,108.07912240039876,-15.762592458155737
792,0,MJ3,coverage90,1,0.58703071672354945,-0.41296928327645055
792,0,MJ3,width90,123.8417148585545,19.230349075048707,-104.61136578350579
792,0,MJ1,mae,17.613934581167097,24.037921485136973,6.423986903969876
792,0,MJ1,rmse,21.721370703979996,29.42748327555282,7.7061125715728238
792,0,MJ1,crps,22.525025869558078,19.617561795501278,-2.9074640740568007
792,0,MJ1,interval_score90,287.00862975206053,198.48512823628201,-88.52350151577852
792,0,MJ1,coverage90,1,1,0
792,0,MJ1,width90,287.00862975206053,198.48512823628201,-88.52350151577852
792,1,average,mae,16.430827580387938,13.280683805976366,-3.1501437744115712
792,1,average,rmse,22.057384938693485,18.416387450960777,-3.640997487732708
792,1,average,crps,19.439427462953905,13.024889068824901,-6.4145383941290035
792,1,average,interval_score90,229.41683515656851,131.49607313811109,-97.920762018457424
792,1,average,coverage90,1,0.94709897610921501,-0.052901023890784993
792,1,average,width90,229.41683515656851,126.10298636320528,-103.31384879336323
792,1,ATU1,mae,19.23285544559311,14.089797891149933,-5.1430575544431765
792,1,ATU1,rmse,25.968851529377663,20.613263733471058,-5.3555877959066045
792,1,ATU1,crps,18.627841847500147,12.530076762255732,-6.097765085244415
792,1,ATU1,interval_score90,203.58598966633872,112.38953054924946,-91.196459117089262
792,1,ATU1,coverage90,1,1,0
792,1,ATU1,width90,203.58598966633872,112.38953054924946,-91.196459117089262
792,1,ATU5,mae,25.719434816648807,21.071125534739306,-4.6483092819095013
792,1,ATU5,rmse,34.296334934060567,29.689588776281536,-4.6067461577790318
792,1,ATU5,crps,26.454829417029529,18.576430170866889,-7.8783992461626404
792,1,ATU5,interval_score90,303.23100634932035,174.30693759224096,-128.9240687570794
792,1,ATU5,coverage90,1,1,0
792,1,ATU5,width90,303.23100634932035,174.30693759224096,-128.9240687570794
792,1,MJ3,mae,12.441118967673702,7.9874110734316464,-4.453707894242056
792,1,MJ3,rmse,17.117788503587931,9.0522894535326035,-8.0654990500553279
792,1,MJ3,crps,11.750793866572021,5.5556843664188795,-6.1951095001531415
792,1,MJ3,interval_score90,123.8417148585545,40.802696174671929,-83.039018683882574
792,1,MJ3,coverage90,1,0.78839590443686003,-0.21160409556313997
