origin,seed,point,metric,TiDE_KIN,TiDE_KIN_PREFIX,effect
792,1,MJ3,width90,123.8417148585545,19.230349075048707,-104.61136578350579
792,1,MJ1,mae,8.3299010916361276,9.97440072458458,1.6444996329484525
792,1,MJ1,rmse,10.846564787747779,14.3104078405579,3.4638430528101214
792,1,MJ1,crps,20.924244720713915,15.43736497575811,-5.4868797449558055
792,1,MJ1,interval_score90,287.00862975206053,198.48512823628201,-88.52350151577852
792,1,MJ1,coverage90,1,1,0
792,1,MJ1,width90,287.00862975206053,198.48512823628201,-88.52350151577852
792,2,average,mae,44.276784302746051,38.949448842518429,-5.3273354602276228
792,2,average,rmse,47.13048892371139,49.261469015031317,2.1309800913199268
792,2,average,crps,34.118027646372937,32.836450315939075,-1.281577330433862
792,2,average,interval_score90,232.95112996780986,365.63246559208659,132.68133562427673
792,2,average,coverage90,0.97184300341296925,0.63822525597269619,-0.33361774744027306
792,2,average,width90,229.41683515656851,126.10298636320528,-103.31384879336323
792,2,ATU1,mae,74.167407475067989,59.161106546395771,-15.006300928672218
792,2,ATU1,rmse,78.597916040117198,75.33731736205641,-3.2605986780607878
792,2,ATU1,crps,48.614923065408298,48.226561806321705,-0.38836125908659369
792,2,ATU1,interval_score90,217.7231689113041,566.83971940040726,349.11655048910313
792,2,ATU1,coverage90,0.88737201365187712,0.50511945392491464,-0.38225255972696248
792,2,ATU1,width90,203.58598966633872,112.38953054924946,-91.196459117089262
792,2,ATU5,mae,92.140396987051346,74.330543283433769,-17.809853703617577
792,2,ATU5,rmse,96.965722061480975,93.556387588149647,-3.4093344733313273
792,2,ATU5,crps,58.135280038999333,58.259354745226844,0.12407470622751049
792,2,ATU5,interval_score90,303.23100634932035,569.48875855702261,266.25775220770225
792,2,ATU5,coverage90,1,0.53583617747440271,-0.46416382252559729
792,2,ATU5,width90,303.23100634932035,174.30693759224096,-128.9240687570794
792,2,MJ3,mae,2.902501795313202,11.614989916144074,8.7124881208308729
792,2,MJ3,rmse,4.1529800412424382,15.16913176313223,11.016151721889791
792,2,MJ3,crps,8.9792577809064831,9.6539643449776733,0.67470656407119023
792,2,MJ3,interval_score90,123.8417148585545,127.71625617463445,3.8745413160799558
792,2,MJ3,coverage90,1,0.51194539249146753,-0.48805460750853247
792,2,MJ3,width90,123.8417148585545,19.230349075048707,-104.61136578350579
792,2,MJ1,mae,7.8968309535516479,10.691155624100077,2.7943246705484288
792,2,MJ1,rmse,8.8053375520049357,12.983039346786954,4.1777017947820188
792,2,MJ1,crps,20.742649700177651,15.205920367230073,-5.5367293329475782
792,2,MJ1,interval_score90,287.00862975206053,198.48512823628201,-88.52350151577852
792,2,MJ1,coverage90,1,1,0
792,2,MJ1,width90,287.00862975206053,198.48512823628201,-88.52350151577852
972,ensemble,average,mae,4.5060803398446163,8.8587547205736747,4.3526743807290584
972,ensemble,average,rmse,5.5340821410410443,10.206790954674752,4.6727088136337072
972,ensemble,average,crps,7.403384298644121,7.7187936134479997,0.31540931480387879
972,ensemble,average,interval_score90,101.8712640804434,86.743483818501161,-15.127780261942235
972,ensemble,average,coverage90,0.87116040955631402,0.87542662116040959,0.0042662116040955711
972,ensemble,average,width90,78.392296096874645,75.822133989219452,-2.570162107655193
972,ensemble,ATU1,mae,2.0190747067655237,12.519282194374272,10.500207487608748
972,ensemble,ATU1,rmse,2.3676720935071289,14.518681654200341,12.151009560693211
972,ensemble,ATU1,crps,8.2315698699106417,9.7050495322901611,1.4734796623795194
972,ensemble,ATU1,interval_score90,114.97513147516409,98.137322223625361,-16.837809251538729
972,ensemble,ATU1,coverage90,1,1,0
972,ensemble,ATU1,width90,114.97513147516409,98.137322223625361,-16.837809251538729
972,ensemble,ATU5,mae,5.2435798915656546,10.686686302045736,5.4431064104800813
972,ensemble,ATU5,rmse,6.4263268603548003,11.907304352217368,5.4809774918625678
972,ensemble,ATU5,crps,11.078593365562304,11.332703353508997,0.25410998794669304
972,ensemble,ATU5,interval_score90,150.91466474882327,141.14229117690684,-9.7723735719164324
972,ensemble,ATU5,coverage90,1,1,0
972,ensemble,ATU5,width90,150.91466474882327,141.14229117690684,-9.7723735719164324
972,ensemble,MJ3,mae,9.2374851843013239,6.7425890830870943,-2.4948961012142297
972,ensemble,MJ3,rmse,11.494159400279406,8.0673894793503216,-3.4267699209290843
972,ensemble,MJ3,crps,7.6421193768413511,5.1940997908188162,-2.4480195860225349
972,ensemble,MJ3,interval_score90,105.89010626197346,56.45854950926077,-49.431556752712687
972,ensemble,MJ3,coverage90,0.48464163822525597,0.50170648464163825,0.017064846416382284
972,ensemble,MJ3,width90,11.974234327698468,12.773150192133926,0.79891586443545748
972,ensemble,MJ1,mae,1.5241815767459643,5.4864613027875997,3.9622797260416354
972,ensemble,MJ1,rmse,1.8481702100228397,6.3337883329309799,4.4856181229081402
972,ensemble,MJ1,crps,2.6612545822621878,4.6433217771740223,1.9820671949118345
972,ensemble,MJ1,interval_score90,35.70515383581278,51.235772364211698,15.530618528398918
972,ensemble,MJ1,coverage90,1,1,0
972,ensemble,MJ1,width90,35.70515383581278,51.235772364211698,15.530618528398918
972,0,average,mae,7.337175242629808,15.184068323579181,7.8468930809493731
972,0,average,rmse,8.7500781646502208,18.583144285809887,9.8330661211596659
972,0,average,crps,9.3659831235283466,11.439752958897738,2.0737698353693919
972,0,average,interval_score90,112.7705486514854,96.697873317488842,-16.072675333996557
972,0,average,coverage90,0.75085324232081918,0.8686006825938567,0.11774744027303752
972,0,average,width90,78.392296096874645,75.822133989219466,-2.5701621076551788
972,0,ATU1,mae,3.0541748286784487,16.387343628062229,13.333168799383781
972,0,ATU1,rmse,3.6636745538525757,20.23494258999191,16.571268036139333
972,0,ATU1,crps,8.3205269152904719,12.095811825505995,3.7752849102155235
972,0,ATU1,interval_score90,114.97513147516409,98.137322223625375,-16.837809251538715
972,0,ATU1,coverage90,1,1,0
972,0,ATU1,width90,114.97513147516409,98.137322223625375,-16.837809251538715
972,0,ATU5,mae,2.3073836668484082,20.541458626169991,18.234074959321582
972,0,ATU5,rmse,3.0040025265901327,24.894820351789239,21.890817825199107
972,0,ATU5,crps,10.799088724903186,15.52931137661685,4.7302226517136639
972,0,ATU5,interval_score90,150.91466474882327,141.14229117690684,-9.7723735719164324
972,0,ATU5,coverage90,1,1,0
972,0,ATU5,width90,150.91466474882327,141.14229117690684,-9.7723735719164324
972,0,MJ3,mae,8.4741670146507406,3.155617054466449,-5.318549960184292
972,0,MJ3,rmse,9.8077830842890865,3.7436561984215073,-6.0641268858675792
972,0,MJ3,crps,6.7396624458109748,2.1557103574715519,-4.5839520883394229
972,0,MJ3,interval_score90,81.574218829082923,14.206374070453686,-67.367844758629232
972,0,MJ3,coverage90,0.43344709897610922,0.94539249146757676,0.51194539249146753
972,0,MJ3,width90,11.974234327698468,12.773150192133926,0.79891586443545748
972,0,MJ1,mae,15.512975460341636,20.651853985618054,5.138878525276418
972,0,MJ1,rmse,18.524852493869091,25.459158003036897,6.9343055091678067
972,0,MJ1,crps,11.604654408108754,15.978178275996562,4.3735238678878083
972,0,MJ1,interval_score90,103.6181795528713,133.30550579896951,29.687326246098209
972,0,MJ1,coverage90,0.56996587030716728,0.52901023890784982,-0.04095563139931746
972,0,MJ1,width90,35.70515383581278,51.235772364211726,15.530618528398946
972,1,average,mae,10.616048583325698,7.259514686477381,-3.3565338968483172
972,1,average,rmse,12.51483815424022,8.7213285155454745,-3.7935096386947453
972,1,average,crps,10.233331414873792,8.34889730978235,-1.8844341050914419
972,1,average,interval_score90,120.49023316681603,110.89969988590559,-9.5905332809104351
972,1,average,coverage90,0.82337883959044367,0.8421501706484642,0.018771331058020535
972,1,average,width90,78.392296096874645,75.822133989219452,-2.570162107655193
972,1,ATU1,mae,3.9597988222139198,1.6881762657118933,-2.2716225565020265
972,1,ATU1,rmse,4.7826117521021452,2.0577719505854741,-2.724839801516671
972,1,ATU1,crps,8.4277395870942033,7.0280734191500205,-1.3996661679441829
972,1,ATU1,interval_score90,114.97513147516409,98.137322223625375,-16.837809251538715
972,1,ATU1,coverage90,1,1,0
972,1,ATU1,width90,114.97513147516409,98.137322223625375,-16.837809251538715
972,1,ATU5,mae,13.001134264320068,10.083048516658739,-2.9180857476613298
972,1,ATU5,rmse,15.804986524760693,12.211048002718508,-3.5939385220421851
972,1,ATU5,crps,12.852509705150128,11.396620746586031,-1.4558889585640973
972,1,ATU5,interval_score90,150.91466474882327,141.14229117690684,-9.7723735719164324
972,1,ATU5,coverage90,1,1,0
972,1,ATU5,width90,150.91466474882327,141.14229117690684,-9.7723735719164324
972,1,MJ3,mae,13.738962253247614,12.271454751976894,-1.4675075012707204
972,1,MJ3,rmse,16.705348033431889,14.762134025443169,-1.9432140079887201
972,1,MJ3,crps,11.907795294293892,10.474406465322007,-1.4333888289718857
972,1,MJ3,interval_score90,180.10354627657341,153.08341377887845,-27.020132497694959
972,1,MJ3,coverage90,0.31058020477815701,0.36860068259385664,0.058020477815699634
972,1,MJ3,width90,11.974234327698468,12.773150192133926,0.79891586443545748
972,1,MJ1,mae,11.764298993521189,4.9953792115619944,-6.7689197819591946
972,1,MJ1,rmse,12.766406306666154,5.8543600834347513,-6.9120462232314024
972,1,MJ1,crps,7.745281072956943,4.4964886080713438,-3.2487924648855993
972,1,MJ1,interval_score90,35.967590166703374,51.235772364211698,15.268182197508324
972,1,MJ1,coverage90,0.98293515358361772,1,0.017064846416382284
972,1,MJ1,width90,35.70515383581278,51.235772364211698,15.530618528398918
972,2,average,mae,5.5398277593793344,13.480172532576828,7.9403447731974941
972,2,average,rmse,6.6432618067933387,15.155229910762534,8.5119681039691955
972,2,average,crps,7.1116546674483585,9.5806469186933931,2.4689922512450346
972,2,average,interval_score90,91.98640097633583,84.491290698301157,-7.495110278034673
972,2,average,coverage90,0.89590443686006827,0.90870307167235498,0.012798634812286713
972,2,average,width90,78.392296096874645,75.822133989219452,-2.570162107655193
972,2,ATU1,mae,7.0554083961410861,22.693072047098482,15.637663650957396
972,2,ATU1,rmse,7.7496017879577206,25.315942580851399,17.566340792893676
972,2,ATU1,crps,8.8486280285431285,14.88076953501184,6.0321415064687116
972,2,ATU1,interval_score90,114.97513147516409,98.137322223625375,-16.837809251538715
972,2,ATU1,coverage90,1,1,0
972,2,ATU1,width90,114.97513147516409,98.137322223625375,-16.837809251538715
972,2,ATU5,mae,4.2635920205088489,21.609726463905567,17.346134443396718
972,2,ATU5,rmse,5.0423539651848728,23.458612045240461,18.416258080055588
972,2,ATU5,crps,10.941374212975143,14.978856450491246,4.0374822375161035
972,2,ATU5,interval_score90,150.91466474882327,141.14229117690684,-9.7723735719164324
972,2,ATU5,coverage90,1,1,0
972,2,ATU5,width90,150.91466474882327,141.14229117690684,-9.7723735719164324
972,2,MJ3,mae,6.0826752790669651,5.4832543327037593,-0.59942094636320586
972,2,MJ3,rmse,8.4563052214566934,7.1740749465214684,-1.282230274935225
972,2,MJ3,crps,5.1093048712047162,4.2718921366034026,-0.8374127346013136
972,2,MJ3,interval_score90,66.350653845543206,47.44977702846073,-18.900876817082477
972,2,MJ3,coverage90,0.58361774744027306,0.6348122866894198,0.051194539249146742
972,2,MJ3,width90,11.974234327698468,12.773150192133926,0.79891586443545748
972,2,MJ1,mae,4.7576353418004382,4.1346372865995074,-0.62299805520093088
972,2,MJ1,rmse,5.324786252574067,4.6722900704368104,-0.65249618213725658
972,2,MJ1,crps,3.5473115570704437,4.1910695526670816,0.64375799559663793
972,2,MJ1,interval_score90,35.70515383581278,51.235772364211698,15.530618528398918
972,2,MJ1,coverage90,1,1,0
972,2,MJ1,width90,35.70515383581278,51.235772364211698,15.530618528398918
1168,ensemble,average,mae,5.0285254358206712,5.4455359236032885,0.41701048778261729
1168,ensemble,average,rmse,7.5400286896404349,8.244416610218126,0.70438792057769106
1168,ensemble,average,crps,4.0379642988862523,4.8794968224268214,0.84153252354056907
1168,ensemble,average,interval_score90,48.108164965688047,58.56448528731628,10.456320321628233
1168,ensemble,average,coverage90,0.73293515358361772,0.85238907849829348,0.11945392491467577
1168,ensemble,average,width90,12.237800745748046,31.136405297068251,18.898604551320204
1168,ensemble,ATU1,mae,3.899244898010692,4.4879172966595755,0.58867239864888354
1168,ensemble,ATU1,rmse,6.8081415766348101,7.6386653421720299,0.83052376553721974
1168,ensemble,ATU1,crps,3.1570273699715492,4.5602427985952341,1.4032154286236849
1168,ensemble,ATU1,interval_score90,41.072855615781251,50.823703140490423,9.7508475247091724
1168,ensemble,ATU1,coverage90,0.70648464163822522,0.95904436860068254,0.25255972696245732
1168,ensemble,ATU1,width90,7.5674657785660884,44.856716746000863,37.289250967434775
1168,ensemble,ATU5,mae,4.2882099067552701,4.6703369756447843,0.3821270688895142
1168,ensemble,ATU5,rmse,5.3886251197801123,5.8247541421090077,0.43612902232889539
1168,ensemble,ATU5,crps,3.0416673829422596,4.1401016520351623,1.0984342690929028
1168,ensemble,ATU5,interval_score90,23.141800601274557,45.207166113326601,22.065365512052043
1168,ensemble,ATU5,coverage90,0.82593856655290099,1,0.17406143344709901
1168,ensemble,ATU5,width90,13.29110485652609,45.207166113326601,31.916061256800511
1168,ensemble,MJ3,mae,8.7883451199939291,8.9692082049174662,0.18086308492353709
1168,ensemble,MJ3,rmse,13.284550831485642,13.978822326939712,0.69427149545406941
1168,ensemble,MJ3,crps,7.4063262923088153,7.8378513171348674,0.43152502482605204
1168,ensemble,MJ3,interval_score90,95.812217514209067,109.97282781233612,14.160610298127054
1168,ensemble,MJ3,coverage90,0.67235494880546076,0.64846416382252559,-0.023890784982935176
1168,ensemble,MJ3,width90,20.65016654688543,18.043571050666287,-2.6065954962191427
1168,ensemble,MJ1,mae,3.1383018185227955,3.6546812171913268,0.51637939866853122
1168,ensemble,MJ1,rmse,4.6787972306611758,5.5354246296517591,0.85662739899058327
1168,ensemble,MJ1,crps,2.5468361503223851,2.9797915219420212,0.43295537161963615
1168,ensemble,MJ1,interval_score90,32.405786131487339,28.254244083111953,-4.1515420483753864
1168,ensemble,MJ1,coverage90,0.726962457337884,0.80204778156996592,0.075085324232081918
1168,ensemble,MJ1,width90,7.4424658010145786,16.438167278279252,8.9957014772646744
1168,0,average,mae,5.2781994315848415,6.0030614664478179,0.7248620348629764
1168,0,average,rmse,7.4647097568094392,8.8784643346208973,1.4137545778114582
1168,0,average,crps,4.2122624422909603,5.2237141893244381,1.0114517470334778
1168,0,average,interval_score90,47.751532535279303,63.231319484082263,15.47978694880296
1168,0,average,coverage90,0.64334470989761094,0.83788395904436863,0.19453924914675769
1168,0,average,width90,12.237800745748046,31.136405297068251,18.898604551320204
1168,0,ATU1,mae,4.2287987864002261,5.6081542368116537,1.3793554504114276
1168,0,ATU1,rmse,6.5956806378779511,8.1953953482058175,1.5997147103278664
1168,0,ATU1,crps,3.4388524016750139,4.8315586400967625,1.3927062384217486
1168,0,ATU1,interval_score90,43.959531265781742,50.322743967347002,6.36321270156526
1168,0,ATU1,coverage90,0.62457337883959041,0.96245733788395904,0.33788395904436863
1168,0,ATU1,width90,7.5674657785660884,44.856716746000863,37.289250967434775
1168,0,ATU5,mae,5.830788638429917,4.7379783730350011,-1.0928102653949159
1168,0,ATU5,rmse,7.1296021036603516,5.9359717543371762,-1.1936303493231755
1168,0,ATU5,crps,4.363815802434349,4.1834423530562077,-0.18037344937814126
1168,0,ATU5,interval_score90,41.341932221555837,45.207166113326601,3.8652338917707638
1168,0,ATU5,coverage90,0.60068259385665534,1,0.39931740614334466
1168,0,ATU5,width90,13.29110485652609,45.207166113326601,31.916061256800511
1168,0,MJ3,mae,7.7242593538283293,9.494910555758505,1.7706512019301757
1168,0,MJ3,rmse,12.064246043338597,14.827230345297581,2.7629843019589835
1168,0,MJ3,crps,6.5860776322390775,8.3432908613953813,1.7572132291563038
1168,0,MJ3,interval_score90,82.89168244511373,120.32617478918606,37.434492344072325
1168,0,MJ3,coverage90,0.68941979522184305,0.63822525597269619,-0.051194539249146853
1168,0,MJ3,width90,20.65016654688543,18.043571050666287,-2.6065954962191427
1168,0,MJ1,mae,3.3289509476808958,4.1712027001861101,0.84225175250521422
1168,0,MJ1,rmse,4.0693102423608556,6.5552598906430122,2.4859496482821566
1168,0,MJ1,crps,2.4603039328153984,3.5365649027494026,1.0762609699340042
1168,0,MJ1,interval_score90,22.81298420866591,37.069193066469381,14.256208857803472
1168,0,MJ1,coverage90,0.65870307167235498,0.75085324232081907,0.092150170648464091
1168,0,MJ1,width90,7.4424658010145786,16.438167278279252,8.9957014772646744
1168,1,average,mae,5.3116212175097575,5.9982821538655795,0.68666093635582204
1168,1,average,rmse,8.4176579111903553,9.8686956278456854,1.4510377166553301
1168,1,average,crps,4.4253219817132869,5.5002604139497437,1.0749384322364568
1168,1,average,interval_score90,56.316335760387375,67.87036172230566,11.554025961918285
1168,1,average,coverage90,0.72525597269624575,0.82167235494880542,0.096416382252559663
1168,1,average,width90,12.237800745748046,31.136405297068251,18.898604551320204
1168,1,ATU1,mae,4.9591797631910799,5.8162878336561334,0.85710807046505355
1168,1,ATU1,rmse,9.0159314695989305,10.669558859898869,1.6536273902999383
1168,1,ATU1,crps,4.2120048798926346,5.5584070872482805,1.3464022073556459
1168,1,ATU1,interval_score90,60.120936521347041,61.989771933631786,1.8688354122847457
1168,1,ATU1,coverage90,0.6313993174061433,0.93515358361774747,0.30375426621160417
1168,1,ATU1,width90,7.5674657785660884,44.85671674600087,37.289250967434782
1168,1,ATU5,mae,4.1213745310451673,4.2600561657043352,0.13868163465916794
1168,1,ATU5,rmse,5.4446279628286041,6.4407542336100949,0.99612627078149085
1168,1,ATU5,crps,2.9606627288370722,4.2632340287335699,1.3025712998964978
1168,1,ATU5,interval_score90,23.081704187319982,46.966081541870722,23.88437735455074
1168,1,ATU5,coverage90,0.89078498293515362,0.97952218430034133,0.088737201365187701
1168,1,ATU5,width90,13.29110485652609,45.207166113326601,31.916061256800511
1168,1,MJ3,mae,8.4913945430786981,8.1665085540026841,-0.32488598907601407
1168,1,MJ3,rmse,13.537235758154591,13.019874431370566,-0.51736132678402491
1168,1,MJ3,crps,7.4325617886432731,7.1195874675482509,-0.31297432109502221
1168,1,MJ3,interval_score90,99.025174559621732,98.249114535770175,-0.77606002385155648
1168,1,MJ3,coverage90,0.67576791808873715,0.67235494880546076,-0.0034129692832763903
1168,1,MJ3,width90,20.65016654688543,18.043571050666287,-2.6065954962191427
1168,1,MJ1,mae,3.6745360327240859,5.7502760620991697,2.0757400293750838
1168,1,MJ1,rmse,5.6728364541792944,9.3445949865032141,3.6717585323239197
1168,1,MJ1,crps,3.0960585294801666,5.0598130722688737,1.9637545427887071
1168,1,MJ1,interval_score90,43.037527773260749,64.27647887794997,21.238951104689221
1168,1,MJ1,coverage90,0.70307167235494883,0.69965870307167233,-0.0034129692832765013
1168,1,MJ1,width90,7.4424658010145786,16.438167278279252,8.9957014772646744
1168,2,average,mae,5.5750060426851453,5.8336239315057661,0.25861788882062076
1168,2,average,rmse,7.8185433946429814,7.8198719364479894,0.0013285418050079656
1168,2,average,crps,4.4107468674135664,4.7835685126368128,0.37282164522324646
1168,2,average,interval_score90,52.905497584449364,54.87934679110964,1.973849206660276
1168,2,average,coverage90,0.70989761092150172,0.90443686006825941,0.19453924914675769
1168,2,average,width90,12.237800745748046,31.136405297068251,18.898604551320204
1168,2,ATU1,mae,4.5902885276401202,5.8309627355409077,1.2406742079007875
1168,2,ATU1,rmse,6.6329201081695208,7.4928324433647875,0.85991233519526666
1168,2,ATU1,crps,3.7064810845490497,4.7022322641713199,0.99575117962227022
1168,2,ATU1,interval_score90,46.893902321133133,45.658057998000686,-1.2358443231324472
1168,2,ATU1,coverage90,0.58703071672354945,0.98634812286689422,0.39931740614334477
1168,2,ATU1,width90,7.5674657785660884,44.856716746000856,37.289250967434768
1168,2,ATU5,mae,3.9993440060536356,5.4369656365836212,1.4376216305299856
1168,2,ATU5,rmse,5.3093895186955953,6.384332721869483,1.0749432031738877
1168,2,ATU5,crps,2.8312995296001491,4.3482430493136857,1.5169435197135366
1168,2,ATU5,interval_score90,23.876057991983309,45.207166113326601,21.331108121343291
1168,2,ATU5,coverage90,0.88054607508532423,1,0.11945392491467577
1168,2,ATU5,width90,13.29110485652609,45.207166113326601,31.916061256800511
1168,2,MJ3,mae,10.468822421003482,9.4422963734377134,-1.0265260475657687
1168,2,MJ3,rmse,14.417777265151855,14.169880673035943,-0.24789659211591264
1168,2,MJ3,crps,8.4441421486235235,8.1465644465374734,-0.29757770208605017
1168,2,MJ3,interval_score90,106.56170503546748,112.21399577483201,5.6522907393645312
1168,2,MJ3,coverage90,0.64846416382252559,0.6313993174061433,-0.017064846416382284
1168,2,MJ3,width90,20.65016654688543,18.043571050666287,-2.6065954962191427
1168,2,MJ1,mae,3.2415692160433411,2.6242709804608202,-0.61729823558252095
1168,2,MJ1,rmse,4.9140866865549544,3.2324419075217437,-1.6816447790332107
1168,2,MJ1,crps,2.6610647068815445,1.9372342905247726,-0.72383041635677192
1168,2,MJ1,interval_score90,34.290324989213516,16.438167278279252,-17.852157710934264
1168,2,MJ1,coverage90,0.7235494880546075,1,0.2764505119453925
1168,2,MJ1,width90,7.4424658010145786,16.438167278279252,8.9957014772646744
