origin,method,seed,bin,point,n,mae,rmse,bias,probability_available,crps,coverage80,width80,interval_score80,coverage90,width90,interval_score90,coverage95,width95,interval_score95
612,DRIFT1,0,h001_030,MJ3,30,0.89599182569097591,1.1163850915436289,0.89599182569097591,False,,,,,,,,,,
612,DRIFT1,0,h001_030,MJ1,30,2.3717725195009356,2.9574079101791808,-2.3717725195009356,False,,,,,,,,,,
612,DRIFT1,0,h031_090,ATU1,60,13.083052645218045,14.634714180617591,-13.083052645218045,False,,,,,,,,,,
612,DRIFT1,0,h031_090,ATU5,60,13.448685286131139,16.800838014645652,-13.448685286131139,False,,,,,,,,,,
612,DRIFT1,0,h031_090,MJ3,60,3.9543030836784587,4.0906128439346316,3.9543030836784587,False,,,,,,,,,,
612,DRIFT1,0,h031_090,MJ1,60,11.113515079802486,11.558952358645115,-11.113515079802486,False,,,,,,,,,,
612,DRIFT1,0,h091_180,ATU1,90,30.815869843983428,30.898283053368306,-30.815869843983428,False,,,,,,,,,,
612,DRIFT1,0,h091_180,ATU5,90,45.800719141749212,45.96079839558756,-45.800719141749212,False,,,,,,,,,,
612,DRIFT1,0,h091_180,MJ3,90,6.8589223522963616,6.8949393243074875,6.8589223522963616,False,,,,,,,,,,
612,DRIFT1,0,h091_180,MJ1,90,6.9266922439695966,8.492882822008454,-6.6488462203061038,False,,,,,,,,,,
612,DRIFT1,0,h181_293,ATU1,113,35.515516589188607,35.589926563713036,-35.515516589188607,False,,,,,,,,,,
612,DRIFT1,0,h181_293,ATU5,113,49.873053183794966,49.879956669530308,-49.873053183794966,False,,,,,,,,,,
612,DRIFT1,0,h181_293,MJ3,113,4.5492623347560999,4.8146830878225115,4.5492623347560999,False,,,,,,,,,,
612,DRIFT1,0,h181_293,MJ1,113,21.110568118962448,23.741198731829417,21.110568118962448,False,,,,,,,,,,
612,DRIFT1,0,all,ATU1,293,25.892972216970673,28.734613506559139,-25.892540415296775,False,,,,,,,,,,
612,DRIFT1,0,all,ATU5,293,36.07261153018942,40.819202873054891,-36.067103025756239,False,,,,,,,,,,
612,DRIFT1,0,all,MJ3,293,4.7628245574250805,5.2054925697734822,4.7628245574250805,False,,,,,,,,,,
612,DRIFT1,0,all,MJ1,293,12.787920067485317,16.364282710366986,3.5806619701093179,False,,,,,,,,,,
