slot,origin,history_last,teacher_prefix,target_max,training_prefix,scaling_prefix
0,433,432,432,721,792,792
1,436,435,432,724,792,792
2,439,438,432,727,792,792
3,441,440,432,729,792,792
4,444,443,432,732,792,792
5,447,446,432,735,792,792
6,450,449,432,738,792,792
7,453,452,432,741,792,792
8,455,454,432,743,792,792
9,458,457,432,746,792,792
10,461,460,432,749,792,792
11,464,463,432,752,792,792
12,467,466,432,755,792,792
13,469,468,432,757,792,792
14,472,471,432,760,792,792
15,475,474,432,763,792,792
16,478,477,432,766,792,792
17,481,480,432,769,792,792
18,484,483,432,772,792,792
19,486,485,432,774,792,792
20,489,488,432,777,792,792
21,492,491,432,780,792,792
22,495,494,432,783,792,792
23,498,497,432,786,792,792
24,500,499,432,787,792,792
25,503,502,432,787,792,792
26,506,505,432,787,792,792
27,509,508,432,787,792,792
28,512,511,432,787,792,792
29,514,513,432,787,792,792
30,517,516,432,787,792,792
31,520,519,432,787,792,792
32,523,522,432,787,792,792
33,526,525,432,787,792,792
34,529,528,432,787,792,792
35,531,530,432,787,792,792
36,534,533,432,787,792,792
37,537,536,432,788,792,792
38,540,539,432,788,792,792
39,543,542,432,788,792,792
40,545,544,432,788,792,792
41,548,547,432,788,792,792
42,551,550,432,788,792,792
43,554,553,432,788,792,792
44,557,556,432,788,792,792
45,559,558,432,788,792,792
46,562,561,432,788,792,792
47,565,564,432,788,792,792
48,568,567,432,788,792,792
49,571,570,432,788,792,792
50,574,573,432,788,792,792
51,576,575,432,788,792,792
52,579,578,432,788,792,792
53,582,581,432,788,792,792
54,585,584,432,788,792,792
55,588,587,432,788,792,792
56,590,589,432,788,792,792
57,593,592,432,788,792,792
58,596,595,432,788,792,792
59,599,598,432,788,792,792
60,602,601,432,789,792,792
61,604,603,432,789,792,792
62,607,606,432,789,792,792
63,610,609,432,789,792,792
64,613,612,612,789,792,792
65,616,615,612,789,792,792
66,619,618,612,789,792,792
67,621,620,612,789,792,792
68,624,623,612,789,792,792
69,627,626,612,789,792,792
70,630,629,612,789,792,792
71,633,632,612,789,792,792
72,635,634,612,789,792,792
73,638,637,612,789,792,792
74,641,640,612,789,792,792
75,644,643,612,789,792,792
76,647,646,612,789,792,792
77,649,648,612,789,792,792
78,652,651,612,789,792,792
79,655,654,612,789,792,792
80,658,657,612,789,792,792
81,661,660,612,789,792,792
82,664,663,612,790,792,792
83,666,665,612,790,792,792
84,669,668,612,790,792,792
85,672,671,612,790,792,792
86,675,674,612,790,792,792
87,678,677,612,790,792,792
88,680,679,612,790,792,792
89,683,682,612,790,792,792
90,686,685,612,790,792,792
91,689,688,612,790,792,792
92,692,691,612,790,792,792
93,694,693,612,790,792,792
94,697,696,612,790,792,792
95,700,699,612,790,792,792
96,703,702,612,790,792,792
97,706,705,612,790,792,792
98,709,708,612,790,792,792
99,711,710,612,790,792,792
100,714,713,612,790,792,792
101,717,716,612,790,792,792
102,720,719,612,790,792,792
103,723,722,612,790,792,792
104,725,724,612,790,792,792
105,728,727,612,791,792,792
106,731,730,612,791,792,792
107,734,733,612,791,792,792
108,737,736,612,791,792,792
109,739,738,612,791,792,792
110,742,741,612,791,792,792
111,745,744,612,791,792,792
112,748,747,612,791,792,792
113,751,750,612,791,792,792
114,754,753,612,791,792,792
115,756,755,612,791,792,792
116,759,758,612,791,792,792
117,762,761,612,791,792,792
118,765,764,612,791,792,792
119,768,767,612,791,792,792
120,770,769,612,791,792,792
121,773,772,612,791,792,792
122,776,775,612,791,792,792
123,779,778,612,791,792,792
124,782,781,612,791,792,792
125,784,783,612,791,792,792
126,787,786,612,791,792,792
127,790,789,612,791,792,792
