origin,arm,seed,step,point,mse,penalty,objective,free_output_lower_bound,excess_objective,mae_mm,rmse_mm
612,G10_ANCHOR_UNIFORM,0,0,ATU1,0.0054347012515118141,0,0.0054347012515118141,0.002717350625755907,0.002717350625755907,5.6322700507914689,11.128790422506246
612,G10_ANCHOR_UNIFORM,0,0,ATU5,0.059164914613156899,0,0.059164914613156899,0.02958245730657845,0.02958245730657845,24.885261455963498,42.40964091081684
612,G10_ANCHOR_UNIFORM,0,0,MJ3,0.019233136556902262,0,0.019233136556902262,0.0096165682784511309,0.0096165682784511309,9.6622522292036095,13.051529125043231
612,G10_ANCHOR_UNIFORM,0,0,MJ1,0.041354114491004838,0,0.041354114491004838,0.020677057245502419,0.020677057245502419,10.667176102019196,14.359158685179448
612,G10_ANCHOR_UNIFORM,0,50,ATU1,0.0059500840365172359,0.00051490384371845647,0.0064649878802356927,0.002717350625755907,0.0037476372544797561,5.9736076984082711,11.644522269874336
612,G10_ANCHOR_UNIFORM,0,50,ATU5,0.040050874735756685,0.002583389620785078,0.042634264356541759,0.02958245730657845,0.013051807049963279,20.338282061701122,34.893013388580428
612,G10_ANCHOR_UNIFORM,0,50,MJ3,0.0088613151679712964,0.0025496390193950683,0.011410954187366365,0.0096165682784511309,0.001794385908915317,6.284125574384535,8.8590148754036715
612,G10_ANCHOR_UNIFORM,0,50,MJ1,0.020720863690149225,0.0050214457279407678,0.025742309418089991,0.020677057245502419,0.0050652521725874202,7.3681752143964543,10.164208353979262
612,G10_ANCHOR_UNIFORM,0,100,ATU1,0.0046531298573034051,0.00075592521781890176,0.0054090550751223071,0.002717350625755907,0.0026917044493663853,5.5792625522114712,10.297521619063025
612,G10_ANCHOR_UNIFORM,0,100,ATU5,0.02471389868297745,0.0092267652229574663,0.03394066390593492,0.02958245730657845,0.0043582065993563561,16.089787797350652,27.409625712884726
612,G10_ANCHOR_UNIFORM,0,100,MJ3,0.0058228761999387967,0.0046572979461440593,0.010480174146082856,0.0096165682784511309,0.00086360586763171727,4.838175381728278,7.1813338615506224
612,G10_ANCHOR_UNIFORM,0,100,MJ1,0.014690241997014426,0.0083525401716786074,0.023042782168693033,0.020677057245502419,0.0023657249231904547,6.0115532615445195,8.5582330210665187
612,G10_ANCHOR_UNIFORM,0,200,ATU1,0.003217821744196968,0.00086893348938840871,0.0040867552335853768,0.002717350625755907,0.0013694046078294489,4.8537946940005057,8.5632991723612886
