origin,arm,seed,step,point,n,mae,rmse
612,G10_ANCHOR_UNIFORM,ensemble,0,ATU1,293,6.0948357411688026,9.2787767207000922
612,G10_ANCHOR_UNIFORM,ensemble,0,ATU5,293,8.1949829720627836,10.800088212135204
612,G10_ANCHOR_UNIFORM,ensemble,0,MJ3,293,77.763580502429605,89.378406405879943
612,G10_ANCHOR_UNIFORM,ensemble,0,MJ1,293,25.665325194035621,30.336772028251907
612,G10_ANCHOR_UNIFORM,0,0,ATU1,293,6.0948357411688008,9.2787767207000922
612,G10_ANCHOR_UNIFORM,0,0,ATU5,293,8.1949829720627836,10.800088212135204
612,G10_ANCHOR_UNIFORM,0,0,MJ3,293,77.763580502429605,89.378406405879943
612,G10_ANCHOR_UNIFORM,0,0,MJ1,293,25.665325194035603,30.336772028251907
612,G10_ANCHOR_UNIFORM,1,0,ATU1,293,6.0948357411688008,9.2787767207000922
612,G10_ANCHOR_UNIFORM,1,0,ATU5,293,8.1949829720627836,10.800088212135204
612,G10_ANCHOR_UNIFORM,1,0,MJ3,293,77.763580502429605,89.378406405879943
612,G10_ANCHOR_UNIFORM,1,0,MJ1,293,25.665325194035603,30.336772028251907
612,G10_ANCHOR_UNIFORM,2,0,ATU1,293,6.0948357411688008,9.2787767207000922
612,G10_ANCHOR_UNIFORM,2,0,ATU5,293,8.1949829720627836,10.800088212135204
612,G10_ANCHOR_UNIFORM,2,0,MJ3,293,77.763580502429605,89.378406405879943
612,G10_ANCHOR_UNIFORM,2,0,MJ1,293,25.665325194035603,30.336772028251907
612,G10_ANCHOR_UNIFORM,ensemble,50,ATU1,293,8.1932465811032724,11.692943183804902
612,G10_ANCHOR_UNIFORM,ensemble,50,ATU5,293,8.6171586502862709,12.517678495842242
612,G10_ANCHOR_UNIFORM,ensemble,50,MJ3,293,80.087844124588585,91.737597729497239
612,G10_ANCHOR_UNIFORM,ensemble,50,MJ1,293,26.986439974221561,31.692183854396323
612,G10_ANCHOR_UNIFORM,0,50,ATU1,293,7.5888041293677357,10.970435153254009
612,G10_ANCHOR_UNIFORM,0,50,ATU5,293,8.8365732770660266,12.31038805118682
612,G10_ANCHOR_UNIFORM,0,50,MJ3,293,78.012615421770462,89.865833903992936
612,G10_ANCHOR_UNIFORM,0,50,MJ1,293,25.950164130580795,30.768540250645113
612,G10_ANCHOR_UNIFORM,1,50,ATU1,293,9.4487817449917451,13.221713376038567
612,G10_ANCHOR_UNIFORM,1,50,ATU5,293,10.033419066721756,14.179876719544913
612,G10_ANCHOR_UNIFORM,1,50,MJ3,293,81.598580741647353,93.190226837524321
612,G10_ANCHOR_UNIFORM,1,50,MJ1,293,27.370224495258171,32.053574919432918
612,G10_ANCHOR_UNIFORM,2,50,ATU1,293,7.9608453570828042,11.21051135830141
612,G10_ANCHOR_UNIFORM,2,50,ATU5,293,8.1284170544095318,11.728757935778322
612,G10_ANCHOR_UNIFORM,2,50,MJ3,293,80.652336210347897,92.188689342708898
612,G10_ANCHOR_UNIFORM,2,50,MJ1,293,27.648773304748872,32.300686205636751
612,G10_ANCHOR_UNIFORM,ensemble,100,ATU1,293,8.040481222024729,11.348368829241414
612,G10_ANCHOR_UNIFORM,ensemble,100,ATU5,293,8.9455383988422188,12.274000931610562
612,G10_ANCHOR_UNIFORM,ensemble,100,MJ3,293,78.689089424411861,90.484599805371232
612,G10_ANCHOR_UNIFORM,ensemble,100,MJ1,293,25.794388397229714,30.441123265612887
612,G10_ANCHOR_UNIFORM,0,100,ATU1,293,8.2226871729378637,11.220394159460286
612,G10_ANCHOR_UNIFORM,0,100,ATU5,293,9.5066840507236083,12.506248704096606
612,G10_ANCHOR_UNIFORM,0,100,MJ3,293,76.959651000565898,88.886404379551678
612,G10_ANCHOR_UNIFORM,0,100,MJ1,293,24.844785420566787,29.561627643051068
612,G10_ANCHOR_UNIFORM,1,100,ATU1,293,9.2585908508818804,12.902407998769037
612,G10_ANCHOR_UNIFORM,1,100,ATU5,293,9.2808143128314029,13.505166514845728
