slot,origin,history_last,teacher_prefix,target_max,training_prefix,scaling_prefix
0,432,431,432,609,612,612
1,434,433,432,609,612,612
2,435,434,432,609,612,612
3,436,435,432,609,612,612
4,438,437,432,609,612,612
5,439,438,432,609,612,612
6,441,440,432,609,612,612
7,442,441,432,609,612,612
8,443,442,432,609,612,612
9,445,444,432,609,612,612
10,446,445,432,609,612,612
11,448,447,432,609,612,612
12,449,448,432,609,612,612
13,450,449,432,609,612,612
14,452,451,432,609,612,612
15,453,452,432,609,612,612
16,455,454,432,609,612,612
17,456,455,432,609,612,612
18,458,457,432,609,612,612
19,459,458,432,609,612,612
20,460,459,432,609,612,612
21,462,461,432,609,612,612
22,463,462,432,609,612,612
23,465,464,432,609,612,612
24,466,465,432,609,612,612
25,467,466,432,609,612,612
26,469,468,432,609,612,612
27,470,469,432,609,612,612
28,472,471,432,609,612,612
29,473,472,432,609,612,612
30,474,473,432,609,612,612
31,476,475,432,609,612,612
32,477,476,432,609,612,612
33,479,478,432,609,612,612
34,480,479,432,609,612,612
35,481,480,432,609,612,612
36,483,482,432,609,612,612
37,484,483,432,610,612,612
38,486,485,432,610,612,612
39,487,486,432,610,612,612
40,488,487,432,610,612,612
41,490,489,432,610,612,612
42,491,490,432,610,612,612
43,493,492,432,610,612,612
44,494,493,432,610,612,612
45,495,494,432,610,612,612
46,497,496,432,610,612,612
47,498,497,432,610,612,612
48,500,499,432,610,612,612
49,501,500,432,610,612,612
50,503,502,432,610,612,612
51,504,503,432,610,612,612
52,505,504,432,610,612,612
53,507,506,432,610,612,612
54,508,507,432,610,612,612
55,510,509,432,610,612,612
56,511,510,432,610,612,612
57,512,511,432,610,612,612
58,514,513,432,610,612,612
59,515,514,432,610,612,612
60,517,516,432,610,612,612
61,518,517,432,610,612,612
62,519,518,432,610,612,612
63,521,520,432,610,612,612
64,522,521,432,610,612,612
65,524,523,432,610,612,612
66,525,524,432,610,612,612
67,526,525,432,610,612,612
68,528,527,432,610,612,612
69,529,528,432,610,612,612
70,531,530,432,610,612,612
71,532,531,432,610,612,612
72,533,532,432,610,612,612
73,535,534,432,610,612,612
74,536,535,432,610,612,612
75,538,537,432,610,612,612
76,539,538,432,610,612,612
77,540,539,432,610,612,612
78,542,541,432,610,612,612
79,543,542,432,610,612,612
80,545,544,432,610,612,612
81,546,545,432,610,612,612
82,548,547,432,611,612,612
83,549,548,432,611,612,612
84,550,549,432,611,612,612
85,552,551,432,611,612,612
86,553,552,432,611,612,612
87,555,554,432,611,612,612
88,556,555,432,611,612,612
89,557,556,432,611,612,612
90,559,558,432,611,612,612
91,560,559,432,611,612,612
92,562,561,432,611,612,612
93,563,562,432,611,612,612
94,564,563,432,611,612,612
95,566,565,432,611,612,612
96,567,566,432,611,612,612
97,569,568,432,611,612,612
98,570,569,432,611,612,612
99,571,570,432,611,612,612
100,573,572,432,611,612,612
101,574,573,432,611,612,612
102,576,575,432,611,612,612
103,577,576,432,611,612,612
104,578,577,432,611,612,612
105,580,579,432,611,612,612
106,581,580,432,611,612,612
107,583,582,432,611,612,612
108,584,583,432,611,612,612
109,585,584,432,611,612,612
110,587,586,432,611,612,612
111,588,587,432,611,612,612
112,590,589,432,611,612,612
113,591,590,432,611,612,612
114,593,592,432,611,612,612
115,594,593,432,611,612,612
116,595,594,432,611,612,612
117,597,596,432,611,612,612
118,598,597,432,611,612,612
119,600,599,432,611,612,612
120,601,600,432,611,612,612
121,602,601,432,611,612,612
122,604,603,432,611,612,612
123,605,604,432,611,612,612
124,607,606,432,611,612,612
125,608,607,432,611,612,612
126,609,608,432,611,612,612
127,611,610,432,611,612,612
