slot,origin,history_last,teacher_prefix,target_max,training_prefix,scaling_prefix
0,434,433,432,722,1168,1168
1,440,439,432,728,1168,1168
2,446,445,432,734,1168,1168
3,452,451,432,740,1168,1168
4,457,456,432,745,1168,1168
5,463,462,432,751,1168,1168
6,469,468,432,757,1168,1168
7,475,474,432,763,1168,1168
8,480,479,432,768,1168,1168
9,486,485,432,774,1168,1168
10,492,491,432,780,1168,1168
11,498,497,432,786,1168,1168
12,503,502,432,791,1168,1168
13,509,508,432,797,1168,1168
14,515,514,432,803,1168,1168
15,521,520,432,809,1168,1168
16,526,525,432,814,1168,1168
17,532,531,432,820,1168,1168
18,538,537,432,826,1168,1168
19,544,543,432,832,1168,1168
20,549,548,432,837,1168,1168
21,555,554,432,843,1168,1168
22,561,560,432,849,1168,1168
23,567,566,432,855,1168,1168
24,572,571,432,860,1168,1168
25,578,577,432,866,1168,1168
26,584,583,432,872,1168,1168
27,590,589,432,878,1168,1168
28,595,594,432,883,1168,1168
29,601,600,432,889,1168,1168
30,607,606,432,895,1168,1168
31,613,612,612,901,1168,1168
32,618,617,612,906,1168,1168
33,624,623,612,912,1168,1168
34,630,629,612,918,1168,1168
35,636,635,612,924,1168,1168
36,641,640,612,929,1168,1168
37,647,646,612,935,1168,1168
38,653,652,612,941,1168,1168
39,659,658,612,947,1168,1168
40,664,663,612,952,1168,1168
41,670,669,612,958,1168,1168
42,676,675,612,964,1168,1168
43,682,681,612,970,1168,1168
44,687,686,612,975,1168,1168
45,693,692,612,981,1168,1168
46,699,698,612,987,1168,1168
47,705,704,612,993,1168,1168
48,710,709,612,998,1168,1168
49,716,715,612,1004,1168,1168
50,722,721,612,1010,1168,1168
51,728,727,612,1016,1168,1168
52,733,732,612,1021,1168,1168
53,739,738,612,1027,1168,1168
54,745,744,612,1033,1168,1168
55,751,750,612,1039,1168,1168
56,756,755,612,1044,1168,1168
57,762,761,612,1050,1168,1168
58,768,767,612,1056,1168,1168
59,774,773,612,1062,1168,1168
60,779,778,612,1067,1168,1168
61,785,784,612,1073,1168,1168
62,791,790,612,1079,1168,1168
63,797,796,792,1085,1168,1168
64,802,801,792,1090,1168,1168
65,808,807,792,1096,1168,1168
66,814,813,792,1102,1168,1168
67,820,819,792,1108,1168,1168
68,825,824,792,1113,1168,1168
69,831,830,792,1119,1168,1168
70,837,836,792,1125,1168,1168
71,843,842,792,1131,1168,1168
72,848,847,792,1136,1168,1168
73,854,853,792,1142,1168,1168
74,860,859,792,1148,1168,1168
75,866,865,792,1154,1168,1168
76,871,870,792,1159,1168,1168
77,877,876,792,1163,1168,1168
78,883,882,792,1163,1168,1168
79,889,888,792,1163,1168,1168
80,894,893,792,1163,1168,1168
81,900,899,792,1163,1168,1168
82,906,905,792,1163,1168,1168
83,912,911,792,1164,1168,1168
84,917,916,792,1164,1168,1168
85,923,922,792,1164,1168,1168
86,929,928,792,1164,1168,1168
87,935,934,792,1164,1168,1168
88,940,939,792,1164,1168,1168
89,946,945,792,1164,1168,1168
90,952,951,792,1164,1168,1168
91,958,957,792,1164,1168,1168
92,963,962,792,1164,1168,1168
93,969,968,792,1164,1168,1168
94,975,974,792,1164,1168,1168
95,981,980,792,1165,1168,1168
96,986,985,792,1165,1168,1168
97,992,991,792,1165,1168,1168
98,998,997,792,1165,1168,1168
99,1004,1003,792,1165,1168,1168
100,1009,1008,792,1165,1168,1168
101,1015,1014,792,1165,1168,1168
102,1021,1020,792,1165,1168,1168
103,1027,1026,792,1165,1168,1168
104,1032,1031,792,1165,1168,1168
105,1038,1037,792,1165,1168,1168
106,1044,1043,792,1166,1168,1168
107,1050,1049,792,1166,1168,1168
108,1055,1054,792,1166,1168,1168
109,1061,1060,792,1166,1168,1168
110,1067,1066,792,1166,1168,1168
111,1073,1072,792,1166,1168,1168
112,1078,1077,792,1166,1168,1168
113,1084,1083,792,1166,1168,1168
114,1090,1089,792,1166,1168,1168
115,1096,1095,792,1166,1168,1168
116,1101,1100,792,1166,1168,1168
117,1107,1106,792,1167,1168,1168
118,1113,1112,792,1167,1168,1168
119,1119,1118,792,1167,1168,1168
120,1124,1123,792,1167,1168,1168
121,1130,1129,792,1167,1168,1168
122,1136,1135,792,1167,1168,1168
123,1142,1141,792,1167,1168,1168
124,1147,1146,792,1167,1168,1168
125,1153,1152,792,1167,1168,1168
126,1159,1158,792,1167,1168,1168
127,1165,1164,792,1167,1168,1168
