origin,arm,seed,step,target_index,distance,point,observed,prediction
612,G10_ANCHOR_UNIFORM,ensemble,0,627,16,ATU5,508.44889329188948,511.81594954620294
612,G10_ANCHOR_UNIFORM,ensemble,0,627,16,MJ3,1193.294409241124,1200.6512547418999
612,G10_ANCHOR_UNIFORM,ensemble,0,627,16,MJ1,871.5448378384051,874.11970201645397
612,G10_ANCHOR_UNIFORM,ensemble,0,628,17,ATU1,408.89594757009758,408.96771828187076
612,G10_ANCHOR_UNIFORM,ensemble,0,628,17,ATU5,508.578758738771,512.11431274917027
612,G10_ANCHOR_UNIFORM,ensemble,0,628,17,MJ3,1193.270685801637,1200.9370882847065
612,G10_ANCHOR_UNIFORM,ensemble,0,628,17,MJ1,872.16535402393561,874.38659361975681
612,G10_ANCHOR_UNIFORM,ensemble,0,629,18,ATU1,408.99076362425342,408.98359599061808
612,G10_ANCHOR_UNIFORM,ensemble,0,629,18,ATU5,508.71351286780498,512.41026329796819
612,G10_ANCHOR_UNIFORM,ensemble,0,629,18,MJ3,1193.2453589341019,1201.1743745278127
612,G10_ANCHOR_UNIFORM,ensemble,0,629,18,MJ1,872.79025854628446,874.56178447736067
612,G10_ANCHOR_UNIFORM,ensemble,0,630,19,ATU1,409.09545665716331,409.00122099368133
612,G10_ANCHOR_UNIFORM,ensemble,0,630,19,ATU5,508.85359462591612,512.70442258012713
612,G10_ANCHOR_UNIFORM,ensemble,0,630,19,MJ3,1193.2188199943539,1201.378346566039
612,G10_ANCHOR_UNIFORM,ensemble,0,630,19,MJ1,873.41853021320276,874.69231321250675
612,G10_ANCHOR_UNIFORM,ensemble,0,631,20,ATU1,409.21066692338923,409.02064618708738
612,G10_ANCHOR_UNIFORM,ensemble,0,631,20,ATU5,508.99944296002951,512.9968619794206
612,G10_ANCHOR_UNIFORM,ensemble,0,631,20,MJ3,1193.191460338229,1201.5595410252695
612,G10_ANCHOR_UNIFORM,ensemble,0,631,20,MJ1,874.04914783244135,874.80890363012247
612,G10_ANCHOR_UNIFORM,ensemble,0,632,21,ATU1,409.33703467749291,409.04177086662884
612,G10_ANCHOR_UNIFORM,ensemble,0,632,21,ATU5,509.15149681706993,513.28748528598908
612,G10_ANCHOR_UNIFORM,ensemble,0,632,21,MJ3,1193.1636713215639,1201.7214475552976
612,G10_ANCHOR_UNIFORM,ensemble,0,632,21,MJ1,874.6810902117511,874.91662556279664
612,G10_ANCHOR_UNIFORM,ensemble,0,633,22,ATU1,409.47520017403639,409.07064756207291
612,G10_ANCHOR_UNIFORM,ensemble,0,633,22,ATU5,509.31019514396218,513.58197431387703
612,G10_ANCHOR_UNIFORM,ensemble,0,633,22,MJ3,1193.135844300193,1201.8885797729856
612,G10_ANCHOR_UNIFORM,ensemble,0,633,22,MJ1,875.31333615888332,875.03529513475894
612,G10_ANCHOR_UNIFORM,ensemble,0,634,23,ATU1,409.62580366758169,409.15607611504282
612,G10_ANCHOR_UNIFORM,ensemble,0,634,23,ATU5,509.47597688763119,513.92557283273209
612,G10_ANCHOR_UNIFORM,ensemble,0,634,23,MJ3,1193.1083706299551,1202.2242867667503
612,G10_ANCHOR_UNIFORM,ensemble,0,634,23,MJ1,875.94486448158875,875.30268129284104
612,G10_ANCHOR_UNIFORM,ensemble,0,635,24,ATU1,409.78948541269062,409.19651674897278
612,G10_ANCHOR_UNIFORM,ensemble,0,635,24,ATU5,509.64928099500207,514.24092433690521
612,G10_ANCHOR_UNIFORM,ensemble,0,635,24,MJ3,1193.0816416666839,1202.5006226587457
612,G10_ANCHOR_UNIFORM,ensemble,0,635,24,MJ1,876.57465398761849,875.48510980221351
612,G10_ANCHOR_UNIFORM,ensemble,0,636,25,ATU1,409.96688566392481,409.22180374983691
612,G10_ANCHOR_UNIFORM,ensemble,0,636,25,ATU5,509.83054641299952,514.54145647852829
612,G10_ANCHOR_UNIFORM,ensemble,0,636,25,MJ3,1193.0560487662169,1202.7403466991072
612,G10_ANCHOR_UNIFORM,ensemble,0,636,25,MJ1,877.2016834847235,875.63425953428612
612,G10_ANCHOR_UNIFORM,ensemble,0,637,26,ATU1,410.15864467584657,409.24440399962424
612,G10_ANCHOR_UNIFORM,ensemble,0,637,26,ATU5,510.02021208854842,514.83552238500124
612,G10_ANCHOR_UNIFORM,ensemble,0,637,26,MJ3,1193.03198328439,1202.9529160376628
612,G10_ANCHOR_UNIFORM,ensemble,0,637,26,MJ1,877.82493178065465,875.7678097224566
612,G10_ANCHOR_UNIFORM,ensemble,0,638,27,ATU1,410.36540270301771,409.38288859566973
612,G10_ANCHOR_UNIFORM,ensemble,0,638,27,ATU5,510.21871696857357,515.2235945750665
612,G10_ANCHOR_UNIFORM,ensemble,0,638,27,MJ3,1193.0098365770391,1203.4418401236164
612,G10_ANCHOR_UNIFORM,ensemble,0,638,27,MJ1,878.44337768316325,876.17047937522102
612,G10_ANCHOR_UNIFORM,ensemble,0,639,28,ATU1,410.58780000000002,409.43633502468577
612,G10_ANCHOR_UNIFORM,ensemble,0,639,28,ATU5,510.42650000000009,515.56137532713728
612,G10_ANCHOR_UNIFORM,ensemble,0,639,28,MJ3,1192.99,1203.8342095520095
612,G10_ANCHOR_UNIFORM,ensemble,0,639,28,MJ1,879.05599999999993,876.42101483949011
612,G10_ANCHOR_UNIFORM,ensemble,0,640,29,ATU1,410.82626360498512,409.46017250480105
612,G10_ANCHOR_UNIFORM,ensemble,0,640,29,ATU5,510.64399420352697,515.87356961100204
612,G10_ANCHOR_UNIFORM,ensemble,0,640,29,MJ3,1192.9727778632489,1204.1709369460309
612,G10_ANCHOR_UNIFORM,ensemble,0,640,29,MJ1,879.66201840600422,876.61526354720229
612,G10_ANCHOR_UNIFORM,ensemble,0,641,30,ATU1,411.08036769068332,409.4779425267771
612,G10_ANCHOR_UNIFORM,ensemble,0,641,30,ATU5,510.87160889495118,516.17585434104512
612,G10_ANCHOR_UNIFORM,ensemble,0,641,30,MJ3,1192.95812629332,1204.4683773345002
612,G10_ANCHOR_UNIFORM,ensemble,0,641,30,MJ1,880.26161604436925,876.78592103236815
612,G10_ANCHOR_UNIFORM,ensemble,0,642,31,ATU1,411.34947321343458,409.49585271013052
612,G10_ANCHOR_UNIFORM,ensemble,0,642,31,ATU5,511.10974746384392,516.47400793309725
