origin,arm,seed,step,mae,rmse
612,G10_ANCHOR_UNIFORM,ensemble,0,29.429681102424201,34.948510841741786
612,G10_ANCHOR_UNIFORM,0,0,29.429681102424198,34.948510841741786
612,G10_ANCHOR_UNIFORM,1,0,29.429681102424198,34.948510841741786
612,G10_ANCHOR_UNIFORM,2,0,29.429681102424198,34.948510841741786
612,G10_ANCHOR_UNIFORM,ensemble,50,30.971172332549919,36.91010081588518
612,G10_ANCHOR_UNIFORM,0,50,30.097039239696251,35.978799339769722
612,G10_ANCHOR_UNIFORM,1,50,32.112751512154759,38.161347963135178
612,G10_ANCHOR_UNIFORM,2,50,31.097592981647278,36.85716121060635
612,G10_ANCHOR_UNIFORM,ensemble,100,30.367374360627132,36.137023207959018
612,G10_ANCHOR_UNIFORM,0,100,29.883451911198541,35.543668721539909
612,G10_ANCHOR_UNIFORM,1,100,31.455279671807343,37.449115998980737
612,G10_ANCHOR_UNIFORM,2,100,30.531404947394464,36.077409670929327
612,G10_ANCHOR_UNIFORM,ensemble,200,29.434636047102398,34.596672815623272
612,G10_ANCHOR_UNIFORM,0,200,29.333464703063989,34.575037204919596
612,G10_ANCHOR_UNIFORM,1,200,29.488826630710829,35.051995860826032
612,G10_ANCHOR_UNIFORM,2,200,29.958033297426219,35.139522462601562
612,T10_ANCHOR_UNIFORM,ensemble,0,29.429681102424201,34.948510841741786
612,T10_ANCHOR_UNIFORM,0,0,29.429681102424198,34.948510841741786
612,T10_ANCHOR_UNIFORM,1,0,29.429681102424198,34.948510841741786
612,T10_ANCHOR_UNIFORM,2,0,29.429681102424198,34.948510841741786
612,T10_ANCHOR_UNIFORM,ensemble,50,31.211686962718396,37.256919227987154
612,T10_ANCHOR_UNIFORM,0,50,30.267916340424996,36.298291611966349
612,T10_ANCHOR_UNIFORM,1,50,32.121754563463689,38.249500659194837
612,T10_ANCHOR_UNIFORM,2,50,31.556084360510031,37.45295725352419
612,T10_ANCHOR_UNIFORM,ensemble,100,30.359727170845673,36.174775400841639
612,T10_ANCHOR_UNIFORM,0,100,30.302806502403854,36.248219889289828
612,T10_ANCHOR_UNIFORM,1,100,30.876838663620493,36.815707582608837
612,T10_ANCHOR_UNIFORM,2,100,30.120468967697096,35.715664477790469
612,T10_ANCHOR_UNIFORM,ensemble,200,29.162931196645523,34.294876529430162
612,T10_ANCHOR_UNIFORM,0,200,29.383089422145545,34.603751688379973
612,T10_ANCHOR_UNIFORM,1,200,29.341807928980387,34.870944523666324
612,T10_ANCHOR_UNIFORM,2,200,29.13291849684072,34.038410646922912
792,G10_ANCHOR_UNIFORM,ensemble,0,23.564678075953125,27.297234668838499
792,G10_ANCHOR_UNIFORM,0,0,23.564678075953125,27.297234668838499
792,G10_ANCHOR_UNIFORM,1,0,23.564678075953125,27.297234668838499
792,G10_ANCHOR_UNIFORM,2,0,23.564678075953125,27.297234668838499
792,G10_ANCHOR_UNIFORM,ensemble,50,28.558124747062209,31.268488163726332
792,G10_ANCHOR_UNIFORM,0,50,27.952912555260927,30.514897106562856
792,G10_ANCHOR_UNIFORM,1,50,28.993506748531246,31.810486703428552
792,G10_ANCHOR_UNIFORM,2,50,28.740722996798532,31.542377255383915
792,G10_ANCHOR_UNIFORM,ensemble,100,27.602463029169378,30.221639159374597
792,G10_ANCHOR_UNIFORM,0,100,27.408045480745891,29.902918351238384
792,G10_ANCHOR_UNIFORM,1,100,27.976806139246914,30.694460680982232
792,G10_ANCHOR_UNIFORM,2,100,27.432420639509424,30.13859265684555
792,G10_ANCHOR_UNIFORM,ensemble,200,24.032295459501739,26.778772942039772
792,G10_ANCHOR_UNIFORM,0,200,24.767269166062203,27.45619797750561
792,G10_ANCHOR_UNIFORM,1,200,23.886286345114804,26.589909967938528
792,G10_ANCHOR_UNIFORM,2,200,23.642740584014994,26.456657731456403
792,T10_ANCHOR_UNIFORM,ensemble,0,23.564678075953125,27.297234668838499
792,T10_ANCHOR_UNIFORM,0,0,23.564678075953125,27.297234668838499
792,T10_ANCHOR_UNIFORM,1,0,23.564678075953125,27.297234668838499
792,T10_ANCHOR_UNIFORM,2,0,23.564678075953125,27.297234668838499
792,T10_ANCHOR_UNIFORM,ensemble,50,29.368822973619199,32.069227127574713
792,T10_ANCHOR_UNIFORM,0,50,28.78081866074,31.356577334116221
792,T10_ANCHOR_UNIFORM,1,50,29.183235749018088,31.930948999578121
792,T10_ANCHOR_UNIFORM,2,50,30.154938975428077,32.980863837567469
792,T10_ANCHOR_UNIFORM,ensemble,100,29.411520694108255,32.038022170113571
792,T10_ANCHOR_UNIFORM,0,100,28.543497359121531,31.054202489540451
792,T10_ANCHOR_UNIFORM,1,100,29.215273642677104,32.001462519985417
792,T10_ANCHOR_UNIFORM,2,100,30.489044800517675,33.1487142428984
792,T10_ANCHOR_UNIFORM,ensemble,200,26.277492585194981,29.10203729706312
792,T10_ANCHOR_UNIFORM,0,200,25.442067016302985,28.154183924326347
792,T10_ANCHOR_UNIFORM,1,200,26.0232124639932,28.829256633325329
792,T10_ANCHOR_UNIFORM,2,200,27.460666891950378,30.468982314758723
