figure,point,rmse,bplus_rmse,ylim_low,ylim_high,band95_outside_days,band80_outside_days,mean_observed_outside_values
GRU_GRAPH_mentor,ATU1,14.491995349695191,8.0682459891575906,-27,565,0,0,0
GRU_GRAPH_mentor,ATU5,10.941765137738344,9.1150067099766563,-37,760,0,0,0
GRU_GRAPH_mentor,MJ3,23.239766799663759,13.016273948901418,-17,365,248,0,0
GRU_GRAPH_mentor,MJ1,8.3564668964212565,6.2971662230627254,-18,399,1,0,0
GRU_LOCAL_mentor,ATU1,14.449434176898228,8.0682459891575906,-27,565,0,0,0
GRU_LOCAL_mentor,ATU5,10.893778106698432,9.1150067099766563,-37,760,0,0,0
GRU_LOCAL_mentor,MJ3,23.326235977529254,13.016273948901418,-17,365,255,0,0
GRU_LOCAL_mentor,MJ1,8.4650845520511382,6.2971662230627254,-18,399,1,0,0
GRU_GRAPH_full,ATU1,14.491995349695191,8.0682459891575906,-26.881153945193091,569.88046363809349,0,0,0
GRU_GRAPH_full,ATU5,10.941765137738344,9.1150067099766563,-35.172485403350237,745.65669055102501,0,0,0
GRU_GRAPH_full,MJ3,23.239766799663759,13.016273948901418,-18.849346557446378,399.60614701786318,0,0,0
GRU_GRAPH_full,MJ1,8.3564668964212565,6.2971662230627254,-20.146036716628419,425.11699452856925,0,0,0
GRU_LOCAL_full,ATU1,14.449434176898228,8.0682459891575906,-26.881153945193091,569.88046363809349,0,0,0
GRU_LOCAL_full,ATU5,10.893778106698432,9.1150067099766563,-35.172485403350237,745.65669055102501,0,0,0
GRU_LOCAL_full,MJ3,23.326235977529254,13.016273948901418,-18.849346557446378,399.60614701786318,0,0,0
GRU_LOCAL_full,MJ1,8.4650845520511382,6.2971662230627254,-20.146036716628419,425.11699452856925,0,0,0
