fit_days,arm,start,parameter,theta,distance_to_bound_fraction,base_column_l2,scaled_column_l2,smaller_step_relative_difference,larger_step_relative_difference,central_relative_difference,terminal_curvature_fraction,gradient
432,C0,A,log_tauP_O3,0.3382967816654129,0.1986236342496359,74.71786490321519,388.00664843304054,1.8514850582910934e-06,1.8215956801029357e-05,2.021208996407857e-06,0.9991619718141963,-1.5615086871193966
432,C0,A,log_tauP_O2,0.5816540752762068,0.24548658739916496,202.56075987426252,1051.8892857105784,1.0398149854088524e-06,1.0471534583186657e-05,1.1639795069628234e-06,0.9989623533632361,-7.022131573366094
432,C0,A,log_tauP_O1_up,1.5490655988687998,0.43177958989672144,50.591425437343986,262.71908932115673,0.006207004127734043,0.01660341599033119,0.007020047467938876,0.998988597683246,-0.21729301434886575
432,C0,A,log_tauP_O1_down,2.4000175810795117,0.4043538487886325,1.5763225239004182,8.185774849701223,2.2756986922172864e-06,1.4851837723411262e-05,1.5814107137583668e-06,0.9840067020760874,0.009525053217027615
432,C0,A,margin_O3,0.8415064570249439,0.014025107617082398,534.1565441310203,32049.392647861216,7.908342531050503e-10,1.9926457754258653e-10,2.835221986211658e-10,0.9988674552507386,-14.543122189648445
432,C0,A,margin_O2,0.8458813661314688,0.014098022768857814,775.2319042711788,46513.91425627073,5.775010675594615e-09,2.772018701988105e-10,4.058381777194516e-10,0.9989488762467272,-28.38547206676131
432,C0,A,margin_O1_up,1.2934271507089832,0.021557119178483054,760.5443330942928,45632.65998565757,0.01752130258690129,0.0018052738672167954,0.063913911390945,0.9985060510276995,-7.995624979515624
432,C0,A,margin_O1_down,4.253956690050979,0.07089927816751632,91.76943067354637,5506.165840412782,3.809316000048133e-09,8.470907130597784e-10,9.52616074913191e-10,0.9971419352392714,-1.0840474833242584
432,C0,A,log_eta_O3,-3.6342639220750663,0.3605346792629039,157.87275853416227,1736.9318515991818,1.7466448364864673e-06,1.747625070424399e-05,1.9420209363226466e-06,0.9989376086321815,-4.193397414831355
432,C0,A,log_eta_O2,-4.261505328791919,0.3035236163049261,198.98190725055218,2189.2188101638167,1.9599771171975126e-06,1.9574004978008517e-05,2.1747718049740126e-06,0.9989199555818308,-7.488990704040435
432,C0,A,log_eta_O1_up,-4.651221981696124,0.26810159155246316,54.18966155276779,596.2000667646179,2.9137656825830197e-06,2.906629530080254e-05,3.228200108414942e-06,0.9985259202878891,-0.6149824718060447
432,C0,A,log_eta_O1_down,-3.278678339636279,0.3928544716271828,10.074372500537262,110.83925208839335,7.036318862287974e-07,7.620883833359733e-06,8.506833920872736e-07,0.9971358207638672,-0.12129129572933413
432,C0,A,log_hardening_O3,-6.246189337625672,0.45746288754924863,43.69731209414917,503.0838971594815,3.8420734552371175e-06,3.836201829829476e-05,4.26169141752182e-06,0.9990844753339232,-1.0306952350660152
432,C0,A,log_hardening_O2,-6.303904412732684,0.45244981982092725,58.92403368209056,678.3880078773038,3.6614475953654208e-06,3.6663430660740804e-05,4.074031739097256e-06,0.9990115681696864,-2.128410426375932
432,C0,A,log_hardening_O1_up,-6.078710677605618,0.4720098991259007,160.80125727312583,1851.2928896589995,2.3364875055540886e-06,2.337089982418356e-05,2.5970958386683404e-06,0.9986367377457002,-2.1464261605016346
432,C0,A,log_hardening_O1_down,-4.799966910538461,0.4169198285130106,4.8589627122102375,55.94087554274605,2.341217389152268e-06,2.291438583361273e-05,2.5336169672489896e-06,0.9971481416563278,-0.06650699111458848
432,C0,A,log_tauRest_O3,4.3744975223613185,0.14968574381052915,8.892306472318255,57.82035697135399,6.205755423495175e-07,1.2083058751728964e-05,1.3259229117656425e-06,0.9998410003874547,-0.0004189396683999658
432,C0,A,log_tauRest_O2,3.5481011134837677,0.02259261398078562,14.180964119610532,92.20874360846003,1.5450792789225195e-06,1.5277702640590276e-05,1.7501751803629443e-06,0.9998437127719221,-0.0410621852484452
432,C0,A,log_tauRest_O1_up,5.766025542421578,0.36369157613917535,6.862548701769133,44.622282970657366,5.694101074011149e-06,4.92868986268899e-05,5.3174185374383064e-06,0.9988927075254256,-0.07050068779037363
432,C0,A,log_tauRest_O1_down,7.052576511772076,0.43844721872522363,0.005513807356837707,0.035852375380458414,0.00011189217237309833,6.148810549470613e-05,1.1205674223731368e-05,0.9971483323813005,-7.884281710809678e-05
432,C0,A,log_tauMotion_O3,1.056643891240548,0.29727491434931336,16.011853393106076,94.24743480815053,1.4793875741352938e-06,1.4497061501791409e-05,1.6092959618337943e-06,0.9956228397630358,-0.48917465392933124
432,C0,A,log_tauMotion_O2,1.605905557595561,0.3905898920357835,39.308019116435425,231.37108978957033,4.238934498332935e-07,4.589035587248236e-06,5.14144946380115e-07,0.9978026195815022,-1.2283705101129532
432,C0,A,log_tauMotion_O1_up,3.967725096308397,0.20815665982715462,72.48922863612839,426.6791409118274,3.236976761623375e-06,3.2162613607744295e-05,3.5738820697344676e-06,0.9966618826309993,-1.7467726205528074
432,C0,A,log_tauMotion_O1_down,-0.5811481286591167,0.019027705134398627,0.15665309522384863,0.9220764153362405,2.929354076695019e-05,1.3609796821541281e-05,2.865186460683212e-06,0.9514497209922446,0.016077592079951585
432,C0,A,creep_O3,0.00013216816977366347,0.0006608408488683173,897.3117744862303,179.4623548972461,3.406091214588625e-09,3.029680851069634e-10,3.6403412052553455e-10,0.9966256692324507,1.1954792786267534
432,C0,A,creep_O2,0.0028617158293729704,0.014308579146864852,895.0914454875341,179.01828909750682,2.876731174753828e-09,2.2892442596038372e-07,3.032617263637681e-10,0.9966138318480302,0.38141521845370163
