fold,fold_role,estimator,subset,n,metric,class_level,class_color,value,status
1,fit,ngboost,all_valid,280,accuracy,,,0.975,reported_descriptive
1,fit,ngboost,all_valid,280,macro_f1_fixed_five,,,0.975151896674,reported_descriptive
1,fit,ngboost,all_valid,280,ordinal_mae,,,0.025,reported_descriptive
1,fit,ngboost,all_valid,280,multiclass_log_loss,,,0.0883434406933,reported_descriptive
1,fit,ngboost,all_valid,280,multiclass_brier,,,0.0438219819921,reported_descriptive
1,fit,ngboost,all_valid,280,recall,0,green,0.964285714286,reported_descriptive
1,fit,ngboost,all_valid,280,recall,1,blue,0.946428571429,reported_descriptive
1,fit,ngboost,all_valid,280,recall,2,yellow,0.982142857143,reported_descriptive
1,fit,ngboost,all_valid,280,recall,3,orange,0.982142857143,reported_descriptive
1,fit,ngboost,all_valid,280,recall,4,red,1,reported_descriptive
1,fit,ngboost,transition_truth,16,accuracy,,,0.8125,small_support_descriptive_only
1,fit,ngboost,transition_truth,16,macro_f1_fixed_five,,,0.823232323232,small_support_descriptive_only
1,fit,ngboost,transition_truth,16,ordinal_mae,,,0.1875,small_support_descriptive_only
1,fit,multinomial_logistic,all_valid,280,accuracy,,,0.957142857143,reported_descriptive
1,fit,multinomial_logistic,all_valid,280,macro_f1_fixed_five,,,0.956676082127,reported_descriptive
1,fit,multinomial_logistic,all_valid,280,ordinal_mae,,,0.0428571428571,reported_descriptive
1,fit,multinomial_logistic,all_valid,280,multiclass_log_loss,,,0.231926235383,reported_descriptive
1,fit,multinomial_logistic,all_valid,280,multiclass_brier,,,0.121449795538,reported_descriptive
1,fit,multinomial_logistic,all_valid,280,recall,0,green,0.964285714286,reported_descriptive
1,fit,multinomial_logistic,all_valid,280,recall,1,blue,0.857142857143,reported_descriptive
1,fit,multinomial_logistic,all_valid,280,recall,2,yellow,0.982142857143,reported_descriptive
1,fit,multinomial_logistic,all_valid,280,recall,3,orange,1,reported_descriptive
1,fit,multinomial_logistic,all_valid,280,recall,4,red,0.982142857143,reported_descriptive
1,fit,multinomial_logistic,transition_truth,16,accuracy,,,0.625,small_support_descriptive_only
1,fit,multinomial_logistic,transition_truth,16,macro_f1_fixed_five,,,0.693333333333,small_support_descriptive_only
1,fit,multinomial_logistic,transition_truth,16,ordinal_mae,,,0.375,small_support_descriptive_only
1,fit,fold1_prior,all_valid,280,accuracy,,,0.2,reported_descriptive
1,fit,fold1_prior,all_valid,280,macro_f1_fixed_five,,,0.0666666666667,reported_descriptive
1,fit,fold1_prior,all_valid,280,ordinal_mae,,,2,reported_descriptive
1,fit,fold1_prior,all_valid,280,multiclass_log_loss,,,1.60943791243,reported_descriptive
1,fit,fold1_prior,all_valid,280,multiclass_brier,,,0.8,reported_descriptive
1,fit,fold1_prior,all_valid,280,recall,0,green,1,reported_descriptive
1,fit,fold1_prior,all_valid,280,recall,1,blue,0,reported_descriptive
1,fit,fold1_prior,all_valid,280,recall,2,yellow,0,reported_descriptive
1,fit,fold1_prior,all_valid,280,recall,3,orange,0,reported_descriptive
1,fit,fold1_prior,all_valid,280,recall,4,red,0,reported_descriptive
1,fit,fold1_prior,transition_truth,16,accuracy,,,0.1875,small_support_descriptive_only
1,fit,fold1_prior,transition_truth,16,macro_f1_fixed_five,,,0.0631578947368,small_support_descriptive_only
1,fit,fold1_prior,transition_truth,16,ordinal_mae,,,1.625,small_support_descriptive_only
1,fit,lag7_persistence,all_valid,273,accuracy,,,0.648351648352,reported_descriptive
1,fit,lag7_persistence,all_valid,273,macro_f1_fixed_five,,,0.646904761905,reported_descriptive
1,fit,lag7_persistence,all_valid,273,ordinal_mae,,,0.3663003663,reported_descriptive
1,fit,lag7_persistence,all_valid,273,recall,0,green,0.732142857143,reported_descriptive
1,fit,lag7_persistence,all_valid,273,recall,1,blue,0.553571428571,reported_descriptive
1,fit,lag7_persistence,all_valid,273,recall,2,yellow,0.428571428571,reported_descriptive
1,fit,lag7_persistence,all_valid,273,recall,3,orange,0.625,reported_descriptive
1,fit,lag7_persistence,all_valid,273,recall,4,red,0.875,reported_descriptive
1,fit,lag7_persistence,transition_truth,16,accuracy,,,0.0625,small_support_descriptive_only
1,fit,lag7_persistence,transition_truth,16,macro_f1_fixed_five,,,0.04,small_support_descriptive_only
1,fit,lag7_persistence,transition_truth,16,ordinal_mae,,,1,small_support_descriptive_only
2,development_already_exposed,ngboost,all_valid,280,accuracy,,,0.353571428571,reported_descriptive
2,development_already_exposed,ngboost,all_valid,280,macro_f1_fixed_five,,,0.28710863673,reported_descriptive
2,development_already_exposed,ngboost,all_valid,280,ordinal_mae,,,0.742857142857,reported_descriptive
2,development_already_exposed,ngboost,all_valid,280,multiclass_log_loss,,,3.33584049457,reported_descriptive
2,development_already_exposed,ngboost,all_valid,280,multiclass_brier,,,0.995969261524,reported_descriptive
2,development_already_exposed,ngboost,all_valid,280,recall,0,green,0.463768115942,reported_descriptive
2,development_already_exposed,ngboost,all_valid,280,recall,1,blue,0.0606060606061,reported_descriptive
2,development_already_exposed,ngboost,all_valid,280,recall,2,yellow,0.358974358974,reported_descriptive
2,development_already_exposed,ngboost,all_valid,280,recall,3,orange,0.809523809524,reported_descriptive
2,development_already_exposed,ngboost,all_valid,280,recall,4,red,0,reported_descriptive
2,development_already_exposed,ngboost,transition_truth,11,accuracy,,,0.0909090909091,small_support_descriptive_only
2,development_already_exposed,ngboost,transition_truth,11,macro_f1_fixed_five,,,0.08,small_support_descriptive_only
2,development_already_exposed,ngboost,transition_truth,11,ordinal_mae,,,1.09090909091,small_support_descriptive_only
2,development_already_exposed,multinomial_logistic,all_valid,280,accuracy,,,0.25,reported_descriptive
2,development_already_exposed,multinomial_logistic,all_valid,280,macro_f1_fixed_five,,,0.196427758186,reported_descriptive
2,development_already_exposed,multinomial_logistic,all_valid,280,ordinal_mae,,,0.832142857143,reported_descriptive
2,development_already_exposed,multinomial_logistic,all_valid,280,multiclass_log_loss,,,2.27323996055,reported_descriptive
2,development_already_exposed,multinomial_logistic,all_valid,280,multiclass_brier,,,1.07712104015,reported_descriptive
2,development_already_exposed,multinomial_logistic,all_valid,280,recall,0,green,0.347826086957,reported_descriptive
2,development_already_exposed,multinomial_logistic,all_valid,280,recall,1,blue,0.151515151515,reported_descriptive
2,development_already_exposed,multinomial_logistic,all_valid,280,recall,2,yellow,0.179487179487,reported_descriptive
2,development_already_exposed,multinomial_logistic,all_valid,280,recall,3,orange,0.238095238095,reported_descriptive
2,development_already_exposed,multinomial_logistic,all_valid,280,recall,4,red,0,reported_descriptive
2,development_already_exposed,multinomial_logistic,transition_truth,11,accuracy,,,0.181818181818,small_support_descriptive_only
2,development_already_exposed,multinomial_logistic,transition_truth,11,macro_f1_fixed_five,,,0.107142857143,small_support_descriptive_only
2,development_already_exposed,multinomial_logistic,transition_truth,11,ordinal_mae,,,0.909090909091,small_support_descriptive_only
2,development_already_exposed,fold1_prior,all_valid,280,accuracy,,,0.492857142857,reported_descriptive
2,development_already_exposed,fold1_prior,all_valid,280,macro_f1_fixed_five,,,0.132057416268,reported_descriptive
2,development_already_exposed,fold1_prior,all_valid,280,ordinal_mae,,,0.967857142857,reported_descriptive
