model_scope,importance_method,distribution_parameter,feature,importance,interpretation
site_primary,ngboost_builtin_feature_importances_non_shap,1,ATU4__acceleration_mm_per_day_squared,0.00928153937042,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,1,ATU4__tangent_angle_degree,4.76100450515e-23,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,1,ATU5__interval_z,1.06246101798e-18,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,1,ATU5__velocity_mm_per_day,0.0113421489447,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,1,ATU5__acceleration_mm_per_day_squared,0.00779443357735,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,1,ATU5__tangent_angle_degree,0.0659057209424,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,1,MJ1__interval_z,0.000636538495047,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,1,MJ1__velocity_mm_per_day,2.02657146388e-18,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,1,MJ1__acceleration_mm_per_day_squared,0.00142677768521,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,1,MJ1__tangent_angle_degree,0,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,1,MJ3__interval_z,0.000630794990821,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,1,MJ3__velocity_mm_per_day,0.0120132891797,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,1,MJ3__acceleration_mm_per_day_squared,0.0820788963383,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,1,MJ3__tangent_angle_degree,0,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,1,MJ9__interval_z,0.000616012741455,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,1,MJ9__velocity_mm_per_day,0,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,1,MJ9__acceleration_mm_per_day_squared,0.0280458346599,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,1,MJ9__tangent_angle_degree,2.24579741018e-18,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,2,ATU1__interval_z,0,model_dependency_not_causal
