seed,fold,phase,epoch,train_pinball_loss,gradient_l2_norm
0,1,selected_configuration_full_fit_refit,1,0.2766706943511963,0.2205469012260437
0,1,selected_configuration_full_fit_refit,2,0.27066704630851746,0.2073238641023636
0,1,selected_configuration_full_fit_refit,3,0.26532942056655884,0.19642989337444305
0,1,selected_configuration_full_fit_refit,4,0.2606014609336853,0.19171534478664398
0,1,selected_configuration_full_fit_refit,5,0.2561175227165222,0.1895207017660141
0,1,selected_configuration_full_fit_refit,6,0.2518126964569092,0.19225169718265533
0,1,selected_configuration_full_fit_refit,7,0.24748066067695618,0.19220033288002014
0,1,selected_configuration_full_fit_refit,8,0.24311909079551697,0.19095343351364136
0,1,selected_configuration_full_fit_refit,9,0.23868508636951447,0.1882641613483429
0,1,selected_configuration_full_fit_refit,10,0.23427313566207886,0.1816127449274063
0,1,selected_configuration_full_fit_refit,11,0.22996361553668976,0.1784895658493042
0,1,selected_configuration_full_fit_refit,12,0.22567152976989746,0.17181098461151123
0,1,selected_configuration_full_fit_refit,13,0.2214384227991104,0.16715557873249054
0,1,selected_configuration_full_fit_refit,14,0.21725957095623016,0.16111454367637634
0,1,selected_configuration_full_fit_refit,15,0.21313530206680298,0.15370121598243713
0,1,selected_configuration_full_fit_refit,16,0.20914269983768463,0.1453086882829666
0,2,selected_configuration_full_fit_refit,1,0.3413710296154022,0.29407382011413574
0,2,selected_configuration_full_fit_refit,2,0.33854222297668457,0.29224106669425964
0,2,selected_configuration_full_fit_refit,3,0.3357999622821808,0.2909441590309143
0,2,selected_configuration_full_fit_refit,4,0.3331034481525421,0.28910690546035767
0,2,selected_configuration_full_fit_refit,5,0.33041417598724365,0.288677453994751
0,2,selected_configuration_full_fit_refit,6,0.3276911973953247,0.2884475886821747
0,2,selected_configuration_full_fit_refit,7,0.32490694522857666,0.2884306311607361
0,2,selected_configuration_full_fit_refit,8,0.3220287561416626,0.2887333035469055
0,2,selected_configuration_full_fit_refit,9,0.31902211904525757,0.2887996733188629
0,2,selected_configuration_full_fit_refit,10,0.3158726096153259,0.2884376049041748
0,2,selected_configuration_full_fit_refit,11,0.31255513429641724,0.2884071469306946
0,2,selected_configuration_full_fit_refit,12,0.30902907252311707,0.28829964995384216
0,2,selected_configuration_full_fit_refit,13,0.30531027913093567,0.2867652177810669
0,2,selected_configuration_full_fit_refit,14,0.30143025517463684,0.28324729204177856
0,2,selected_configuration_full_fit_refit,15,0.29742497205734253,0.281069815158844
0,2,selected_configuration_full_fit_refit,16,0.29328417778015137,0.2766537070274353
0,2,selected_configuration_full_fit_refit,17,0.28913792967796326,0.2694527804851532
0,2,selected_configuration_full_fit_refit,18,0.28502070903778076,0.26316043734550476
0,2,selected_configuration_full_fit_refit,19,0.28083598613739014,0.2594060003757477
0,2,selected_configuration_full_fit_refit,20,0.27655908465385437,0.2569684386253357
0,2,selected_configuration_full_fit_refit,21,0.2721381187438965,0.254118412733078
0,2,selected_configuration_full_fit_refit,22,0.2675435543060303,0.2536187469959259
0,2,selected_configuration_full_fit_refit,23,0.26277923583984375,0.2469051480293274
0,2,selected_configuration_full_fit_refit,24,0.2579975426197052,0.23757582902908325
0,2,selected_configuration_full_fit_refit,25,0.25328192114830017,0.22611968219280243
0,2,selected_configuration_full_fit_refit,26,0.24870696663856506,0.21148164570331573
