seed,fold,scope,interval_variant,test_start_date,test_end_date,selected_epoch,stop_reason,reference_model_rmse,selected_model_rmse,delta_model_rmse,reference_model_mae,selected_model_mae,delta_model_mae,reference_rmse_skill_vs_baseline,selected_rmse_skill_vs_baseline,delta_rmse_skill_vs_baseline,reference_mae_skill_vs_baseline,selected_mae_skill_vs_baseline,delta_mae_skill_vs_baseline,reference_model_mean_error,selected_model_mean_error,delta_model_mean_error,reference_mean_predicted_increment,selected_mean_predicted_increment,delta_mean_predicted_increment,reference_predicted_increment_std,selected_predicted_increment_std,delta_predicted_increment_std,reference_increment_std_ratio,selected_increment_std_ratio,delta_increment_std_ratio,reference_increment_correlation,selected_increment_correlation,delta_increment_correlation,reference_coverage,selected_coverage,delta_coverage,reference_mean_width,selected_mean_width,delta_mean_width,reference_mean_pinball,selected_mean_pinball,delta_mean_pinball,reference_interval_score_80,selected_interval_score_80,delta_interval_score_80,rmse_improved,mae_improved,best_seed_selected,rmse_numerically_equal,mae_numerically_equal,comparison_metric_atol,analysis_method,reference_config_id,outer_test_used_for_ranking
0,1,ATU1,calibrated,2018-02-21,2018-12-04,16,patience_exhausted,1.926579956424722,1.9265799564247221,2.220446049250313e-16,1.813649896743612,1.813649896743612,0.0,-8.026974919105031,-8.026974919105031,0.0,-10.352913437369596,-10.352913437369597,-1.7763568394002505e-15,1.813649896743612,1.813649896743612,0.0,1.9734018323810096,1.9734018323810096,0.0,0.6387799992055528,0.6387799992055528,0.0,4.50566496714186,4.50566496714186,0.0,0.023619957407274,0.02361995740727407,6.938893903907228e-17,0.397212543554007,0.397212543554007,0.0,2.569952634112445,2.569952634112445,0.0,0.5027496932768223,0.5027496932768223,0.0,6.014241314586608,6.014241314586608,0.0,False,False,False,True,True,1e-12,predeclared_2x2_capacity_weight_decay_sensitivity,h16_wd0,False
0,1,ATU1,raw,2018-02-21,2018-12-04,16,patience_exhausted,1.926579956424722,1.9265799564247221,2.220446049250313e-16,1.813649896743612,1.813649896743612,0.0,-8.026974919105031,-8.026974919105031,0.0,-10.352913437369596,-10.352913437369597,-1.7763568394002505e-15,1.813649896743612,1.813649896743612,0.0,1.9734018323810096,1.9734018323810096,0.0,0.6387799992055528,0.6387799992055528,0.0,4.50566496714186,4.50566496714186,0.0,0.023619957407274,0.02361995740727407,6.938893903907228e-17,0.397212543554007,0.397212543554007,0.0,2.569952634112445,2.569952634112445,0.0,0.5027496932768223,0.5027496932768223,0.0,6.014241314586608,6.014241314586608,0.0,False,False,False,True,True,1e-12,predeclared_2x2_capacity_weight_decay_sensitivity,h16_wd0,False
0,1,ATU2,calibrated,2018-02-21,2018-12-04,16,patience_exhausted,1.6437465515916636,1.6437465515916636,0.0,1.5535460888885568,1.5535460888885568,0.0,-9.375619410592307,-9.375619410592309,-1.7763568394002505e-15,-13.523383477030984,-13.523383477030983,1.7763568394002505e-15,1.5535460888885568,1.5535460888885568,0.0,1.6605146951603336,1.6605146951603336,0.0,0.5352577192663441,0.5352577192663441,0.0,4.572412733097815,4.572412733097815,0.0,0.086171613942978,0.08617161394297806,6.938893903907228e-17,0.2229965156794425,0.2229965156794425,0.0,1.9211585430703817,1.9211585430703815,-2.220446049250313e-16,0.4581131082971204,0.45811310829712043,5.551115123125783e-17,5.975662804470828,5.975662804470828,0.0,False,False,False,True,True,1e-12,predeclared_2x2_capacity_weight_decay_sensitivity,h16_wd0,False
0,1,ATU2,raw,2018-02-21,2018-12-04,16,patience_exhausted,1.6437465515916636,1.6437465515916636,0.0,1.5535460888885568,1.5535460888885568,0.0,-9.375619410592307,-9.375619410592309,-1.7763568394002505e-15,-13.523383477030984,-13.523383477030983,1.7763568394002505e-15,1.5535460888885568,1.5535460888885568,0.0,1.6605146951603336,1.6605146951603336,0.0,0.5352577192663441,0.5352577192663441,0.0,4.572412733097815,4.572412733097815,0.0,0.086171613942978,0.08617161394297806,6.938893903907228e-17,0.2229965156794425,0.2229965156794425,0.0,1.9211585430703817,1.9211585430703815,-2.220446049250313e-16,0.4581131082971204,0.45811310829712043,5.551115123125783e-17,5.975662804470828,5.975662804470828,0.0,False,False,False,True,True,1e-12,predeclared_2x2_capacity_weight_decay_sensitivity,h16_wd0,False
0,1,ATU3,calibrated,2018-02-21,2018-12-04,16,patience_exhausted,2.060789167302922,2.060789167302922,0.0,1.9107539110716825,1.9107539110716825,0.0,-5.456722288647763,-5.456722288647763,0.0,-7.027492833082594,-7.027492833082594,0.0,1.9107539110716825,1.9107539110716825,0.0,2.1487801480054807,2.1487801480054807,0.0,0.7875426541730608,0.7875426541730608,0.0,3.697309985866113,3.697309985866113,0.0,0.2016075030186435,0.2016075030186435,0.0,0.4146341463414634,0.4146341463414634,0.0,2.7022027402741924,2.7022027402741924,0.0,0.5483073142442155,0.5483073142442155,0.0,6.895449871968055,6.895449871968055,0.0,False,False,False,True,True,1e-12,predeclared_2x2_capacity_weight_decay_sensitivity,h16_wd0,False
0,1,ATU3,raw,2018-02-21,2018-12-04,16,patience_exhausted,2.060789167302922,2.060789167302922,0.0,1.9107539110716825,1.9107539110716825,0.0,-5.456722288647763,-5.456722288647763,0.0,-7.027492833082594,-7.027492833082594,0.0,1.9107539110716825,1.9107539110716825,0.0,2.1487801480054807,2.1487801480054807,0.0,0.7875426541730608,0.7875426541730608,0.0,3.697309985866113,3.697309985866113,0.0,0.2016075030186435,0.2016075030186435,0.0,0.4146341463414634,0.4146341463414634,0.0,2.7022027402741924,2.7022027402741924,0.0,0.5483073142442155,0.5483073142442155,0.0,6.895449871968055,6.895449871968055,0.0,False,False,False,True,True,1e-12,predeclared_2x2_capacity_weight_decay_sensitivity,h16_wd0,False
0,1,ATU4,calibrated,2018-02-21,2018-12-04,16,patience_exhausted,1.1849246373685036,1.1849246373685036,0.0,1.095025143925137,1.095025143925137,0.0,-7.456450185076303,-7.456450185076303,0.0,-10.323692617853188,-10.323692617853187,1.7763568394002505e-15,1.095025143925137,1.095025143925137,0.0,1.191727269360677,1.191727269360677,0.0,0.4606807968865603,0.4606807968865603,0.0,4.53515333620007,4.53515333620007,0.0,0.180168310934334,0.180168310934334,0.0,0.4076655052264808,0.4076655052264808,0.0,1.5522801334571472,1.5522801334571472,0.0,0.3163846571218516,0.31638465712185165,5.551115123125783e-17,4.016413994029865,4.016413994029865,0.0,False,False,False,True,True,1e-12,predeclared_2x2_capacity_weight_decay_sensitivity,h16_wd0,False
0,1,ATU4,raw,2018-02-21,2018-12-04,16,patience_exhausted,1.1849246373685036,1.1849246373685036,0.0,1.095025143925137,1.095025143925137,0.0,-7.456450185076303,-7.456450185076303,0.0,-10.323692617853188,-10.323692617853187,1.7763568394002505e-15,1.095025143925137,1.095025143925137,0.0,1.191727269360677,1.191727269360677,0.0,0.4606807968865603,0.4606807968865603,0.0,4.53515333620007,4.53515333620007,0.0,0.180168310934334,0.180168310934334,0.0,0.4076655052264808,0.4076655052264808,0.0,1.5522801334571472,1.5522801334571472,0.0,0.3163846571218516,0.31638465712185165,5.551115123125783e-17,4.016413994029865,4.016413994029865,0.0,False,False,False,True,True,1e-12,predeclared_2x2_capacity_weight_decay_sensitivity,h16_wd0,False
0,1,ATU5,calibrated,2018-02-21,2018-12-04,16,patience_exhausted,1.6328698792304337,1.6328698792304337,0.0,1.513011117172303,1.513011117172303,0.0,-3.21454395419153,-3.21454395419153,0.0,-4.260455281707782,-4.260455281707782,0.0,1.513011117172303,1.513011117172303,0.0,1.800630921190694,1.8006309211906941,2.220446049250313e-16,0.6435248854602302,0.6435248854602302,0.0,2.4747697622319427,2.4747697622319427,0.0,0.3088419091368741,0.3088419091368741,0.0,0.4285714285714285,0.42857142857142855,5.551115123125783e-17,2.2336450417559965,2.2336450417559965,0.0,0.4256234142041398,0.4256234142041398,0.0,5.203646840262682,5.203646840262682,0.0,False,False,False,True,True,1e-12,predeclared_2x2_capacity_weight_decay_sensitivity,h16_wd0,False
0,1,ATU5,raw,2018-02-21,2018-12-04,16,patience_exhausted,1.6328698792304337,1.6328698792304337,0.0,1.513011117172303,1.513011117172303,0.0,-3.21454395419153,-3.21454395419153,0.0,-4.260455281707782,-4.260455281707782,0.0,1.513011117172303,1.513011117172303,0.0,1.800630921190694,1.8006309211906941,2.220446049250313e-16,0.6435248854602302,0.6435248854602302,0.0,2.4747697622319427,2.4747697622319427,0.0,0.3088419091368741,0.3088419091368741,0.0,0.4285714285714285,0.42857142857142855,5.551115123125783e-17,2.2336450417559965,2.2336450417559965,0.0,0.4256234142041398,0.4256234142041398,0.0,5.203646840262682,5.203646840262682,0.0,False,False,False,True,True,1e-12,predeclared_2x2_capacity_weight_decay_sensitivity,h16_wd0,False
