fold,scope,interval_variant,test_start_date,test_end_date,n_dates,n_stations,seed_count,seeds,baseline_rmse,baseline_mae,mean_actual_increment,actual_increment_std,rmse_skill_positive_seeds,mae_skill_positive_seeds,rmse_skill_sign,mae_skill_sign,best_seed_selected,confirmatory_external_validation,model_rmse_mean,model_rmse_std,model_rmse_min,model_rmse_max,model_mae_mean,model_mae_std,model_mae_min,model_mae_max,rmse_skill_vs_baseline_mean,rmse_skill_vs_baseline_std,rmse_skill_vs_baseline_min,rmse_skill_vs_baseline_max,mae_skill_vs_baseline_mean,mae_skill_vs_baseline_std,mae_skill_vs_baseline_min,mae_skill_vs_baseline_max,model_mean_error_mean,model_mean_error_std,model_mean_error_min,model_mean_error_max,mean_predicted_increment_mean,mean_predicted_increment_std,mean_predicted_increment_min,mean_predicted_increment_max,predicted_increment_std_mean,predicted_increment_std_std,predicted_increment_std_min,predicted_increment_std_max,increment_std_ratio_mean,increment_std_ratio_std,increment_std_ratio_min,increment_std_ratio_max,increment_correlation_mean,increment_correlation_std,increment_correlation_min,increment_correlation_max,coverage_mean,coverage_std,coverage_min,coverage_max,mean_width_mean,mean_width_std,mean_width_min,mean_width_max,mean_pinball_mean,mean_pinball_std,mean_pinball_min,mean_pinball_max,interval_score_80_mean,interval_score_80_std,interval_score_80_min,interval_score_80_max
1,ATU1,calibrated,2018-02-21,2018-12-04,287,1,5,"0,1,2,3,4",0.2134247600873727,0.1597519356373974,0.1597519356373974,0.14177263597358836,0,0,all_nonpositive,all_nonpositive,False,False,3.2064905803088015,0.8152092632750365,2.218623589013197,4.371978695114753,2.7288105621454033,0.9876383727641606,1.8806731240984058,4.24592089678675,-14.02398587209898,3.819656458516355,-19.48487107739952,-9.39534301505096,-16.08154928613333,6.182324920343298,-25.57821252585057,-10.772459072841096,2.721202272244452,0.9931777065530959,1.879351493096003,4.243663656226198,2.88095420788185,0.993177706553096,2.0391034287334007,4.403415591863595,1.564850893343373,0.45350965729441783,1.0613512654704946,2.113063190670988,11.037749863343855,3.1988518389324776,7.486291400184023,14.904591257403457,0.01957172048123845,0.08182577717645739,-0.07871623955799249,0.12355925898099146,0.3790940766550523,0.2005437617730045,0.11846689895470383,0.5261324041811847,4.352418661039676,2.0545868152220423,2.546218905540362,7.663224181819799,1.0262494463624747,0.25693642833244945,0.7100174724340302,1.299559302113779,17.14343058014723,3.77037846316086,11.897158552528882,22.4741738665772
1,ATU1,raw,2018-02-21,2018-12-04,287,1,5,"0,1,2,3,4",0.2134247600873727,0.1597519356373974,0.1597519356373974,0.14177263597358836,0,0,all_nonpositive,all_nonpositive,False,False,3.2064905803088015,0.8152092632750365,2.218623589013197,4.371978695114753,2.7288105621454033,0.9876383727641606,1.8806731240984058,4.24592089678675,-14.02398587209898,3.819656458516355,-19.48487107739952,-9.39534301505096,-16.08154928613333,6.182324920343298,-25.57821252585057,-10.772459072841096,2.721202272244452,0.9931777065530959,1.879351493096003,4.243663656226198,2.88095420788185,0.993177706553096,2.0391034287334007,4.403415591863595,1.564850893343373,0.45350965729441783,1.0613512654704946,2.113063190670988,11.037749863343855,3.1988518389324776,7.486291400184023,14.904591257403457,0.01957172048123845,0.08182577717645739,-0.07871623955799249,0.12355925898099146,0.3170731707317073,0.2396087978669574,0.006968641114982578,0.5226480836236934,3.100862574231015,0.5070884782306216,2.546218905540362,3.6998794998983007,1.1648889089593855,0.46257635607820086,0.7807651220729416,1.9220089654594217,21.302614458054556,9.003120211807111,14.019588041696219,36.43066447984892
1,ATU2,calibrated,2018-02-21,2018-12-04,287,1,5,"0,1,2,3,4",0.1584239443009627,0.10696860627177686,0.10696860627177686,0.11706242426276037,0,0,all_nonpositive,all_nonpositive,False,False,2.6632679936638515,0.6476259920189815,1.9280699298634187,3.645060729157438,2.4173337478881356,0.7697726248093241,1.71503698529506,3.604751423434277,-15.81101935326368,4.0879299835425575,-22.008269016663334,-11.170318939923668,-21.598534580757057,7.1962480548129255,-32.69915294844196,-15.033087137151604,2.4173337478881356,0.7697726248093241,1.71503698529506,3.604751423434277,2.524302354159912,0.7697726248093241,1.8220055915668365,3.7117200297060533,0.9875784888420496,0.4198164903552046,0.5413204270261215,1.6065556773484235,8.43634065381487,3.586261714629087,4.624203115861194,13.723922834045538,0.07151749061404222,0.047558320566279025,0.02367043624864521,0.13471495665849195,0.3895470383275262,0.22802209419484615,0.11498257839721254,0.627177700348432,4.289470801922301,2.6714799759861845,1.8317147819993878,8.294470188730251,0.8327678293156293,0.2105758581927905,0.5272847702389533,1.0608033143483984,12.896366140028201,4.938258028849879,6.7633693847631715,18.361653055201977
1,ATU2,raw,2018-02-21,2018-12-04,287,1,5,"0,1,2,3,4",0.1584239443009627,0.10696860627177686,0.10696860627177686,0.11706242426276037,0,0,all_nonpositive,all_nonpositive,False,False,2.6632679936638515,0.6476259920189815,1.9280699298634187,3.645060729157438,2.4173337478881356,0.7697726248093241,1.71503698529506,3.604751423434277,-15.81101935326368,4.0879299835425575,-22.008269016663334,-11.170318939923668,-21.598534580757057,7.1962480548129255,-32.69915294844196,-15.033087137151604,2.4173337478881356,0.7697726248093241,1.71503698529506,3.604751423434277,2.524302354159912,0.7697726248093241,1.8220055915668365,3.7117200297060533,0.9875784888420496,0.4198164903552046,0.5413204270261215,1.6065556773484235,8.43634065381487,3.586261714629087,4.624203115861194,13.723922834045538,0.07151749061404222,0.047558320566279025,0.02367043624864521,0.13471495665849195,0.17909407665505225,0.18986510002321486,0.010452961672473868,0.5017421602787456,2.308442687927152,0.3580103679182545,1.8317147819993878,2.6669356000873017,1.0403373466086587,0.3820398868789579,0.7184247956050935,1.6596483882206474,19.123451658819086,7.638111723530219,12.977558941677502,31.76569452944804
1,ATU3,calibrated,2018-02-21,2018-12-04,287,1,5,"0,1,2,3,4",0.3191695530913898,0.23802623693379796,0.23802623693379796,0.21300422663602417,0,0,all_nonpositive,all_nonpositive,False,False,3.5635825651025668,0.8887575421281563,2.4844232198629466,4.879534248751177,3.294763115997676,1.024257679835558,2.345495667408458,4.822379232150393,-10.165170770791487,2.7845937481188026,-14.288219698556238,-6.784023243443795,-12.842016571114579,4.303129323178075,-19.25986418250034,-8.853937522277466,3.294763115997676,1.024257679835558,2.345495667408458,4.822379232150393,3.5327893529314744,1.024257679835558,2.5835219043422564,5.060405469084191,1.2194383505271371,0.5062084148605037,0.7516281046669646,2.0260434142032,5.724949076296407,2.3765181698741547,3.5287004231673125,9.511752166614272,0.186397319456929,0.0390966755419344,0.14276699371943088,0.24070018196873155,0.3881533101045296,0.2699010571136442,0.08013937282229965,0.6655052264808362,6.010020998271358,3.241795291296821,3.0146235524587714,10.895370191713535,1.1091599719861966,0.300763603845233,0.6830906731477029,1.4418236708071506,16.80098357959752,6.74433406782532,8.765241857388798,26.23371830801082
1,ATU3,raw,2018-02-21,2018-12-04,287,1,5,"0,1,2,3,4",0.3191695530913898,0.23802623693379796,0.23802623693379796,0.21300422663602417,0,0,all_nonpositive,all_nonpositive,False,False,3.5635825651025668,0.8887575421281563,2.4844232198629466,4.879534248751177,3.294763115997676,1.024257679835558,2.345495667408458,4.822379232150393,-10.165170770791487,2.7845937481188026,-14.288219698556238,-6.784023243443795,-12.842016571114579,4.303129323178075,-19.25986418250034,-8.853937522277466,3.294763115997676,1.024257679835558,2.345495667408458,4.822379232150393,3.5327893529314744,1.024257679835558,2.5835219043422564,5.060405469084191,1.2194383505271371,0.5062084148605037,0.7516281046669646,2.0260434142032,5.724949076296407,2.3765181698741547,3.5287004231673125,9.511752166614272,0.186397319456929,0.0390966755419344,0.14276699371943088,0.24070018196873155,0.14006968641114986,0.19202368463465877,0.010452961672473868,0.47735191637630664,3.213439956948405,0.4566876001130835,2.5738127941106645,3.6822101759924357,1.4032589480516884,0.5089723161339368,0.9532596694799128,2.2011187052967465,25.62395286156227,10.17931972304324,16.829225772455636,41.92166499815043
1,ATU4,calibrated,2018-02-21,2018-12-04,287,1,5,"0,1,2,3,4",0.1401208085467853,0.09670212543553999,0.09670212543553999,0.1015799825794991,0,0,all_nonpositive,all_nonpositive,False,False,2.0641081244257515,0.5341274569473692,1.4053305997551235,2.8453653031312776,1.9222235591206371,0.6049383312058664,1.3247948613155855,2.8116653615234757,-13.73091788316766,3.8119067573680763,-19.306515018297453,-9.029421142584216,-18.87777983641072,6.255688057333424,-28.075528059594557,-12.699749155965259,1.9222235591206371,0.6049383312058664,1.3247948613155855,2.8116653615234757,2.0189256845561774,0.6049383312058665,1.4214969867511253,2.908367486959016,0.6775639511496643,0.27170755271713426,0.4432591353628042,1.1253710478216323,6.670250712234425,2.6748139329959915,4.363646499111163,11.078669431163645,0.18704259915923874,0.011770482385166888,0.17199933409817597,0.20387493628736772,0.41393728222996523,0.28736034715074044,0.08013937282229965,0.686411149825784,3.6710571426963794,1.7374092349687755,2.0431922925732273,6.375173982871446,0.6336905628878166,0.19012441506443387,0.38633094104729987,0.8781227044229488,9.399599091031314,4.161496589767359,4.965953924841069,15.970220094012062
1,ATU4,raw,2018-02-21,2018-12-04,287,1,5,"0,1,2,3,4",0.1401208085467853,0.09670212543553999,0.09670212543553999,0.1015799825794991,0,0,all_nonpositive,all_nonpositive,False,False,2.0641081244257515,0.5341274569473692,1.4053305997551235,2.8453653031312776,1.9222235591206371,0.6049383312058664,1.3247948613155855,2.8116653615234757,-13.73091788316766,3.8119067573680763,-19.306515018297453,-9.029421142584216,-18.87777983641072,6.255688057333424,-28.075528059594557,-12.699749155965259,1.9222235591206371,0.6049383312058664,1.3247948613155855,2.8116653615234757,2.0189256845561774,0.6049383312058665,1.4214969867511253,2.908367486959016,0.6775639511496643,0.27170755271713426,0.4432591353628042,1.1253710478216323,6.670250712234425,2.6748139329959915,4.363646499111163,11.078669431163645,0.18704259915923874,0.011770482385166888,0.17199933409817597,0.20387493628736772,0.12961672473867597,0.18353805300806106,0.010452961672473868,0.4529616724738676,1.8348426011228582,0.2513038654213238,1.4737547645142226,2.0831197349400625,0.8187410233301649,0.3033601340680303,0.5441241523613481,1.2841312866321672,14.951112904301763,6.092952121001151,9.632208041635053,24.465611791347644
1,ATU5,calibrated,2018-02-21,2018-12-04,287,1,5,"0,1,2,3,4",0.387436908234515,0.2876198040183912,0.2876198040183912,0.26003424451083024,0,0,all_nonpositive,all_nonpositive,False,False,3.0995903569442436,0.720260546940475,2.3024899056578487,4.163884601353127,2.873655862779423,0.8491089670186562,2.0333239366511733,4.1323784165096615,-7.000245436266144,1.8590395794313497,-9.747258489975183,-4.94287703809611,-8.991161326970632,2.9521922870247206,-13.367503067505831,-6.069485161463906,2.8732130051254137,0.849657217382094,2.0311096483811286,4.1323784165096615,3.160832809143805,0.8496572173820944,2.31872945239952,4.419998220528054,1.0477003269879992,0.48009482176754914,0.511044530389599,1.7720104602747755,4.0290859727298844,1.8462753729636312,1.9652970375150505,6.814527308156032,0.2835629393253293,0.022059527535191664,0.25015899111382073,0.30616893337294976,0.33031358885017426,0.20586113659721453,0.10452961672473868,0.5296167247386759,4.891888574869622,2.8292681866500486,2.1813130894705703,9.287255381323751,0.9826820207526378,0.24621918027631995,0.6369191282895232,1.23548873070793,15.112181308682022,5.931796150297866,8.141603934553501,21.129975934389364
1,ATU5,raw,2018-02-21,2018-12-04,287,1,5,"0,1,2,3,4",0.387436908234515,0.2876198040183912,0.2876198040183912,0.26003424451083024,0,0,all_nonpositive,all_nonpositive,False,False,3.0995903569442436,0.720260546940475,2.3024899056578487,4.163884601353127,2.873655862779423,0.8491089670186562,2.0333239366511733,4.1323784165096615,-7.000245436266144,1.8590395794313497,-9.747258489975183,-4.94287703809611,-8.991161326970632,2.9521922870247206,-13.367503067505831,-6.069485161463906,2.8732130051254137,0.849657217382094,2.0311096483811286,4.1323784165096615,3.160832809143805,0.8496572173820944,2.31872945239952,4.419998220528054,1.0477003269879992,0.48009482176754914,0.511044530389599,1.7720104602747755,4.0290859727298844,1.8462753729636312,1.9652970375150505,6.814527308156032,0.2835629393253293,0.022059527535191664,0.25015899111382073,0.30616893337294976,0.14146341463414636,0.15612711268303847,0.006968641114982578,0.41114982578397213,2.730443808012126,0.4227540584964348,2.1813130894705703,3.25023647451286,1.2370630349486822,0.420122445266915,0.8358324487957063,1.8965343112793456,22.743611734563366,8.388607595185986,14.908353780615325,36.234137255832074
