period,interval_variant,start_date,end_date,n_dates,model_rmse,model_mae,model_r2,model_nse,baseline_rmse,baseline_mae,baseline_r2,baseline_nse,pinball_p10,pinball_p50,pinball_p90,mean_pinball,coverage,coverage_gap,mean_width,interval_score_80,p10_gt_p50,p50_gt_p90,total_points,rmse_skill_vs_baseline,rmse_difference_vs_baseline,mae_difference_vs_baseline,mae_skill_vs_baseline
test_block_1,raw,2019-09-18,2019-12-22,96,0.07211278083057128,0.0509726322331853,0.9999999471167829,0.9999999471167829,0.08294163187285421,0.06198669419603564,0.9999999300418152,0.9999999300418152,0.019471434499122958,0.02548631611659265,0.033934615363568045,0.026297455326427882,0.9114583333333334,0.11145833333333333,0.44252134187954045,0.5340604986269101,0,0,768,0.13055989854266514,-0.010828851042282928,-0.01101406196285034,0.17768429347140025
test_block_2,raw,2019-12-23,2020-03-27,96,0.12998897282131014,0.0897900009392123,0.9999998299735661,0.9999998299735661,0.13946014647797897,0.09971997493469553,0.9999998042942183,0.9999998042942183,0.028938175720702747,0.04489500046960615,0.032973409801143244,0.035602195330484046,0.8893229166666666,0.08932291666666659,0.4716359774743937,0.61911585521846,0,0,768,0.06791311995477034,-0.00947117365666883,-0.009929973995483232,0.09957858495237448
test_block_3,raw,2020-03-28,2020-06-30,95,0.5677488022156921,0.384415767464846,0.9999968527664346,0.9999968527664346,0.5684763158517113,0.3819896338569427,0.9999968446955331,0.9999968446955331,0.06805812919708189,0.192207883732423,0.16332170843799346,0.14119590712249944,0.44605263157894737,-0.3539473684210527,0.6422692878162116,2.3137983763507535,0,0,760,0.001279760679086861,-0.0007275136360191947,0.0024261336079033358,-0.006351307451478938
test_block_1,calibrated,2019-09-18,2019-12-22,96,0.07211278083057128,0.0509726322331853,0.9999999471167829,0.9999999471167829,0.08294163187285421,0.06198669419603564,0.9999999300418152,0.9999999300418152,0.02065795157855017,0.02548631611659265,0.0327859352126371,0.026310067635926637,0.9192708333333334,0.11927083333333333,0.46658734308631683,0.5344388679118727,0,0,768,0.13055989854266514,-0.010828851042282928,-0.01101406196285034,0.17768429347140025
test_block_2,calibrated,2019-12-23,2020-03-27,96,0.12998897282131014,0.0897900009392123,0.9999998299735661,0.9999998299735661,0.13946014647797897,0.09971997493469553,0.9999998042942183,0.9999998042942183,0.03014147578104157,0.04489500046960615,0.030781376082801997,0.03527261744448324,0.8997395833333334,0.09973958333333333,0.49570197868117005,0.6092285186384357,0,0,768,0.06791311995477034,-0.00947117365666883,-0.009929973995483232,0.09957858495237448
test_block_3,calibrated,2020-03-28,2020-06-30,95,0.5677488022156921,0.384415767464846,0.9999968527664346,0.9999968527664346,0.5684763158517113,0.3819896338569427,0.9999968446955331,0.9999968446955331,0.06888059770291326,0.192207883732423,0.15548877368510716,0.1388590850401478,0.4868421052631579,-0.31315789473684214,0.666335289022988,2.243693713880204,0,0,760,0.001279760679086861,-0.0007275136360191947,0.0024261336079033358,-0.006351307451478938
