fold,config_id,hidden_channels,weight_decay,parameter_count,seed_count,seeds,validation_loss_mean,validation_loss_std,validation_loss_min,validation_loss_max,selected_epoch_mean,selected_epoch_std,selected_epoch_min,selected_epoch_max,outer_test_used_for_ranking,best_seed_selected,selection_rank,selected_config
1,h16_wd0,16,0.0,12787,5,"0,1,2,3,4",1.290407943725586,0.03687373962027855,1.2475908994674683,1.3457120656967163,33.4,21.05469068877527,16,61,False,False,1,True
1,h16_wd1e4,16,0.0001,12787,5,"0,1,2,3,4",1.290560245513916,0.036977340192758036,1.247390866279602,1.3460527658462524,33.4,21.05469068877527,16,61,False,False,2,False
1,h08_wd1e4,8,0.0001,4091,5,"0,1,2,3,4",1.3207133769989015,0.019078861895491846,1.2971733808517456,1.3366949558258057,59.0,27.54087870784082,26,91,False,False,3,False
1,h08_wd0,8,0.0,4091,5,"0,1,2,3,4",1.3207422256469727,0.01898359849611241,1.2972755432128906,1.3369793891906738,59.2,27.453597214208557,26,91,False,False,4,False
2,h08_wd0,8,0.0,4091,5,"0,1,2,3,4",0.14698965549468995,0.0052153296949861315,0.14093613624572754,0.15348246693611145,22.0,13.057564857200596,1,35,False,False,1,True
2,h08_wd1e4,8,0.0001,4091,5,"0,1,2,3,4",0.1469945043325424,0.005210925042962727,0.14095157384872437,0.15347467362880707,22.0,13.057564857200596,1,35,False,False,2,False
2,h16_wd1e4,16,0.0001,12787,5,"0,1,2,3,4",0.1480867564678192,0.008547481081625724,0.13917815685272217,0.16139858961105347,8.6,7.021395872616783,3,20,False,False,3,False
2,h16_wd0,16,0.0,12787,5,"0,1,2,3,4",0.1481083780527115,0.00857059675476581,0.1391802728176117,0.1614617556333542,8.4,6.985699678629192,3,20,False,False,4,False
3,h16_wd1e4,16,0.0001,12787,5,"0,1,2,3,4",0.0859827771782875,0.006473331060885485,0.07995934039354324,0.09611804783344269,20.8,43.16480047446067,1,98,False,False,1,True
3,h16_wd0,16,0.0,12787,5,"0,1,2,3,4",0.08628233224153518,0.006196893527625831,0.07995884865522385,0.09611295908689499,20.8,43.16480047446067,1,98,False,False,2,False
3,h08_wd1e4,8,0.0001,4091,5,"0,1,2,3,4",0.08914988934993744,0.013414415731193771,0.07315351814031601,0.10714127123355865,52.6,74.80173794772419,13,186,False,False,3,False
3,h08_wd0,8,0.0,4091,5,"0,1,2,3,4",0.08959010690450668,0.012762261881248044,0.0754031240940094,0.10714127868413925,43.2,53.872070686024315,13,139,False,False,4,False
