config_id,hidden_channels,weight_decay,seed,fold,epoch,train_pinball_loss,validation_pinball_loss,gradient_l2_norm,monitor_improved,stale_epochs
h08_wd0,8,0.0,0,1,1,0.4190598428249359,1.6502320766448975,0.32437312602996826,True,0
h08_wd0,8,0.0,0,1,2,0.4156355857849121,1.6338310241699219,0.3241071403026581,True,0
h08_wd0,8,0.0,0,1,3,0.41222572326660156,1.6179616451263428,0.3247000575065613,True,0
h08_wd0,8,0.0,0,1,4,0.40879273414611816,1.6025310754776,0.32520079612731934,True,0
h08_wd0,8,0.0,0,1,5,0.4052979350090027,1.5874147415161133,0.32572001218795776,True,0
h08_wd0,8,0.0,0,1,6,0.401690810918808,1.572693943977356,0.3266822099685669,True,0
h08_wd0,8,0.0,0,1,7,0.3979317843914032,1.5583730936050415,0.3276534676551819,True,0
h08_wd0,8,0.0,0,1,8,0.3939816653728485,1.5446492433547974,0.32916268706321716,True,0
h08_wd0,8,0.0,0,1,9,0.38979727029800415,1.5315982103347778,0.3311317265033722,True,0
h08_wd0,8,0.0,0,1,10,0.38534730672836304,1.5189353227615356,0.3337914049625397,True,0
h08_wd0,8,0.0,0,1,11,0.38061124086380005,1.506516695022583,0.3358590304851532,True,0
h08_wd0,8,0.0,0,1,12,0.3755866289138794,1.4942049980163574,0.3379043638706207,True,0
h08_wd0,8,0.0,0,1,13,0.3702859878540039,1.481986165046692,0.3390089273452759,True,0
h08_wd0,8,0.0,0,1,14,0.3647143840789795,1.4702078104019165,0.34053897857666016,True,0
h08_wd0,8,0.0,0,1,15,0.3588830232620239,1.4589309692382812,0.3423001766204834,True,0
h08_wd0,8,0.0,0,1,16,0.3527863919734955,1.4480668306350708,0.34427863359451294,True,0
h08_wd0,8,0.0,0,1,17,0.34644991159439087,1.4377063512802124,0.344180703163147,True,0
h08_wd0,8,0.0,0,1,18,0.3399643003940582,1.4277393817901611,0.3416980504989624,True,0
h08_wd0,8,0.0,0,1,19,0.3333812355995178,1.4182928800582886,0.3408939838409424,True,0
h08_wd0,8,0.0,0,1,20,0.3266545236110687,1.4095021486282349,0.3419123888015747,True,0
h08_wd0,8,0.0,0,1,21,0.31974396109580994,1.4013980627059937,0.3438940942287445,True,0
h08_wd0,8,0.0,0,1,22,0.31262266635894775,1.3940644264221191,0.34637901186943054,True,0
h08_wd0,8,0.0,0,1,23,0.3052782416343689,1.387407660484314,0.3500015139579773,True,0
h08_wd0,8,0.0,0,1,24,0.29771408438682556,1.3813284635543823,0.35232895612716675,True,0
h08_wd0,8,0.0,0,1,25,0.29000866413116455,1.375960111618042,0.34989964962005615,True,0
h08_wd0,8,0.0,0,1,26,0.28231266140937805,1.3712235689163208,0.346245139837265,True,0
