station,thesis_window,interval_variant,model_rmse,model_mae,model_r2,model_nse,baseline_rmse,baseline_mae,baseline_r2,baseline_nse,pinball_p10,pinball_p50,pinball_p90,mean_pinball,coverage,coverage_gap,mean_width,interval_score_80,p10_gt_p50,p50_gt_p90,total_points,rmse_skill_vs_baseline,rmse_difference_vs_baseline,mae_difference_vs_baseline,mae_skill_vs_baseline,evaluation_split
MJ9,7,raw,0.1199228430803738,0.09016159226359931,0.9997276683512102,0.9997276683512102,0.12459354735642256,0.09359062717770046,0.9997060419313405,0.9997060419313405,0.013629461764470727,0.045080796131799654,0.05157017471066631,0.036760144202312224,0.44947735191637633,-0.3505226480836237,0.09309394858190229,0.6519963647513703,0,0,287,0.03748752945196554,-0.004670704276048751,-0.0034290349141011534,0.036638657283388554,test
MJ1,2,raw,0.1665806334838232,0.12716856737180326,0.9998531182131168,0.9998531182131168,0.18321149396116104,0.14917262968946765,0.9998223258031971,0.9998223258031971,0.019665073496094643,0.06358428368590163,0.05186307673204694,0.04503747797134774,0.5644599303135889,-0.23554006968641117,0.18086733188278104,0.7152815022814158,0,0,287,0.09077411093467425,-0.016630860477337833,-0.022004062317664386,0.1475073702425853,test
MJ3,2,raw,0.2196471262288987,0.1627360872785801,0.9997734279749663,0.9997734279749663,0.2228104696269016,0.18201727868135892,0.9997668548297048,0.9997668548297048,0.02669010692590329,0.08136804363929005,0.07350987678221539,0.06052267578246958,0.5365853658536586,-0.2634146341463415,0.23320028032910115,1.0019998370811867,0,0,287,0.01419746299758684,-0.0031633433980028935,-0.019281191402778813,0.10593055528828466,test
ATU1,,raw,0.47689073584720976,0.24828461012235511,0.9987686116212835,0.9987686116212835,0.47749918246494477,0.2485967719772182,0.998765467454298,0.998765467454298,0.06333246914652171,0.12414230506117756,0.10411937377933242,0.09719804932901055,0.89198606271777,0.09198606271776999,0.9781263789910756,1.6745184292585416,0,0,287,0.0012742359360576883,-0.0006084466177350145,-0.00031216185486307446,0.0012556955280645932,test
ATU2,,raw,0.3234912930069022,0.15380000459477616,0.9985848314998512,0.9985848314998512,0.3222258673501355,0.15633909407665492,0.9985958814908783,0.9985958814908783,0.037751963531756076,0.07690000229738808,0.0735615630815832,0.06273784297024244,0.89198606271777,0.09198606271776999,0.601563151091068,1.1131352661333929,0,0,287,-0.003927138647102257,0.0012654256567667388,-0.0025390894818787535,0.016240912082001735,test
ATU3,,raw,0.4936215089202555,0.24153602456579293,0.998635868853513,0.998635868853513,0.4935066784621653,0.2444569686411152,0.9986365034514051,0.9986365034514051,0.06152734961343138,0.12076801228289646,0.10667886651808747,0.09632474280480512,0.8885017421602788,0.08850174216027873,0.8477001657171076,1.6820621613151883,0,0,287,-0.00023268268313625384,0.00011483045809024262,-0.002920944075322285,0.011948704475716942,test
ATU4,,raw,0.31163471895577277,0.16776620279504617,0.9977427292362115,0.9977427292362115,0.30687584774225235,0.1492666202090592,0.9978111429332277,0.9978111429332277,0.039349137381472825,0.08388310139752309,0.06528861299117689,0.06284028392339093,0.8885017421602788,0.08850174216027873,0.4868866854211701,1.046377503726497,0,0,287,-0.015507480463296197,0.004758871213520421,0.018499582585986968,-0.12393650073993046,test
ATU5,,raw,0.3866345589963535,0.20318693034492613,0.9991636645886884,0.9991636645886884,0.39740596796319644,0.2208207887240037,0.9991164158551586,0.9991164158551586,0.047820148379402905,0.10159346517246307,0.0849410747058437,0.07811822941923656,0.8885017421602788,0.08850174216027873,0.7255916050385548,1.327612230852466,0,0,287,0.027104295947162127,-0.010771408966842921,-0.017633858379077577,0.07985597044994497,test
MJ9,7,calibrated,0.1199228430803738,0.09016159226359931,0.9997276683512102,0.9997276683512102,0.12459354735642256,0.09359062717770046,0.9997060419313405,0.9997060419313405,0.01579328371033729,0.045080796131799654,0.0389544353732364,0.03327617173845778,0.49477351916376305,-0.305226480836237,0.15743807466061083,0.5474771908357369,0,0,287,0.03748752945196554,-0.004670704276048751,-0.0034290349141011534,0.036638657283388554,test
MJ1,2,calibrated,0.1665806334838232,0.12716856737180326,0.9998531182131168,0.9998531182131168,0.18321149396116104,0.14917262968946765,0.9998223258031971,0.9998223258031971,0.02576441833008466,0.06358428368590163,0.03591663919351231,0.04175511373649954,0.6724738675958188,-0.1275261324041812,0.3028542285625814,0.6168105752359697,0,0,287,0.09077411093467425,-0.016630860477337833,-0.022004062317664386,0.1475073702425853,test
MJ3,2,calibrated,0.2196471262288987,0.1627360872785801,0.9997734279749663,0.9997734279749663,0.2228104696269016,0.18201727868135892,0.9997668548297048,0.9997668548297048,0.026999956270688397,0.08136804363929005,0.0723901767808466,0.060252725563608354,0.5400696864111498,-0.2599303135888502,0.23939726722480328,0.99390133051535,0,0,287,0.01419746299758684,-0.0031633433980028935,-0.019281191402778813,0.10593055528828466,test
ATU1,,calibrated,0.47689073584720976,0.24828461012235511,0.9987686116212835,0.9987686116212835,0.47749918246494477,0.2485967719772182,0.998765467454298,0.998765467454298,0.06333246914652171,0.12414230506117756,0.10411937377933242,0.09719804932901055,0.89198606271777,0.09198606271776999,0.9781263789910756,1.6745184292585416,0,0,287,0.0012742359360576883,-0.0006084466177350145,-0.00031216185486307446,0.0012556955280645932,test
ATU2,,calibrated,0.3234912930069022,0.15380000459477616,0.9985848314998512,0.9985848314998512,0.3222258673501355,0.15633909407665492,0.9985958814908783,0.9985958814908783,0.037751963531756076,0.07690000229738808,0.0735615630815832,0.06273784297024244,0.89198606271777,0.09198606271776999,0.601563151091068,1.1131352661333929,0,0,287,-0.003927138647102257,0.0012654256567667388,-0.0025390894818787535,0.016240912082001735,test
