outer_days,strategy,part,station,days,rmse_mm,mae_mm,crps_mm,coverage_80,width_80_mm,interval_score_80_mm,coverage_90,width_90_mm,interval_score_90_mm,coverage_95,width_95_mm,interval_score_95_mm
432,P0,train,ATU1,402,9.663759325541799,7.424712228000846,9.876802056175642,1.0,97.89694309558229,97.89694309558229,1.0,125.64936665749913,125.64936665749913,1.0,149.72045475197956,149.72045475197956
432,P0,train,ATU5,402,4.005363489196314,2.893415141871011,12.37086946393099,1.0,134.3449837170556,134.3449837170556,1.0,172.42992052549423,172.42992052549423,1.0,205.46292274035827,205.46292274035827
432,P0,train,MJ3,402,6.545388968296211,5.642903753780936,6.172962837778656,1.0,59.75862724224088,59.75862724224088,1.0,76.69936800762032,76.69936800762032,1.0,91.39293386645171,91.39293386645171
432,P0,train,MJ1,402,8.277645765670897,6.927245936145315,5.3145446776883505,0.3781094527363184,10.537824789370815,38.569799138466614,0.48507462686567165,13.52515174492545,52.60468290791045,0.5895522388059702,16.116212311357582,70.3668259468702
432,P0,prediction,ATU1,180,55.386000418770955,54.513970896972424,36.03956067232512,0.16666666666666666,97.8969430955823,168.29153845489765,0.9444444444444444,125.6493666574992,140.75374258175128,0.9666666666666667,149.72045475197956,159.11091435770655
432,P0,prediction,ATU5,180,140.06419011407704,134.6063919201048,106.70341561410947,0.06666666666666667,134.34498371705558,831.0425103555029,0.13333333333333333,172.42992052549423,1223.9961002212544,0.17222222222222222,205.4629227403582,1748.5565414047974
432,P0,prediction,MJ3,180,14.720515018928182,12.545990697413949,8.931087249357883,1.0,59.75862724224062,59.75862724224062,1.0,76.69936800761951,76.69936800761951,1.0,91.39293386645186,91.39293386645186
432,P0,prediction,MJ1,180,21.877992443612733,18.144087691792183,16.371228819011314,0.23333333333333334,10.537824789370836,148.55283286270986,0.25555555555555554,13.52515174492547,266.9179650094598,0.2722222222222222,16.116212311357604,484.6858662505409
432,DIRECT,train,ATU1,402,5.708076829681108,4.254334199776658,9.572948378595969,1.0,101.54548884382595,101.54548884382595,1.0,130.47413996427707,130.47413996427707,1.0,155.64664114610738,155.64664114610738
432,DIRECT,train,ATU5,402,3.646744536966005,3.0487255759730667,12.865447084415822,1.0,140.08554385336015,140.08554385336015,1.0,179.85816687825996,179.85816687825996,1.0,214.39096290881903,214.39096290881903
432,DIRECT,train,MJ3,402,3.116078250685259,2.484292818192326,6.645547116361773,1.0,71.47633652280547,71.47633652280547,1.0,91.82667297538799,91.82667297538799,1.0,109.53091479909006,109.53091479909006
432,DIRECT,train,MJ1,402,3.396897430889245,2.573921096882277,2.334180351339061,1.0,19.169833973900094,19.169833973900094,1.0,24.788655631544394,24.788655631544394,1.0,29.744181879212103,29.744181879212103
432,DIRECT,prediction,ATU1,180,78.11072143129728,77.24118800646797,54.087368804740215,0.03333333333333333,112.7461993785354,328.14795486985736,0.1388888888888889,144.95148418825406,267.08230448165835,0.95,173.03770425983757,200.33885569738354
432,DIRECT,prediction,ATU5,180,159.4573924230622,153.40215645685893,121.6228683564755,0.05,149.3278104810107,951.524167333256,0.1,191.7889360291031,1395.468755986839,0.1388888888888889,228.69679280718668,1977.6711706197225
432,DIRECT,prediction,MJ3,180,13.06823763834903,11.542943795383357,9.312224060851026,1.0,76.46180262964542,76.46180262964542,1.0,98.1785102813085,98.1785102813085,1.0,117.03810237188611,117.03810237188611
432,DIRECT,prediction,MJ1,180,7.010524601083135,5.847930133987428,3.95694647915321,0.8888888888888888,21.03688906053237,22.792837932773434,1.0,27.101799872592274,27.101799872592274,1.0,32.394211005237395,32.394211005237395
612,P0,train,ATU1,582,8.205017090481682,6.205121246043955,13.425116522208764,1.0,141.96003093320132,141.96003093320132,1.0,182.2037273819287,182.2037273819287,1.0,217.10913195809985,217.10913195809985
612,P0,train,ATU5,582,9.456274591068324,7.908746182511195,32.986773456186306,1.0,358.99896383363745,358.99896383363745,1.0,460.770182330531,460.770182330531,1.0,549.041535842251,549.041535842251
612,P0,train,MJ3,582,5.607264439348578,4.851707010023789,4.273393725998595,1.0,37.730198094092266,37.730198094092266,1.0,48.4261850494875,48.4261850494875,1.0,57.70335849440606,57.70335849440606
612,P0,train,MJ1,582,5.503248859314611,3.9236001083898824,5.654935784285525,1.0,56.075550871498166,56.075550871498166,1.0,71.97219045823945,71.97219045823945,1.0,85.76015441636477,85.76015441636477
612,P0,prediction,ATU1,180,4.264416212270162,2.9570455475789585,13.074196178838832,1.0,141.96003093320127,141.96003093320127,1.0,182.20372738192856,182.20372738192856,1.0,217.10913195809977,217.10913195809977
612,P0,prediction,ATU5,180,5.021708368573075,4.3470540930039006,32.8041097967054,1.0,358.9989638336374,358.9989638336374,1.0,460.77018233053093,460.77018233053093,1.0,549.0415358422515,549.0415358422515
612,P0,prediction,MJ3,180,61.04552849517042,50.59326022797686,43.768373211664326,0.2722222222222222,37.73019809409214,379.95223109758257,0.3333333333333333,48.42618504948785,658.9623214062602,0.38333333333333336,57.703358494405784,1161.1166168322438
612,P0,prediction,MJ1,180,18.647526258184858,15.311142958359284,10.809504291196586,0.8222222222222222,56.07555087149819,58.37498572750668,1.0,71.97219045823954,71.97219045823954,1.0,85.76015441636478,85.76015441636478
612,DIRECT,train,ATU1,582,5.284108365026179,4.053669407519763,17.571251613074043,1.0,191.14158188377925,191.14158188377925,1.0,245.38869507773938,245.38869507773938,1.0,292.4758652326494,292.4758652326494
