prefix,seed,epoch,nll,clipped_from
432,0,1,3.768807633583674,0.059054327465844415
432,0,2,3.7686800734636146,0.05886587000600316
432,0,3,3.7685505825724857,0.05948816097573632
432,0,4,3.7684186137815887,0.05949313060314578
432,0,5,3.7682847871964347,0.05962743976566023
432,0,6,3.7681482008540015,0.06000576662022153
432,0,7,3.768009194154542,0.06048188084973981
432,0,8,3.767867731806554,0.06088136114350964
432,0,9,3.7677234498980017,0.06112777445605031
432,0,10,3.7675765158511703,0.06133549476518665
432,0,11,3.7674267855717063,0.06162709537556274
432,0,12,3.7672740147929344,0.06202521364199709
432,0,13,3.7671182632688125,0.06248253610274746
432,0,14,3.7669595060434844,0.06291794357034827
432,0,15,3.766797537002216,0.06327123900916655
432,0,16,3.766632326595626,0.06357161498340783
432,0,17,3.7664638600082703,0.0638951098924451
432,0,18,3.7662919686787246,0.06429059840869085
432,0,19,3.7661165792953892,0.0647499832751836
432,0,20,3.7659376922608203,0.06522497527921942
432,0,21,3.76575519705093,0.06565792632407759
432,0,22,3.765568992876455,0.06603651469962002
432,0,23,3.7653790668638636,0.06640486489427191
432,0,24,3.7651853300840377,0.06681571501267228
432,0,25,3.7649876779470763,0.0672840876185027
432,0,26,3.7647860863067812,0.06778214472849743
432,0,27,3.764580497534662,0.06826197346584195
432,0,28,3.7643708185604483,0.06869824704138493
432,0,29,3.7641570152126773,0.06911532883908657
432,0,30,3.7639390305166196,0.06955858860958584
432,0,31,3.7637167795735524,0.07004840163920133
432,0,32,3.763490228738644,0.07056597135347961
432,0,33,3.763259333201278,0.07107163476623388
432,0,34,3.7630240218152236,0.07154310179601991
432,0,35,3.7627842601924737,0.07200066765934669
432,0,36,3.762539999611762,0.07248216631646273
432,0,37,3.7622911793454175,0.0730016999820985
432,0,38,3.762037770995016,0.07353841875390842
432,0,39,3.7617797299674685,0.07405794970441305
432,0,40,3.761517007664872,0.07455073341995803
432,0,41,3.761249576607701,0.07504374259286432
432,0,42,3.760977389623961,0.07556566055125626
432,0,43,3.7607004108713857,0.07611404418410601
432,0,44,3.7604186139661286,0.07666007801311601
432,0,45,3.7601319578353243,0.07718252775851282
432,0,46,3.7598404172831112,0.07769597120290704
432,0,47,3.7595439602088803,0.07822936810443343
