seed,outer_days,strategy,part,station,days,rmse_mm,mae_mm,crps_mm,coverage_80,width_80_mm,interval_score_80_mm,coverage_90,width_90_mm,interval_score_90_mm,coverage_95,width_95_mm,interval_score_95_mm
0,432,DIRECT,train,ATU1,402,6.1184581139636105,4.65797881611783,9.91114779232047,1.0,104.75504565504193,104.75504565504193,1.0,134.45164603232024,134.45164603232024,1.0,160.2090175351453,160.2090175351453
0,432,DIRECT,train,ATU5,402,3.6041063958125887,2.8689694521828932,12.965499984024168,1.0,141.15389471811474,141.15389471811474,1.0,181.1690632183875,181.1690632183875,1.0,215.87625352688744,215.87625352688744
0,432,DIRECT,train,MJ3,402,3.7616187133314765,3.1004271346138856,7.049145534417368,1.0,75.24098447056006,75.24098447056006,1.0,96.57075845751531,96.57075845751531,1.0,115.07115600044959,115.07115600044959
0,432,DIRECT,train,MJ1,402,3.5501096473006504,2.8349510074546496,2.5014931485752676,1.0,20.809810802170347,20.809810802170347,1.0,26.709103112669936,26.709103112669936,1.0,31.82585929737982,31.82585929737982
0,432,DIRECT,prediction,ATU1,180,77.25399360448964,76.3044615619136,53.964076711123056,0.03888888888888889,108.488701156695,336.5064645001454,0.08888888888888889,139.2437410075633,300.52406620861154,0.8388888888888889,165.91915088475292,207.6281425652264
0,432,DIRECT,prediction,ATU5,180,157.74140509853797,152.18104741367023,121.36284629553111,0.05,144.7279485115094,957.5633850977184,0.07222222222222222,185.75631161797654,1422.6339524009256,0.13333333333333333,221.34229712676395,2053.8139035176637
0,432,DIRECT,prediction,MJ3,180,13.8874482887892,12.06085780147539,9.677583197061997,1.0,77.27810887438423,77.27810887438423,1.0,99.185379333809,99.185379333809,1.0,118.18666893152376,118.18666893152376
0,432,DIRECT,prediction,MJ1,180,7.186883105483418,5.940966708088467,4.053749399308054,0.8833333333333333,21.43596020946321,23.286931482401148,1.0,27.512757179605444,27.512757179605444,1.0,32.783472181278,32.783472181278
1,432,DIRECT,train,ATU1,402,6.008601721537458,4.287337934817589,9.858001848654633,1.0,104.27270226411567,104.27270226411567,1.0,133.832564297762,133.832564297762,1.0,159.47133620816123,159.47133620816123
1,432,DIRECT,train,ATU5,402,4.019210140746455,3.4129042943312236,13.15374439179717,1.0,143.01487542021417,143.01487542021417,1.0,183.55760515088403,183.55760515088403,1.0,218.72237686079393,218.72237686079393
