seed,fold,epoch,train_pinball_loss,gradient_l2_norm
0,1,1,0.312967985868454,0.2775711417198181
0,1,2,0.31246986985206604,0.2773021161556244
0,1,3,0.3119683265686035,0.2768514156341553
0,1,4,0.31146055459976196,0.27657872438430786
0,1,5,0.3109437823295593,0.27631083130836487
0,1,6,0.3104151785373688,0.2761436402797699
0,1,7,0.3098721206188202,0.27550989389419556
0,1,8,0.30931177735328674,0.27535054087638855
0,1,9,0.3087315261363983,0.2752872109413147
0,1,10,0.30812954902648926,0.2748517394065857
0,1,11,0.30750396847724915,0.27434271574020386
0,1,12,0.3068537712097168,0.2734779119491577
0,1,13,0.3061765432357788,0.2729793190956116
0,1,14,0.3054698705673218,0.2721324563026428
0,1,15,0.30473533272743225,0.2679964303970337
0,1,16,0.3039761483669281,0.26588284969329834
0,1,17,0.3031834363937378,0.2641404867172241
0,1,18,0.3023529052734375,0.26287585496902466
0,1,19,0.3014807105064392,0.2613585293292999
0,1,20,0.3005693256855011,0.25544777512550354
0,1,21,0.299625039100647,0.25032272934913635
0,1,22,0.29864904284477234,0.24484500288963318
0,1,23,0.29763031005859375,0.2414904683828354
0,1,24,0.2965545654296875,0.23799751698970795
0,1,25,0.29544347524642944,0.22649843990802765
0,1,26,0.294284462928772,0.22329768538475037
0,1,27,0.29305902123451233,0.2189430147409439
0,1,28,0.29175397753715515,0.21701151132583618
0,1,29,0.29035791754722595,0.21363236010074615
0,1,30,0.288860946893692,0.211309552192688
0,1,31,0.28725340962409973,0.208748921751976
0,1,32,0.2855361998081207,0.20226642489433289
0,1,33,0.28369221091270447,0.1988678127527237
0,1,34,0.2816942632198334,0.19598010182380676
0,1,35,0.2795301079750061,0.19148340821266174
0,1,36,0.2771836519241333,0.18630191683769226
0,1,37,0.2746599614620209,0.18056608736515045
0,1,38,0.27191537618637085,0.17777156829833984
0,1,39,0.26894620060920715,0.1744707077741623
0,1,40,0.2657582461833954,0.17085683345794678
0,1,41,0.26234084367752075,0.16815821826457977
0,1,42,0.25865253806114197,0.168753981590271
0,1,43,0.25464555621147156,0.1653435230255127
0,1,44,0.25034886598587036,0.16519153118133545
0,1,45,0.24565939605236053,0.1677141636610031
0,1,46,0.24046356976032257,0.17272284626960754
0,1,47,0.23469385504722595,0.1802353411912918
0,1,48,0.2282024323940277,0.1892956644296646
0,1,49,0.2210102528333664,0.19731570780277252
0,1,50,0.2132602035999298,0.19369183480739594
0,1,51,0.20546767115592957,0.1869078129529953
0,1,52,0.19792324304580688,0.16724492609500885
0,1,53,0.1918044239282608,0.1257915496826172
0,1,54,0.18809358775615692,0.1278458684682846
0,1,55,0.18583200871944427,0.1791481077671051
0,1,56,0.18373243510723114,0.2370060533285141
0,1,57,0.18070928752422333,0.2574866712093353
0,1,58,0.17691513895988464,0.23151114583015442
0,1,59,0.17311307787895203,0.174841970205307
0,1,60,0.17038607597351074,0.1354634016752243
0,1,61,0.1683279424905777,0.1278376579284668
0,1,62,0.1666339486837387,0.13074076175689697
0,1,63,0.16496118903160095,0.13403446972370148
0,1,64,0.16303350031375885,0.13217996060848236
0,1,65,0.16090379655361176,0.1283615231513977
0,1,66,0.15856187045574188,0.12276468425989151
0,1,67,0.1561063677072525,0.1124129667878151
0,1,68,0.15378119051456451,0.104261614382267
0,1,69,0.15170718729496002,0.10752363502979279
0,1,70,0.14974451065063477,0.10640682280063629
0,1,71,0.1478615701198578,0.10605871677398682
0,1,72,0.1460402011871338,0.10237669199705124
0,1,73,0.14431066811084747,0.09841618686914444
0,1,74,0.1426878720521927,0.08890759944915771
0,1,75,0.1411881297826767,0.08178076893091202
0,1,76,0.13978224992752075,0.07844402641057968
0,1,77,0.13844610750675201,0.07734144479036331
0,1,78,0.13714052736759186,0.07554490119218826
0,1,79,0.13588102161884308,0.0752120167016983
0,1,80,0.13465233147144318,0.0752977803349495
0,1,81,0.13340581953525543,0.07426338642835617
0,1,82,0.13213318586349487,0.07225537300109863
0,1,83,0.13083384931087494,0.07216797769069672
0,1,84,0.1294712871313095,0.07307800650596619
0,1,85,0.12823018431663513,0.08263783901929855
0,1,86,0.127004936337471,0.07991340011358261
0,1,87,0.12586259841918945,0.06957901269197464
0,1,88,0.1248076856136322,0.07034137099981308
0,1,89,0.1238008588552475,0.0764564499258995
0,1,90,0.12275342643260956,0.06523365527391434
0,1,91,0.12172021716833115,0.05445162579417229
0,1,92,0.12080065906047821,0.053909629583358765
0,1,93,0.11997690796852112,0.05664747953414917
0,1,94,0.11922887712717056,0.05963912606239319
0,1,95,0.11851293593645096,0.06213681027293205
0,1,96,0.11781851202249527,0.0643468052148819
0,1,97,0.11708471924066544,0.060406994074583054
0,1,98,0.11631014943122864,0.05416502431035042
0,1,99,0.11553273350000381,0.04974091053009033
0,1,100,0.11482073366641998,0.04955267161130905
0,1,101,0.11417079716920853,0.0581195130944252
0,1,102,0.1135372519493103,0.05817434936761856
0,1,103,0.11289189010858536,0.05284811183810234
0,1,104,0.11231681704521179,0.05117389187216759
0,1,105,0.11182533949613571,0.042421337217092514
0,1,106,0.1114649847149849,0.05698329955339432
0,1,107,0.11108433455228806,0.05648503452539444
0,1,108,0.11066948622465134,0.06080115959048271
0,1,109,0.11020003259181976,0.05479572340846062
0,1,110,0.10970275104045868,0.04959772527217865
0,1,111,0.10922552645206451,0.048005204647779465
0,1,112,0.1087753027677536,0.04814218357205391
0,1,113,0.10834340751171112,0.044413212686777115
0,1,114,0.10793427377939224,0.04568881168961525
0,1,115,0.10754583775997162,0.04752993956208229
0,1,116,0.10715612769126892,0.052410807460546494
0,1,117,0.10677359998226166,0.04810582101345062
0,1,118,0.10641071200370789,0.051295503973960876
0,1,119,0.10605625808238983,0.06641141325235367
0,1,120,0.105704665184021,0.05792571231722832
0,2,1,0.29372984170913696,0.2613427937030792
0,2,2,0.2932753264904022,0.2609853744506836
0,2,3,0.292814701795578,0.2608043849468231
0,2,4,0.29234611988067627,0.2604511082172394
0,2,5,0.2918676733970642,0.26040706038475037
0,2,6,0.29137754440307617,0.26011204719543457
0,2,7,0.2908743619918823,0.25994494557380676
0,2,8,0.2903563380241394,0.2596636116504669
0,2,9,0.2898216247558594,0.2593752145767212
0,2,10,0.28926798701286316,0.2590986490249634
0,2,11,0.2886936068534851,0.2585204541683197
0,2,12,0.28809723258018494,0.2575899660587311
0,2,13,0.28747642040252686,0.256600022315979
