method,fold,date,station,source_issue_batch_sha256,issue_state_reset_reason,issue_history_count,issue_calibration_state_before_sha256,issue_interval_available,issue_uncertainty_action,issue_point_forecast_mm,issue_interval_lower_mm,issue_interval_upper_mm,issue_aci_alpha,issue_agaci_effective_gamma_lower,issue_agaci_effective_gamma_upper,issue_agaci_lower_weight_entropy,issue_agaci_upper_weight_entropy,issue_agaci_crossing,issue_agaci_alpha_0,issue_agaci_alpha_1,issue_agaci_alpha_2,issue_agaci_alpha_3,issue_agaci_alpha_4,issue_agaci_alpha_5,issue_agaci_alpha_6,issue_agaci_lower_weight_0,issue_agaci_lower_weight_1,issue_agaci_lower_weight_2,issue_agaci_lower_weight_3,issue_agaci_lower_weight_4,issue_agaci_lower_weight_5,issue_agaci_lower_weight_6,issue_agaci_upper_weight_0,issue_agaci_upper_weight_1,issue_agaci_upper_weight_2,issue_agaci_upper_weight_3,issue_agaci_upper_weight_4,issue_agaci_upper_weight_5,issue_agaci_upper_weight_6,issue_spci_beta,issue_spci_training_pairs,issue_spci_qrf_status,previous_candidate_issue_batch_sha256,candidate_issue_batch_sha256,reveal_actual_mm,reveal_signed_residual_mm,reveal_interval_covered,reveal_lower_miss,reveal_upper_miss,reveal_interval_width_mm,reveal_interval_score_80_mm,reveal_lower_pinball_loss,reveal_upper_pinball_loss,reveal_reset_after_update,reveal_calibration_state_after_sha256,artifact_status,formal_warning_output,independent_label_used,confirmatory_external_validation,vajont_used
aci_v1_control,3,2020-03-26,ATU2,e4860dd15178b87165d74b0fd9fe45dfdd3dce48522e11cdcb91c72a8c5c4a03,none,190,46454a65755082032f057b01e7ceb62d47379e0bbedd062ccd977d6269ad4e6f,True,interval_available,348.68314796948084,348.62484368406285,348.74145225489883,0.1333333333333335,,,,,False,,,,,,,,,,,,,,,,,,,,,,,-1,not_applicable,c941a54f4631fac83a2851367a23d427e223ce8c17083354c6f12b01a19e5bde,5af73e959e43436795f730af2bc8b28fdc4aef05bf2b7af1f86d522df2494775,348.70213999999999,0.018992030519143555,1,0,0,0.11660857083597875,0.11660857083597875,0.0077296315937132936,0.0039312254898845817,False,b838e5793f45798a7b56dbfcd42a268a024fd85d78706d7e880700f75b32f9a3,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False
aci_v1_control,3,2020-03-26,ATU3,e4860dd15178b87165d74b0fd9fe45dfdd3dce48522e11cdcb91c72a8c5c4a03,none,32,c5414e7fd566050926c534e37e37494014bf97760e182a277fdb72a125bbcc37,False,abstain_rewarm,599.78535095666234,,,0.20000000000000001,,,,,False,,,,,,,,,,,,,,,,,,,,,,,-1,not_applicable,c941a54f4631fac83a2851367a23d427e223ce8c17083354c6f12b01a19e5bde,5af73e959e43436795f730af2bc8b28fdc4aef05bf2b7af1f86d522df2494775,599.86374000000001,0.078389043337665498,-1,-1,-1,,,,,False,4e1981e361c4c6739dca7586411b414f09177c3535e88391e7f44c61a0f6bdc2,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False
aci_v1_control,3,2020-03-26,ATU4,e4860dd15178b87165d74b0fd9fe45dfdd3dce48522e11cdcb91c72a8c5c4a03,none,19,fed3fc013c82ba9128bc6aa0db037e7f756d5fdea3469f8997d30a8a962b2a13,False,abstain_rewarm,298.45222260032097,,,0.20000000000000001,,,,,False,,,,,,,,,,,,,,,,,,,,,,,-1,not_applicable,c941a54f4631fac83a2851367a23d427e223ce8c17083354c6f12b01a19e5bde,5af73e959e43436795f730af2bc8b28fdc4aef05bf2b7af1f86d522df2494775,298.49943999999999,0.047217399679027494,-1,-1,-1,,,,,False,75e166ca19724a6d17d1d5da57e550a823c6507ff7cfda508e191c991b11aaa2,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False
aci_v1_control,3,2020-03-26,ATU5,e4860dd15178b87165d74b0fd9fe45dfdd3dce48522e11cdcb91c72a8c5c4a03,none,190,dec2e9cf4b39d7b0c4cd5c04dfa94ea6de730a3e0a527e3d2eefcb5b90bbceac,True,interval_available,646.87150846942245,646.7480394073641,646.9949775314808,0.088888888888889461,,,,,False,,,,,,,,,,,,,,,,,,,,,,,-1,not_applicable,c941a54f4631fac83a2851367a23d427e223ce8c17083354c6f12b01a19e5bde,5af73e959e43436795f730af2bc8b28fdc4aef05bf2b7af1f86d522df2494775,647.07566433717875,0.2041558677562989,0,0,1,0.24693812411669569,1.0538061810962063,0.032762492981464678,0.07261812512815595,False,5e37b9dbb05e5fa5a13c8c2216665b9a1a04fee63d4424d10f62f82d667d8687,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False
aci_v1_control,3,2020-03-26,MJ1,e4860dd15178b87165d74b0fd9fe45dfdd3dce48522e11cdcb91c72a8c5c4a03,none,10,7ecb044d286df2ef3a442699147f193efe4431a49e0fa1533f85848d3dbc0482,False,abstain_rewarm,992.49409282848751,,,0.20000000000000001,,,,,False,,,,,,,,,,,,,,,,,,,,,,,-1,not_applicable,c941a54f4631fac83a2851367a23d427e223ce8c17083354c6f12b01a19e5bde,5af73e959e43436795f730af2bc8b28fdc4aef05bf2b7af1f86d522df2494775,992.78654789478958,0.29245506630206819,-1,-1,-1,,,,,False,f3cf7529e6ae2babd901043caed89c407e2dff1128c92eb216bc7cadead9467d,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False
aci_v1_control,3,2020-03-26,MJ3,e4860dd15178b87165d74b0fd9fe45dfdd3dce48522e11cdcb91c72a8c5c4a03,none,19,8650a4b6e39cd13f195e6aba2d4e9f38fe26b374aa4023d2d5c19502a73c4660,False,abstain_rewarm,1260.3376453533303,,,0.20000000000000001,,,,,False,,,,,,,,,,,,,,,,,,,,,,,-1,not_applicable,c941a54f4631fac83a2851367a23d427e223ce8c17083354c6f12b01a19e5bde,5af73e959e43436795f730af2bc8b28fdc4aef05bf2b7af1f86d522df2494775,1260.6612080068739,0.32356265354360403,-1,-1,-1,,,,,False,b634edb798cb3aa20ca98aa84e90bd4f375b13a3d1bffd43500019fc0721cc85,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False
aci_v1_control,3,2020-03-26,MJ9,e4860dd15178b87165d74b0fd9fe45dfdd3dce48522e11cdcb91c72a8c5c4a03,none,5,8ea8496760e2aa61aa65e8f6282a72d02465f13f0a0da70a4b7a14526016aa7a,False,abstain_rewarm,374.29223440967326,,,0.20000000000000001,,,,,False,,,,,,,,,,,,,,,,,,,,,,,-1,not_applicable,c941a54f4631fac83a2851367a23d427e223ce8c17083354c6f12b01a19e5bde,5af73e959e43436795f730af2bc8b28fdc4aef05bf2b7af1f86d522df2494775,374.47832,0.18608559032674066,-1,-1,-1,,,,,False,988ce0b295e358f2b6d80e84172bd86c15337f2dbed433f1b5baeb28b3575a6c,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False
aci_v1_control,3,2020-03-27,ATU1,bfb75ccf2c00c51c1c5f96c2352f00203b05a74fa5e9bfba84f99108af5d3f6f,none,191,6a251cd3b3abe98967933d65e0053f16d054cf970079de9ca2321f26f098500e,True,interval_available,488.69469990084224,488.23269861121747,489.156701190467,0.02888888888888913,,,,,False,,,,,,,,,,,,,,,,,,,,,,,-1,not_applicable,5af73e959e43436795f730af2bc8b28fdc4aef05bf2b7af1f86d522df2494775,e648a06b59808cbb551194816406a84c3e847adca3fc875fa4fd6a0fa9f22be4,489.13325779867051,0.43855789782827515,1,0,0,0.92400257924953166,0.92400257924953166,0.090055918745304109,0.0023443391796490682,False,0edab108718aaf79c3711255d24562f38789c92a55b31fd78eab80e6c26d6e14,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False
aci_v1_control,3,2020-03-27,ATU2,bfb75ccf2c00c51c1c5f96c2352f00203b05a74fa5e9bfba84f99108af5d3f6f,none,191,b838e5793f45798a7b56dbfcd42a268a024fd85d78706d7e880700f75b32f9a3,True,interval_available,348.76162101344983,348.70331672803184,348.81992529886782,0.13444444444444462,,,,,False,,,,,,,,,,,,,,,,,,,,,,,-1,not_applicable,5af73e959e43436795f730af2bc8b28fdc4aef05bf2b7af1f86d522df2494775,e648a06b59808cbb551194816406a84c3e847adca3fc875fa4fd6a0fa9f22be4,348.78505000000001,0.023428986550186437,1,0,0,0.11660857083597875,0.11660857083597875,0.0081733271968175824,0.0034875298867802934,False,52df401cc73502ff2353115f48c9938bf77b6fc9d266998300e9c6e440c729ea,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False
aci_v1_control,3,2020-03-27,ATU3,bfb75ccf2c00c51c1c5f96c2352f00203b05a74fa5e9bfba84f99108af5d3f6f,none,33,4e1981e361c4c6739dca7586411b414f09177c3535e88391e7f44c61a0f6bdc2,False,abstain_rewarm,599.89822556212948,,,0.20000000000000001,,,,,False,,,,,,,,,,,,,,,,,,,,,,,-1,not_applicable,5af73e959e43436795f730af2bc8b28fdc4aef05bf2b7af1f86d522df2494775,e648a06b59808cbb551194816406a84c3e847adca3fc875fa4fd6a0fa9f22be4,599.98802000000001,0.089794437870523325,-1,-1,-1,,,,,False,850b2c30eb0022eb855f465982d339c9ce037119ef61a44ac1ac96e90db4931c,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False
