method,fold,scope,group,planned_rows,interval_rows,availability_rate,abstention_rate,empirical_coverage,coverage_minus_target,absolute_coverage_gap,lower_miss_rate,upper_miss_rate,mean_interval_width_mm,median_interval_width_mm,p90_interval_width_mm,mean_interval_score_80_mm,mean_lower_pinball_loss,mean_upper_pinball_loss,rolling_30_date_coverage_max_abs_gap,longest_station_miss_streak,reset_count,crossing_count,artifact_status,formal_warning_output,independent_label_used,confirmatory_external_validation,vajont_used
aci_v1_control,1,overall,all,2296,1317,0.57360627177700352,0.42639372822299648,0.79119210326499623,-0.0088078967350038173,0.0088078967350038173,0.056188306757782837,0.15261958997722094,0.45359425679103743,0.31888063681651602,1.0212528193069375,0.58880151871660025,0.037952805984615728,0.020927345887044289,0.28253968253968265,37,9,0,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False
aci_v1_control,1,station,ATU1,287,167,0.58188153310104529,0.41811846689895471,0.92814371257485029,0.12814371257485024,0.12814371257485024,0,0.071856287425149698,0.45337754216224718,0.42191600935814222,0.64312608208604161,0.45560604642706021,0.03068313513358201,0.014877469509124004,0.20000000000000007,9,1,0,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False
aci_v1_control,1,station,ATU2,287,167,0.58188153310104529,0.41811846689895471,0.89820359281437123,0.098203592814371188,0.098203592814371188,0,0.10179640718562874,0.27728870101544384,0.24251019097994231,0.41454250205151766,0.28583234993642348,0.018681631319893352,0.0099016036737489925,0.23333333333333339,12,1,0,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False
aci_v1_control,1,station,ATU3,287,167,0.58188153310104529,0.41811846689895471,0.78443113772455086,-0.01556886227544918,0.01556886227544918,0,0.21556886227544911,0.98853146207513509,1.1636845789823838,1.4985649979755635,1.1298151293794787,0.078139992584949219,0.034841520352998673,0.66666666666666674,26,1,0,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False
aci_v1_control,1,station,ATU4,287,167,0.58188153310104529,0.41811846689895471,0.62874251497005984,-0.1712574850299402,0.1712574850299402,0,0.3712574850299401,0.43113605420753193,0.26093634905203089,0.79568973952075339,0.56276576312785354,0.034998954172429507,0.021277622140355855,0.80000000000000004,33,1,0,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False
aci_v1_control,1,station,ATU5,287,167,0.58188153310104529,0.41811846689895471,0.97005988023952094,0.1700598802395209,0.1700598802395209,0,0.029940119760479042,0.78852656015753309,0.54964879421481783,1.9590708947662279,0.80248509325427542,0.05329633403997415,0.026952175285453399,0.19999999999999996,2,1,0,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False
aci_v1_control,1,station,MJ1,287,167,0.58188153310104529,0.41811846689895471,0.70059880239520955,-0.099401197604790492,0.099401197604790492,0.29940119760479039,0,0.31402326219673576,0.29496528359959484,0.38897831467352262,0.88463479949076074,0.06085591641216509,0.027607563536910993,0.63333333333333341,25,1,0,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False
aci_v1_control,1,station,MJ3,287,107,0.37282229965156793,0.62717770034843201,0.65420560747663548,-0.14579439252336457,0.14579439252336457,0,0.34579439252336447,0.13405612773372055,0.065948209633006627,0.31376206131653817,0.1765591240365279,0.0095156939827851367,0.0081402184208676526,0.80000000000000004,37,2,0,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False
aci_v1_control,1,station,MJ9,287,208,0.72473867595818819,0.27526132404181181,0.73076923076923073,-0.069230769230769318,0.069230769230769318,0.11538461538461539,0.15384615384615385,0.1913849632848342,0.16395670339193202,0.28964378833586579,0.32850735840387829,0.013289039874331858,0.019561695966055972,0.46666666666666673,20,1,0,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False
aci_v1_control,1,spatial_block,O1,861,482,0.55981416957026708,0.44018583042973292,0.70331950207468885,-0.096680497925311193,0.096680497925311193,0.15352697095435686,0.14315352697095435,0.22114930045146988,0.2137519840666755,0.32870989105163062,0.48745927040429921,0.028932028196785489,0.019813898843644432,0.38333333333333341,37,4,0,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False
aci_v1_control,1,spatial_block,O2,861,501,0.58188153310104529,0.41811846689895471,0.79441117764471059,-0.0055888223552894578,0.0055888223552894578,0,0.20558882235528941,0.73606469214673331,0.57147092830405199,1.4556056342321426,0.83168866192053592,0.055478426932450947,0.027690439259602639,0.71666666666666667,33,3,0,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False
aci_v1_control,1,spatial_block,O3,574,334,0.58188153310104529,0.41811846689895471,0.91317365269461082,0.11317365269461077,0.11317365269461077,0,0.086826347305389226,0.36533312158884551,0.32435218649777653,0.61602399354694626,0.37071919818174182,0.024682383226737683,0.012389536591436498,0.21666666666666667,12,2,0,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False
aci_v1_control,2,overall,all,2296,1397,0.60844947735191635,0.39155052264808365,0.69506084466714391,-0.10493915533285614,0.10493915533285614,0.17251252684323551,0.13242662848962061,0.28711557702702811,0.23742489125970678,0.52015627941068487,0.48923189508077508,0.02720660582541401,0.021716583682663493,0.43015873015873024,43,8,0,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False
aci_v1_control,2,station,ATU1,287,107,0.37282229965156793,0.62717770034843201,0.47663551401869159,-0.32336448598130846,0.32336448598130846,0.47663551401869159,0.046728971962616821,0.13063770219068871,0.092575495233745642,0.25046794068850886,0.52785842979755171,0.036003259786936866,0.016782583192818296,0.60000000000000009,23,2,0,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False
aci_v1_control,2,station,ATU2,287,171,0.59581881533101044,0.40418118466898956,0.64912280701754388,-0.15087719298245617,0.15087719298245617,0,0.35087719298245612,0.21985385981263905,0.17319521328033716,0.47182110829498924,0.323853243545839,0.0176721259307158,0.014713198423868101,0.80000000000000004,43,1,0,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False
aci_v1_control,2,station,ATU3,287,227,0.7909407665505227,0.2090592334494773,0.75770925110132159,-0.042290748898678454,0.042290748898678454,0.17180616740088106,0.070484581497797363,0.4421754658131305,0.33649903448758778,0.79032716247502321,0.64021217795344765,0.032054048145944751,0.031967169649400017,0.53333333333333344,16,0,0,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False
aci_v1_control,2,station,ATU4,287,167,0.58188153310104529,0.41811846689895471,0.71257485029940115,-0.087425149700598892,0.087425149700598892,0.035928143712574849,0.25149700598802394,0.16885633134174446,0.17515252855105246,0.27010286705410635,0.25586501990586497,0.011371077353494206,0.014215424637092289,0.60000000000000009,18,1,0,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False
aci_v1_control,2,station,ATU5,287,167,0.58188153310104529,0.41811846689895471,0.81437125748502992,0.014371257485029876,0.014371257485029876,0.18562874251497005,0,0.24030816867193225,0.17616417334056678,0.47720416705237767,0.55679257559239492,0.043945685323377663,0.011733572235861824,0.73333333333333339,23,1,0,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False
aci_v1_control,2,station,MJ1,287,227,0.7909407665505227,0.2090592334494773,0.70925110132158586,-0.09074889867841418,0.09074889867841418,0.20264317180616739,0.088105726872246701,0.43221051216244327,0.44783133528903818,0.90256468125562606,0.63452562228917586,0.027501559957904084,0.035951002271013492,0.76666666666666672,29,0,0,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False
aci_v1_control,2,station,MJ3,287,224,0.78048780487804881,0.21951219512195119,0.7723214285714286,-0.027678571428571441,0.027678571428571441,0.12053571428571429,0.10714285714285714,0.29024211184091492,0.30093549258617713,0.33933750574715305,0.49153199920477925,0.030267804292216535,0.01888539562826139,0.60000000000000009,24,1,0,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False
aci_v1_control,2,station,MJ9,287,107,0.37282229965156793,0.62717770034843201,0.44859813084112149,-0.35140186915887855,0.35140186915887855,0.38317757009345793,0.16822429906542055,0.16539154569429088,0.1444210451205663,0.31028964240658752,0.34032461558888583,0.014919022791410639,0.019113438767477942,0.80000000000000004,30,2,0,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False
aci_v1_control,2,spatial_block,O1,861,558,0.6480836236933798,0.3519163763066202,0.68458781362007171,-0.11541218637992834,0.11541218637992834,0.20430107526881722,0.1111111111111111,0.32405540269270378,0.29276880717588938,0.48301373260505898,0.52070827589520474,0.026199243208927726,0.025871584380592748,0.51666666666666672,30,3,0,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False
aci_v1_control,2,spatial_block,O2,861,561,0.65156794425087106,0.34843205574912894,0.76114081996434935,-0.038859180035650698,0.038859180035650698,0.13547237076648841,0.10338680926916222,0.30072068135804747,0.23264086820040575,0.61032912786708948,0.50096610132556507,0.02943702013577016,0.020659589996786343,0.51111111111111118,23,2,0,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False
aci_v1_control,2,spatial_block,O3,574,278,0.48432055749128922,0.51567944250871078,0.58273381294964033,-0.21726618705035972,0.21726618705035972,0.18345323741007194,0.23381294964028776,0.18551526677109703,0.14654069958396576,0.46595089270851986,0.40237322530459174,0.024727634285448372,0.015509688245010802,0.46666666666666673,43,3,0,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False
aci_v1_control,3,overall,all,2296,1327,0.57796167247386765,0.42203832752613235,0.63074604370761111,-0.16925395629238893,0.16925395629238893,0.051996985681989447,0.31725697061039942,0.38713097797682777,0.15812136706199453,0.90929292542932671,0.6760742396636138,0.035638751014519375,0.031968672951842012,0.49833333333333341,42,9,0,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False
aci_v1_control,3,station,ATU1,287,227,0.7909407665505227,0.2090592334494773,0.64757709251101325,-0.15242290748898679,0.15242290748898679,0.1277533039647577,0.22466960352422907,0.69711772932876503,0.15919883183528327,1.6362878500190163,1.1792296310594788,0.061313314940100665,0.056609648165847209,0.73333333333333339,28,0,0,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False
aci_v1_control,3,station,ATU2,287,227,0.7909407665505227,0.2090592334494773,0.57268722466960353,-0.22731277533039651,0.22731277533039651,0.096916299559471369,0.33039647577092512,0.3305385476709462,0.1171927659921721,1.2800814628411672,0.46975971417886275,0.032397257843153345,0.014578713574732925,0.70000000000000007,27,0,0,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False
aci_v1_control,3,station,ATU3,287,98,0.34146341463414637,0.65853658536585358,0.69387755102040816,-0.10612244897959189,0.10612244897959189,0.01020408163265306,0.29591836734693877,0.060876395351089962,0.055459674153325977,0.070874556255830612,0.30877934485288838,0.0064278125778823121,0.024450121907406523,0.5,21,3,0,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False
aci_v1_control,3,station,ATU4,287,167,0.58188153310104529,0.41811846689895471,0.65269461077844315,-0.14730538922155689,0.14730538922155689,0,0.3473053892215569,0.36121735224935425,0.19783812123750977,1.1013417835654309,1.0171695982907489,0.036320423927579462,0.065396535901495426,0.80000000000000004,40,1,0,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False
aci_v1_control,3,station,ATU5,287,227,0.7909407665505227,0.2090592334494773,0.6035242290748899,-0.19647577092511015,0.19647577092511015,0.074889867841409691,0.32158590308370044,0.47193344079042387,0.17530226573308028,1.7990085319092941,0.69524565486734391,0.044002016512565696,0.025522548974168689,0.80000000000000004,42,0,0,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False
aci_v1_control,3,station,MJ1,287,107,0.37282229965156793,0.62717770034843201,0.57009345794392519,-0.22990654205607486,0.22990654205607486,0,0.42990654205607476,0.3113766525741008,0.23343810371920881,0.56459662966858559,0.49161161450243002,0.028397149072471862,0.020764012377771139,0.60000000000000009,24,2,0,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False
aci_v1_control,3,station,MJ3,287,167,0.58188153310104529,0.41811846689895471,0.61676646706586824,-0.1832335329341318,0.1832335329341318,0,0.38323353293413176,0.27842382881348504,0.096446111483601271,0.64503923117081285,0.39664224627739586,0.026497324003644771,0.013166900624094818,0.76666666666666672,22,1,0,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False
aci_v1_control,3,station,MJ9,287,107,0.37282229965156793,0.62717770034843201,0.76635514018691586,-0.033644859813084182,0.033644859813084182,0,0.23364485981308411,0.25432407504261723,0.33989816874156986,0.40326205454221054,0.43027826560188542,0.01750355456275449,0.025524271997434046,0.60000000000000009,24,2,0,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False
aci_v1_control,3,spatial_block,O1,861,381,0.4425087108013937,0.55749128919860635,0.64566929133858264,-0.1543307086614174,0.1543307086614174,0,0.3543307086614173,0.2809101240599497,0.2034759425532684,0.62047576982513419,0.43275976981492614,0.02450506141096561,0.018770915570527007,0.70000000000000007,24,5,0,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False
aci_v1_control,3,spatial_block,O2,861,492,0.5714285714285714,0.4285714285714286,0.63821138211382111,-0.16178861788617893,0.16178861788617893,0.036585365853658534,0.32520325203252032,0.35247576347454307,0.17530226573308028,0.68222767698080133,0.72753752513216507,0.033910354018070438,0.038843398495146071,0.80000000000000004,42,4,0,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False
aci_v1_control,3,spatial_block,O3,574,454,0.7909407665505227,0.2090592334494773,0.61013215859030834,-0.18986784140969171,0.18986784140969171,0.11233480176211454,0.27753303964757708,0.51382813849985565,0.13558356426460705,1.3365812226869593,0.82449467261917075,0.046855286391627012,0.035594180870290065,0.63333333333333341,28,0,0,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False
agaci_ewa_variant_v1,1,overall,all,2296,1317,0.57360627177700352,0.42639372822299648,0.84813971146545175,0.048139711465451707,0.048139711465451707,0.053151100987091873,0.098709187547456334,0.38141117662892365,0.28225644025627616,0.80150100994933382,0.45562969541804993,0.031753350699636335,0.01380961884216866,0.19999999999999996,23,9,0,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False
agaci_ewa_variant_v1,1,station,ATU1,287,167,0.58188153310104529,0.41811846689895471,0.94011976047904189,0.14011976047904184,0.14011976047904184,0,0.059880239520958084,0.30646188559103221,0.242839237307237,0.62027848811942476,0.31034851790292556,0.023526537146522516,0.0075083146437700359,0.19999999999999996,2,1,0,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False
agaci_ewa_variant_v1,1,station,ATU2,287,167,0.58188153310104529,0.41811846689895471,0.88622754491017963,0.086227544910179588,0.086227544910179588,0,0.11377245508982035,0.1944421770817053,0.18892652365354934,0.36664292765857454,0.20107912501584518,0.014561514495324808,0.005546398006259709,0.19999999999999996,4,1,0,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False
agaci_ewa_variant_v1,1,station,ATU3,287,167,0.58188153310104529,0.41811846689895471,0.93413173652694614,0.1341317365269461,0.1341317365269461,0,0.065868263473053898,0.89572392205951634,0.89850590288051535,1.4701442410204208,0.92649516117419828,0.07317284454578514,0.019476671571634688,0.19999999999999996,5,1,0,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False
agaci_ewa_variant_v1,1,station,ATU4,287,167,0.58188153310104529,0.41811846689895471,0.87425149700598803,0.074251497005987988,0.074251497005987988,0,0.12574850299401197,0.40720398107482197,0.37822214131637111,0.76038248832736599,0.41884975677815023,0.031667250741412883,0.010217724936402139,0.19999999999999996,4,1,0,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False
agaci_ewa_variant_v1,1,station,ATU5,287,167,0.58188153310104529,0.41811846689895471,0.92215568862275454,0.1221556886227545,0.1221556886227545,0,0.077844311377245512,0.53606992507160911,0.33783144231381357,0.91931252126357776,0.55045642561278074,0.040985328549888379,0.014060314011389697,0.19999999999999996,4,1,0,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False
agaci_ewa_variant_v1,1,station,MJ1,287,167,0.58188153310104529,0.41811846689895471,0.72455089820359286,-0.075449101796407181,0.075449101796407181,0.27544910179640719,0,0.32454416200451436,0.26129588274125126,0.7127449750262258,0.71470282120696793,0.04338734531920431,0.028082936801492465,0.56666666666666665,23,1,0,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False
agaci_ewa_variant_v1,1,station,MJ3,287,107,0.37282229965156793,0.62717770034843201,0.76635514018691586,-0.033644859813084182,0.033644859813084182,0,0.23364485981308411,0.14911634087858683,0.080560878552660142,0.31503577431658414,0.15451851461715127,0.0094348455577240361,0.0060170059039910901,0.4333333333333334,9,2,0,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False
agaci_ewa_variant_v1,1,station,MJ9,287,208,0.72473867595818819,0.27526132404181181,0.73557692307692313,-0.064423076923076916,0.064423076923076916,0.11538461538461539,0.14903846153846154,0.19904125151341062,0.16188442554772564,0.31250568482073504,0.29888565344789259,0.013703833285843868,0.016184732058945391,0.4333333333333334,19,1,0,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False
