record_type,scope,fold,component,segment_id,segment_start_date,segment_end_date,segment_length,level,color,median,iqr,severity,center,lower_boundary,upper_boundary,training_anchor_support,comparator_v0_mm_per_day,max_input_date,boundary_version,beta,min_segment_length,fit_end_date,mean_velocity,sigma,comparator_role
station_scaler,ATU1,,future_displacement_rate_mm_per_day,,,,,,,0.103424989824,0.247857015892,,,,,,,2018-12-04,,,,,,,
station_scaler,ATU1,,future_velocity_q90_mm_per_day,,,,,,,0.11967972266,0.262409059483,,,,,,,2018-12-04,,,,,,,
station_scaler,ATU1,,future_acceleration_q90_mm_per_day_squared,,,,,,,0,0.00380277408397,,,,,,,2018-12-04,,,,,,,
station_scaler,ATU2,,future_displacement_rate_mm_per_day,,,,,,,0.06341,0.0902896428571,,,,,,,2018-12-04,,,,,,,
station_scaler,ATU2,,future_velocity_q90_mm_per_day,,,,,,,0.070697,0.1094645,,,,,,,2018-12-04,,,,,,,
station_scaler,ATU2,,future_acceleration_q90_mm_per_day_squared,,,,,,,9.99999999749e-06,0.003637,,,,,,,2018-12-04,,,,,,,
station_scaler,ATU3,,future_displacement_rate_mm_per_day,,,,,,,0.129400714286,0.256694642857,,,,,,,2018-12-04,,,,,,,
station_scaler,ATU3,,future_velocity_q90_mm_per_day,,,,,,,0.144132,0.300293,,,,,,,2018-12-04,,,,,,,
station_scaler,ATU3,,future_acceleration_q90_mm_per_day_squared,,,,,,,1.13686837722e-13,0.00359750000003,,,,,,,2018-12-04,,,,,,,
station_scaler,ATU4,,future_displacement_rate_mm_per_day,,,,,,,0.05123,0.0939675,,,,,,,2018-12-04,,,,,,,
station_scaler,ATU4,,future_velocity_q90_mm_per_day,,,,,,,0.053301,0.0975555,,,,,,,2018-12-04,,,,,,,
station_scaler,ATU4,,future_acceleration_q90_mm_per_day_squared,,,,,,,3.9999999899e-06,0.00135549999998,,,,,,,2018-12-04,,,,,,,
station_scaler,ATU5,,future_displacement_rate_mm_per_day,,,,,,,0.158700691097,0.293912853717,,,,,,,2018-12-04,,,,,,,
station_scaler,ATU5,,future_velocity_q90_mm_per_day,,,,,,,0.162715800966,0.329513732579,,,,,,,2018-12-04,,,,,,,
station_scaler,ATU5,,future_acceleration_q90_mm_per_day_squared,,,,,,,0.000412444310268,0.00483375931736,,,,,,,2018-12-04,,,,,,,
station_scaler,MJ1,,future_displacement_rate_mm_per_day,,,,,,,0.196950488182,0.478080857177,,,,,,,2018-12-04,,,,,,,
station_scaler,MJ1,,future_velocity_q90_mm_per_day,,,,,,,0.204861494086,0.493663669629,,,,,,,2018-12-04,,,,,,,
station_scaler,MJ1,,future_acceleration_q90_mm_per_day_squared,,,,,,,0.000270452021039,0.0024487619807,,,,,,,2018-12-04,,,,,,,
station_scaler,MJ3,,future_displacement_rate_mm_per_day,,,,,,,0.0345411930582,0.0699806618884,,,,,,,2018-12-04,,,,,,,
station_scaler,MJ3,,future_velocity_q90_mm_per_day,,,,,,,0.0390755750897,0.0849116264684,,,,,,,2018-12-04,,,,,,,
station_scaler,MJ3,,future_acceleration_q90_mm_per_day_squared,,,,,,,0.000259838578904,0.00176386841931,,,,,,,2018-12-04,,,,,,,
station_scaler,MJ9,,future_displacement_rate_mm_per_day,,,,,,,0.108398571429,0.156586428571,,,,,,,2018-12-04,,,,,,,
station_scaler,MJ9,,future_velocity_q90_mm_per_day,,,,,,,0.132327,0.1621345,,,,,,,2018-12-04,,,,,,,
station_scaler,MJ9,,future_acceleration_q90_mm_per_day_squared,,,,,,,9.99999999749e-06,0.001412,,,,,,,2018-12-04,,,,,,,
station_segment,ATU1,,,1,2018-02-21,2018-03-14,22,,,,,0.0424587576176,,,,,,2018-03-21,,16.9043688095,7,,,,
station_segment,ATU1,,,2,2018-03-15,2018-04-08,25,,,,,1.48138310424,,,,,,2018-04-15,,16.9043688095,7,,,,
station_segment,ATU1,,,3,2018-04-09,2018-04-20,12,,,,,1.43324468658,,,,,,2018-04-27,,16.9043688095,7,,,,
