origin,arm,seed,horizon,point,physics_teacher,residual_teacher,correction_mean_mm,required_residual_mean_mm
612,GRU_GRAPH,0,292,MJ1,432,612,-2.492292490713893,-22.575542523130032
612,GRU_GRAPH,0,292,ATU1,612,432,28.340540011654575,-4.2168799406164323
612,GRU_GRAPH,0,292,ATU5,612,432,67.908364578762573,-4.5160254806391276
612,GRU_GRAPH,0,292,MJ3,612,432,-10.931346918692885,-77.560651055115002
612,GRU_GRAPH,0,292,MJ1,612,432,-14.242842092767916,-22.575542523130032
612,GRU_GRAPH,0,292,ATU1,612,612,4.2426723089046767,-4.2168799406164323
612,GRU_GRAPH,0,292,ATU5,612,612,8.2511908463688126,-4.5160254806391276
612,GRU_GRAPH,0,292,MJ3,612,612,0.52941486208389665,-77.560651055115002
612,GRU_GRAPH,0,292,MJ1,612,612,-0.55154133008769946,-22.575542523130032
612,GRU_GRAPH,1,292,ATU1,432,432,26.521448140386234,-4.2168799406164323
612,GRU_GRAPH,1,292,ATU5,432,432,76.859662835055133,-4.5160254806391276
612,GRU_GRAPH,1,292,MJ3,432,432,-16.501866593560681,-77.560651055115002
612,GRU_GRAPH,1,292,MJ1,432,432,-18.72034441690937,-22.575542523130032
612,GRU_GRAPH,1,292,ATU1,432,612,2.1670327053237015,-4.2168799406164323
612,GRU_GRAPH,1,292,ATU5,432,612,20.771071833098574,-4.5160254806391276
612,GRU_GRAPH,1,292,MJ3,432,612,-5.8533031169273508,-77.560651055115002
612,GRU_GRAPH,1,292,MJ1,432,612,-6.532204188619434,-22.575542523130032
612,GRU_GRAPH,1,292,ATU1,612,432,28.927133784068943,-4.2168799406164323
612,GRU_GRAPH,1,292,ATU5,612,432,72.68459969520022,-4.5160254806391276
612,GRU_GRAPH,1,292,MJ3,612,432,-13.521865967054405,-77.560651055115002
612,GRU_GRAPH,1,292,MJ1,612,432,-15.586782392614024,-22.575542523130032
612,GRU_GRAPH,1,292,ATU1,612,612,4.5788636113423706,-4.2168799406164323
612,GRU_GRAPH,1,292,ATU5,612,612,3.1401424748628362,-4.5160254806391276
612,GRU_GRAPH,1,292,MJ3,612,612,-2.4299131376299483,-77.560651055115002
612,GRU_GRAPH,1,292,MJ1,612,612,-2.7959502750067498,-22.575542523130032
612,GRU_GRAPH,2,292,ATU1,432,432,24.661556487667909,-4.2168799406164323
612,GRU_GRAPH,2,292,ATU5,432,432,72.195547004434303,-4.5160254806391276
612,GRU_GRAPH,2,292,MJ3,432,432,-15.008211742447422,-77.560651055115002
612,GRU_GRAPH,2,292,MJ1,432,432,-16.991402843925382,-22.575542523130032
612,GRU_GRAPH,2,292,ATU1,432,612,-2.4163597238181453,-4.2168799406164323
612,GRU_GRAPH,2,292,ATU5,432,612,23.228919900087,-4.5160254806391276
612,GRU_GRAPH,2,292,MJ3,432,612,-4.8335767656908315,-77.560651055115002
612,GRU_GRAPH,2,292,MJ1,432,612,-6.40599581589602,-22.575542523130032
612,GRU_GRAPH,2,292,ATU1,612,432,26.658059826810522,-4.2168799406164323
612,GRU_GRAPH,2,292,ATU5,612,432,63.407597492182738,-4.5160254806391276
612,GRU_GRAPH,2,292,MJ3,612,432,-13.452088189318406,-77.560651055115002
612,GRU_GRAPH,2,292,MJ1,612,432,-15.719002733470225,-22.575542523130032
612,GRU_GRAPH,2,292,ATU1,612,612,-0.75367525545107705,-4.2168799406164323
612,GRU_GRAPH,2,292,ATU5,612,612,9.0998793370157429,-4.5160254806391276
612,GRU_GRAPH,2,292,MJ3,612,612,-2.7136713194325526,-77.560651055115002
612,GRU_GRAPH,2,292,MJ1,612,612,-4.3318438686172076,-22.575542523130032
612,GRU_GRAPH,ensemble,292,ATU1,432,432,25.610668921478986,-4.2168799406164323
612,GRU_GRAPH,ensemble,292,ATU5,432,432,74.555281155877879,-4.5160254806391276
612,GRU_GRAPH,ensemble,292,MJ3,432,432,-14.730429416255681,-77.560651055115002
612,GRU_GRAPH,ensemble,292,MJ1,432,432,-17.176997485206233,-22.575542523130032
