origin,seed,age_bin,point,origin_draws,unique_origins,query_draws,horizon_mean,horizon_min,horizon_max,initial_residual_mean_mm,future_residual_mean_mm,change_mean_mm,future_negative_fraction,initial_energy_mm2,change_energy_mm2,cross_energy_mm2,residual_energy_mm2
612,0,all,ATU1,800,175,12800,44.352734374999997,1,179,54.193220745606929,55.684350812235422,1.4911300666284857,0,3052.5637595760873,127.57559365235937,-68.994914333916256,3111.1444388945306
612,0,all,ATU5,800,175,12800,44.352734374999997,1,179,134.95861805989384,158.10283668467002,23.144218624776205,0,19835.698291443976,1776.832523623237,3627.148941634593,25239.679756701811
612,0,all,MJ3,800,175,12800,44.352734374999997,1,179,-9.9106607292710507,-19.034348706905263,-9.1236879776342121,0.95734375000000005,225.39068794447275,161.59142410112278,41.014097009588006,427.99620905518356
612,0,all,MJ1,800,175,12800,44.352734374999997,1,179,-18.494972150812337,-28.770278140776647,-10.275305989964309,0.98875000000000002,498.64667238144096,197.28493808336535,211.73305211638959,907.6646625811959
612,0,0,ATU1,5,1,80,93.912499999999994,2,178,0.00029053715695681603,54.555822743145811,54.555532205988868,0,8.4411839572549552e-08,3043.4564794909434,0.031700818446788036,3043.4881803938019
612,0,0,ATU5,5,1,80,93.912499999999994,2,178,0.0049321198872576133,141.21835742003435,141.21342530014709,0,2.4325806582282049e-05,20896.078560900089,1.3929630865412459,20897.471548312438
612,0,0,MJ3,5,1,80,93.912499999999994,2,178,0.0083711120632870006,-10.073227324943712,-10.081598437006999,0.78749999999999998,7.0075517176109158e-05,210.72908322140051,-0.16878838058648932,210.56036491633122
612,0,0,MJ1,5,1,80,93.912499999999994,2,178,-0.009368641976152503,-18.876312568978467,-18.866943927002314,0.91249999999999998,8.7771452477326695e-05,478.41841748531272,0.35351528567245882,478.77202054243764
612,0,1-29,ATU1,124,28,1984,84.346774193548384,1,179,52.610331319518735,55.477086056356946,2.8667547368382067,0,3304.4730823330519,591.62105032047998,-780.71174498043263,3115.3823876730994
612,0,1-29,ATU5,124,28,1984,84.346774193548384,1,179,59.756860970445736,142.9069253020117,83.150064331565972,0,4298.8556525491704,8215.2230280732729,8732.1873903425567,21246.266070965004
612,0,1-29,MJ3,124,28,1984,84.346774193548384,1,179,6.0392163514613362,-10.846063102706363,-16.885279454167701,0.782258064516129,44.394988548116331,422.01591986790538,-226.2428579367706,240.16805047925112
612,0,1-29,MJ1,124,28,1984,84.346774193548384,1,179,0.46763256572931905,-19.875036403811798,-20.342668969541116,0.93094758064516125,0.35408356273483532,550.92056332828997,-18.911827821675192,532.36281906934948
612,0,30-89,ATU1,244,58,3904,60.649077868852459,1,149,52.122080979724011,55.082580881842517,2.9604999021185066,0,2747.7147647449638,53.722389447346004,244.2577640404383,3045.694918232748
612,0,30-89,ATU5,244,58,3904,60.649077868852459,1,149,126.24911642756676,156.96504333266856,30.715926905101817,0,16145.885633283902,1213.0891688299166,7460.7740446369535,24819.748846750776
612,0,30-89,MJ3,244,58,3904,60.649077868852459,1,149,-2.2948933404252609,-16.034336959846879,-13.739443619421618,0.97515368852459017,41.22081938338345,255.46723309872229,12.85909030756512,309.54714278967089
612,0,30-89,MJ1,244,58,3904,60.649077868852459,1,149,-10.811408386780663,-25.275657771157423,-14.46424938437676,1,144.54715871728777,281.736516106436,278.02834091927787,704.31201574300178
612,0,90+,ATU1,427,88,6832,22.846018735362996,1,89,56.470974944090827,56.101623255069725,-0.36935168902109838,0,3189.353496143744,0.87568913241413615,-42.123484823228424,3148.1057004529289
612,0,90+,ATU5,427,88,6832,22.846018735362996,1,89,163.35417943478706,163.36357903984842,0.0093996050613656817,0,26688.300790623383,5.3962843524669157,-3.5314163973125443,26690.165658578539
612,0,90+,MJ3,427,88,6832,22.846018735362996,1,89,-19.010490144015456,-23.231435095928017,-4.2209449519125632,1,385.83065924048861,31.745936592699628,135.19582646062528,552.77242229381352
612,0,90+,MJ1,427,88,6832,22.846018735362996,1,89,-28.608743956009231,-33.466219998925872,-4.8574760429166437,1,851.53143882318068,43.039809359689379,243.30404117626995,1137.87528935914
612,1,all,ATU1,800,177,12800,46.148203125000002,1,178,54.263396801279271,55.682221242948053,1.4188244416687923,0,3040.7647227295652,108.37688228980122,-38.2502441928766,3110.8913608264902
612,1,all,ATU5,800,177,12800,46.148203125000002,1,178,133.73245493119012,157.90131427368206,24.16885934249197,0,19409.109211864579,1750.052905394791,4016.7413265170262,25175.903443776398
612,1,all,MJ3,800,177,12800,46.148203125000002,1,178,-9.148928957629975,-18.77764636664676,-9.6287174090167849,0.953984375,212.63189316961243,174.53803553665495,32.833840782025874,420.00376948829324
612,1,all,MJ1,800,177,12800,46.148203125000002,1,178,-17.728696713841011,-28.490999710911058,-10.762302997070051,0.990234375,470.01580641692766,210.40267707269695,212.95517446397983,893.37365795360427
612,1,0,ATU1,1,1,16,86.8125,8,167,0.00029053715695681603,54.241938704896327,54.24164816773937,0,8.4411839572549552e-08,2996.2757927109374,0.031518428494613768,2996.307311223844
612,1,0,ATU5,1,1,16,86.8125,8,167,0.0049321198872576133,129.90333121635902,129.89839909647176,0,2.4325806582282052e-05,18280.563739957408,1.2813489550132695,18281.845113238225
612,1,0,MJ3,1,1,16,86.8125,8,167,0.0083711120632870006,-8.1267757534573093,-8.1351468655205963,0.6875,7.0075517176109144e-05,217.46917699103511,-0.13620045212514179,217.33304661442716
612,1,0,MJ1,1,1,16,86.8125,8,167,-0.009368641976152503,-16.929144646722236,-16.919776004746083,0.8125,8.7771452477326681e-05,464.75047659754648,0.31703064741032405,465.06759501640931
612,1,1-29,ATU1,140,29,2240,83.720982142857139,1,178,52.625562919240984,55.545303425772708,2.9197405065317281,0,3213.607958551765,491.33545613935439,-584.73696154725144,3120.2064531438687
612,1,1-29,ATU5,140,29,2240,83.720982142857139,1,178,63.413230753236945,143.58320352133694,80.169972768100024,0,4740.6856380722957,7678.6322965031623,8959.7485527109257,21379.066487286385
612,1,1-29,MJ3,140,29,2240,83.720982142857139,1,178,6.3796110180542573,-10.964047484422434,-17.343658502476689,0.78169642857142863,48.36484347699183,436.38331432546846,-242.86043921448118,241.88771858797907
612,1,1-29,MJ1,140,29,2240,83.720982142857139,1,178,0.39386106061744741,-20.049967350811727,-20.443828411429177,0.94553571428571426,0.33462811009884286,553.55138217016042,-15.988110909223792,537.89789937103546
612,1,30-89,ATU1,271,59,4336,60.130765682656829,1,148,52.163347381875141,55.176064233691221,3.0127168518160765,0,2751.6036914252982,53.786676365084951,249.85898683433783,3055.249354624721
612,1,30-89,ATU5,271,59,4336,60.130765682656829,1,148,128.10377450751059,157.60282283970943,29.499048332198804,0,16623.944504745428,1124.2864394009,7253.6611757940473,25001.892119940378
612,1,30-89,MJ3,271,59,4336,60.130765682656829,1,148,-2.8926127791348395,-16.323994981935545,-13.431382202800705,0.97809040590405905,43.461254827476061,244.22753654143816,28.625891211762664,316.3146825806769
612,1,30-89,MJ1,271,59,4336,60.130765682656829,1,148,-11.363172955213019,-25.600349974458382,-14.237177019245362,1,156.31147350115353,272.41421934213457,289.42368890701994,718.14938175030795
612,1,90+,ATU1,388,88,6208,22.720038659793815,1,89,56.461008250784417,56.088863836894461,-0.37214441388995972,0,3188.2011948713011,0.88164145536702176,-42.393911567577639,3146.6889247590898
612,1,90+,ATU5,388,88,6208,22.720038659793815,1,89,163.38140158722592,163.34828506489919,-0.033116522326735599,0,26697.171183894865,5.3392113087330948,-17.307206585180854,26685.203188618416
612,1,90+,MJ3,388,88,6208,22.720038659793815,1,89,-19.145358290201283,-23.338198530000714,-4.1928402397994304,1,390.60937196028232,31.272249598035067,135.33519020029001,557.21681175860738
612,1,90+,MJ1,388,88,6208,22.720038659793815,1,89,-28.759455360965319,-33.585516370851195,-4.8260610098858709,1,859.80770049367061,42.61841297943058,242.70190302583853,1145.1280164989398
612,2,all,ATU1,800,179,12800,45.238515624999998,1,180,54.683119421446492,55.665544490788925,0.98242506934244289,0,3090.7473138677951,113.19114430233101,-94.705746681314636,3109.2327114888117
612,2,all,ATU5,800,179,12800,45.238515624999998,1,180,134.77048411967525,157.83995352348668,23.069469403811464,0,19665.570302303684,1673.2130382567266,3821.028381932244,25159.811722492654
612,2,all,MJ3,800,179,12800,45.238515624999998,1,180,-9.2808517960704631,-18.799911684277429,-9.5190598882069644,0.95320312500000004,216.80911079132883,173.09471026808694,30.932717327835224,420.83653838725104
612,2,all,MJ1,800,179,12800,45.238515624999998,1,180,-17.940560210662273,-28.523983269013865,-10.583423058351592,0.99007812500000003,477.77281566451944,205.83435056757776,211.93236770259594,895.53953393469328
612,2,0,ATU1,4,1,64,83.25,2,180,0.00029053715695681603,55.811580311227807,55.81128977407085,0,8.4411839572549552e-08,3245.1224383185681,0.032430506914103124,3245.1548689098936
612,2,0,ATU5,4,1,64,83.25,2,180,0.0049321198872576133,128.79481784834022,128.78988572845296,0,2.4325806582282052e-05,18367.784367867171,1.2704143133578767,18369.054806506341
612,2,0,MJ3,4,1,64,83.25,2,180,0.0083711120632870006,-7.5608403229806029,-7.5692114350438899,0.609375,7.0075517176109144e-05,206.80211556960154,-0.12672543430693164,206.67546021081182
612,2,0,MJ1,4,1,64,83.25,2,180,-0.009368641976152503,-15.976125287381564,-15.966756645405411,0.78125,8.7771452477326695e-05,426.51916353816574,0.29917365306231414,426.81842496268052
612,2,1-29,ATU1,122,29,1952,83.337602459016395,1,178,53.957721359709168,55.39725424874274,1.4395328890335679,0,3382.1586470968605,520.48193989999913,-798.45066410183642,3104.1899228950228
612,2,1-29,ATU5,122,29,1952,83.337602459016395,1,178,62.979873635519191,142.90386312952197,79.923989494002782,0,4691.6648267242963,7683.4233937558038,8818.477787482414,21193.566007962512
612,2,1-29,MJ3,122,29,1952,83.337602459016395,1,178,6.3339259751673289,-10.839841092461045,-17.173767067628372,0.77612704918032782,47.748160123036961,431.23014278943805,-238.66868432874938,240.30961858372561
612,2,1-29,MJ1,122,29,1952,83.337602459016395,1,178,0.40507663499789526,-19.916050213105606,-20.321126848103496,0.94211065573770492,0.3481710718293643,550.29995924031618,-16.025704225947511,534.62242608619806
612,2,30-89,ATU1,273,60,4368,60.453067765567766,1,150,53.165749630576975,55.127853818844777,1.9621041882677983,0,2859.1141693752547,50.282665543982205,141.31530072512609,3050.7121356443627
