origin,seed,origin_draws,query_draws,fresh_origin_draws,fresh_unique_origins,fresh_query_fraction,zero_objective,half_origin_objective,unconstrained_floor,half_origin_gap_reduction,current_teacher,current_teacher_age,maximum_training_teacher_age
612,0,800,12800,5,1,0.0062500000000000003,0.29929071710480637,0.16487808648703661,0.14964535855240318,0.89820781558487706,612,0,179
612,1,800,12800,1,1,0.00125,0.29782127206684433,0.16443953734533584,0.14891063603342217,0.89571664103007187,612,0,179
612,2,800,12800,4,1,0.0050000000000000001,0.29780284810322805,0.16400586993784677,0.14890142405161402,0.89856076943228524,612,0,179
792,0,800,12800,5,2,0.0062500000000000003,0.23246372300736476,0.1545545153998619,0.11623186150368238,0.67029131771269612,792,0,179
792,1,800,12800,6,2,0.0074999999999999997,0.2401911204367746,0.15941563291156335,0.1200955602183873,0.67259345289971895,792,0,179
792,2,800,12800,4,2,0.0050000000000000001,0.23744718333626566,0.15781466646808787,0.11872359166813283,0.67073877861422837,792,0,179
972,0,800,12800,4,2,0.0050000000000000001,0.2229600350153817,0.15880515213843369,0.11148001750769085,0.57548325082135954,792,180,178
972,1,800,12800,1,1,0.00125,0.23058089467800461,0.16690624194432885,0.1152904473390023,0.55229773327572884,792,180,179
972,2,800,12800,2,2,0.0025000000000000001,0.23016011093871408,0.16472396155373517,0.11508005546935704,0.56861416270695953,792,180,179
1168,0,800,12800,1,1,0.00125,0.25632085149852335,0.17642000081499196,0.12816042574926167,0.62344401726514787,1168,0,374
1168,1,800,12800,5,2,0.0062500000000000003,0.26845255821133773,0.18436822453509552,0.13422627910566887,0.62643719424008848,1168,0,375
1168,2,800,12800,3,1,0.0037499999999999999,0.26726388007530411,0.18471619590446448,0.13363194003765205,0.61772420685938589,1168,0,375
