origin,arm,seed,variant,point,mae,rmse,bias
612,GRU_LOCAL,0,BPLUS,ATU1,6.092584517632778,9.2748333845426885,4.2811793661703978
612,GRU_LOCAL,0,BPLUS,ATU5,8.1947531628107946,10.799758932894493,4.5944399430462965
612,GRU_LOCAL,0,BPLUS,MJ3,77.770519649130975,89.384443868005675,77.770519649130975
612,GRU_LOCAL,0,BPLUS,MJ1,25.667274442031584,30.339156668468313,22.675567795383593
612,GRU_LOCAL,0,ANCHOR_ONLY,ATU1,6.0948357411688008,9.278776720700094,4.289715595106693
612,GRU_LOCAL,0,ANCHOR_ONLY,ATU5,8.1949829720627818,10.800088212135204,4.5952138983432089
612,GRU_LOCAL,0,ANCHOR_ONLY,MJ3,77.763580502429605,89.378406405879957,77.763580502429605
612,GRU_LOCAL,0,ANCHOR_ONLY,MJ1,25.665325194035599,30.3367720282519,22.672377126876203
612,GRU_LOCAL,0,SHAPE_ONLY,ATU1,6.8949772501697435,9.8868386930628951,3.7824593479748101
612,GRU_LOCAL,0,SHAPE_ONLY,ATU5,6.9566931823235194,10.281274060741517,4.592650421821082
612,GRU_LOCAL,0,SHAPE_ONLY,MJ3,77.706887892023005,89.27538338169694,77.706887892023005
612,GRU_LOCAL,0,SHAPE_ONLY,MJ1,26.514760853878595,30.897106641404335,23.172513514330376
612,GRU_LOCAL,0,ANCHORED_SHAPE,ATU1,6.8964630784146266,9.8901075872673481,3.7909955769111034
612,GRU_LOCAL,0,ANCHORED_SHAPE,ATU5,6.9569177086041964,10.281619810288886,4.5934243771179961
612,GRU_LOCAL,0,ANCHORED_SHAPE,MJ3,77.699948745321649,89.269343489863019,77.699948745321649
612,GRU_LOCAL,0,ANCHORED_SHAPE,MJ1,26.51274626796096,30.894713744789144,23.16932284582299
612,GRU_LOCAL,0,ORIGINAL,ATU1,9.5549401260987992,12.588032912400099,8.6611772860336096
612,GRU_LOCAL,0,ORIGINAL,ATU5,12.978661893672506,15.874683146047589,12.938060386796172
612,GRU_LOCAL,0,ORIGINAL,MJ3,78.297848464019239,89.790237365651606,78.297848464019239
612,GRU_LOCAL,0,ORIGINAL,MJ1,25.988762146723378,30.249618323199794,22.301874191663273
612,GRU_LOCAL,1,BPLUS,ATU1,6.092584517632778,9.2748333845426885,4.2811793661703978
612,GRU_LOCAL,1,BPLUS,ATU5,8.1947531628107946,10.799758932894493,4.5944399430462965
612,GRU_LOCAL,1,BPLUS,MJ3,77.770519649130975,89.384443868005675,77.770519649130975
612,GRU_LOCAL,1,BPLUS,MJ1,25.667274442031584,30.339156668468313,22.675567795383593
612,GRU_LOCAL,1,ANCHOR_ONLY,ATU1,6.0948357411688008,9.278776720700094,4.289715595106693
612,GRU_LOCAL,1,ANCHOR_ONLY,ATU5,8.1949829720627818,10.800088212135204,4.5952138983432089
612,GRU_LOCAL,1,ANCHOR_ONLY,MJ3,77.763580502429605,89.378406405879957,77.763580502429605
612,GRU_LOCAL,1,ANCHOR_ONLY,MJ1,25.665325194035599,30.3367720282519,22.672377126876203
612,GRU_LOCAL,1,SHAPE_ONLY,ATU1,6.580628299930229,9.1066939085244485,1.1499503748685493
612,GRU_LOCAL,1,SHAPE_ONLY,ATU5,7.120582030480775,10.129376630663922,2.8536003680390043
612,GRU_LOCAL,1,SHAPE_ONLY,MJ3,75.811900339042239,87.380314713450389,75.811900339042239
612,GRU_LOCAL,1,SHAPE_ONLY,MJ1,25.221727546226269,29.555708942116141,21.768236489667093
612,GRU_LOCAL,1,ANCHORED_SHAPE,ATU1,6.5791424716853451,9.1077757597610667,1.1584866038048431
612,GRU_LOCAL,1,ANCHORED_SHAPE,ATU5,7.1206956143639459,10.129594692932573,2.854374323335918
612,GRU_LOCAL,1,ANCHORED_SHAPE,MJ3,75.804961192340869,87.374294319193609,75.804961192340869
612,GRU_LOCAL,1,ANCHORED_SHAPE,MJ1,25.219756518923077,29.553359044247266,21.76504582115971
612,GRU_LOCAL,1,ORIGINAL,ATU1,9.618415128276105,12.818225659288666,9.0938122354461637
612,GRU_LOCAL,1,ORIGINAL,ATU5,8.9818782322466006,12.61402301469092,8.0406679293317396
612,GRU_LOCAL,1,ORIGINAL,MJ3,75.766317853183622,87.340769904062611,75.766317853183622
612,GRU_LOCAL,1,ORIGINAL,MJ1,24.348047565034317,28.382808844368,20.146960730961986
612,GRU_LOCAL,2,BPLUS,ATU1,6.092584517632778,9.2748333845426885,4.2811793661703978
612,GRU_LOCAL,2,BPLUS,ATU5,8.1947531628107946,10.799758932894493,4.5944399430462965
612,GRU_LOCAL,2,BPLUS,MJ3,77.770519649130975,89.384443868005675,77.770519649130975
612,GRU_LOCAL,2,BPLUS,MJ1,25.667274442031584,30.339156668468313,22.675567795383593
612,GRU_LOCAL,2,ANCHOR_ONLY,ATU1,6.0948357411688008,9.278776720700094,4.289715595106693
612,GRU_LOCAL,2,ANCHOR_ONLY,ATU5,8.1949829720627818,10.800088212135204,4.5952138983432089
612,GRU_LOCAL,2,ANCHOR_ONLY,MJ3,77.763580502429605,89.378406405879957,77.763580502429605
612,GRU_LOCAL,2,ANCHOR_ONLY,MJ1,25.665325194035599,30.3367720282519,22.672377126876203
612,GRU_LOCAL,2,SHAPE_ONLY,ATU1,6.6484493133595199,9.3617423837402907,3.6597858492654232
612,GRU_LOCAL,2,SHAPE_ONLY,ATU5,7.329161777726469,10.713464953740306,4.7409021430287623
612,GRU_LOCAL,2,SHAPE_ONLY,MJ3,77.093244480747771,88.589606991104404,77.093244480747771
612,GRU_LOCAL,2,SHAPE_ONLY,MJ1,26.034056030016789,30.472420168198067,22.862792332104064
612,GRU_LOCAL,2,ANCHORED_SHAPE,ATU1,6.6498768738300953,9.365082747443191,3.6683220782017161
612,GRU_LOCAL,2,ANCHORED_SHAPE,ATU5,7.3294074358923869,10.713807465447571,4.7416760983256756
612,GRU_LOCAL,2,ANCHORED_SHAPE,MJ3,77.086305334046372,88.583568410421464,77.086305334046372
612,GRU_LOCAL,2,ANCHORED_SHAPE,MJ1,26.032063223406375,30.470026352213743,22.859601663596678
612,GRU_LOCAL,2,ORIGINAL,ATU1,6.7458669933373638,9.5596559371413115,4.139907443347643
612,GRU_LOCAL,2,ORIGINAL,ATU5,14.275237779307902,17.197995336557774,14.264251309165019
612,GRU_LOCAL,2,ORIGINAL,MJ3,75.320667044764065,87.007136257942378,75.26946019162196
612,GRU_LOCAL,2,ORIGINAL,MJ1,23.885224197537642,27.446352204499394,18.639772843228013
612,GRU_LOCAL,ensemble,BPLUS,ATU1,6.092584517632778,9.2748333845426885,4.2811793661703978
612,GRU_LOCAL,ensemble,BPLUS,ATU5,8.1947531628107946,10.799758932894493,4.5944399430462965
612,GRU_LOCAL,ensemble,BPLUS,MJ3,77.770519649130975,89.384443868005675,77.770519649130975
612,GRU_LOCAL,ensemble,BPLUS,MJ1,25.667274442031584,30.339156668468313,22.675567795383593
612,GRU_LOCAL,ensemble,ANCHOR_ONLY,ATU1,6.0948357411688008,9.278776720700094,4.289715595106693
612,GRU_LOCAL,ensemble,ANCHOR_ONLY,ATU5,8.1949829720627818,10.800088212135204,4.5952138983432089
612,GRU_LOCAL,ensemble,ANCHOR_ONLY,MJ3,77.763580502429605,89.378406405879957,77.763580502429605
612,GRU_LOCAL,ensemble,ANCHOR_ONLY,MJ1,25.665325194035599,30.3367720282519,22.672377126876203
612,GRU_LOCAL,ensemble,SHAPE_ONLY,ATU1,6.4527734800971794,9.2680267437088713,2.8640651907029486
612,GRU_LOCAL,ensemble,SHAPE_ONLY,ATU5,7.0659470638321231,10.267853404520805,4.0623843109629751
612,GRU_LOCAL,ensemble,SHAPE_ONLY,MJ3,76.870677570604187,88.41256731170526,76.870677570604187
612,GRU_LOCAL,ensemble,SHAPE_ONLY,MJ1,25.920427361882538,30.302362094483367,22.601180778700513
612,GRU_LOCAL,ensemble,ANCHORED_SHAPE,ATU1,6.4533852917274261,9.2706682187218803,2.872601419639242
612,GRU_LOCAL,ensemble,ANCHORED_SHAPE,ATU5,7.0661240433710164,10.268159637610227,4.0631582662599151
612,GRU_LOCAL,ensemble,ANCHORED_SHAPE,MJ3,76.863738423902817,88.406534107955949,76.863738423902817
612,GRU_LOCAL,ensemble,ANCHORED_SHAPE,MJ1,25.918412775964907,30.299982391646157,22.59799011019313
612,GRU_LOCAL,ensemble,ORIGINAL,ATU1,8.2876331221322523,11.443715237097356,7.2982989882758087
612,GRU_LOCAL,ensemble,ORIGINAL,ATU5,11.870905413037033,15.064307477868033,11.747659875097648
612,GRU_LOCAL,ensemble,ORIGINAL,MJ3,76.445565396238123,88.042313781522353,76.444542169608269
612,GRU_LOCAL,ensemble,ORIGINAL,MJ1,24.718337488770221,28.671697198134058,20.36286925528443
612,GRU_GRAPH,0,BPLUS,ATU1,6.092584517632778,9.2748333845426885,4.2811793661703978
612,GRU_GRAPH,0,BPLUS,ATU5,8.1947531628107946,10.799758932894493,4.5944399430462965
612,GRU_GRAPH,0,BPLUS,MJ3,77.770519649130975,89.384443868005675,77.770519649130975
612,GRU_GRAPH,0,BPLUS,MJ1,25.667274442031584,30.339156668468313,22.675567795383593
612,GRU_GRAPH,0,ANCHOR_ONLY,ATU1,6.0948357411688008,9.278776720700094,4.289715595106693
612,GRU_GRAPH,0,ANCHOR_ONLY,ATU5,8.1949829720627818,10.800088212135204,4.5952138983432089
612,GRU_GRAPH,0,ANCHOR_ONLY,MJ3,77.763580502429605,89.378406405879957,77.763580502429605
612,GRU_GRAPH,0,ANCHOR_ONLY,MJ1,25.665325194035599,30.3367720282519,22.672377126876203
612,GRU_GRAPH,0,SHAPE_ONLY,ATU1,6.8884303641145426,9.8791486147776943,3.7647636196598491
612,GRU_GRAPH,0,SHAPE_ONLY,ATU5,6.9492176801990961,10.269000782294473,4.5802670269480652
612,GRU_GRAPH,0,SHAPE_ONLY,MJ3,77.684547197165074,89.251498062959399,77.684547197165074
612,GRU_GRAPH,0,SHAPE_ONLY,MJ1,26.549019194231992,30.933666451364072,23.20455972283921
612,GRU_GRAPH,0,ANCHORED_SHAPE,ATU1,6.8897996568108084,9.8824047674827291,3.7732998485961424
612,GRU_GRAPH,0,ANCHORED_SHAPE,ATU5,6.9494369235084621,10.269346011778209,4.5810409822449794
612,GRU_GRAPH,0,ANCHORED_SHAPE,MJ3,77.677608050463704,89.245458291698753,77.677608050463704
612,GRU_GRAPH,0,ANCHORED_SHAPE,MJ1,26.547026387621575,30.931273077400839,23.201369054331821
612,GRU_GRAPH,0,ORIGINAL,ATU1,9.4378715778991698,12.483161829279329,8.509124338909773
612,GRU_GRAPH,0,ORIGINAL,ATU5,12.876417332717713,15.784754732735696,12.832963451362472
612,GRU_GRAPH,0,ORIGINAL,MJ3,78.290309465685112,89.779249214318014,78.290309465685112
612,GRU_GRAPH,0,ORIGINAL,MJ1,25.903553906806909,30.125547280091226,22.11579685952049
612,GRU_GRAPH,1,BPLUS,ATU1,6.092584517632778,9.2748333845426885,4.2811793661703978
612,GRU_GRAPH,1,BPLUS,ATU5,8.1947531628107946,10.799758932894493,4.5944399430462965
612,GRU_GRAPH,1,BPLUS,MJ3,77.770519649130975,89.384443868005675,77.770519649130975
612,GRU_GRAPH,1,BPLUS,MJ1,25.667274442031584,30.339156668468313,22.675567795383593
612,GRU_GRAPH,1,ANCHOR_ONLY,ATU1,6.0948357411688008,9.278776720700094,4.289715595106693
612,GRU_GRAPH,1,ANCHOR_ONLY,ATU5,8.1949829720627818,10.800088212135204,4.5952138983432089
612,GRU_GRAPH,1,ANCHOR_ONLY,MJ3,77.763580502429605,89.378406405879957,77.763580502429605
612,GRU_GRAPH,1,ANCHOR_ONLY,MJ1,25.665325194035599,30.3367720282519,22.672377126876203
612,GRU_GRAPH,1,SHAPE_ONLY,ATU1,6.6230429352883444,9.1219339487108986,1.0773048285585713
612,GRU_GRAPH,1,SHAPE_ONLY,ATU5,7.1208779287631803,10.14396166809636,2.8374990802886479
612,GRU_GRAPH,1,SHAPE_ONLY,MJ3,75.698968879637107,87.272385559335689,75.698968879637107
612,GRU_GRAPH,1,SHAPE_ONLY,MJ1,25.278124298363323,29.625787681757416,21.829231825174247
612,GRU_GRAPH,1,ANCHORED_SHAPE,ATU1,6.6214988392691509,9.1229460194144725,1.0858410574948649
612,GRU_GRAPH,1,ANCHORED_SHAPE,ATU5,7.1209809467037291,10.144178188384773,2.8382730355855603
612,GRU_GRAPH,1,ANCHORED_SHAPE,MJ3,75.692029732935737,87.266366699139624,75.692029732935737
612,GRU_GRAPH,1,ANCHORED_SHAPE,MJ1,25.276153271060124,29.623436773269319,21.826041156666857
612,GRU_GRAPH,1,ORIGINAL,ATU1,9.4258792501384043,12.66874820440713,8.8570925136672312
612,GRU_GRAPH,1,ORIGINAL,ATU5,8.7736776892722048,12.432214480833892,7.7273151614442801
612,GRU_GRAPH,1,ORIGINAL,MJ3,75.332310378762983,86.954003609032142,75.331688895593572
612,GRU_GRAPH,1,ORIGINAL,MJ1,24.245828622886176,28.213351440573202,19.870109859332047
612,GRU_GRAPH,2,BPLUS,ATU1,6.092584517632778,9.2748333845426885,4.2811793661703978
612,GRU_GRAPH,2,BPLUS,ATU5,8.1947531628107946,10.799758932894493,4.5944399430462965
612,GRU_GRAPH,2,BPLUS,MJ3,77.770519649130975,89.384443868005675,77.770519649130975
612,GRU_GRAPH,2,BPLUS,MJ1,25.667274442031584,30.339156668468313,22.675567795383593
612,GRU_GRAPH,2,ANCHOR_ONLY,ATU1,6.0948357411688008,9.278776720700094,4.289715595106693
612,GRU_GRAPH,2,ANCHOR_ONLY,ATU5,8.1949829720627818,10.800088212135204,4.5952138983432089
612,GRU_GRAPH,2,ANCHOR_ONLY,MJ3,77.763580502429605,89.378406405879957,77.763580502429605
612,GRU_GRAPH,2,ANCHOR_ONLY,MJ1,25.665325194035599,30.3367720282519,22.672377126876203
612,GRU_GRAPH,2,SHAPE_ONLY,ATU1,6.6850408305567584,9.4036106344153954,3.7505310913164061
612,GRU_GRAPH,2,SHAPE_ONLY,ATU5,7.3177410946737256,10.712503533163357,4.8029597977016607
612,GRU_GRAPH,2,SHAPE_ONLY,MJ3,77.149047278416319,88.64997048554126,77.149047278416319
612,GRU_GRAPH,2,SHAPE_ONLY,MJ1,26.070426461338762,30.511376386627123,22.901107089042984
612,GRU_GRAPH,2,ANCHORED_SHAPE,ATU1,6.6865849265759527,9.4070184763798075,3.7590673202527003
612,GRU_GRAPH,2,ANCHORED_SHAPE,ATU5,7.3179814698683341,10.712850558996758,4.803733752998574
612,GRU_GRAPH,2,ANCHORED_SHAPE,MJ3,77.142108131714963,88.643931648620025,77.142108131714963
612,GRU_GRAPH,2,ANCHORED_SHAPE,MJ1,26.068433654728349,30.508981620244981,22.897916420535601
612,GRU_GRAPH,2,ORIGINAL,ATU1,6.6471796584933918,9.3099935920985732,3.5092123315862858
612,GRU_GRAPH,2,ORIGINAL,ATU5,13.704536867565936,16.697500296695615,13.679079173264952
612,GRU_GRAPH,2,ORIGINAL,MJ3,75.112923483323002,86.824764600800805,75.044639894295301
612,GRU_GRAPH,2,ORIGINAL,MJ1,23.764651433429613,27.249886414761864,18.332291905673195
612,GRU_GRAPH,ensemble,BPLUS,ATU1,6.092584517632778,9.2748333845426885,4.2811793661703978
612,GRU_GRAPH,ensemble,BPLUS,ATU5,8.1947531628107946,10.799758932894493,4.5944399430462965
612,GRU_GRAPH,ensemble,BPLUS,MJ3,77.770519649130975,89.384443868005675,77.770519649130975
612,GRU_GRAPH,ensemble,BPLUS,MJ1,25.667274442031584,30.339156668468313,22.675567795383593
612,GRU_GRAPH,ensemble,ANCHOR_ONLY,ATU1,6.0948357411688008,9.278776720700094,4.289715595106693
612,GRU_GRAPH,ensemble,ANCHOR_ONLY,ATU5,8.1949829720627818,10.800088212135204,4.5952138983432089
612,GRU_GRAPH,ensemble,ANCHOR_ONLY,MJ3,77.763580502429605,89.378406405879957,77.763580502429605
