origin,arm,seed,horizon,physics_teacher,residual_teacher,baseline_teacher,mae,rmse
612,COND_ATTN,2,292,432,612,612,48.804636871381987,53.510753697888482
612,COND_ATTN,2,292,612,432,612,45.497612016374099,50.130139526091519
612,COND_ATTN,2,292,612,612,612,45.802031464183166,50.705577567668769
612,COND_ATTN,ensemble,292,432,432,612,48.195086966107013,52.476231623170179
612,COND_ATTN,ensemble,292,432,612,612,48.714867241859871,53.045842421024865
612,COND_ATTN,ensemble,292,612,432,612,46.46104487941637,50.783989362136381
612,COND_ATTN,ensemble,292,612,612,612,46.579234500139059,51.056841760009313
792,GRU_LOCAL,0,292,612,612,792,31.723445152460208,33.962471312733612
792,GRU_LOCAL,0,292,612,792,792,25.748468276890467,28.353393608761451
792,GRU_LOCAL,0,292,792,612,792,30.556071789101043,32.722436132323587
792,GRU_LOCAL,0,292,792,792,792,24.92629593461638,27.416758696203111
792,GRU_LOCAL,1,292,612,612,792,36.090487500587912,38.731730062314604
792,GRU_LOCAL,1,292,612,792,792,30.726870184238866,33.903937883176276
792,GRU_LOCAL,1,292,792,612,792,35.151707642849566,37.654789062344065
792,GRU_LOCAL,1,292,792,792,792,29.810027014978161,32.760486395345936
792,GRU_LOCAL,2,292,612,612,792,33.867246212957717,36.005066995937447
792,GRU_LOCAL,2,292,612,792,792,28.017788683913867,30.509373024287207
792,GRU_LOCAL,2,292,792,612,792,32.885405159617676,34.931577872698888
792,GRU_LOCAL,2,292,792,792,792,27.839459828617162,30.25355731553465
792,GRU_LOCAL,ensemble,292,612,612,792,33.885316727940484,36.193387371236845
792,GRU_LOCAL,ensemble,292,612,792,792,28.143698558795361,30.869331103965287
792,GRU_LOCAL,ensemble,292,792,612,792,32.851904066997022,35.063479776580479
792,GRU_LOCAL,ensemble,292,792,792,792,27.508621834097521,30.083706903026183
792,GRU_GRAPH,0,292,612,612,792,31.901382289286133,34.136826364233457
792,GRU_GRAPH,0,292,612,792,792,25.811235064203611,28.412585180638967
792,GRU_GRAPH,0,292,792,612,792,30.569943597848667,32.730900858176859
792,GRU_GRAPH,0,292,792,792,792,24.994856379248787,27.483974097367348
792,GRU_GRAPH,1,292,612,612,792,36.117347896974451,38.760174544249978
792,GRU_GRAPH,1,292,612,792,792,30.734898737143961,33.926145864900491
792,GRU_GRAPH,1,292,792,612,792,35.191562532003459,37.701935659303679
792,GRU_GRAPH,1,292,792,792,792,29.830307362490178,32.805176923244993
792,GRU_GRAPH,2,292,612,612,792,33.728502399888967,35.845251227721477
792,GRU_GRAPH,2,292,612,792,792,28.054230829336053,30.52462887429493
792,GRU_GRAPH,2,292,792,612,792,32.926079810546348,34.952221870517626
792,GRU_GRAPH,2,292,792,792,792,27.794980088641257,30.203104010666415
792,GRU_GRAPH,ensemble,292,612,612,792,33.908208534564686,36.207792233241577
792,GRU_GRAPH,ensemble,292,612,792,792,28.180768842707835,30.900302890155064
792,GRU_GRAPH,ensemble,292,792,612,792,32.88125981819983,35.090317836962328
792,GRU_GRAPH,ensemble,292,792,792,792,27.513233193999845,30.100502570602362
792,COND_ATTN,0,292,612,612,792,34.967745164478778,37.858154784643979
792,COND_ATTN,0,292,612,792,792,32.062285977437163,35.088848352627828
792,COND_ATTN,0,292,792,612,792,43.716776001298939,46.432440588710072
792,COND_ATTN,0,292,792,792,792,41.437456465732694,44.207981359955369
792,COND_ATTN,1,292,612,612,792,31.81691453041342,34.141254931649371
792,COND_ATTN,1,292,612,792,792,32.130310482588051,34.273206743325858
792,COND_ATTN,1,292,792,612,792,42.059739890684462,44.041915100359084
792,COND_ATTN,1,292,792,792,792,41.944009870875611,43.768718550911579
792,COND_ATTN,2,292,612,612,792,24.836999431025628,27.251844931223186
792,COND_ATTN,2,292,612,792,792,24.631180528419687,27.073033200859935
792,COND_ATTN,2,292,792,612,792,37.938456239851575,39.407328089374325
792,COND_ATTN,2,292,792,792,792,37.336621612849612,38.792327093412787
792,COND_ATTN,ensemble,292,612,612,792,30.472594022958194,32.884400569570673
792,COND_ATTN,ensemble,292,612,792,792,29.465062184361017,31.95386080309914
792,COND_ATTN,ensemble,292,792,612,792,41.23207221079673,43.079903256018525
792,COND_ATTN,ensemble,292,792,792,792,40.235266054718913,42.032246173446026
972,GRU_LOCAL,0,112,612,612,792,33.387982713575795,33.964583548995122
972,GRU_LOCAL,0,112,612,792,792,18.563379157565489,19.341909057966671
972,GRU_LOCAL,0,112,792,612,792,29.957735094191143,30.416067339936134
972,GRU_LOCAL,0,112,792,792,792,17.222764164238395,17.743333011209558
972,GRU_LOCAL,1,112,612,612,792,35.52117797890574,35.993196037461161
972,GRU_LOCAL,1,112,612,792,792,21.52909420171337,22.188621618245364
972,GRU_LOCAL,1,112,792,612,792,30.925611774217479,31.16386418103782
972,GRU_LOCAL,1,112,792,792,792,18.137658159654055,18.361886968370538
972,GRU_LOCAL,2,112,612,612,792,33.373318722808101,33.965225317157064
972,GRU_LOCAL,2,112,612,792,792,20.270258185818346,20.881403537712497
972,GRU_LOCAL,2,112,792,612,792,29.388121430372728,29.746117161917088
972,GRU_LOCAL,2,112,792,792,792,17.493451412776817,17.808329222021253
972,GRU_LOCAL,ensemble,112,612,612,792,34.033738827338873,34.535466007219441
972,GRU_LOCAL,ensemble,112,612,792,792,19.977853673228172,20.65652810738537
972,GRU_LOCAL,ensemble,112,792,612,792,30.067514785536044,30.399650403208909
972,GRU_LOCAL,ensemble,112,792,792,792,17.607068907358535,17.908822600671805
972,GRU_GRAPH,0,112,612,612,792,33.896286060871311,34.483176377605979
972,GRU_GRAPH,0,112,612,792,792,18.489377911820377,19.288933291082962
972,GRU_GRAPH,0,112,792,612,792,30.481746479249171,30.925587330941234
972,GRU_GRAPH,0,112,792,792,792,17.108491579047229,17.577294466363977
972,GRU_GRAPH,1,112,612,612,792,35.904092665916018,36.381457111506194
972,GRU_GRAPH,1,112,612,792,792,21.479196904969381,22.139927637018065
972,GRU_GRAPH,1,112,792,612,792,30.910761296740741,31.158453331684608
972,GRU_GRAPH,1,112,792,792,792,18.255155903191056,18.472658434222957
972,GRU_GRAPH,2,112,612,612,792,33.679025216658168,34.29640857249008
972,GRU_GRAPH,2,112,612,792,792,20.496878053736843,21.144422572192781
972,GRU_GRAPH,2,112,792,612,792,29.846678503713672,30.209368343856472
972,GRU_GRAPH,2,112,792,792,792,17.94865885100528,18.253121384315769
972,GRU_GRAPH,ensemble,112,612,612,792,34.434449829731307,34.942292824294945
972,GRU_GRAPH,ensemble,112,612,792,792,20.016370581407244,20.710867343088431
972,GRU_GRAPH,ensemble,112,792,612,792,30.408003630992003,30.730829135977014
972,GRU_GRAPH,ensemble,112,792,792,792,17.758422299362543,18.041602284245709
972,COND_ATTN,0,112,612,612,792,35.817811598454469,36.694149632178693
972,COND_ATTN,0,112,612,792,792,27.298997264561098,28.23360888771137
972,COND_ATTN,0,112,792,612,792,30.589637169964337,31.839264283112023
972,COND_ATTN,0,112,792,792,792,22.953205809928285,24.378020513202337
972,COND_ATTN,1,112,612,612,792,35.78363215153302,36.934406755647487
972,COND_ATTN,1,112,612,792,792,23.964840238132329,25.236638049276905
972,COND_ATTN,1,112,792,612,792,33.123735578853413,34.278262300830001
972,COND_ATTN,1,112,792,792,792,21.743411550352914,23.19131782951062
972,COND_ATTN,2,112,612,612,792,29.042245256055317,30.36664251825302
972,COND_ATTN,2,112,612,792,792,25.193750511186014,26.632282098672697
972,COND_ATTN,2,112,792,612,792,28.551172009011427,30.086255157512017
972,COND_ATTN,2,112,792,792,792,23.015165552141582,25.02470493187629
972,COND_ATTN,ensemble,112,612,612,792,33.547896335347602,34.544096873117567
972,COND_ATTN,ensemble,112,612,792,792,25.47456334353722,26.586996966414873
972,COND_ATTN,ensemble,112,792,612,792,30.433819502544996,31.403910609940787
972,COND_ATTN,ensemble,112,792,792,792,22.404342006404846,24.080948442060556
1168,GRU_LOCAL,0,97,792,792,1168,38.856354143508575,39.053505258860049
1168,GRU_LOCAL,0,97,792,1168,1168,13.051951382022562,13.984139226214452
1168,GRU_LOCAL,0,97,1168,792,1168,35.315703513105504,35.535805451729615
1168,GRU_LOCAL,0,97,1168,1168,1168,8.1402319785187629,9.7826780890589866
1168,GRU_LOCAL,1,97,792,792,1168,40.902192454725423,41.009712302265449
1168,GRU_LOCAL,1,97,792,1168,1168,10.540015386668419,11.74275554765266
1168,GRU_LOCAL,1,97,1168,792,1168,36.807440724541031,36.955888723637521
1168,GRU_LOCAL,1,97,1168,1168,1168,6.4540628862766116,7.4207961492376242
1168,GRU_LOCAL,2,97,792,792,1168,43.227079090687539,43.292870426225548
1168,GRU_LOCAL,2,97,792,1168,1168,17.35816988300639,17.790592330736189
1168,GRU_LOCAL,2,97,1168,792,1168,37.644736381660522,37.763718310431358
1168,GRU_LOCAL,2,97,1168,1168,1168,10.188360191384598,11.388798823773708
1168,GRU_LOCAL,ensemble,97,792,792,1168,40.995208562973851,41.104150286715083
1168,GRU_LOCAL,ensemble,97,792,1168,1168,13.635851539737102,14.376988904553826
1168,GRU_LOCAL,ensemble,97,1168,792,1168,36.589293539769017,36.743436629763167
1168,GRU_LOCAL,ensemble,97,1168,1168,1168,7.8161994226615406,9.3088479334009158
1168,GRU_GRAPH,0,97,792,792,1168,38.575226934309391,38.768454656850409
1168,GRU_GRAPH,0,97,792,1168,1168,12.716442881194848,13.661504778837351
1168,GRU_GRAPH,0,97,1168,792,1168,35.189785418104577,35.409937977989792
1168,GRU_GRAPH,0,97,1168,1168,1168,7.8530600182777608,9.4778342133048383
1168,GRU_GRAPH,1,97,792,792,1168,40.969324926682383,41.079108629796913
1168,GRU_GRAPH,1,97,792,1168,1168,10.849532961132212,11.997353657789441
1168,GRU_GRAPH,1,97,1168,792,1168,36.752515061788685,36.905315092482823
1168,GRU_GRAPH,1,97,1168,1168,1168,6.484521777234491,7.4582892532277274
1168,GRU_GRAPH,2,97,792,792,1168,43.367970629994019,43.427320161905712
1168,GRU_GRAPH,2,97,792,1168,1168,18.220225860260442,18.638991674261121
1168,GRU_GRAPH,2,97,1168,792,1168,37.705923297334607,37.818527163998439
1168,GRU_GRAPH,2,97,1168,1168,1168,10.51667925442603,11.653335868951142
1168,GRU_GRAPH,ensemble,97,792,792,1168,40.970840830328605,41.076589214223453
1168,GRU_GRAPH,ensemble,97,792,1168,1168,13.918551326123939,14.637114595657856
1168,GRU_GRAPH,ensemble,97,1168,792,1168,36.549407925742628,36.702575733246938
1168,GRU_GRAPH,ensemble,97,1168,1168,1168,7.8265666834957361,9.3084684079113913
1168,COND_ATTN,0,97,792,792,1168,35.313472436514765,35.506998408417218
1168,COND_ATTN,0,97,792,1168,1168,31.904044032991223,32.309559985619067
1168,COND_ATTN,0,97,1168,792,1168,22.592509259955715,22.979809370740547
1168,COND_ATTN,0,97,1168,1168,1168,21.104940243421606,21.638345574890188
1168,COND_ATTN,1,97,792,792,1168,31.952823525828833,32.244994660912838
1168,COND_ATTN,1,97,792,1168,1168,27.136664054774819,27.504776305508923
1168,COND_ATTN,1,97,1168,792,1168,23.405012108585399,24.112713640196727
1168,COND_ATTN,1,97,1168,1168,1168,14.291555308164208,15.468411329369683
1168,COND_ATTN,2,97,792,792,1168,32.496420673954418,32.970095124758437
1168,COND_ATTN,2,97,792,1168,1168,27.513183684329054,28.031623063928031
1168,COND_ATTN,2,97,1168,792,1168,18.070571024434351,19.862576397704224
1168,COND_ATTN,2,97,1168,1168,1168,11.92745462293861,13.728761985172962
1168,COND_ATTN,ensemble,97,792,792,1168,33.25423887876601,33.462712922608645
1168,COND_ATTN,ensemble,97,792,1168,1168,28.851297257365037,29.092107093032006
1168,COND_ATTN,ensemble,97,1168,792,1168,21.070454710838497,21.487534647468578
1168,COND_ATTN,ensemble,97,1168,1168,1168,13.48633156642485,14.007291678674855
