origin,arm,seed,horizon,physics_teacher,residual_teacher,baseline_teacher,mae,rmse
612,GRU_LOCAL,0,292,432,432,612,48.832533740947575,52.787051009718532
612,GRU_LOCAL,0,292,432,612,612,33.531815382987432,38.822098945790721
612,GRU_LOCAL,0,292,612,432,612,48.269428886657742,52.212031937912641
612,GRU_LOCAL,0,292,612,612,612,31.607141405187825,37.019631727658989
612,GRU_LOCAL,1,292,432,432,612,48.141160231401329,52.272406724307878
612,GRU_LOCAL,1,292,432,612,612,32.070182353407354,37.582910175626722
612,GRU_LOCAL,1,292,612,432,612,48.581168208688361,52.718591738061015
612,GRU_LOCAL,1,292,612,612,612,29.577397689633059,35.175047930875152
612,GRU_LOCAL,2,292,432,432,612,47.109556750376171,51.186236222140792
612,GRU_LOCAL,2,292,432,612,612,32.5010823181319,37.325625234011909
612,GRU_LOCAL,2,292,612,432,612,45.936659224514408,49.981864092187095
612,GRU_LOCAL,2,292,612,612,612,29.964304543219839,35.204068668654955
612,GRU_LOCAL,ensemble,292,432,432,612,48.014621200090659,52.05608950622797
612,GRU_LOCAL,ensemble,292,432,612,612,32.604128614653568,37.824554418496056
612,GRU_LOCAL,ensemble,292,612,432,612,47.589853294818234,51.61383477738184
612,GRU_LOCAL,ensemble,292,612,612,612,30.232890474394019,35.698682925928885
612,GRU_GRAPH,0,292,432,432,612,48.820032333264088,52.774586935145109
612,GRU_GRAPH,0,292,432,612,612,33.532383579409782,38.800246642508078
612,GRU_GRAPH,0,292,612,432,612,48.289889678401721,52.235931249402491
612,GRU_GRAPH,0,292,612,612,612,31.529273770250704,36.937308400493009
612,GRU_GRAPH,1,292,432,432,612,48.105655547377665,52.231780588728412
612,GRU_GRAPH,1,292,432,612,612,31.856980100431592,37.382385225386869
612,GRU_GRAPH,1,292,612,432,612,48.562929771043407,52.708292121706492
612,GRU_GRAPH,1,292,612,612,612,29.34356249594676,34.953766972465083
612,GRU_GRAPH,2,292,432,432,612,47.114470431494958,51.188827428747985
612,GRU_GRAPH,2,292,432,612,612,32.35850353733283,37.155360385565984
612,GRU_GRAPH,2,292,612,432,612,45.934566036282753,49.978988439328617
612,GRU_GRAPH,2,292,612,612,612,29.715881874308433,34.923101475501653
612,GRU_GRAPH,ensemble,292,432,432,612,47.999404934920292,52.039568193480939
612,GRU_GRAPH,ensemble,292,432,612,612,32.489276901238057,37.689092922487518
612,GRU_GRAPH,ensemble,292,612,432,612,47.589416595819557,51.616763647482884
612,GRU_GRAPH,ensemble,292,612,612,612,30.020623490819194,35.49389029890169
612,COND_ATTN,0,292,432,432,612,47.727646107438645,51.841927831128608
612,COND_ATTN,0,292,432,612,612,48.892963466611114,53.015377600677688
612,COND_ATTN,0,292,612,432,612,46.654416872270758,50.876873529109119
612,COND_ATTN,0,292,612,612,612,47.550505572231238,51.828927547200259
612,COND_ATTN,1,292,432,432,612,48.995044547346893,53.299729198557756
612,COND_ATTN,1,292,432,612,612,48.56857605676344,52.954044866537984
612,COND_ATTN,1,292,612,432,612,47.247759134838688,51.576367946109556
612,COND_ATTN,1,292,612,612,612,46.489109310251202,51.051896027761529
612,COND_ATTN,2,292,432,432,612,47.906602912788777,52.475370706329734
