origin,teacher,teacher_age,arm,seed,variant,horizon,mae,rmse
612,612,0,GRU_LOCAL,0,BPLUS,293,29.431282942901532,34.94954821347779
612,612,0,GRU_LOCAL,0,ANCHOR_ONLY,293,29.429681102424198,34.948510841741786
612,612,0,GRU_LOCAL,0,SHAPE_ONLY,293,29.518329794598717,35.085150694226428
612,612,0,GRU_LOCAL,0,ANCHORED_SHAPE,293,29.516518950075355,35.0839461580521
612,612,0,GRU_LOCAL,0,ORIGINAL,293,31.705053157628477,37.125642936824768
612,612,0,GRU_LOCAL,1,BPLUS,293,29.431282942901532,34.94954821347779
612,612,0,GRU_LOCAL,1,ANCHOR_ONLY,293,29.429681102424198,34.948510841741786
612,612,0,GRU_LOCAL,1,SHAPE_ONLY,293,28.683709553919879,34.043023548688723
612,612,0,GRU_LOCAL,1,ANCHORED_SHAPE,293,28.681138949328304,34.04125595403363
612,612,0,GRU_LOCAL,1,ORIGINAL,293,29.678664694685157,35.288956855602549
612,612,0,GRU_LOCAL,2,BPLUS,293,29.431282942901532,34.94954821347779
612,612,0,GRU_LOCAL,2,ANCHOR_ONLY,293,29.429681102424198,34.948510841741786
612,612,0,GRU_LOCAL,2,SHAPE_ONLY,293,29.276227900462629,34.784308624195766
612,612,0,GRU_LOCAL,2,ANCHORED_SHAPE,293,29.27441321679381,34.783121243881496
612,612,0,GRU_LOCAL,2,ORIGINAL,293,30.056749003736748,35.302784934035209
612,612,0,GRU_LOCAL,ensemble,BPLUS,293,29.431282942901532,34.94954821347779
612,612,0,GRU_LOCAL,ensemble,ANCHOR_ONLY,293,29.429681102424198,34.948510841741786
612,612,0,GRU_LOCAL,ensemble,SHAPE_ONLY,293,29.077456369104009,34.562702388604571
612,612,0,GRU_LOCAL,ensemble,ANCHORED_SHAPE,293,29.075415133741547,34.561336088983552
612,612,0,GRU_LOCAL,ensemble,ORIGINAL,293,30.330610355044403,35.805508423655453
612,612,0,GRU_GRAPH,0,BPLUS,293,29.431282942901532,34.94954821347779
612,612,0,GRU_GRAPH,0,ANCHOR_ONLY,293,29.429681102424198,34.948510841741786
612,612,0,GRU_GRAPH,0,SHAPE_ONLY,293,29.517803608927675,35.083328477848909
612,612,0,GRU_GRAPH,0,ANCHORED_SHAPE,293,29.515967754601132,35.082120537090141
612,612,0,GRU_GRAPH,0,ORIGINAL,293,31.627038070777225,37.043178264106068
612,612,0,GRU_GRAPH,1,BPLUS,293,29.431282942901532,34.94954821347779
612,612,0,GRU_GRAPH,1,ANCHOR_ONLY,293,29.429681102424198,34.948510841741786
612,612,0,GRU_GRAPH,1,SHAPE_ONLY,293,28.680253510512991,34.041017214475097
612,612,0,GRU_GRAPH,1,ANCHORED_SHAPE,293,28.677665697492184,34.039231920052046
612,612,0,GRU_GRAPH,1,ORIGINAL,293,29.44442398526494,35.067079433711591
612,612,0,GRU_GRAPH,2,BPLUS,293,29.431282942901532,34.94954821347779
612,612,0,GRU_GRAPH,2,ANCHOR_ONLY,293,29.429681102424198,34.948510841741786
612,612,0,GRU_GRAPH,2,SHAPE_ONLY,293,29.305563916246392,34.819365259936774
612,612,0,GRU_GRAPH,2,ANCHORED_SHAPE,293,29.303777045721905,34.81819557606039
612,612,0,GRU_GRAPH,2,ORIGINAL,293,29.807322860702982,35.02053622608922
612,612,0,GRU_GRAPH,ensemble,BPLUS,293,29.431282942901532,34.94954821347779
612,612,0,GRU_GRAPH,ensemble,ANCHOR_ONLY,293,29.429681102424198,34.948510841741786
612,612,0,GRU_GRAPH,ensemble,SHAPE_ONLY,293,29.084157734122282,34.573105930476899
612,612,0,GRU_GRAPH,ensemble,ANCHORED_SHAPE,293,29.082101931816236,34.571738866674046
612,612,0,GRU_GRAPH,ensemble,ORIGINAL,293,30.117911787868273,35.600125453594217
612,612,0,COND_ATTN,0,BPLUS,293,29.431282942901532,34.94954821347779
612,612,0,COND_ATTN,0,ANCHOR_ONLY,293,29.429681102424198,34.948510841741786
612,612,0,COND_ATTN,0,SHAPE_ONLY,293,27.755535995708101,33.019900904202252
612,612,0,COND_ATTN,0,ANCHORED_SHAPE,293,27.754086159455483,33.018888821735189
612,612,0,COND_ATTN,0,ORIGINAL,293,47.654932715683003,51.942498196711
612,612,0,COND_ATTN,1,BPLUS,293,29.431282942901532,34.94954821347779
612,612,0,COND_ATTN,1,ANCHOR_ONLY,293,29.429681102424198,34.948510841741786
612,612,0,COND_ATTN,1,SHAPE_ONLY,293,30.509447164145485,36.244869775395713
612,612,0,COND_ATTN,1,ANCHORED_SHAPE,293,30.507555249103966,36.243376616819745
612,612,0,COND_ATTN,1,ORIGINAL,293,46.591302388054721,51.160027747496997
612,612,0,COND_ATTN,2,BPLUS,293,29.431282942901532,34.94954821347779
612,612,0,COND_ATTN,2,ANCHOR_ONLY,293,29.429681102424198,34.948510841741786
612,612,0,COND_ATTN,2,SHAPE_ONLY,293,31.677880274882881,37.563844494843494
612,612,0,COND_ATTN,2,ANCHORED_SHAPE,293,31.67499540456118,37.561592045411153
612,612,0,COND_ATTN,2,ORIGINAL,293,45.9051376130327,50.813650601592059
612,612,0,COND_ATTN,ensemble,BPLUS,293,29.431282942901532,34.94954821347779
612,612,0,COND_ATTN,ensemble,ANCHOR_ONLY,293,29.429681102424198,34.948510841741786
612,612,0,COND_ATTN,ensemble,SHAPE_ONLY,293,29.16235297920932,34.814202944122428
612,612,0,COND_ATTN,ensemble,ANCHORED_SHAPE,293,29.160371403143351,34.812613126781507
612,612,0,COND_ATTN,ensemble,ORIGINAL,293,46.682594874754471,51.167311619121691
792,792,0,GRU_LOCAL,0,BPLUS,293,23.582514327478208,27.313324693235963
792,792,0,GRU_LOCAL,0,ANCHOR_ONLY,293,23.564678075953122,27.297234668838499
792,792,0,GRU_LOCAL,0,SHAPE_ONLY,293,25.90732314348508,28.647205964062348
792,792,0,GRU_LOCAL,0,ANCHORED_SHAPE,293,25.885197273326909,28.624418169270974
