origin,arm,seed,point,initial_residual_mm,first_predicted_correction_mm,first_actual_residual_mm,initial_reference_bias_mm,original_mse_mm2,reference_bias_energy_mm2,shape_error_energy_mm2,cross_term_mm2,actual_residual_change_mean_mm,predicted_shape_mean_mm
612,GRU_LOCAL,0,ATU1,0.0085362289362933552,4.8787179380587986,0.010268056899974454,4.8701817091225053,158.4585726036681,23.718669879871406,97.814228087723151,36.925674636073552,-4.289715595106693,-0.49872001819558803
612,GRU_LOCAL,0,ATU5,0.00077395529689283649,8.3454099649750901,-0.17359115168420658,8.3446360096781973,252.00556498740741,69.632950134018074,105.71170592332471,76.660908930064608,-4.5952138983431894,-0.0017895212252138032
612,GRU_LOCAL,0,MJ3,-0.0069391467013701913,0.5909605719962201,-0.27623269972355047,0.59789971869759029,8062.2867261800575,0.35748407361865758,7969.0156871111485,92.913554995289999,-77.763580502429605,-0.06363175710797038
612,GRU_LOCAL,0,MJ1,-0.0031906685073863628,-0.87063932266710253,-0.18064671929926135,-0.86744865415971617,915.03940869926464,0.75246716760350285,954.48333737246321,-40.196395840802232,-22.672377126876203,0.4969457189467833
612,GRU_LOCAL,1,ATU1,0.0085362289362933552,7.9438618605776128,0.010268056899974454,7.9353256316413194,164.30690905244634,62.969392880183705,82.951579290091274,18.385936882171347,-4.289715595106693,-3.1312289913018483
612,GRU_LOCAL,1,ATU5,0.00077395529689283649,5.1870675612927357,-0.17359115168420658,5.1862936059958429,159.11357661515223,26.897641367593362,102.60868864308746,29.607246604471367,-4.5952138983431894,-1.7408395750072916
612,GRU_LOCAL,1,MJ3,-0.0069391467013701913,-0.045582485858631117,-0.27623269972355047,-0.038643339157260925,7628.4100874344094,0.0014933076612230955,7634.2673077770678,-5.8587136503172612,-77.763580502429605,-1.9586193100887455
612,GRU_LOCAL,1,MJ1,-0.0031906685073863628,-1.6212757587051101,-0.18064671929926135,-1.6180850901977237,805.58383789593438,2.6181993591201755,873.40103079819175,-70.435392261377601,-22.672377126876203,-0.90733130571649523
612,GRU_LOCAL,2,ATU1,0.0085362289362933552,0.48012159408222033,0.010268056899974454,0.47158536514592697,91.387021636521126,0.22239275661981728,87.704774866458095,3.4598540134432438,-4.289715595106693,-0.62139351690497524
612,GRU_LOCAL,2,ATU5,0.00077395529689283649,9.5233491661362564,-0.17359115168420658,9.5225752108393635,295.77104359626298,90.67943864609235,114.78567040667986,90.305934543490807,-4.5952138983431894,0.14646219998246598
612,GRU_LOCAL,2,MJ3,-0.0069391467013701913,-1.8237842891257969,-0.27623269972355047,-1.8168451424244267,7570.241759808152,3.3009262715512353,7847.0485923238184,-280.10775878721665,-77.763580502429605,-0.67727516838322144
612,GRU_LOCAL,2,MJ1,-0.0031906685073863628,-4.2230194888760479,-0.18064671929926135,-4.2198288203686616,753.30224933342868,17.806955273213969,928.42250590459992,-192.92721184438531,-22.672377126876203,0.18722453672047268
612,GRU_LOCAL,ensemble,ATU1,0.0085362289362933552,4.4342337975728583,0.010268056899974454,4.4256975686365649,130.95861842777421,19.586798969035602,85.94528922161993,25.426530237118676,-4.289715595106693,-1.4171141754674497
612,GRU_LOCAL,ensemble,ATU5,0.00077395529689283649,7.6852755641346562,-0.17359115168420658,7.6845016088377633,226.9333597877507,59.051564976230175,105.43510234344743,62.446692468073081,-4.5952138983431894,-0.53205563208330486
612,GRU_LOCAL,ensemble,MJ3,-0.0069391467013701913,-0.42613540099591773,-0.27623269972355047,-0.41919625429454754,7751.4490160040395,0.17572549961457898,7815.7152729811796,-64.441982476751903,-77.763580502429605,-0.89984207852679399
612,GRU_LOCAL,ensemble,MJ1,-0.0031906685073863628,-2.2383115234160869,-0.18064671929926135,-2.2351208549087005,822.06622022148849,4.9957652360478004,918.0889329340672,-101.01847794862645,-22.672377126876203,-0.074387016683074708
612,GRU_GRAPH,0,ATU1,0.0085362289362933552,4.7443607192499258,0.010268056899974454,4.7358244903136324,155.82932925597643,22.428033603054377,97.661923988365373,35.739371664556664,-4.289715595106693,-0.51641574651054933
612,GRU_GRAPH,0,ATU5,0.00077395529689283649,8.2526964244144096,-0.17359115168420658,8.2519224691175168,249.15848197262193,68.094224436326542,105.45946750962473,75.604790026670699,-4.5952138983431894,-0.014172916098233982
612,GRU_GRAPH,0,MJ3,-0.0069391467013701913,0.60576226852003856,-0.27623269972355047,0.61270141522140875,8060.3135894866209,0.37540302421431715,7964.7518256953408,95.186360767066006,-77.763580502429605,-0.085972451965904625
612,GRU_GRAPH,0,MJ1,-0.0031906685073863628,-1.0887628633187205,-0.18064671929926135,-1.0855721948113342,907.5485989250119,1.1784669901474973,956.74365418874197,-50.373522253877525,-22.672377126876203,0.52899192745561541
612,GRU_GRAPH,1,ATU1,0.0085362289362933552,7.7797876851086585,0.010268056899974454,7.7712514561723651,160.4971810666689,60.392349195061108,83.228144073150375,16.876687798457422,-4.289715595106693,-3.2038745376118265
612,GRU_GRAPH,1,ATU5,0.00077395529689283649,4.8898160811556295,-0.17359115168420658,4.8890421258587367,154.55995689745592,23.902732908421314,102.90435111770121,27.752872871333356,-4.5952138983431894,-1.7569408627576462
612,GRU_GRAPH,1,MJ3,-0.0069391467013701913,-0.36727998404353457,-0.27623269972355047,-0.36034083734216438,7560.9987436395741,0.12984551905645217,7615.4187568687048,-54.549858748188129,-77.763580502429605,-2.07155076949388
612,GRU_GRAPH,1,MJ1,-0.0031906685073863628,-1.9591219658422006,-0.18064671929926135,-1.9559312973348142,795.99319950929396,3.8256672398938494,877.54800625988491,-85.380473990484916,-22.672377126876203,-0.84633597020934237
612,GRU_GRAPH,2,ATU1,0.0085362289362933552,-0.24131875973012029,0.010268056899974454,-0.24985498866641365,86.67598068491651,0.062427515361493692,88.491996614951077,-1.8784434453960488,-4.289715595106693,-0.53064827485399158
612,GRU_GRAPH,2,ATU5,0.00077395529689283649,8.8761193755632917,-0.17359115168420658,8.8753454202663988,278.80651615815015,78.77175632904374,114.76516709939673,85.269592729709672,-4.5952138983431894,0.20851985465536382
612,GRU_GRAPH,2,MJ3,-0.0069391467013701913,-2.104407384121032,-0.27623269972355047,-2.0974682374196618,7538.5397479844723,4.3993730069843426,7857.7466181252194,-323.60624314773031,-77.763580502429605,-0.62147237071465256
