fit_prefix,arm,query_origin,teacher,teacher_age,within_fitting_prefix,bplus_day1_mae_mm,model_day1_mae_mm,half_target_day1_mae_mm,max_absolute_initial_residual_mm
612,COND_ATTN,432,432,0,True,2.2426251689986572,20.025277711830423,21.085594086005219,0.009368641976152503
612,COND_ATTN,612,612,0,False,0.16018465690174821,28.851899207501209,28.888593748031031,0.0085362289362933552
612,GRU_GRAPH,432,432,0,True,2.2426251689986572,11.478662240589317,12.449657934590954,0.009368641976152503
612,GRU_GRAPH,612,612,0,False,0.16018465690174821,3.5752848054351034,3.6119793459649259,0.0085362289362933552
612,GRU_LOCAL,432,432,0,True,2.2426251689986572,11.449113786951379,12.420109480953016,0.009368641976152503
612,GRU_LOCAL,612,612,0,False,0.16018465690174821,3.6225999904702997,3.6592945310001221,0.0085362289362933552
792,COND_ATTN,432,432,0,True,2.2426251689986572,27.175756508546151,28.146752202547788,0.009368641976152503
792,COND_ATTN,612,612,0,True,0.16018465690174821,5.3799171970175284,5.3023918827916479,0.0085362289362933552
792,COND_ATTN,792,792,0,False,0.10128462295918439,27.023912649784762,27.025413536418696,0.10074822814272011
792,GRU_GRAPH,432,432,0,True,2.2426251689986572,13.747340493285019,14.718336187286656,0.009368641976152503
792,GRU_GRAPH,612,612,0,True,0.16018465690174821,9.5803432020434549,9.571876062748462,0.0085362289362933552
792,GRU_GRAPH,792,792,0,False,0.10128462295918439,8.2042567529676802,8.2388015313924257,0.10074822814272011
792,GRU_LOCAL,432,432,0,True,2.2426251689986572,13.643910070383395,14.614905764385032,0.009368641976152503
792,GRU_LOCAL,612,612,0,True,0.16018465690174821,9.7017063998620934,9.6932392605671005,0.0085362289362933552
792,GRU_LOCAL,792,792,0,False,0.10128462295918439,8.4167563849546418,8.4513011633793873,0.10074822814272011
972,COND_ATTN,432,432,0,True,2.2426251689986572,25.815700581309333,26.913376210865163,0.009368641976152503
972,COND_ATTN,612,612,0,True,0.16018465690174821,8.1439613792515111,8.1806559197813336,0.0085362289362933552
972,COND_ATTN,792,792,0,True,0.10128462295918439,8.7038984782073996,8.7545407896869918,0.10074822814272011
972,COND_ATTN,972,792,180,False,29.085778855689384,15.707916765741079,1.167373879645154,48.658411535979667
972,GRU_GRAPH,432,432,0,True,2.2426251689986572,9.397236736110008,10.368232430111645,0.009368641976152503
972,GRU_GRAPH,612,612,0,True,0.16018465690174821,7.3192666700378464,7.3559612105676688,0.0085362289362933552
972,GRU_GRAPH,792,792,0,True,0.10128462295918439,3.248593712140265,3.2992360236198572,0.10074822814272011
972,GRU_GRAPH,972,792,180,False,29.085778855689384,15.613550095046904,3.0568141886805771,48.658411535979667
972,GRU_LOCAL,432,432,0,True,2.2426251689986572,9.387298916013366,10.358294610015003,0.009368641976152503
972,GRU_LOCAL,612,612,0,True,0.16018465690174821,7.3797024839844134,7.4163970245142359,0.0085362289362933552
972,GRU_LOCAL,792,792,0,True,0.10128462295918439,3.4847134145357384,3.5353557260153305,0.10074822814272011
972,GRU_LOCAL,972,792,180,False,29.085778855689384,15.399420611017574,2.9658361150479395,48.658411535979667
1168,COND_ATTN,432,432,0,True,2.2426251689986572,26.087051995269253,27.058047689270889,0.009368641976152503
1168,COND_ATTN,612,612,0,True,0.16018465690174821,10.243370576330715,10.234903437035722,0.0085362289362933552
1168,COND_ATTN,792,792,0,True,0.10128462295918439,7.6843281044896514,7.7022535429139651,0.10074822814272011
1168,COND_ATTN,1168,1168,0,False,0.076501976343124056,17.643167946141261,17.648378544808502,0.016300767301913766
1168,GRU_GRAPH,432,432,0,True,2.2426251689986572,6.9422085291355238,7.9132042231371607,0.009368641976152503
1168,GRU_GRAPH,612,612,0,True,0.16018465690174821,5.284277277531034,5.3643696059819082,0.0085362289362933552
1168,GRU_GRAPH,792,792,0,True,0.10128462295918439,8.8819324637151045,8.9325747751946967,0.10074822814272011
1168,GRU_GRAPH,1168,1168,0,False,0.076501976343124056,15.314678468478011,15.313102897202835,0.016300767301913766
1168,GRU_LOCAL,432,432,0,True,2.2426251689986572,6.8536910135952844,7.8246867075969213,0.009368641976152503
1168,GRU_LOCAL,612,612,0,True,0.16018465690174821,5.1109064108422135,5.1909987392930876,0.0085362289362933552
1168,GRU_LOCAL,792,792,0,True,0.10128462295918439,8.8161399244360137,8.8667822359156059,0.10074822814272011
1168,GRU_LOCAL,1168,1168,0,False,0.076501976343124056,15.431817724437318,15.430242153162142,0.016300767301913766
