origin,arm,seed,point,horizon,physics_response_mean_mm,residual_response_mean_mm,total_response_mean_mm,interaction_mean_mm,half_target_change_mm
612,GRU_LOCAL,0,ATU1,292,2.5379456656644876,-23.806953420648991,-21.2690077549845,-0.30565375279743456,-18.074777530675153
612,GRU_LOCAL,0,ATU5,292,-9.3656771790877631,-56.90025059127322,-66.265927770360989,-5.3255205045444418,-54.958672880584643
612,GRU_LOCAL,0,MJ3,292,1.7303745961985522,11.454898793952118,13.185273390150673,0.35105985560979902,12.882318998364463
612,GRU_LOCAL,0,MJ1,292,1.7506836146037372,13.714356348685099,15.46503996328884,0.24057126681721927,19.308810354580444
612,GRU_LOCAL,1,ATU1,292,2.3285244473321529,-24.035196949520202,-21.706672502188049,-0.088780896686475694,-18.074777530675153
612,GRU_LOCAL,1,ATU5,292,-10.742994175774344,-62.632731913403582,-73.375726089177931,-13.124165165934485,-54.958672880584643
612,GRU_LOCAL,1,MJ3,292,3.0972877736360043,11.194549924786733,14.291837698422738,0.35411424028231203,12.882318998364463
612,GRU_LOCAL,1,MJ1,292,3.4724528707079436,12.840470783001367,16.312923653709312,0.4911214536789939,19.308810354580444
612,GRU_LOCAL,2,ATU1,292,1.9181709396359838,-26.734402293549074,-24.816231353913093,-0.14139130481125162,-18.074777530675153
612,GRU_LOCAL,2,ATU5,292,-11.35871560996712,-51.159389238511125,-62.518104848478238,-5.0720593709438333,-54.958672880584643
612,GRU_LOCAL,2,MJ3,292,1.8963888194145702,10.682673159647555,12.579061979062123,0.55985114043708939,12.882318998364463
612,GRU_LOCAL,2,MJ1,292,1.7991910488386338,11.179191885723615,12.97838293456225,0.89456593779652416,19.308810354580444
612,GRU_LOCAL,ensemble,ATU1,292,2.2615470175442081,-24.858850887906087,-22.59730387036188,-0.17860865143172097,-18.074777530675153
612,GRU_LOCAL,ensemble,ATU5,292,-10.489128988276409,-56.897457247729307,-67.386586236005712,-7.8405816804742532,-54.958672880584643
612,GRU_LOCAL,ensemble,MJ3,292,2.2413503964163755,11.110707292795469,13.352057689211843,0.42167507877640015,12.882318998364463
612,GRU_LOCAL,ensemble,MJ1,292,2.3407758447167719,12.578006339136694,14.918782183853468,0.54208621943091251,19.308810354580444
612,GRU_GRAPH,0,ATU1,292,2.5653276133900413,-23.971657440868189,-21.406329827478146,-0.25242052376342261,-18.074777530675153
612,GRU_GRAPH,0,ATU5,292,-9.5336253104190281,-56.825817471356345,-66.359442781775385,-5.6627125220748233,-54.958672880584643
612,GRU_GRAPH,0,MJ3,292,1.8403195344408196,11.37030524040202,13.210624774842836,0.18091308074952633,12.882318998364463
612,GRU_GRAPH,0,MJ1,292,1.7585771313211109,13.509126733375133,15.267703864696243,0.36434805861016428,19.308810354580444
612,GRU_GRAPH,1,ATU1,292,2.4087582748506913,-24.351342803894553,-21.942584529043859,0.0061452623359555952,-18.074777530675153
612,GRU_GRAPH,1,ATU5,292,-10.902996249045326,-62.81652411114699,-73.719520360192305,-13.45586621838083,-54.958672880584643
612,GRU_GRAPH,1,MJ3,292,3.2016953029018396,10.870258153028892,14.071953455930734,0.44338935279112585,12.882318998364463
