model,horizon,n_per_point,mae,rmse,crps,coverage80,width80,interval_score80,coverage90,width90,interval_score90,coverage95,width95,interval_score95,pooled_rmse
B_ANCHOR,1,293,0.193827074323,0.330649785313,0.159801248972,0.834470989761,0.780738925677,1.17556137643,0.904436860068,1.00206756258,1.47585877298,0.93771331058,1.19403714747,1.80715382011,0.342727412022
B_ANCHOR,2,292,0.373122988091,0.619099500118,0.308110208236,0.832191780822,1.51431802848,2.26662502106,0.895547945205,1.94360614779,2.8195456303,0.934075342466,2.31594956985,3.38527665034,0.64444350208
B_ANCHOR,3,291,0.544464275265,0.886136598744,0.44987311041,0.829037800687,2.20791772985,3.31702085759,0.895189003436,2.83383172679,4.13363250399,0.932130584192,3.37671877409,4.96270189117,0.928147956113
B_ANCHOR,4,290,0.708441776255,1.14022503085,0.585245914335,0.830172413793,2.8980053907,4.31110016203,0.890517241379,3.71954965058,5.35247246454,0.933620689655,4.43211677586,6.36589404581,1.20103864888
B_ANCHOR,5,289,0.864286345773,1.38408977423,0.715239929413,0.826124567474,3.57328392513,5.27304865522,0.890138408304,4.58626026638,6.54046481541,0.938581314879,5.46486617323,7.73331651453,1.46458718978
B_ANCHOR,6,288,1.01355154838,1.6140105167,0.841257159245,0.822048611111,4.21313336125,6.2228493361,0.891493055556,5.4074981268,7.74356267419,0.936631944444,6.44343144055,9.17613512171,1.71550907631
B_ANCHOR,7,287,1.15718181693,1.8323077725,0.961929480291,0.823170731707,4.85079853478,7.15972341694,0.890243902439,6.22593251654,8.9413886765,0.932055749129,7.41865616651,10.639791924,1.95552667615
B_ANCHOR,8,286,1.29456881022,2.04267967546,1.08027211297,0.83479020979,5.51599342239,8.11797367931,0.886363636364,7.07970091177,10.2361785151,0.936188811189,8.43598395688,12.26128566,2.18752250454
B_ANCHOR,9,285,1.42949032383,2.24962077547,1.19675054339,0.839473684211,6.15243024591,9.05356724083,0.884210526316,7.89655873134,11.4830255455,0.935964912281,9.40933008362,13.7280315819,2.41616120283
B_ANCHOR,10,284,1.56235880583,2.45316473339,1.31382822824,0.840669014085,6.80093549387,10.0204196472,0.881161971831,8.72890620597,12.8148741217,0.933978873239,10.4011332728,15.493038171,2.64140715493
B_ANCHOR,11,283,1.69243091928,2.65350111574,1.43250949531,0.840989399293,7.42973144609,11.0398815334,0.879858657244,9.5359570734,14.2488391562,0.923144876325,11.3627936953,17.5716813549,2.86313963677
B_ANCHOR,12,282,1.82004868431,2.8519672441,1.55111699057,0.84219858156,8.04319362716,12.0609947334,0.882978723404,10.3233272586,15.7777104171,0.918439716312,12.3010031385,19.8630861829,3.08181229706
B_ANCHOR,13,281,1.94514385075,3.04604913342,1.66691230187,0.841637010676,8.70391764325,13.0378190419,0.883451957295,11.1713573524,17.207910583,0.918149466192,13.3114933209,21.8962862738,3.29546692855
B_ANCHOR,14,280,2.06802273282,3.23628492294,1.78081134393,0.842857142857,9.32294187229,13.9900231716,0.884821428571,11.9658663489,18.5738827052,0.915178571429,14.2582091825,23.8306379841,3.50430652557
B_ANCHOR,15,279,2.18806363245,3.42203045525,1.89274272149,0.84229390681,9.97363351275,14.9414054665,0.885304659498,12.8010200279,19.9427447497,0.913082437276,15.2533561704,25.7044818338,3.7078249521
B_ANCHOR,16,278,2.30442958077,3.60231684621,2.00265243597,0.848920863309,10.6530982724,15.8834391062,0.884892086331,13.6731036057,21.275796203,0.910071942446,16.2925078468,27.4716873629,3.90523408715
B_ANCHOR,17,277,2.41889651441,3.77688336752,2.1137409334,0.85559566787,11.3460868107,16.8816961676,0.882671480144,14.5625447652,22.7006600371,0.908844765343,17.3523423577,29.4390012356,4.09627533973
B_ANCHOR,18,276,2.52836923421,3.9451653247,2.22229506008,0.861413043478,12.0198469351,17.8520911739,0.884057971014,15.4273065229,24.0450932189,0.909420289855,18.3827695473,31.241991143,4.28065080124
B_ANCHOR,19,275,2.63121651436,4.10651290171,2.32792234847,0.860909090909,12.7585798021,18.8055219011,0.881818181818,16.3754598928,25.3073624073,0.909090909091,19.5125639718,32.7699625879,4.45780825793
B_ANCHOR,20,274,2.72987115227,4.26119982408,2.43322793089,0.862226277372,13.4887446509,19.7639154106,0.882299270073,17.3126163305,26.587179539,0.907846715328,20.6292547434,34.3962274777,4.62758737616
B_ANCHOR,21,273,2.82468549987,4.41227295842,2.53952456213,0.860805860806,14.2123539846,20.7300870766,0.884615384615,18.2413588556,27.8867466453,0.906593406593,21.7359197197,36.1053314801,4.79112067494
B_ANCHOR,22,272,2.91614083077,4.55899349404,2.64400875801,0.856617647059,15.0078672642,21.6814799377,0.883272058824,19.2623890962,29.0817677109,0.914522058824,22.9525522917,37.5614201109,4.94782722022
B_ANCHOR,23,271,3.00377611426,4.70029212729,2.74801634663,0.850553505535,15.7399839102,22.6109909688,0.887453874539,20.2020506385,30.266130667,0.912361623616,24.0722280794,39.1010561164,5.09695930629
B_ANCHOR,24,270,3.08999440334,4.8356070806,2.85216684867,0.85,16.5305875159,23.5639747272,0.887037037037,21.2167793807,31.4663660534,0.914814814815,25.281351953,40.6069035249,5.2380671548
B_ANCHOR,25,269,3.1745442779,4.96446447665,2.95347983316,0.846654275093,17.32856592,24.5062225891,0.889405204461,22.2409735743,32.619918229,0.915427509294,26.5017546075,42.0301650405,5.37062773605
B_ANCHOR,26,268,3.25633300225,5.0868271539,3.05527582089,0.847014925373,18.1568123386,25.463275182,0.887126865672,23.3040163439,33.789840654,0.91697761194,27.7684481955,43.4391388327,5.49464681753
B_ANCHOR,27,267,3.33471726741,5.2015364067,3.15468506821,0.847378277154,19.0578091948,26.4347239464,0.882958801498,24.4604332893,34.9221751085,0.917602996255,29.1464039765,44.6591793359,5.60967529795
B_ANCHOR,28,266,3.41096051937,5.30964901932,3.25194027775,0.845864661654,19.8549490028,27.3469650002,0.883458646617,25.4835511564,36.0474554199,0.918233082707,30.3655241089,45.9221755974,5.71638988846
B_ANCHOR,29,265,3.48459192787,5.41090866843,3.34894823915,0.844339622642,20.6883076099,28.2752357702,0.883018867925,26.553155349,37.1857818975,0.916981132075,31.6400361146,47.2277090032,5.81493271463
B_ANCHOR,30,264,3.55631367119,5.50596339717,3.44289213102,0.841856060606,21.5162184798,29.1698584295,0.882575757576,27.6157674465,38.2888265979,0.91571969697,32.9062165251,48.4541513463,5.90614069066
B_RAW,1,293,6.90168925036,9.12417321777,,,,,,,,,,,9.45063001363
B_RAW,2,292,6.92506317938,9.13978203258,,,,,,,,,,,9.46679738626
B_RAW,3,291,6.94834899702,9.15546748581,,,,,,,,,,,9.48304429133
B_RAW,4,290,6.9715389428,9.1712275453,,,,,,,,,,,9.49936889261
B_RAW,5,289,6.99463709635,9.18706056008,,,,,,,,,,,9.51576957908
B_RAW,6,288,7.01764666608,9.20296494347,,,,,,,,,,,9.53224480763
B_RAW,7,287,7.04044689989,9.21892354695,,,,,,,,,,,9.54878440097
B_RAW,8,286,7.0630649903,9.23492597081,,,,,,,,,,,9.56538057109
B_RAW,9,285,7.08570110169,9.25101277589,,,,,,,,,,,9.58205654341
B_RAW,10,284,7.108296873,9.26717169022,,,,,,,,,,,9.5988048285
B_RAW,11,283,7.13083201185,9.2833958894,,,,,,,,,,,9.61562146457
B_RAW,12,282,7.15330904683,9.29968270437,,,,,,,,,,,9.63250485548
B_RAW,13,281,7.17573787998,9.31603093682,,,,,,,,,,,9.64945427298
B_RAW,14,280,7.19812969484,9.33243989563,,,,,,,,,,,9.66646935562
B_RAW,15,279,7.22021155177,9.34886401409,,,,,,,,,,,9.68352273776
B_RAW,16,278,7.2422862667,9.36536343541,,,,,,,,,,,9.70064897903
B_RAW,17,277,7.26435544537,9.38193075211,,,,,,,,,,,9.71784483348
