outer_days,strategy,part,rmse_mm,mae_mm,crps_mm,coverage_80,width_80_mm,interval_score_80_mm,coverage_90,width_90_mm,interval_score_90_mm,coverage_95,width_95_mm,interval_score_95_mm
432,L,prediction,59.51264486359,56.80238491102895,43.718931643220586,0.375,75.59211335258361,323.9779552192654,0.4513888888888889,97.1680174260395,437.93025484066953,0.6555555555555556,116.00911425302208,597.9232361407475
432,L,train,1.837996271489598,1.094331807634599,6.868919893750942,0.9975124378109453,74.65734720997423,74.67007605537304,1.0,96.07113716936307,96.07113716936307,1.0,114.80345104712008,114.80345104712008
432,P,prediction,57.96795355294887,55.4359369077652,41.62058296225408,0.4875,82.95584493714917,292.35792787437657,0.6263888888888889,106.99506297602085,373.5238395923497,0.7888888888888889,128.0433875685545,493.99041903307426
432,P,train,4.208459362723483,3.0093782304426133,7.836419630481782,1.0,82.92980161766138,82.92980161766138,1.0,106.96319155305561,106.96319155305561,1.0,128.0084783496595,128.0084783496595
432,P0,prediction,58.01217449884722,54.952610301570836,42.01132308870095,0.36666666666666664,75.63459471106233,301.91137722883775,0.5833333333333333,97.07595173388461,427.0917939550213,0.6027777777777777,115.67313091753681,620.9365639698742
432,P0,train,7.123039387176306,5.722069264949527,8.43379475889341,0.8445273631840796,75.63459471106239,82.64258829833635,0.8712686567164178,97.07595173388478,106.84583452463103,0.8973880597014925,115.67313091753678,129.23578432641494
432,R,prediction,57.79849611481467,55.2430209809472,41.625291015078076,0.49722222222222223,83.88711044605348,293.7322674462609,0.6652777777777777,109.26359320871512,378.3257690202361,0.7875,132.14707374698415,507.65378429918167
432,R,train,4.9480378815298875,3.484798282795194,7.9473127116148214,1.0,83.86751076224039,83.86751076224039,1.0,109.24189180936953,109.24189180936953,1.0,132.12769004771388,132.12769004771388
432,U,prediction,60.5901763140976,57.8598118568701,44.619208846839655,0.37916666666666665,77.99486525160692,331.690946889033,0.44999999999999996,100.03536647255204,449.76251044175376,0.6513888888888889,119.24218841025991,621.1257044408168
432,U,train,1.0073904900232522,0.7115125234109805,6.932819586172721,1.0,75.92221635641636,75.92221635641636,1.0,97.69212344489742,97.69212344489742,1.0,116.72839987435421,116.72839987435421
612,L,prediction,23.607956819676836,19.474113353304972,26.76847058520488,0.7069444444444444,153.5315227287868,256.04931521866786,0.7402777777777778,197.27018790095457,372.9646813728892,0.7986111111111112,235.32206748627354,541.1198666785571
612,L,train,1.681038115921225,1.1463090174197226,13.964801584737097,1.0,152.90417229426927,152.90417229426927,1.0,196.4444809298798,196.4444809298798,1.0,234.33106132864344,234.33106132864344
612,P,prediction,26.500663296838663,22.228775492442594,28.841975372891394,0.6527777777777778,148.61314906605577,279.6625846627859,0.6722222222222222,190.7640285159638,426.8635475920426,0.6875,227.3363605867219,656.6394445176581
612,P,train,5.493249587914216,3.958154672205955,14.045815662208035,0.9871134020618557,148.59362509188998,148.76430417650954,0.9991408934707904,190.73906786841744,190.7447943839707,1.0,227.30677027720864,227.30677027720864
612,P0,prediction,22.24479483354963,18.302125706729754,25.114045869601284,0.773611111111111,148.69118593310725,234.82155289798197,0.8333333333333333,190.84307130504675,343.47710539423986,0.8458333333333333,227.40354517778044,503.2568597622399
612,P0,train,7.192951245053298,5.722293636742205,14.085054872169799,1.0,148.6911859331073,148.6911859331073,1.0,190.84307130504666,190.84307130504666,1.0,227.40354517778044,227.40354517778044
612,R,prediction,45.864555426118635,41.83765230563842,33.03843743031943,0.6444444444444444,148.3104220406097,281.6954561170936,0.6638888888888889,190.37089525349256,433.29287826834025,0.6763888888888889,226.86217381939468,672.9855301811752
612,R,train,13.64431916417282,10.181016599680435,14.959342132740504,0.990979381443299,148.19336852795598,148.29623801905444,1.0,190.22079624628998,190.22079624628998,1.0,226.68351848263774,226.68351848263774
612,U,prediction,23.21610268050371,19.20951031589137,26.512007345520345,0.7083333333333333,156.8070621718838,252.2870424883305,0.7527777777777778,201.68961493796516,364.21921470848093,0.8458333333333333,240.86568002232084,532.9611780128123
612,U,train,1.1600757253730207,0.8386808336808125,14.229999204134314,1.0,156.13518229524504,156.13518229524504,1.0,200.8396081394304,200.8396081394304,1.0,239.89016524246702,239.89016524246702
