prefix,seed,r_checks_passed,r_min_dx_mm,r_min_gap_original_units,r_max_normalized_complementarity,p_prediction_max_normalized_complementarity,p_prediction_complementarity_violation_fraction
342,0,True,0.0,-3.184694843252132e-14,9.428310671469894e-18,0.7885820538144579,1.0
342,1,True,0.0,-3.0504175248137304e-14,9.774144938091092e-18,0.570188737960091,1.0
342,2,True,0.0,-4.016020075924562e-14,1.444435623088192e-17,0.5276747580231607,1.0
432,0,True,0.0,-1.3914486447302123e-13,6.022454290059093e-17,0.05153981723821836,1.0
432,1,True,-8.371789481669407e-09,-1.4668626575479056e-13,4.8475045959560975e-17,0.03242577438138735,1.0
432,2,True,-1.9288144544474018e-09,-1.516964746737447e-13,6.051627051206463e-17,0.03575588500176424,1.0
612,0,True,0.0,-1.3917117120728942e-13,1.818026046493551e-16,0.04400862189793418,1.0
612,1,True,0.0,-1.207155045331743e-13,1.5337333962709722e-16,0.07943151565695963,1.0
612,2,True,0.0,-1.290376622141145e-13,1.6258467610595088e-16,0.052946572279167846,1.0
