prefix,seed,part,station,p_minus_r_rms_mm,p_minus_r_max_abs_mm
342,0,train,ATU1,0.23047357271882155,0.5148356676713064
342,0,train,ATU5,0.4338662187939235,0.9077675642282514
342,0,train,MJ3,2.94818339673261,5.415100871384084
342,0,train,MJ1,1.3791716646917183,2.59509301206117
342,0,prediction,ATU1,0.5347726657257185,1.2018258824232362
342,0,prediction,ATU5,1.8185555331340506,3.637359730510809
342,0,prediction,MJ3,5.196404844046157,5.914603036582548
342,0,prediction,MJ1,1.5262409783053454,1.970548226201231
342,1,train,ATU1,0.20807454081714152,0.3595556435558578
342,1,train,ATU5,0.475966903259721,0.8020678554113232
342,1,train,MJ3,7.956441041824974,13.525950600709393
342,1,train,MJ1,3.7470010535940896,6.45461142725344
342,1,prediction,ATU1,0.27147045891016514,0.5695571029049802
342,1,prediction,ATU5,0.6506554929850185,1.395377928530678
342,1,prediction,MJ3,13.953887798342365,15.569059018303506
342,1,prediction,MJ1,4.350724812494868,5.15974301538381
342,2,train,ATU1,0.32090860588050996,0.4724812639795246
342,2,train,ATU5,1.1108766444822762,1.6641678418413761
342,2,train,MJ3,4.529432759430083,8.756623522997984
342,2,train,MJ1,2.1254439910377867,4.238123291426064
342,2,prediction,ATU1,0.3706240633039551,0.7290299686847845
342,2,prediction,ATU5,0.7884374528140627,1.6779645463886084
342,2,prediction,MJ3,9.479669895900658,10.844634780263277
342,2,prediction,MJ1,2.7963155087205083,3.6464481044484955
432,0,train,ATU1,2.1638668417907723,3.364832370668786
432,0,train,ATU5,2.292410872072798,6.196830602226072
432,0,train,MJ3,1.1891680580671145,2.765521296259294
432,0,train,MJ1,0.509683023703881,1.1325748196389895
432,0,prediction,ATU1,1.830623856068857,2.2554615613908027
432,0,prediction,ATU5,1.9640094280775642,5.852837234756066
432,0,prediction,MJ3,3.2705421329337354,3.7113696137491843
432,0,prediction,MJ1,1.370866267016874,1.5831365828797743
432,1,train,ATU1,2.3474511237001265,3.534627064462839
432,1,train,ATU5,2.406055180700077,6.349252531706611
432,1,train,MJ3,1.249868928937955,2.598975468136814
432,1,train,MJ1,0.5483391207153306,1.0156141546890467
432,1,prediction,ATU1,0.7325331509155418,2.334982369888934
432,1,prediction,ATU5,1.6022658341981058,5.368705942974202
432,1,prediction,MJ3,2.9732566659842012,3.2356815315815766
432,1,prediction,MJ1,1.217689750670063,1.3463178846646997
432,2,train,ATU1,2.435170310728941,3.7825203415893753
432,2,train,ATU5,2.2697491329554906,5.9189210060310415
432,2,train,MJ3,1.244262182461023,2.484682857488451
432,2,train,MJ1,0.5297644715952305,0.9568414128497125
432,2,prediction,ATU1,0.6349156107647194,1.134586530784702
432,2,prediction,ATU5,2.154491936416584,6.529680350449837
432,2,prediction,MJ3,3.066861696315989,3.4334174437810816
432,2,prediction,MJ1,1.2551221437405946,1.4351003888701825
612,0,train,ATU1,18.859802999711928,44.6574731766343
612,0,train,ATU5,28.17605153133983,49.30311685480126
612,0,train,MJ3,0.47353371538779404,0.8239304144510697
612,0,train,MJ1,0.25439286828046537,0.46789781333859537
612,0,prediction,ATU1,39.72232008486384,53.47409691806581
612,0,prediction,ATU5,55.7280891576024,61.904975495830115
612,0,prediction,MJ3,0.6828449824223327,0.9298627710372784
612,0,prediction,MJ1,0.37181253645919693,0.5167022005039144
612,1,train,ATU1,17.782488092779847,44.47899027781868
612,1,train,ATU5,24.482891733664413,42.5290009190703
612,1,train,MJ3,0.5182484807510602,0.8449292232681955
612,1,train,MJ1,0.2757729298057172,0.45817278936181083
612,1,prediction,ATU1,36.947783326690576,50.01511102080224
612,1,prediction,ATU5,46.37202642061632,52.330864128656174
612,1,prediction,MJ3,0.986404017137929,1.2075709837340582
612,1,prediction,MJ1,0.5344683014979653,0.6699433581677567
612,2,train,ATU1,15.932103738166017,44.2574343855087
612,2,train,ATU5,22.04856033337512,40.90663988381533
612,2,train,MJ3,0.5333427284824009,0.781074394101779
612,2,train,MJ1,0.27646613865835407,0.40487611270020807
612,2,prediction,ATU1,29.95584013228688,44.5677548245273
612,2,prediction,ATU5,41.97724078093389,47.946258503898434
612,2,prediction,MJ3,0.8659842569595636,1.0940005750890123
612,2,prediction,MJ1,0.45773595727956656,0.575500562146317
