prefix,seed,e0_objective_at_lambda1,e200_data,e200_physics,e200_rate_prior,e200_objective_at_lambda1
342,0,0.0117175808465882,0.01102854002875804,0.2571253517433807,0.03472303697028657,0.268188614809109
342,1,0.0117175808465882,0.010000582153214328,0.10435132630285728,0.039397377275226984,0.11439130583334682
342,2,0.0117175808465882,0.00977342769111111,0.1490337915389905,0.02498156492040586,0.158832200795022
432,0,0.005519817928770283,0.00184071402306597,0.0010293897827382632,0.2840212617804881,0.003154125067584721
432,1,0.005519817928770283,0.0019749873533690936,0.0011301444117825731,0.2444450893379234,0.00334957685448959
432,2,0.005519817928770283,0.0018561825035772457,0.0007916390434335337,0.28842905437548133,0.0029362506013862607
612,0,0.0054617649274277,0.0030672164550722037,0.00039440705746984767,0.11163238823870414,0.0035732559007807555
612,1,0.0054617649274277,0.003241735377320184,0.00036327156479351965,0.12412861548821721,0.003729135557601921
612,2,0.0054617649274277,0.0030565620007264533,0.000888820445313363,0.10061104699223197,0.004045993493032048
