fold,date,station,actual,p10,p50,p90,interval_status,interval_level,interval_color,interval_reason,interval_mapping_basis,interval_mu,interval_sigma,interval_z,velocity_mm_per_day,velocity_status,acceleration_mm_per_day_squared,acceleration_status,comparator_v0_mm_per_day,tangent_angle_degree,target_end_date,future_displacement_rate_mm_per_day,future_velocity_q90_mm_per_day,label_status,case,formal_warning_output,ecdf_future_displacement_rate_mm_per_day,ecdf_future_velocity_q90_mm_per_day,severity,auto_state_level,auto_state_color,boundary_version,artifact_kind,artifact_status
1,2018-02-22,ATU3,485.37451,485.296178581,487.383418202,490.57903508,valid,0,green,thesis_figure_5_1_observed_green_region,specified_thesis_figure_5_1_normal_regions,487.383418202,2.06111993257,-0.974668271501,0.11021,valid,-4.99999999874e-05,valid,1.75867837307,3.58582982101,2018-03-01,0.110055714286,0.11014,valid,ootang,False,0.457142857143,0.435714285714,0.446428571429,2,yellow,fold1_h7_station_ecdf_site_quantiles_v2,ootang_automatic_future_deformation_state_ecdf_challenger,exploratory_proxy_labels_not_formal_warning
1,2018-02-22,ATU4,253.26709,253.21366051,254.526127163,256.515414905,valid,0,green,thesis_figure_5_1_observed_green_region,specified_thesis_figure_5_1_normal_regions,254.526127163,1.28818789523,-0.977370745417,0.05655,valid,-5.00000000159e-05,valid,1.02070105311,3.17112172282,2018-03-01,0.0563585714286,0.05646,valid,ootang,False,0.575,0.55,0.5625,2,yellow,fold1_h7_station_ecdf_site_quantiles_v2,ootang_automatic_future_deformation_state_ecdf_challenger,exploratory_proxy_labels_not_formal_warning
1,2018-02-22,ATU5,505.388672848,505.277244113,506.937294078,509.51250502,valid,0,green,thesis_figure_5_1_observed_green_region,specified_thesis_figure_5_1_normal_regions,506.937294078,1.6523978413,-0.937196352584,0.144900507894,valid,-0.00203592637774,valid,1.83120120352,4.52431153952,2018-03-01,0.133975307432,0.141133084949,valid,ootang,False,0.321428571429,0.325,0.323214285714,1,blue,fold1_h7_station_ecdf_site_quantiles_v2,ootang_automatic_future_deformation_state_ecdf_challenger,exploratory_proxy_labels_not_formal_warning
1,2018-02-22,MJ1,860.176241748,860.133455797,860.596100699,861.325432259,valid,0,green,thesis_figure_5_1_observed_green_region,specified_thesis_figure_5_1_normal_regions,860.596100699,0.465052655686,-0.902820241047,0.175592821575,valid,0.0160617481172,valid,0.277793969981,32.2968704901,2018-03-01,0.252965464566,0.304420549728,valid,ootang,False,0.635714285714,0.639285714286,0.6375,3,orange,fold1_h7_station_ecdf_site_quantiles_v2,ootang_automatic_future_deformation_state_ecdf_challenger,exploratory_proxy_labels_not_formal_warning
1,2018-02-22,MJ3,1192.11484301,1192.11590604,1192.68895292,1193.64614713,valid,0,green,thesis_figure_5_1_observed_green_region,specified_thesis_figure_5_1_normal_regions,1192.68895292,0.597027459008,-0.961613899662,0.143600535083,valid,-0.00577291653326,valid,0.508958112156,15.7562046894,2018-03-01,0.115022426595,0.133358020866,valid,ootang,False,0.817857142857,0.828571428571,0.823214285714,4,red,fold1_h7_station_ecdf_site_quantiles_v2,ootang_automatic_future_deformation_state_ecdf_challenger,exploratory_proxy_labels_not_formal_warning
1,2018-02-22,MJ9,318.41807,318.384174912,318.603682836,318.939665829,valid,0,green,thesis_figure_5_1_observed_green_region,specified_thesis_figure_5_1_normal_regions,318.603682836,0.216726197559,-0.856439315311,0.10176,valid,0.00297,valid,0.103383166641,44.546664611,2018-03-01,0.116561428571,0.126566,valid,ootang,False,0.510714285714,0.496428571429,0.503571428571,2,yellow,fold1_h7_station_ecdf_site_quantiles_v2,ootang_automatic_future_deformation_state_ecdf_challenger,exploratory_proxy_labels_not_formal_warning
1,2018-02-23,ATU1,407.821493583,407.139097656,408.291621514,409.835269746,valid,0,green,thesis_figure_5_1_observed_green_region,specified_thesis_figure_5_1_normal_regions,408.291621514,1.05191841525,-0.446924328507,0.0575609654731,valid,-0.00388557226756,valid,1.45749892556,2.26160534769,2018-03-02,0.0425766220095,0.0514437429146,valid,ootang,False,0.221428571429,0.228571428571,0.225,1,blue,fold1_h7_station_ecdf_site_quantiles_v2,ootang_automatic_future_deformation_state_ecdf_challenger,exploratory_proxy_labels_not_formal_warning
1,2018-02-23,ATU2,295.441,295.184622544,296.480026759,298.39223808,valid,0,green,thesis_figure_5_1_observed_green_region,specified_thesis_figure_5_1_normal_regions,296.480026759,1.25145937975,-0.83025208474,0.0644,valid,-6.99999999938e-05,valid,1.15246180399,3.1983834148,2018-03-02,0.0638742857143,0.064244,valid,ootang,False,0.507142857143,0.482142857143,0.494642857143,2,yellow,fold1_h7_station_ecdf_site_quantiles_v2,ootang_automatic_future_deformation_state_ecdf_challenger,exploratory_proxy_labels_not_formal_warning
1,2018-02-23,ATU3,485.48468,485.42067702,487.510447769,490.709980351,valid,0,green,thesis_figure_5_1_observed_green_region,specified_thesis_figure_5_1_normal_regions,487.510447769,2.06363518029,-0.981650142631,0.11017,valid,-3.99999999559e-05,valid,1.75867837307,3.58453176136,2018-03-02,0.109884285714,0.110096,valid,ootang,False,0.453571428571,0.432142857143,0.442857142857,2,yellow,fold1_h7_station_ecdf_site_quantiles_v2,ootang_automatic_future_deformation_state_ecdf_challenger,exploratory_proxy_labels_not_formal_warning
1,2018-02-23,ATU4,253.32358,253.27527458,254.589125063,256.579952289,valid,0,green,thesis_figure_5_1_observed_green_region,specified_thesis_figure_5_1_normal_regions,254.589125063,1.28932843386,-0.981553675531,0.05649,valid,-5.99999999906e-05,valid,1.02070105311,3.16776399335,2018-03-02,0.0562757142857,0.05641,valid,ootang,False,0.571428571429,0.546428571429,0.558928571429,2,yellow,fold1_h7_station_ecdf_site_quantiles_v2,ootang_automatic_future_deformation_state_ecdf_challenger,exploratory_proxy_labels_not_formal_warning
1,2018-02-23,ATU5,505.531305638,505.441225297,507.103602423,509.684486612,valid,0,green,thesis_figure_5_1_observed_green_region,specified_thesis_figure_5_1_normal_regions,507.103602423,1.65551922076,-0.949730310919,0.142632790271,valid,-0.0022677176234,valid,1.83120120352,4.45379242875,2018-03-02,0.130796394781,0.138494501332,valid,ootang,False,0.282142857143,0.307142857143,0.294642857143,1,blue,fold1_h7_station_ecdf_site_quantiles_v2,ootang_automatic_future_deformation_state_ecdf_challenger,exploratory_proxy_labels_not_formal_warning
1,2018-02-23,MJ1,860.368990122,860.312145521,860.775450502,861.505828957,valid,0,green,thesis_figure_5_1_observed_green_region,specified_thesis_figure_5_1_normal_regions,860.775450502,0.465718635968,-0.87275953482,0.192748373903,valid,0.0171555523273,valid,0.277793969981,34.7549901029,2018-03-02,0.274445876676,0.328435449236,valid,ootang,False,0.642857142857,0.646428571429,0.644642857143,3,orange,fold1_h7_station_ecdf_site_quantiles_v2,ootang_automatic_future_deformation_state_ecdf_challenger,exploratory_proxy_labels_not_formal_warning
1,2018-02-23,MJ3,1192.25221343,1192.26794915,1192.8415568,1193.8025556,valid,0,green,thesis_figure_5_1_observed_green_region,specified_thesis_figure_5_1_normal_regions,1192.8415568,0.598730620095,-0.984321419546,0.137370415021,valid,-0.0062301200619,valid,0.508958112156,15.104509692,2018-03-02,0.106983696207,0.126396375155,valid,ootang,False,0.8,0.814285714286,0.807142857143,4,red,fold1_h7_station_ecdf_site_quantiles_v2,ootang_automatic_future_deformation_state_ecdf_challenger,exploratory_proxy_labels_not_formal_warning
1,2018-02-23,MJ9,318.52304,318.48596167,318.705877645,319.041702372,valid,0,green,thesis_figure_5_1_observed_green_region,specified_thesis_figure_5_1_normal_regions,318.705877645,0.216823651846,-0.843255074399,0.10497,valid,0.00320999999997,valid,0.103383166641,45.4363605214,2018-03-02,0.120558571429,0.130808,valid,ootang,False,0.521428571429,0.5,0.510714285714,2,yellow,fold1_h7_station_ecdf_site_quantiles_v2,ootang_automatic_future_deformation_state_ecdf_challenger,exploratory_proxy_labels_not_formal_warning
1,2018-02-24,ATU1,407.875214291,407.211806408,408.367562645,409.917950286,valid,0,green,thesis_figure_5_1_observed_green_region,specified_thesis_figure_5_1_normal_regions,408.367562645,1.05580893387,-0.466323345358,0.0537207082373,valid,-0.00384025723577,valid,1.45749892556,2.11086067005,2018-03-03,0.0390167814886,0.0476759897292,valid,ootang,False,0.203571428571,0.2,0.201785714286,0,green,fold1_h7_station_ecdf_site_quantiles_v2,ootang_automatic_future_deformation_state_ecdf_challenger,exploratory_proxy_labels_not_formal_warning
1,2018-02-24,ATU2,295.50531,295.260022132,296.559353056,298.474359371,valid,0,green,thesis_figure_5_1_observed_green_region,specified_thesis_figure_5_1_normal_regions,296.559353056,1.25408186931,-0.84048982891,0.06431,valid,-8.99999999433e-05,valid,1.15246180399,3.19392288477,2018-03-03,0.0635785714286,0.064128,valid,ootang,False,0.503571428571,0.478571428571,0.491071428571,2,yellow,fold1_h7_station_ecdf_site_quantiles_v2,ootang_automatic_future_deformation_state_ecdf_challenger,exploratory_proxy_labels_not_formal_warning
1,2018-02-24,ATU3,485.5948,485.544097179,487.638139502,490.843675545,valid,0,green,thesis_figure_5_1_observed_green_region,specified_thesis_figure_5_1_normal_regions,487.638139502,2.06764401131,-0.988245312463,0.11012,valid,-5.00000000443e-05,valid,1.75867837307,3.58290918161,2018-03-03,0.10945,0.110062,valid,ootang,False,0.45,0.428571428571,0.439285714286,2,yellow,fold1_h7_station_ecdf_site_quantiles_v2,ootang_automatic_future_deformation_state_ecdf_challenger,exploratory_proxy_labels_not_formal_warning
1,2018-02-24,ATU4,253.38002,253.33599581,254.65226534,256.64566545,valid,0,green,thesis_figure_5_1_observed_green_region,specified_thesis_figure_5_1_normal_regions,254.65226534,1.29127604863,-0.98526209096,0.05644,valid,-4.99999999874e-05,valid,1.02070105311,3.16496586882,2018-03-03,0.0561071428571,0.056366,valid,ootang,False,0.564285714286,0.542857142857,0.553571428571,2,yellow,fold1_h7_station_ecdf_site_quantiles_v2,ootang_automatic_future_deformation_state_ecdf_challenger,exploratory_proxy_labels_not_formal_warning
1,2018-02-24,ATU5,505.67143892,505.60375791,507.269764723,509.858742419,valid,0,green,thesis_figure_5_1_observed_green_region,specified_thesis_figure_5_1_normal_regions,507.269764723,1.66009305509,-0.962792898005,0.140133281401,valid,-0.00249950886968,valid,1.83120120352,4.37604965702,2018-03-03,0.127481510623,0.135624126469,valid,ootang,False,0.264285714286,0.278571428571,0.271428571429,1,blue,fold1_h7_station_ecdf_site_quantiles_v2,ootang_automatic_future_deformation_state_ecdf_challenger,exploratory_proxy_labels_not_formal_warning
1,2018-02-24,MJ1,860.579987852,860.50919312,860.973398372,861.705579271,valid,0,green,thesis_figure_5_1_observed_green_region,specified_thesis_figure_5_1_normal_regions,860.973398372,0.466773107339,-0.842830304026,0.21099773044,valid,0.0182493565375,valid,0.277793969981,37.218398325,2018-03-03,0.296717950644,0.352627654489,valid,ootang,False,0.653571428571,0.653571428571,0.653571428571,3,orange,fold1_h7_station_ecdf_site_quantiles_v2,ootang_automatic_future_deformation_state_ecdf_challenger,exploratory_proxy_labels_not_formal_warning
1,2018-02-24,MJ3,1192.38289652,1192.41510829,1192.98963482,1193.95613881,valid,0,green,thesis_figure_5_1_observed_green_region,specified_thesis_figure_5_1_normal_regions,1192.98963482,0.601236987642,-1.00914998912,0.130683091429,valid,-0.0066873235919,valid,0.508958112156,14.400513166,2018-03-03,0.0986089850567,0.118977525915,valid,ootang,False,0.785714285714,0.8,0.792857142857,3,orange,fold1_h7_station_ecdf_site_quantiles_v2,ootang_automatic_future_deformation_state_ecdf_challenger,exploratory_proxy_labels_not_formal_warning
1,2018-02-24,MJ9,318.63146,318.591266728,318.811719147,319.147659842,valid,0,green,thesis_figure_5_1_observed_green_region,specified_thesis_figure_5_1_normal_regions,318.811719147,0.217078191928,-0.830388096344,0.10842,valid,0.00345000000004,valid,0.103383166641,46.3622785501,2018-03-03,0.124382857143,0.133846,valid,ootang,False,0.525,0.503571428571,0.514285714286,2,yellow,fold1_h7_station_ecdf_site_quantiles_v2,ootang_automatic_future_deformation_state_ecdf_challenger,exploratory_proxy_labels_not_formal_warning
