start,end,teacher,point,index,date,residual,slow,fast,diagnostic_retained
432,612,432,ATU1,432,2017-09-06,4.3148411561039097,4.3148411561039097,0,False
432,612,432,ATU1,433,2017-09-07,9.2827149637979858,4.6353491436970753,4.6473658201009105,False
432,612,432,ATU1,434,2017-09-08,14.544787009149843,5.274667715661769,9.2701192934880741,False
432,612,432,ATU1,435,2017-09-09,19.991972168768712,6.2241712287654423,13.767800940003269,False
432,612,432,ATU1,436,2017-09-10,25.68485835413648,7.4796994304022828,18.205158923734196,False
432,612,432,ATU1,437,2017-09-11,31.649761363802156,9.0390582648151767,22.610703098986981,False
432,612,432,ATU1,438,2017-09-12,37.87081550561652,10.899171635189457,26.971643870427062,False
432,612,432,ATU1,439,2017-09-13,44.286472255669821,13.053191030059157,31.233281225610664,False
432,612,432,ATU1,440,2017-09-14,50.80333187356797,15.488683987704885,35.314647885863081,False
432,612,432,ATU1,441,2017-09-15,57.427196170225841,18.194394451093334,39.23280171913251,False
432,612,432,ATU1,442,2017-09-16,64.130760686864335,21.158030982433399,42.972729704430932,False
432,612,432,ATU1,443,2017-09-17,70.182944557437224,24.320928632433642,45.862015925003583,False
432,612,432,ATU1,444,2017-09-18,75.964284529922509,27.652758045174856,48.311526484747652,False
432,612,432,ATU1,445,2017-09-19,80.723542612819642,31.076679630184195,49.646862982635447,False
432,612,432,ATU1,446,2017-09-20,83.693503302318049,34.471313415483152,49.222189886834897,False
432,612,432,ATU1,447,2017-09-21,85.037058076384938,37.733619522638108,47.30343855374683,False
432,612,432,ATU1,448,2017-09-22,84.606020119152845,40.75764536757454,43.848374751578305,False
432,612,432,ATU1,449,2017-09-23,81.394023841112187,43.379347204576966,38.014676636535221,False
432,612,432,ATU1,450,2017-09-24,74.589631617563896,45.392913940898701,29.196717676665195,False
432,612,432,ATU1,451,2017-09-25,63.864447262188776,46.584625768078702,17.279821494110074,False
432,612,432,ATU1,452,2017-09-26,55.506133896130393,47.16020693763042,8.3459269584999731,False
432,612,432,ATU1,453,2017-09-27,51.29152204014548,47.426743395857194,3.8647786442882861,False
432,612,432,ATU1,454,2017-09-28,49.664642853733937,47.571124006042787,2.0935188476911506,False
432,612,432,ATU1,455,2017-09-29,49.633328112526101,47.704169432267513,1.9291586802585883,False
