start,end,point,driver,lag,correlation,fast_ratio,n
792,972,ATU1,rwl_change,0,0.015569699571821183,0.093596448689977435,150
792,972,ATU1,rwl_change,7,0.11116605630883508,0.093596448689977435,150
792,972,ATU1,rwl_change,30,0.14103068321864387,0.093596448689977435,150
792,972,ATU5,rain7,0,-0.56839617607099713,0.075804966065387447,150
792,972,ATU5,rain7,7,-0.83646338316107993,0.075804966065387447,150
792,972,ATU5,rain7,30,-0.04656933026278675,0.075804966065387447,150
792,972,ATU5,rwl_change,0,0.066554696591700144,0.075804966065387447,150
792,972,ATU5,rwl_change,7,0.16651312400140408,0.075804966065387447,150
792,972,ATU5,rwl_change,30,0.19121352503462999,0.075804966065387447,150
792,972,MJ3,rain7,0,-0.26077978314393624,0.069478519765855395,150
792,972,MJ3,rain7,7,-0.35435501955202364,0.069478519765855395,150
792,972,MJ3,rain7,30,-0.26242272452050386,0.069478519765855395,150
792,972,MJ3,rwl_change,0,0.34317407817706252,0.069478519765855395,150
792,972,MJ3,rwl_change,7,0.37687243773167789,0.069478519765855395,150
792,972,MJ3,rwl_change,30,0.41654140753575497,0.069478519765855395,150
792,972,MJ1,rain7,0,-0.47986200504202792,0.016538342715905426,150
792,972,MJ1,rain7,7,-0.60992173066877087,0.016538342715905426,150
792,972,MJ1,rain7,30,-0.16974112174828432,0.016538342715905426,150
792,972,MJ1,rwl_change,0,-0.24086432592717907,0.016538342715905426,150
792,972,MJ1,rwl_change,7,-0.29939828881530239,0.016538342715905426,150
792,972,MJ1,rwl_change,30,-0.26065719819303335,0.016538342715905426,150
972,1152,ATU1,rain7,0,-0.84769657541226917,0.021614048706477474,150
972,1152,ATU1,rain7,7,-0.11548625971652406,0.021614048706477474,150
972,1152,ATU1,rain7,30,-0.18025990474396958,0.021614048706477474,150
972,1152,ATU1,rwl_change,0,-0.19309331715053457,0.021614048706477474,150
972,1152,ATU1,rwl_change,7,-0.020911013628902051,0.021614048706477474,150
972,1152,ATU1,rwl_change,30,-0.21474395911013167,0.021614048706477474,150
972,1152,ATU5,rain7,0,-0.53533823946561021,0.057176286188849297,150
972,1152,ATU5,rain7,7,-0.091154027483467626,0.057176286188849297,150
972,1152,ATU5,rain7,30,0.019417319773564416,0.057176286188849297,150
972,1152,ATU5,rwl_change,0,-0.10205066975697578,0.057176286188849297,150
972,1152,ATU5,rwl_change,7,-0.0056634954661151987,0.057176286188849297,150
972,1152,ATU5,rwl_change,30,-0.2614200918356433,0.057176286188849297,150
972,1152,MJ3,rain7,0,-0.50722479918885877,0.037858248093303647,150
972,1152,MJ3,rain7,7,-0.52150776578433522,0.037858248093303647,150
972,1152,MJ3,rain7,30,-0.31821066275311127,0.037858248093303647,150
972,1152,MJ3,rwl_change,0,-0.22549812472559164,0.037858248093303647,150
972,1152,MJ3,rwl_change,7,-0.1776130562840266,0.037858248093303647,150
972,1152,MJ3,rwl_change,30,0.069262797015232733,0.037858248093303647,150
972,1152,MJ1,rain7,0,-0.45818500297188247,0.034374581888695611,150
972,1152,MJ1,rain7,7,-0.46945930441478079,0.034374581888695611,150
972,1152,MJ1,rain7,30,-0.43418350039836062,0.034374581888695611,150
972,1152,MJ1,rwl_change,0,-0.24582484821038156,0.034374581888695611,150
972,1152,MJ1,rwl_change,7,-0.21215292944312467,0.034374581888695611,150
972,1152,MJ1,rwl_change,30,-0.1162706658519518,0.034374581888695611,150
