start,end,point,driver,lag,correlation,fast_ratio,n
432,612,ATU1,rain7,0,0.42370366475872978,0.6411500403517435,150
432,612,ATU1,rain7,7,0.55090041002693735,0.6411500403517435,150
432,612,ATU1,rain7,30,-0.23132173952409135,0.6411500403517435,150
432,612,ATU1,rwl_change,0,0.24590810255849885,0.6411500403517435,150
432,612,ATU1,rwl_change,7,0.37077883327171668,0.6411500403517435,150
432,612,ATU1,rwl_change,30,0.075362956572856146,0.6411500403517435,150
432,612,ATU5,rain7,0,0.54210035014306646,0.20494272544485015,150
432,612,ATU5,rain7,7,0.64031395647825351,0.20494272544485015,150
432,612,ATU5,rain7,30,0.36560316140600613,0.20494272544485015,150
432,612,ATU5,rwl_change,0,0.46790398690747759,0.20494272544485015,150
432,612,ATU5,rwl_change,7,0.55002656849281861,0.20494272544485015,150
432,612,ATU5,rwl_change,30,0.48703052102648092,0.20494272544485015,150
432,612,MJ3,rain7,0,0.71281195157483712,0.015469761455008014,150
432,612,MJ3,rain7,7,0.61979518535833034,0.015469761455008014,150
432,612,MJ3,rain7,30,-0.27925281025380666,0.015469761455008014,150
432,612,MJ3,rwl_change,0,0.15197967186354355,0.015469761455008014,150
432,612,MJ3,rwl_change,7,0.32241705382476427,0.015469761455008014,150
432,612,MJ3,rwl_change,30,0.10641767632971406,0.015469761455008014,150
432,612,MJ1,rain7,0,0.56465070469598055,0.0036440360968979435,150
432,612,MJ1,rain7,7,0.42377245028608629,0.0036440360968979435,150
432,612,MJ1,rain7,30,-0.47344840434131097,0.0036440360968979435,150
432,612,MJ1,rwl_change,0,0.014478798900986325,0.0036440360968979435,150
432,612,MJ1,rwl_change,7,0.14075450224694863,0.0036440360968979435,150
432,612,MJ1,rwl_change,30,-0.085143383030845607,0.0036440360968979435,150
612,792,ATU1,rain7,0,-0.55666878623399818,0.4491296916086438,150
612,792,ATU1,rain7,7,-0.25243606201876356,0.4491296916086438,150
612,792,ATU1,rain7,30,0.28472088436760712,0.4491296916086438,150
612,792,ATU1,rwl_change,0,0.27089016377006697,0.4491296916086438,150
612,792,ATU1,rwl_change,7,0.22754982350310821,0.4491296916086438,150
612,792,ATU1,rwl_change,30,-0.066070580432107881,0.4491296916086438,150
612,792,ATU5,rain7,0,0.28886868696183732,0.25903351228767996,150
612,792,ATU5,rain7,7,0.21598840913960143,0.25903351228767996,150
612,792,ATU5,rain7,30,0.022377368450084641,0.25903351228767996,150
612,792,ATU5,rwl_change,0,-0.11966402071508396,0.25903351228767996,150
612,792,ATU5,rwl_change,7,-0.19657492888579459,0.25903351228767996,150
612,792,ATU5,rwl_change,30,-0.24470417326739199,0.25903351228767996,150
612,792,MJ3,rain7,0,-0.68150985555368537,0.0084215631477601478,150
612,792,MJ3,rain7,7,-0.6653033720330791,0.0084215631477601478,150
612,792,MJ3,rain7,30,-0.39888461992856117,0.0084215631477601478,150
612,792,MJ3,rwl_change,0,-0.083140216292550709,0.0084215631477601478,150
612,792,MJ3,rwl_change,7,0.053307140951234074,0.0084215631477601478,150
612,792,MJ3,rwl_change,30,0.17423670625365933,0.0084215631477601478,150
612,792,MJ1,rain7,0,-0.64959213031675145,0.095249319794596193,150
612,792,MJ1,rain7,7,-0.64756276715819905,0.095249319794596193,150
612,792,MJ1,rain7,30,-0.34433471071173122,0.095249319794596193,150
612,792,MJ1,rwl_change,0,-0.0018695620322274115,0.095249319794596193,150
612,792,MJ1,rwl_change,7,0.13905462652463643,0.095249319794596193,150
612,792,MJ1,rwl_change,30,0.18749269287872011,0.095249319794596193,150
792,972,ATU1,rain7,0,-0.76101371475600221,0.093596448689977435,150
792,972,ATU1,rain7,7,-0.8185727118473225,0.093596448689977435,150
792,972,ATU1,rain7,30,-0.017588549417047437,0.093596448689977435,150
